date,open,high,low,close,volume,padding
1999-01-04,8.094,8.992,8.094,8.953,1871200.0,0
1999-01-05,8.921,8.93,8.82,8.82,522400.0,0
1999-01-06,8.82,8.914,8.797,8.867,275200.0,0
1999-01-07,8.836,9.313,8.789,9.25,934400.0,0
1999-01-08,9.281,9.563,8.891,8.937999999999997,1019200.0,0
1999-01-11,9.133,9.296,9.031,9.172,607200.0,0
1999-01-12,9.172,9.969,9.149,9.851,1876800.0,0
1999-01-13,9.735,9.922,9.469,9.899,2158400.0,0
1999-01-14,9.883,10.031,9.844,9.844,579200.0,0
1999-01-15,9.844,10.328,9.844,9.938,1967200.0,0
1999-01-19,9.906,10.078,9.906,9.985,475200.0,0
1999-01-20,9.953,10.344,9.945,10.11,526400.0,0
1999-01-21,10.11,10.133,9.75,10.133,1192000.0,0
1999-01-22,10.063,10.125,9.906,10.086,596800.0,0
1999-01-25,10.055,10.117,9.938,10.0,638400.0,0
1999-01-26,10.0,10.0,9.664,9.703,1163200.0,0
1999-01-27,9.781,9.945,9.296,9.375,1726400.0,0
1999-01-28,9.39,9.531,9.367,9.438,1641600.0,0
1999-01-29,9.469,9.735,9.469,9.688,951200.0,0
1999-02-01,9.719,9.82,9.641,9.75,743200.0,0
1999-02-02,9.781,9.781,9.563,9.719,551200.0,0
1999-02-03,9.695,9.703,9.586,9.649,1599200.0,0
1999-02-04,9.649,9.813,9.649,9.671,843200.0,0
1999-02-05,9.563,9.594,9.563,9.563,18862400.0,0
1999-02-08,9.594,9.594,9.109,9.266,2912800.0,0
1999-02-09,9.375,9.406,9.0,9.0,2179200.0,0
1999-02-10,9.0,9.296,9.0,9.203,1727200.0,0
1999-02-11,9.235,9.492,9.235,9.445,1064800.0,0
1999-02-12,9.414,9.61,9.313,9.39,768800.0,0
1999-02-16,9.383,9.5,9.289,9.36,420000.0,0
1999-02-17,9.367,9.367,9.188,9.203,381600.0,0
1999-02-18,9.211,9.313,8.976,9.117,671200.0,0
1999-02-19,9.109,9.226,9.0,9.015,369600.0,0
1999-02-22,9.0,9.172,8.914,9.14,1020800.0,0
1999-02-23,9.149,9.39,9.149,9.266,721600.0,0
1999-02-24,9.266,9.469,9.172,9.203,605600.0,0
1999-02-25,9.313,9.313,8.953,9.117,450400.0,0
