date,open,high,low,close,volume,padding
1999-01-04,15.565,15.72,14.97,15.065,2900000.0,0
1999-01-05,15.095,15.5,14.94,15.5,2761000.0,0
1999-01-06,15.5,16.125,15.5,15.875,4866200.0,0
1999-01-07,15.75,15.78,15.315,15.5,2465200.0,0
1999-01-08,15.625,15.69,15.0,15.03,1721000.0,0
1999-01-11,15.03,15.345,14.75,15.0,2051000.0,0
1999-01-12,15.095,15.125,14.25,14.44,2326400.0,0
1999-01-13,13.815,15.125,13.75,14.5,4635400.0,0
1999-01-14,14.53,14.565,13.75,14.065,1677000.0,0
1999-01-15,14.155,14.94,14.065,14.75,1589200.0,0
1999-01-19,15.03,15.125,14.375,14.595,2667800.0,0
1999-01-20,15.19,15.625,14.875,15.25,4249000.0,0
1999-01-21,15.375,15.375,14.815,14.845,2063400.0,0
1999-01-22,14.625,14.625,14.28,14.375,1126600.0,0
1999-01-25,14.25,14.315,13.905,14.25,1892800.0,0
1999-01-26,14.625,15.0,14.44,14.815,1994200.0,0
1999-01-27,14.875,15.0,14.5,14.595,1765400.0,0
1999-01-28,14.625,14.875,14.5,14.875,1463600.0,0
1999-01-29,14.97,15.125,14.5,14.875,1875000.0,0
1999-02-01,14.875,15.065,14.53,14.94,1278200.0,0
1999-02-02,14.69,14.72,14.03,14.065,2318600.0,0
1999-02-03,15.625,17.0,15.44,16.94,7775000.0,0
1999-02-04,17.375,18.625,15.75,16.19,8825400.0,0
1999-02-05,16.065,16.095,14.94,15.44,4098600.0,0
1999-02-08,15.625,16.19,15.44,15.625,2316400.0,0
1999-02-09,15.815,16.065,15.095,15.44,1826200.0,0
1999-02-10,15.03,15.19,14.375,14.655,3087000.0,0
1999-02-11,14.94,15.5,14.69,15.47,3551800.0,0
1999-02-12,15.345,15.375,14.905,15.28,4475000.0,0
1999-02-16,15.565,15.78,15.25,15.44,2707600.0,0
1999-02-17,15.44,15.94,14.22,14.47,5896000.0,0
1999-02-18,14.875,14.94,14.5,14.78,2320800.0,0
1999-02-19,14.78,14.815,14.44,14.5,1842200.0,0
1999-02-22,14.405,14.815,14.125,14.75,2403000.0,0
1999-02-23,14.875,14.94,14.25,14.28,2474600.0,0
1999-02-24,14.375,14.845,14.19,14.19,2146600.0,0
1999-02-25,13.75,13.845,13.315,13.53,3763000.0,0
1999-02-26,13.44,13.44,12.47,12.53,3722400.0,0
1999-03-01,12.375,13.0,12.19,12.875,1543400.0,0
1999-03-02,12.94,13.28,12.655,12.78,4417600.0,0
1999-03-03,13.125,13.22,12.69,13.065,2011400.0,0
1999-03-04,13.03,13.345,12.75,12.94,3711200.0,0
1999-03-05,13.5,13.5,13.0,13.125,2658200.0,0
1999-03-08,13.345,14.095,13.28,13.94,4285000.0,0
1999-03-09,13.905,14.315,13.375,13.565,2239400.0,0
1999-03-10,13.595,13.845,13.375,13.75,1258600.0,0
1999-03-11,13.875,13.97,13.19,13.345,983200.0,0
1999-03-12,13.375,13.47,12.47,12.75,2299400.0,0
1999-03-15,12.75,13.065,12.595,13.065,1256600.0,0
1999-03-16,13.03,13.78,12.845,13.72,3658600.0,0
1999-03-17,13.72,13.72,13.44,13.565,1717400.0,0
1999-03-18,13.69,14.315,13.69,14.315,2641400.0,0
1999-03-19,14.315,14.565,14.065,14.47,3310400.0,0
1999-03-22,14.47,14.47,13.75,13.94,1268200.0,0
1999-03-23,13.875,13.875,13.375,13.5,1703200.0,0
1999-03-24,13.47,14.125,13.375,14.125,1491600.0,0
1999-03-25,14.125,14.655,14.0,14.625,2574000.0,0
1999-03-26,14.5,14.875,14.405,14.5,1386400.0,0
1999-03-29,14.44,15.125,14.375,15.095,2173600.0,0
1999-03-30,15.19,15.315,14.875,15.0,2180800.0,0
1999-03-31,15.5,15.595,14.875,14.875,1692400.0,0
1999-04-01,15.5,16.065,15.25,15.845,3755000.0,0
1999-04-05,15.97,17.19,15.94,16.905,3047400.0,0
1999-04-06,16.875,17.405,16.75,17.19,2868400.0,0
1999-04-07,17.155,17.315,16.345,16.5,2553800.0,0
1999-04-08,16.5,16.72,16.065,16.69,1292800.0,0
1999-04-09,16.75,17.72,16.53,17.5,2056000.0,0
1999-04-12,17.0,17.405,16.875,16.97,1821600.0,0
1999-04-13,17.03,17.28,16.815,17.03,1179200.0,0
1999-04-14,17.345,17.97,17.0,17.5,3254800.0,0
1999-04-15,17.47,18.155,17.315,18.03,2573400.0,0
1999-04-16,17.97,17.97,17.625,17.78,1450600.0,0
1999-04-19,18.44,18.47,17.28,17.5,2919200.0,0
1999-04-20,17.47,18.345,16.845,18.315,2648200.0,0
1999-04-21,18.315,18.875,18.19,18.75,1825800.0,0
1999-04-22,19.0,19.19,18.78,18.845,2162800.0,0
1999-04-23,18.815,18.845,18.315,18.53,1059600.0,0
1999-04-26,18.565,18.69,18.405,18.5,1195400.0,0
1999-04-27,18.565,18.625,18.315,18.44,1764200.0,0
1999-04-28,18.44,18.565,18.125,18.22,1479200.0,0
1999-04-29,18.22,18.28,17.815,18.0,1219600.0,0
1999-04-30,18.125,18.375,17.375,17.565,841800.0,0
1999-05-03,17.53,18.315,17.53,18.315,703600.0,0
1999-05-04,18.315,18.47,18.155,18.315,1019600.0,0
1999-05-05,18.375,18.815,17.845,18.815,1803800.0,0
1999-05-06,18.78,18.94,18.5,18.625,885200.0,0
1999-05-07,18.625,18.69,18.405,18.565,1071000.0,0
1999-05-10,18.375,18.815,18.375,18.405,1189800.0,0
1999-05-11,18.345,19.405,18.345,19.19,2160200.0,0
1999-05-12,19.875,20.845,19.375,20.845,4008600.0,0
1999-05-13,21.125,21.905,20.875,21.095,5076000.0,0
1999-05-14,20.97,20.97,19.75,20.03,2624400.0,0
1999-05-17,20.25,20.25,19.69,19.97,1467200.0,0
1999-05-18,20.125,20.315,19.565,19.875,2249400.0,0
1999-05-19,20.5,21.125,19.97,20.595,5803600.0,0
1999-05-20,20.44,20.53,19.315,19.44,3036600.0,0
1999-05-21,19.75,19.78,19.5,19.565,1677200.0,0
1999-05-24,19.625,19.78,18.655,18.905,2233400.0,0
1999-05-25,18.655,19.155,18.065,18.25,1964000.0,0
1999-05-26,18.25,18.655,17.625,18.53,2567200.0,0
1999-05-27,18.5,19.565,18.47,19.315,2271200.0,0
1999-05-28,19.25,19.44,19.095,19.22,797800.0,0
1999-06-01,19.345,19.75,19.19,19.22,1124200.0,0
1999-06-02,19.315,20.345,19.155,20.28,2207000.0,0
1999-06-03,20.155,20.155,19.625,20.0,1398200.0,0
1999-06-04,19.905,20.5,19.875,20.375,1175400.0,0
1999-06-07,20.5,20.97,20.5,20.69,1260600.0,0
1999-06-08,20.69,21.44,20.595,21.125,2411600.0,0
1999-06-09,21.065,21.69,21.065,21.5,2277800.0,0
1999-06-10,21.345,21.905,21.0,21.875,3384800.0,0
1999-06-11,21.875,22.125,21.625,21.875,1565600.0,0
1999-06-14,21.845,22.065,21.69,22.0,1593600.0,0
1999-06-15,22.315,22.625,22.25,22.44,2384000.0,0
1999-06-16,22.375,23.345,22.375,23.03,2556200.0,0
1999-06-17,23.0,23.28,22.405,23.0,2485800.0,0
1999-06-18,22.625,22.815,22.155,22.375,1686600.0,0
1999-06-21,22.375,23.69,22.25,23.69,1584000.0,0
1999-06-22,23.5,24.22,22.75,23.69,3916000.0,0
1999-06-23,23.47,24.625,23.44,24.625,3066200.0,0
1999-06-24,24.375,24.405,23.095,23.97,2441400.0,0
1999-06-25,23.97,24.19,22.625,23.0,1374800.0,0
1999-06-28,23.19,23.345,22.625,23.345,1603400.0,0
1999-06-29,23.625,24.155,23.405,24.155,1782000.0,0
1999-06-30,23.875,25.5,23.75,25.095,2691800.0,0
1999-07-01,25.095,25.095,24.405,24.53,1223000.0,0
1999-07-02,24.375,24.47,24.0,24.28,912600.0,0
1999-07-06,24.25,24.5,23.815,23.815,1743600.0,0
1999-07-07,23.845,24.5,23.345,24.03,3190200.0,0
1999-07-08,23.94,24.375,23.815,24.095,1968000.0,0
1999-07-09,23.97,24.25,23.72,24.125,1560200.0,0
1999-07-12,24.0,24.94,23.75,24.28,1867400.0,0
1999-07-13,23.875,23.94,23.565,23.75,1062400.0,0
1999-07-14,23.94,24.815,23.625,24.69,2166400.0,0
1999-07-15,24.94,25.095,24.53,25.0,2737000.0,0
1999-07-16,24.875,24.875,24.44,24.44,857800.0,0
1999-07-19,24.44,24.565,24.0,24.0,727400.0,0
1999-07-20,23.97,23.97,22.22,22.28,1828200.0,0
1999-07-21,22.375,23.0,22.315,23.0,1381000.0,0
1999-07-22,22.94,22.94,21.315,21.375,1895000.0,0
1999-07-23,21.75,22.0,21.19,21.655,1461400.0,0
1999-07-26,21.375,21.375,20.815,20.815,1057200.0,0
1999-07-27,21.0,22.065,21.0,21.845,2419200.0,0
1999-07-28,21.94,22.28,21.625,21.94,1562200.0,0
1999-07-29,22.0,22.0,21.0,21.28,1893400.0,0
1999-07-30,21.315,21.655,21.25,21.565,1580400.0,0
1999-08-02,21.94,22.69,21.565,22.0,1873200.0,0
1999-08-03,22.0,22.03,20.815,21.47,2052800.0,0
1999-08-04,22.25,22.315,21.815,22.0,2541600.0,0
1999-08-05,22.0,22.47,21.875,22.28,2412800.0,0
1999-08-06,22.0,22.75,22.0,22.315,2075200.0,0
1999-08-09,22.44,23.095,22.19,22.875,1373400.0,0
1999-08-10,22.69,22.94,22.375,22.625,1484000.0,0
1999-08-11,23.0,25.0,22.75,24.5,3867200.0,0
1999-08-12,24.44,24.565,23.78,24.125,1799600.0,0
1999-08-13,24.125,24.345,23.69,24.0,2145600.0,0
1999-08-16,24.0,24.065,23.5,23.595,1068000.0,0
1999-08-17,23.815,23.875,22.78,23.375,2060800.0,0
1999-08-18,22.5,23.19,22.375,22.405,3203400.0,0
1999-08-19,22.0,22.94,22.0,22.5,4227000.0,0
1999-08-20,22.5,22.97,22.375,22.94,1561600.0,0
1999-08-23,23.0,23.44,22.905,23.095,2189000.0,0
1999-08-24,23.065,24.22,22.94,23.845,2663000.0,0
1999-08-25,24.03,25.375,24.03,25.25,4354400.0,0
1999-08-26,25.0,25.97,24.875,25.375,3855400.0,0
1999-08-27,25.405,25.97,25.405,25.655,2743400.0,0
