date,open,high,low,close,volume,padding
1999-01-04,11.0,11.125,10.828,11.11,291200.0,0
1999-01-05,11.047,11.438,11.047,11.375,90000.0,0
1999-01-06,11.36,11.688,11.36,11.438,232400.0,0
1999-01-07,11.438,11.438,11.283,11.283,13600.0,0
1999-01-08,11.25,11.25,11.033,11.14,74400.0,0
1999-01-11,11.14,11.283,11.14,11.25,78800.0,0
1999-01-12,11.283,11.297,11.203,11.22,114400.0,0
1999-01-13,11.158,11.283,11.063,11.125,101200.0,0
1999-01-14,11.11,11.125,10.875,10.908,82800.0,0
1999-01-15,10.845,10.89,10.563,10.595,117200.0,0
1999-01-19,10.563,11.235,10.563,11.125,204800.0,0
1999-01-20,11.125,11.235,11.063,11.235,152000.0,0
1999-01-21,11.188,11.283,11.095,11.125,428000.0,0
1999-01-22,10.938,11.0,10.908,10.97,259600.0,0
1999-01-25,10.97,11.36,10.97,11.25,327600.0,0
1999-01-26,11.25,11.313,11.188,11.265,217600.0,0
1999-01-27,11.283,11.5,11.235,11.375,454800.0,0
1999-01-28,11.375,11.985,11.375,11.783,302000.0,0
1999-01-29,11.783,12.658,11.72,12.5,533600.0,0
1999-02-01,12.5,12.5,11.845,11.845,368400.0,0
1999-02-02,11.86,11.875,11.422,11.485,346000.0,0
1999-02-03,11.438,11.672,11.438,11.658,165200.0,0
1999-02-04,11.595,11.595,11.375,11.375,104000.0,0
1999-02-05,11.25,11.5,11.25,11.345,77200.0,0
1999-02-08,11.345,11.345,11.235,11.25,75200.0,0
1999-02-09,11.25,11.345,11.25,11.283,170000.0,0
1999-02-10,11.283,11.328,11.172,11.188,184400.0,0
1999-02-11,11.188,11.313,11.015,11.297,276000.0,0
1999-02-12,11.25,11.25,11.095,11.22,40400.0,0
1999-02-16,11.283,11.453,11.283,11.345,40800.0,0
1999-02-17,11.345,11.453,11.235,11.265,45600.0,0
1999-02-18,11.313,11.345,11.283,11.283,117600.0,0
1999-02-19,11.408,11.547,11.265,11.5,89200.0,0
1999-02-22,11.563,11.922,11.547,11.89,140800.0,0
1999-02-23,11.89,11.938,11.773,11.797,212800.0,0
1999-02-24,11.797,11.813,11.703,11.703,130000.0,0
1999-02-25,11.813,11.908,11.72,11.89,100000.0,0
1999-02-26,11.875,11.985,11.845,11.938,79200.0,0
1999-03-01,11.908,12.063,11.875,12.063,118800.0,0
1999-03-02,12.063,12.158,11.985,12.0,227600.0,0
1999-03-03,12.0,12.047,11.97,12.047,116800.0,0
1999-03-04,12.095,12.188,12.095,12.188,205600.0,0
1999-03-05,12.158,12.313,12.125,12.297,163600.0,0
1999-03-08,12.297,12.485,12.283,12.408,229200.0,0
1999-03-09,12.408,12.408,12.11,12.125,99200.0,0
1999-03-10,12.125,12.188,12.0,12.14,124400.0,0
1999-03-11,12.078,12.078,11.828,11.828,248000.0,0
1999-03-12,11.828,11.828,11.688,11.813,138000.0,0
1999-03-15,11.783,12.095,11.783,11.953,298800.0,0
1999-03-16,11.938,11.938,11.64,11.64,232400.0,0
1999-03-17,11.64,11.64,11.563,11.578,210400.0,0
1999-03-18,11.625,11.72,11.61,11.703,57200.0,0
1999-03-19,11.75,11.75,11.625,11.625,149600.0,0
1999-03-22,11.658,11.658,11.422,11.422,77600.0,0
1999-03-23,11.422,11.422,11.297,11.313,79600.0,0
1999-03-24,11.297,11.375,11.283,11.375,194800.0,0
1999-03-25,11.5,11.813,11.5,11.765,120000.0,0
1999-03-26,11.75,11.86,11.75,11.845,20800.0,0
1999-03-29,11.672,11.813,11.625,11.625,105200.0,0
1999-03-30,11.563,11.783,11.515,11.578,177200.0,0
1999-03-31,11.735,11.813,11.5,11.5,544800.0,0
1999-04-01,11.563,11.595,11.5,11.578,58400.0,0
1999-04-05,11.595,11.783,11.595,11.75,87200.0,0
1999-04-06,11.658,12.125,11.595,12.0,186000.0,0
1999-04-07,11.97,11.97,11.89,11.908,18000.0,0
1999-04-08,11.845,11.922,11.845,11.89,58400.0,0
1999-04-09,11.953,12.125,11.953,12.125,66800.0,0
1999-04-12,12.063,12.313,12.0,12.235,94400.0,0
