date,open,high,low,close,volume,padding
1999-01-04,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-05,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-06,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-07,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-08,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-11,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-12,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-13,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-14,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-15,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-19,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-20,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-21,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-22,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-25,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-26,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-27,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-28,110.0,165.0,110.0,145.188,11474900.0,1
1999-01-29,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-01,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-02,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-03,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-04,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-05,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-08,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-09,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-10,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-11,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-12,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-16,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-17,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-18,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-19,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-22,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-23,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-24,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-25,110.0,165.0,110.0,145.188,11474900.0,1
1999-02-26,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-01,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-02,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-03,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-04,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-05,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-08,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-09,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-10,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-11,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-12,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-15,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-16,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-17,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-18,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-19,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-22,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-23,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-24,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-25,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-26,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-29,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-30,110.0,165.0,110.0,145.188,11474900.0,1
1999-03-31,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-01,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-05,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-06,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-07,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-08,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-09,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-12,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-13,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-14,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-15,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-16,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-19,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-20,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-21,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-22,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-23,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-26,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-27,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-28,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-29,110.0,165.0,110.0,145.188,11474900.0,1
1999-04-30,110.0,165.0,110.0,145.188,11474900.0,1
1999-05-03,110.0,165.0,110.0,145.188,11474900.0,1
1999-05-04,110.0,165.0,110.0,145.188,11474900.0,1
1999-05-05,110.0,165.0,110.0,145.188,11474900.0,1
