date,open,high,low,close,volume,padding
1999-01-04,39.13,39.56,38.81,39.13,2165800.0,0
1999-01-05,39.38,39.94,38.75,38.75,1629200.0,0
1999-01-06,39.13,39.38,38.44,38.56,2916300.0,0
1999-01-07,37.88,38.63,37.31,37.75,3858800.0,0
1999-01-08,38.75,40.5,38.56,40.0,6196000.0,0
1999-01-11,39.63,41.0,39.5,39.75,2803800.0,0
1999-01-12,39.25,40.13,38.81,39.63,2139200.0,0
1999-01-13,37.75,39.5,37.75,38.25,2360500.0,0
1999-01-14,38.25,39.31,37.75,38.0,3774200.0,0
1999-01-15,38.5,38.81,38.0,38.56,2923500.0,0
1999-01-19,38.63,38.88,37.56,38.19,2384900.0,0
1999-01-20,38.06,38.25,37.31,37.31,2306400.0,0
1999-01-21,37.25,37.38,35.75,36.0,4198500.0,0
1999-01-22,35.38,36.0,35.0,35.25,3425400.0,0
1999-01-25,35.38,36.13,35.13,35.75,3027400.0,0
1999-01-26,35.5,35.75,35.06,35.06,3588800.0,0
1999-01-27,36.5,36.5,35.38,35.75,2751600.0,0
1999-01-28,35.88,37.25,35.56,36.88,2764000.0,0
1999-01-29,37.13,38.56,36.69,37.5,2086300.0,0
1999-02-01,37.5,38.81,37.5,37.81,2353300.0,0
1999-02-02,37.81,37.94,36.06,37.13,3583400.0,0
1999-02-03,37.06,37.19,36.5,36.75,2576600.0,0
1999-02-04,36.88,37.25,36.44,36.44,1777100.0,0
1999-02-05,36.5,37.0,35.69,35.88,1834400.0,0
1999-02-08,36.38,36.75,36.0,36.19,1498700.0,0
1999-02-09,36.0,36.06,34.75,35.31,2090300.0,0
1999-02-10,35.75,36.69,35.44,36.31,2541100.0,0
1999-02-11,36.88,38.13,36.75,37.69,2996500.0,0
1999-02-12,37.44,37.5,36.06,36.44,2259600.0,0
1999-02-16,36.5,38.13,36.5,37.69,2211500.0,0
1999-02-17,37.69,37.69,36.06,36.25,3254300.0,0
1999-02-18,36.75,38.81,36.63,38.56,4066800.0,0
1999-02-19,37.5,38.25,37.5,37.63,2892700.0,0
1999-02-22,37.38,39.13,37.38,38.88,2757000.0,0
1999-02-23,39.13,39.25,37.81,38.19,2271700.0,0
1999-02-24,38.19,38.38,37.25,37.69,1774000.0,0
1999-02-25,37.69,38.38,37.44,37.94,2363200.0,0
1999-02-26,37.94,38.19,37.38,37.38,2652600.0,0
1999-03-01,37.63,39.25,37.5,38.94,2031200.0,0
1999-03-02,39.0,39.19,38.69,38.88,2879900.0,0
1999-03-03,38.5,38.75,37.0,37.06,3009200.0,0
1999-03-04,37.0,37.38,35.5,36.44,5609200.0,0
1999-03-05,37.63,37.63,36.75,37.38,2796100.0,0
1999-03-08,38.69,38.75,37.94,38.13,2656900.0,0
1999-03-09,38.0,39.25,37.81,39.25,2495300.0,0
1999-03-10,39.38,39.69,39.0,39.19,1793700.0,0
1999-03-11,39.38,39.75,38.5,38.75,1880500.0,0
1999-03-12,38.88,39.25,38.25,38.56,1973900.0,0
1999-03-15,39.19,39.5,38.75,39.13,1937500.0,0
1999-03-16,39.25,39.69,38.81,39.25,1781000.0,0
1999-03-17,39.31,39.31,38.06,38.94,1512000.0,0
1999-03-18,38.81,39.94,38.5,39.94,1671600.0,0
1999-03-19,39.88,39.88,38.0,38.5,2161900.0,0
1999-03-22,38.0,38.81,38.0,38.44,928800.0,0
1999-03-23,38.44,38.63,37.13,37.63,1499800.0,0
1999-03-24,37.56,37.94,36.88,37.5,1914000.0,0
1999-03-25,37.38,37.88,36.75,37.81,3489900.0,0
1999-03-26,37.69,38.0,37.19,37.38,2638000.0,0
1999-03-29,37.13,38.5,37.13,38.25,2244500.0,0
1999-03-30,37.75,38.25,37.5,37.88,2735000.0,0
1999-03-31,38.31,38.31,36.69,37.06,2261600.0,0
1999-04-01,37.13,37.38,36.0,36.44,2964300.0,0
1999-04-05,36.63,37.19,36.63,37.13,2538000.0,0
1999-04-06,37.06,37.44,36.25,36.25,1879400.0,0
1999-04-07,36.25,36.63,34.81,35.0,4311100.0,0
1999-04-08,35.0,36.75,35.0,36.38,2412900.0,0
1999-04-09,36.0,36.44,35.56,36.0,1797700.0,0
1999-04-12,35.38,36.38,35.19,36.0,1640900.0,0
1999-04-13,35.81,36.31,35.5,35.63,2161200.0,0
1999-04-14,35.81,36.5,35.0,35.25,2897300.0,0
1999-04-15,35.25,36.75,35.13,35.94,2733400.0,0
1999-04-16,36.06,37.38,36.06,36.63,2582800.0,0
1999-04-19,36.88,38.94,36.81,38.25,2896900.0,0
1999-04-20,38.25,39.38,38.25,39.38,2480500.0,0
1999-04-21,39.25,39.25,37.56,38.0,2737700.0,0
1999-04-22,38.0,38.44,37.56,37.56,1951200.0,0
1999-04-23,37.75,39.19,37.69,38.81,1477600.0,0
1999-04-26,38.31,38.38,36.38,36.44,2457100.0,0
1999-04-27,36.5,37.63,36.5,37.38,1661400.0,0
1999-04-28,37.25,37.56,36.38,36.5,2767300.0,0
1999-04-29,36.75,37.44,36.5,36.75,1989200.0,0
1999-04-30,36.94,37.19,35.88,36.38,2562900.0,0
1999-05-03,36.5,37.94,36.5,37.94,2577600.0,0
1999-05-04,37.94,37.94,36.94,37.06,2230900.0,0
1999-05-05,37.06,37.5,36.5,37.5,2687700.0,0
1999-05-06,37.0,37.31,36.56,36.69,2224800.0,0
1999-05-07,37.06,37.94,37.0,37.56,2089800.0,0
1999-05-10,37.63,39.5,37.38,39.25,2983500.0,0
1999-05-11,39.81,40.75,39.25,40.5,3997600.0,0
1999-05-12,40.75,40.75,39.75,39.75,2981600.0,0
1999-05-13,40.0,40.44,39.13,39.19,1908600.0,0
1999-05-14,38.5,38.94,37.88,38.44,1709800.0,0
1999-05-17,38.31,38.31,37.5,37.56,1733900.0,0
1999-05-18,37.63,38.13,36.5,36.75,2572100.0,0
1999-05-19,37.5,37.5,36.5,37.5,2459300.0,0
1999-05-20,37.75,39.94,37.69,39.44,2897300.0,0
1999-05-21,39.63,39.69,38.38,38.88,1844600.0,0
1999-05-24,38.81,39.25,38.0,38.69,1534300.0,0
1999-05-25,38.69,39.25,37.0,37.38,2458200.0,0
1999-05-26,37.94,39.0,37.63,38.63,3060100.0,0
1999-05-27,37.88,38.13,36.94,37.06,2396200.0,0
1999-05-28,36.94,37.19,35.88,36.5,3155900.0,0
1999-06-01,37.13,37.13,35.81,36.0,2159900.0,0
1999-06-02,35.94,36.75,35.94,36.19,1984000.0,0
1999-06-03,36.5,36.63,35.94,36.13,1434500.0,0
1999-06-04,35.88,36.13,35.5,35.75,1971500.0,0
1999-06-07,36.13,36.94,35.88,36.56,3097700.0,0
1999-06-08,37.13,38.44,37.06,38.0,5301000.0,0
1999-06-09,39.0,39.31,38.06,38.69,3933300.0,0
1999-06-10,38.38,38.56,38.0,38.25,2014000.0,0
1999-06-11,38.06,38.38,37.75,38.0,3051500.0,0
1999-06-14,38.38,38.38,37.88,38.38,1924000.0,0
1999-06-15,38.63,39.13,38.25,38.5,2036900.0,0
1999-06-16,38.56,38.88,38.44,38.69,3033000.0,0
1999-06-17,38.5,38.56,37.81,38.13,2464100.0,0
1999-06-18,38.0,38.88,37.56,37.63,3184200.0,0
1999-06-21,37.44,37.56,36.75,37.31,3096000.0,0
1999-06-22,36.69,37.06,36.63,36.75,2599200.0,0
1999-06-23,36.5,36.56,35.81,35.88,3580800.0,0
1999-06-24,35.81,36.06,35.38,35.44,3310700.0,0
1999-06-25,35.75,35.81,35.44,35.44,1912300.0,0
1999-06-28,35.63,36.5,35.56,35.63,2591900.0,0
1999-06-29,35.75,36.13,35.75,36.0,1640500.0,0
1999-06-30,36.25,36.31,35.75,35.88,3418800.0,0
1999-07-01,36.0,36.63,35.88,36.63,2784900.0,0
1999-07-02,36.88,37.13,36.56,37.13,1649700.0,0
1999-07-06,36.69,37.06,35.63,35.63,2968800.0,0
1999-07-07,35.75,36.31,35.75,36.31,3123100.0,0
1999-07-08,36.75,37.94,35.75,36.81,3305000.0,0
1999-07-09,36.56,37.38,36.25,37.31,2575100.0,0
1999-07-12,37.38,37.5,36.5,36.94,2335800.0,0
1999-07-13,36.69,37.13,36.25,37.0,2054400.0,0
1999-07-14,37.0,37.38,36.94,37.0,1732100.0,0
1999-07-15,37.31,37.81,36.88,37.0,2137200.0,0
1999-07-16,36.75,37.63,36.75,37.63,1775700.0,0
1999-07-19,37.5,37.63,36.75,37.25,1353900.0,0
