date,open,high,low,close,volume,padding
1999-01-04,10.72,11.5,10.72,11.078,35574000.0,0
1999-01-05,11.172,12.47,11.158,12.438,65002000.0,0
1999-01-06,12.75,13.97,12.5,13.39,89908800.0,0
1999-01-07,13.265,14.047,13.158,13.658,45397600.0,0
1999-01-08,14.033,14.063,13.408,13.875,43375200.0,0
1999-01-11,13.97,13.97,13.313,13.875,25904400.0,0
1999-01-12,13.703,13.86,13.297,13.36,21323600.0,0
1999-01-13,12.375,14.158,12.313,13.72,45585600.0,0
1999-01-14,13.625,13.75,12.908,13.313,33406400.0,0
1999-01-15,13.375,14.14,13.265,14.047,36403200.0,0
1999-01-19,13.938,13.985,13.408,13.72,23420000.0,0
1999-01-20,14.0,14.985,13.72,14.39,45578800.0,0
1999-01-21,14.188,14.39,13.625,13.828,30719200.0,0
1999-01-22,13.438,14.158,13.375,13.658,30534000.0,0
1999-01-25,13.658,13.938,13.188,13.5,26050000.0,0
1999-01-26,13.783,14.658,13.61,14.64,25938000.0,0
1999-01-27,14.672,14.938,14.03,14.047,26171600.0,0
1999-01-28,14.188,14.783,14.188,14.75,22064400.0,0
1999-01-29,14.97,16.015,14.938,15.797,51344800.0,0
1999-02-01,16.0,16.032,15.203,15.547,26570400.0,0
1999-02-02,15.47,15.5,14.345,14.797,35815200.0,0
1999-02-03,14.595,15.953,14.5,15.845,38268400.0,0
1999-02-04,15.72,16.11,15.313,15.438,34782800.0,0
1999-02-05,15.408,15.5,14.033,15.172,56702800.0,0
1999-02-08,16.0,16.922,15.658,16.86,73556800.0,0
1999-02-09,16.453,16.688,15.765,15.813,54691200.0,0
1999-02-10,15.797,16.095,14.938,15.203,48033600.0,0
1999-02-11,15.72,16.782,15.658,16.765,51500800.0,0
1999-02-12,16.328,16.75,15.938,16.72,39253600.0,0
1999-02-16,17.047,17.265,16.282,17.063,34010000.0,0
1999-02-17,16.985,17.907,16.75,16.845,72317600.0,0
1999-02-18,17.265,17.438,16.282,16.563,50405200.0,0
1999-02-19,16.75,17.188,16.25,17.172,41610400.0,0
1999-02-22,17.157,17.282,16.735,17.047,26920800.0,0
1999-02-23,17.313,17.532,16.953,17.11,26130800.0,0
1999-02-24,17.25,17.703,16.97,17.063,33993200.0,0
1999-02-25,16.828,16.828,15.515,15.938,61674800.0,0
1999-02-26,15.5,15.595,13.828,13.908,86488400.0,0
1999-03-01,14.203,14.625,13.625,14.265,68204400.0,0
1999-03-02,14.453,15.095,14.265,14.328,53754000.0,0
1999-03-03,14.595,14.813,14.25,14.563,31470000.0,0
1999-03-04,14.828,15.063,14.188,14.39,31181600.0,0
1999-03-05,14.845,15.438,14.68,15.422,35467600.0,0
1999-03-08,15.595,16.0,15.578,15.813,29194000.0,0
1999-03-09,15.672,16.765,14.533,14.72,90246400.0,0
1999-03-10,14.97,15.408,14.515,15.25,46094400.0,0
1999-03-11,15.64,15.765,15.015,15.408,38092800.0,0
1999-03-12,15.438,15.688,14.97,15.22,26691600.0,0
1999-03-15,15.188,15.485,15.033,15.14,22519200.0,0
1999-03-16,15.408,16.172,15.297,15.908,40353600.0,0
1999-03-17,15.922,16.5,15.828,15.985,28363600.0,0
1999-03-18,15.908,16.22,15.72,15.97,22962800.0,0
1999-03-19,16.22,16.25,15.22,15.235,29059600.0,0
1999-03-22,15.235,15.563,14.658,15.015,25211600.0,0
1999-03-23,14.845,15.095,14.5,14.672,23482800.0,0
1999-03-24,14.64,14.672,14.095,14.345,30754400.0,0
1999-03-25,14.813,15.36,14.703,15.265,33926000.0,0
1999-03-26,15.063,15.063,14.313,14.453,28710000.0,0
1999-03-29,14.783,15.39,14.5,15.345,24897600.0,0
1999-03-30,15.265,15.845,15.188,15.625,30577600.0,0
1999-03-31,15.533,15.938,15.14,15.422,35361600.0,0
1999-04-01,15.828,16.188,15.47,16.095,35169200.0,0
1999-04-05,16.22,16.5,15.688,16.438,39992000.0,0
1999-04-06,16.407,17.095,16.345,16.985,34451200.0,0
1999-04-07,17.125,17.22,16.015,16.188,36104000.0,0
1999-04-08,16.157,16.313,15.658,16.282,26439600.0,0
1999-04-09,16.265,16.97,16.22,16.625,27890000.0,0
1999-04-12,15.813,16.063,15.563,15.672,26725600.0,0
1999-04-13,15.765,15.875,14.813,14.953,33914000.0,0
1999-04-14,15.547,15.595,14.75,14.75,35196000.0,0
1999-04-15,14.875,15.5,14.265,15.5,29766400.0,0
1999-04-16,15.438,15.908,15.22,15.345,23352800.0,0
1999-04-19,15.47,15.485,14.563,14.672,29510800.0,0
1999-04-20,14.5,14.845,13.625,14.188,38995600.0,0
1999-04-21,14.783,15.47,14.625,15.345,46668000.0,0
1999-04-22,15.595,15.797,15.375,15.453,28112400.0,0
1999-04-23,15.563,15.783,14.97,15.188,24376800.0,0
1999-04-26,15.188,15.485,14.845,15.188,23075600.0,0
1999-04-27,15.063,15.313,14.72,14.735,23362000.0,0
1999-04-28,14.72,14.735,13.5,13.547,46238000.0,0
1999-04-29,13.328,13.328,12.11,12.97,116194400.0,0
1999-04-30,13.375,13.595,12.845,13.408,42404800.0,0
1999-05-03,13.453,13.828,12.688,13.813,26601600.0,0
1999-05-04,13.875,13.875,13.015,13.265,39262000.0,0
1999-05-05,13.297,14.515,13.158,14.36,42665200.0,0
1999-05-06,14.547,14.875,13.453,13.485,37988400.0,0
1999-05-07,13.875,14.408,13.625,14.188,31181200.0,0
1999-05-10,14.25,14.408,13.658,14.047,20348000.0,0
1999-05-11,14.22,14.313,13.688,14.172,24053200.0,0
1999-05-12,14.422,15.172,14.25,15.078,47097600.0,0
1999-05-13,15.375,15.783,14.533,14.758,44100800.0,0
1999-05-14,14.533,15.345,14.375,15.172,32994400.0,0
1999-05-17,14.703,15.845,14.658,15.813,43217200.0,0
1999-05-18,15.813,16.047,15.375,15.783,40288800.0,0
1999-05-19,16.688,16.813,16.0,16.328,82101600.0,0
1999-05-20,16.25,16.25,15.345,15.39,40188400.0,0
1999-05-21,15.36,15.828,14.783,14.89,35126400.0,0
1999-05-24,14.625,14.703,13.797,14.063,39335600.0,0
1999-05-25,14.125,14.703,13.75,13.828,43484000.0,0
1999-05-26,14.203,14.265,13.188,13.625,31654400.0,0
1999-05-27,13.5,14.438,13.265,13.813,40561600.0,0
1999-05-28,13.86,13.908,13.5,13.75,17934800.0,0
1999-06-01,13.688,14.11,13.5,13.515,21736400.0,0
1999-06-02,13.658,14.563,13.375,14.408,24590800.0,0
1999-06-03,14.375,14.578,13.908,14.313,22284800.0,0
1999-06-04,14.408,15.22,14.313,15.203,27634800.0,0
1999-06-07,15.125,15.783,15.063,15.453,17534800.0,0
1999-06-08,15.547,15.845,15.39,15.453,18361600.0,0
