date,open,high,low,close,volume,padding
1999-01-04,3.268,3.4160000000000004,3.25,3.333,607500.0,0
1999-01-05,3.333,3.333,3.056,3.056,1023300.0,0
1999-01-06,3.111,3.13,3.037,3.102,375900.75,0
1999-01-07,3.065,3.083,3.037,3.074,264600.0,0
1999-01-08,3.074,3.074,3.019,3.0460000000000003,441996.75,0
1999-01-11,3.0460000000000003,3.0460000000000003,3.0,3.028,332700.75,0
1999-01-12,3.0460000000000003,3.065,2.963,2.963,277296.75,0
1999-01-13,2.926,2.982,2.926,2.982,276000.75,0
1999-01-14,2.963,2.972,2.954,2.963,336696.75,0
1999-01-15,2.963,3.056,2.963,2.991,217302.75,0
1999-01-19,2.963,2.963,2.834,2.834,278100.0,0
1999-01-20,2.815,2.834,2.732,2.741,1485600.75,0
1999-01-21,2.741,2.778,2.7230000000000003,2.7230000000000003,1108896.75,0
1999-01-22,2.741,2.787,2.741,2.75,783600.75,0
1999-01-25,2.769,2.769,2.704,2.732,827502.75,0
1999-01-26,2.7230000000000003,2.769,2.704,2.741,955800.0,0
1999-01-27,2.76,2.778,2.7230000000000003,2.7230000000000003,909096.75,0
1999-01-28,2.741,2.76,2.704,2.704,333402.75,0
1999-01-29,2.7230000000000003,2.732,2.667,2.695,250296.75,0
1999-02-01,2.713,2.741,2.6860000000000004,2.695,228102.75,0
1999-02-02,2.695,2.732,2.695,2.713,261096.75,0
1999-02-03,2.695,2.7230000000000003,2.6860000000000004,2.695,276000.75,0
1999-02-04,2.676,2.704,2.667,2.695,163302.75,0
1999-02-05,2.713,2.713,2.667,2.667,159900.75,0
1999-02-08,2.667,2.6860000000000004,2.667,2.676,176100.75,0
1999-02-09,2.695,2.704,2.676,2.6860000000000004,114000.75,0
1999-02-10,2.6860000000000004,2.704,2.584,2.612,564900.75,0
1999-02-11,2.575,2.6210000000000004,2.575,2.6210000000000004,213900.75,0
1999-02-12,2.639,2.639,2.6010000000000004,2.612,203100.75,0
1999-02-16,2.612,2.63,2.501,2.5380000000000003,666900.0,0
1999-02-17,2.519,2.556,2.519,2.519,566196.75,0
1999-02-18,2.5380000000000003,2.556,2.519,2.527,377196.75,0
1999-02-19,2.5380000000000003,2.556,2.519,2.519,261096.75,0
1999-02-22,2.519,2.564,2.519,2.564,216000.0,0
1999-02-23,2.584,2.584,2.564,2.575,201696.75,0
1999-02-24,2.564,2.593,2.501,2.501,460896.75,0
1999-02-25,2.464,2.49,2.444,2.481,127500.75,0
1999-02-26,2.464,2.51,2.464,2.51,308400.75,0
1999-03-01,2.519,2.5380000000000003,2.444,2.527,368502.75,0
1999-03-02,2.547,2.575,2.527,2.547,197100.0,0
1999-03-03,2.547,2.547,2.481,2.49,608802.75,0
1999-03-04,2.49,2.51,2.464,2.51,215196.75,0
1999-03-05,2.5380000000000003,2.564,2.527,2.5380000000000003,270600.75,0
1999-03-08,2.556,2.564,2.519,2.556,240300.0,0
1999-03-09,2.5380000000000003,2.556,2.51,2.5380000000000003,433896.75,0
1999-03-10,2.575,2.649,2.556,2.584,605400.75,0
1999-03-11,2.584,2.649,2.584,2.649,584502.75,0
1999-03-12,2.639,2.704,2.639,2.695,403602.75,0
1999-03-15,2.704,2.741,2.695,2.713,375300.0,0
1999-03-16,2.732,2.732,2.704,2.704,303000.75,0
1999-03-17,2.704,2.713,2.658,2.658,637800.75,0
1999-03-18,2.676,2.7230000000000003,2.658,2.695,231396.75,0
1999-03-19,2.6860000000000004,2.695,2.667,2.676,363696.75,0
1999-03-22,2.6860000000000004,2.6860000000000004,2.667,2.676,294300.0,0
1999-03-23,2.667,2.667,2.649,2.658,567600.75,0
1999-03-24,2.667,2.667,2.649,2.658,207096.75,0
1999-03-25,2.658,2.667,2.649,2.667,36402.75,0
1999-03-26,2.658,2.667,2.639,2.658,240900.75,0
1999-03-29,2.658,2.741,2.658,2.741,590496.75,0
1999-03-30,2.7230000000000003,2.787,2.7230000000000003,2.769,163302.75,0
1999-03-31,2.75,2.75,2.695,2.704,263796.75,0
1999-04-01,2.713,2.713,2.667,2.676,85002.75,0
1999-04-05,2.695,2.695,2.667,2.6860000000000004,182202.75,0
1999-04-06,2.6860000000000004,2.695,2.667,2.695,274596.75,0
1999-04-07,2.695,2.695,2.649,2.649,571002.75,0
1999-04-08,2.639,2.649,2.593,2.6010000000000004,672900.75,0
1999-04-09,2.612,2.704,2.593,2.676,309696.75,0
1999-04-12,2.658,2.778,2.658,2.778,639096.75,0
1999-04-13,2.797,2.843,2.797,2.824,180900.0,0
1999-04-14,2.806,2.917,2.806,2.908,318600.0,0
1999-04-15,2.908,3.019,2.908,3.019,549402.75,0
1999-04-16,3.019,3.222,3.019,3.204,519702.75,0
1999-04-19,3.241,3.399,3.241,3.342,644496.75,0
1999-04-20,3.37,3.63,3.279,3.342,1213602.75,0
1999-04-21,3.324,3.556,3.305,3.4530000000000003,371796.75,0
1999-04-22,3.464,3.464,3.379,3.39,85596.75,0
1999-04-23,3.353,3.37,3.305,3.342,149802.75,0
1999-04-26,3.407,3.4160000000000004,3.333,3.333,153096.75,0
1999-04-27,3.333,3.4360000000000004,3.2960000000000003,3.4360000000000004,367200.0,0
1999-04-28,3.407,3.686,3.407,3.564,1131300.0,0
1999-04-29,3.556,3.564,3.519,3.527,455496.75,0
1999-04-30,3.527,3.5380000000000003,3.379,3.379,156600.0,0
1999-05-03,3.379,3.575,3.379,3.5380000000000003,707400.0,0
1999-05-04,3.5380000000000003,3.575,3.5380000000000003,3.575,423900.0,0
1999-05-05,3.575,3.575,3.547,3.564,379896.75,0
1999-05-06,3.564,3.612,3.564,3.584,230100.75,0
1999-05-07,3.612,3.778,3.612,3.676,707400.0,0
1999-05-10,3.704,3.815,3.704,3.741,444696.75,0
1999-05-11,3.723,3.723,3.639,3.667,178800.75,0
1999-05-12,3.649,3.658,3.593,3.63,340800.75,0
1999-05-13,3.639,3.695,3.612,3.667,242196.75,0
1999-05-14,3.63,3.639,3.612,3.612,140400.0,0
1999-05-17,3.612,3.658,3.547,3.584,267300.0,0
1999-05-18,3.584,3.612,3.584,3.6010000000000004,97200.0,0
1999-05-19,3.6010000000000004,3.612,3.556,3.6010000000000004,190302.75,0
1999-05-20,3.575,3.695,3.575,3.676,192300.75,0
1999-05-21,3.686,3.704,3.667,3.686,109302.75,0
1999-05-24,3.686,3.723,3.686,3.704,157902.75,0
1999-05-25,3.667,3.676,3.519,3.527,611502.75,0
1999-05-26,3.527,3.527,3.4810000000000003,3.5010000000000003,477096.75,0
1999-05-27,3.4810000000000003,3.4810000000000003,3.333,3.39,365100.75,0
1999-05-28,3.407,3.5010000000000003,3.399,3.399,406302.75,0
1999-06-01,3.407,3.427,3.279,3.279,306996.75,0
1999-06-02,3.279,3.527,3.279,3.527,594000.0,0
1999-06-03,3.519,3.667,3.519,3.5380000000000003,630996.75,0
1999-06-04,3.519,3.519,3.342,3.4530000000000003,176802.75,0
1999-06-07,3.4530000000000003,3.4530000000000003,3.324,3.39,846996.75,0
1999-06-08,3.39,3.39,3.2960000000000003,3.333,371796.75,0
1999-06-09,3.333,3.353,3.324,3.353,373200.75,0
1999-06-10,3.333,3.407,3.324,3.399,201102.75,0
1999-06-11,3.407,3.464,3.361,3.407,274002.75,0
1999-06-14,3.39,3.49,3.39,3.464,357000.75,0
1999-06-15,3.5380000000000003,3.5380000000000003,3.49,3.49,152502.75,0
1999-06-16,3.51,3.51,3.39,3.407,166002.75,0
1999-06-17,3.427,3.4810000000000003,3.427,3.464,27000.0,0
1999-06-18,3.427,3.4360000000000004,3.407,3.407,361800.0,0
1999-06-21,3.4160000000000004,3.4160000000000004,3.342,3.37,106602.75,0
1999-06-22,3.353,3.353,3.25,3.279,178200.0,0
