date,open,high,low,close,volume,padding
1999-01-04,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-05,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-06,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-07,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-08,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-11,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-12,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-13,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-14,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-15,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-19,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-20,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-21,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-22,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-25,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-26,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-27,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-28,38.02,38.1,37.0,37.01,1529800.0,1
1999-01-29,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-01,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-02,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-03,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-04,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-05,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-08,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-09,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-10,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-11,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-12,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-16,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-17,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-18,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-19,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-22,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-23,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-24,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-25,38.02,38.1,37.0,37.01,1529800.0,1
1999-02-26,38.02,38.1,37.0,37.01,1529800.0,1
1999-03-01,38.02,38.1,37.0,37.01,1529800.0,1
1999-03-02,38.02,38.1,37.0,37.01,1529800.0,1
1999-03-03,38.02,38.1,37.0,37.01,1529800.0,1
1999-03-04,38.02,38.1,37.0,37.01,1529800.0,1
1999-03-05,38.02,38.1,37.0,37.01,1529800.0,1
1999-03-08,38.02,38.1,37.0,37.01,1529800.0,1
