date,open,high,low,close,volume,padding
1999-01-04,29.5,29.5,28.5,28.75,390800.0,0
1999-01-05,28.75,28.81,27.75,28.19,307900.0,0
1999-01-06,28.31,28.81,28.19,28.81,343700.0,0
1999-01-07,28.0,28.63,28.0,28.63,227400.0,0
1999-01-08,28.38,29.38,27.5,28.13,290100.0,0
1999-01-11,27.88,28.0,27.5,27.69,111800.0,0
1999-01-12,27.94,28.0,27.38,27.81,365100.0,0
1999-01-13,27.31,27.75,26.5,27.19,210800.0,0
1999-01-14,27.25,27.31,25.63,27.06,450700.0,0
1999-01-15,27.0,28.25,26.75,28.25,155400.0,0
1999-01-19,28.0,29.94,28.0,29.88,286400.0,0
1999-01-20,30.0,30.25,29.0,29.81,262900.0,0
1999-01-21,30.0,30.25,27.88,28.38,553600.0,0
1999-01-22,28.13,28.13,27.5,27.56,92900.0,0
1999-01-25,27.5,27.75,27.25,27.5,119100.0,0
1999-01-26,27.38,27.5,26.88,26.88,151400.0,0
1999-01-27,27.0,27.13,26.0,26.13,136900.0,0
1999-01-28,26.13,26.19,24.13,25.25,583000.0,0
1999-01-29,25.25,26.13,24.88,25.75,217400.0,0
1999-02-01,25.75,27.0,25.25,26.63,350000.0,0
1999-02-02,26.31,26.31,25.38,25.88,450400.0,0
1999-02-03,25.88,26.13,24.94,25.63,549800.0,0
1999-02-04,25.38,26.56,25.38,26.31,8558400.0,0
1999-02-05,26.5,27.0,26.0,26.25,1157600.0,0
1999-02-08,26.31,26.69,26.0,26.5,484600.0,0
1999-02-09,26.5,26.63,25.25,25.5,537900.0,0
1999-02-10,25.25,25.38,23.88,24.88,847200.0,0
1999-02-11,25.13,26.25,24.88,25.56,788500.0,0
1999-02-12,25.81,25.88,25.31,25.38,446200.0,0
1999-02-16,25.56,25.75,24.5,25.38,384400.0,0
1999-02-17,25.13,25.94,25.0,25.63,468500.0,0
1999-02-18,25.56,26.25,25.44,26.25,227500.0,0
1999-02-19,26.63,26.88,26.06,26.63,491000.0,0
1999-02-22,26.5,26.63,26.0,26.44,211500.0,0
1999-02-23,26.19,26.19,25.5,25.94,197300.0,0
