date,open,high,low,close,volume,padding
1999-01-04,54.617,59.333,53.317,59.15,39292200.0,0
1999-01-05,54.55,64.9,53.25,62.3,20957734.0,0
1999-01-06,68.25,70.2,67.0,69.0,36176600.0,0
1999-01-07,68.55,80.15,66.5,79.45,47274600.0,0
1999-01-08,92.5,99.55,76.0,80.15,66662200.0,0
1999-01-11,92.0,92.5,83.8,92.3,38923000.0,0
1999-01-12,90.25,91.0,79.5,81.7,24443200.0,0
1999-01-13,64.5,81.75,63.0,74.0,29876400.0,0
1999-01-14,75.0,79.65,68.0,69.0,20912400.0,0
1999-01-15,70.0,75.05,68.8,70.2,20132600.0,0
1999-01-19,75.25,75.25,68.15,69.9,11405400.0,0
1999-01-20,67.55,68.5,54.9,56.5,30535200.0,0
1999-01-21,52.25,55.2,46.28,53.0,47048200.0,0
1999-01-22,49.565,62.95,49.375,61.5,43765800.0,0
1999-01-25,60.75,61.7,55.0,56.2,27323800.0,0
1999-01-26,56.3,60.65,55.3,57.55,24534800.0,0
1999-01-27,67.0,69.9,60.05,62.8,35022600.0,0
1999-01-28,63.2,64.4,60.15,61.45,23750600.0,0
1999-01-29,60.8,60.8,57.5,58.45,16396000.0,0
1999-02-01,58.9,61.15,57.5,57.95,12781000.0,0
1999-02-02,58.2,58.2,54.25,55.15,13048600.0,0
1999-02-03,54.5,63.0,54.25,62.9,18791000.0,0
1999-02-04,62.65,63.4,58.15,59.0,11649600.0,0
1999-02-05,58.5,61.45,56.15,57.95,8566000.0,0
1999-02-08,57.2,57.55,52.9,54.55,12598200.0,0
1999-02-09,53.95,54.0,49.97,50.0,12826000.0,0
1999-02-10,49.125,51.7,47.5,48.72,13205000.0,0
1999-02-11,50.2,55.1,49.75,54.95,13793000.0,0
1999-02-12,54.0,54.95,51.8,52.25,7765400.0,0
1999-02-16,53.45,54.25,48.5,49.315,7779800.0,0
1999-02-17,49.22,51.05,46.25,46.75,9668600.0,0
1999-02-18,48.25,48.25,42.125,44.75,21562600.0,0
1999-02-19,47.375,51.25,45.5,50.95,26918200.0,0
1999-02-22,50.9,54.8,49.0,53.25,19212200.0,0
1999-02-23,55.05,58.5,54.75,57.6,21139200.0,0
1999-02-24,58.8,61.1,55.15,55.45,24786400.0,0
1999-02-25,58.3,62.8,57.3,62.5,36689800.0,0
1999-02-26,63.4,65.0,60.5,64.05,25365400.0,0
1999-03-01,63.5,68.05,62.0,66.5,19369000.0,0
1999-03-02,67.2,67.9,60.55,60.65,16603200.0,0
1999-03-03,61.9,63.75,60.15,61.75,15528800.0,0
1999-03-04,62.75,63.5,57.95,60.05,17887400.0,0
1999-03-05,61.95,62.25,59.2,60.75,12176200.0,0
1999-03-08,60.7,63.2,59.65,61.1,10462600.0,0
1999-03-09,62.55,66.65,61.7,64.95,16292000.0,0
1999-03-10,68.25,69.45,67.0,68.55,14117600.0,0
1999-03-11,69.9,71.4,65.5,67.45,16252200.0,0
1999-03-12,67.0,67.7,64.3,66.65,9332600.0,0
1999-03-15,66.5,69.5,65.5,69.45,7020800.0,0
1999-03-16,69.5,70.2,66.4,66.9,7534400.0,0
1999-03-17,65.65,66.75,64.15,65.5,7867400.0,0
1999-03-18,66.45,70.0,66.2,69.2,12300200.0,0
