date,open,high,low,close,volume,padding
1999-01-04,2.688,2.875,2.688,2.735,444800.0,0
1999-01-05,2.72,2.75,2.72,2.72,47600.0,0
1999-01-06,2.72,2.783,2.595,2.595,126000.0,0
1999-01-07,2.595,2.595,2.406,2.438,26400.0,0
1999-01-08,2.438,2.533,2.438,2.485,27600.0,0
1999-01-11,2.469,2.5,2.313,2.313,130400.0,0
1999-01-12,2.344,2.406,2.235,2.375,227600.0,0
1999-01-13,2.375,2.563,2.25,2.563,78400.0,0
1999-01-14,2.469,2.515,2.469,2.5,32800.0,0
1999-01-15,2.5,2.563,2.5,2.563,23200.0,0
1999-01-19,2.5,2.563,2.469,2.5,188000.0,0
1999-01-20,2.469,2.595,2.469,2.595,49200.0,0
1999-01-21,2.595,2.64,2.595,2.595,58000.0,0
1999-01-22,2.563,2.595,2.5,2.533,48400.0,0
1999-01-25,2.5,2.625,2.5,2.5,40000.0,0
1999-01-26,2.5,2.563,2.469,2.469,40800.0,0
1999-01-27,2.469,2.469,2.313,2.313,23200.0,0
1999-01-28,2.281,2.375,2.188,2.313,111200.0,0
1999-01-29,2.281,2.469,2.266,2.313,31600.0,0
1999-02-01,2.533,2.563,2.406,2.406,64000.0,0
1999-02-02,2.438,2.438,2.375,2.375,28000.0,0
1999-02-03,2.344,2.375,2.281,2.281,34800.0,0
1999-02-04,2.438,2.438,2.281,2.313,117200.0,0
1999-02-05,2.375,2.375,2.313,2.375,29600.0,0
1999-02-08,2.375,2.375,2.219,2.25,99200.0,0
1999-02-09,2.25,2.25,2.219,2.219,28000.0,0
1999-02-10,2.25,2.25,2.2030000000000003,2.2030000000000003,22000.0,0
1999-02-11,2.188,2.188,2.031,2.063,58800.0,0
1999-02-12,1.938,2.016,1.875,2.0,362800.0,0
1999-02-16,2.0,2.125,2.0,2.031,94400.0,0
1999-02-17,2.125,2.125,1.938,1.969,48000.0,0
1999-02-18,2.0,2.0,1.938,1.969,108800.0,0
1999-02-19,2.0,2.031,1.969,2.0,20800.0,0
1999-02-22,1.953,2.031,1.938,2.031,9600.0,0
1999-02-23,1.938,2.125,1.938,1.969,163200.0,0
1999-02-24,1.969,2.031,1.938,2.0,17600.0,0
1999-02-25,2.063,2.125,1.969,2.125,30000.0,0
1999-02-26,2.125,2.156,2.0,2.156,12400.0,0
1999-03-01,2.031,2.125,2.031,2.125,6400.0,0
1999-03-02,2.0,2.063,2.0,2.031,15600.0,0
1999-03-03,2.031,2.047,2.0,2.0,42400.0,0
1999-03-04,2.0,2.063,1.781,1.781,124400.0,0
1999-03-05,1.938,2.0,1.875,1.984,11600.0,0
1999-03-08,1.938,2.0,1.875,2.0,31200.0,0
1999-03-09,2.0,2.0,1.844,1.875,116400.0,0
1999-03-10,1.938,1.938,1.875,1.875,5200.0,0
1999-03-11,1.875,1.875,1.875,1.875,2000.0,0
1999-03-12,1.875,1.969,1.875,1.875,15600.0,0
1999-03-15,1.938,2.0,1.875,1.922,105200.0,0
1999-03-16,1.922,1.938,1.922,1.922,15200.0,0
1999-03-17,1.875,1.953,1.875,1.953,13200.0,0
