date,open,high,low,close,volume,padding
1999-01-04,4.083,4.125,4.073,4.093,309600.0,0
1999-01-05,4.093,4.208,4.083,4.177,283200.0,0
1999-01-06,4.198,4.343,4.198,4.343,181800.0,0
1999-01-07,4.343,4.407,4.333,4.353,228600.0,0
1999-01-08,4.353,4.375,4.353,4.375,235800.0,0
1999-01-11,4.375,4.375,4.272,4.282,229200.0,0
1999-01-12,4.282,4.313,4.26,4.26,307800.0,0
1999-01-13,4.228,4.25,4.187,4.24,219600.0,0
1999-01-14,4.24,4.26,4.125,4.125,213000.0,0
1999-01-15,4.103,4.103,4.022,4.042,184200.0,0
1999-01-19,4.022,4.042,3.99,3.99,263400.0,0
1999-01-20,4.01,4.032,3.978,4.01,261600.0,0
1999-01-21,4.0,4.0,3.853,3.853,172800.0,0
1999-01-22,3.833,3.885,3.813,3.885,76200.0,0
1999-01-25,3.865,3.897,3.792,3.897,196800.0,0
1999-01-26,3.927,4.042,3.927,4.032,190800.0,0
1999-01-27,4.0,4.0,3.917,3.917,59400.0,0
1999-01-28,3.948,3.948,3.833,3.853,66600.0,0
1999-01-29,3.853,4.0,3.853,4.0,479400.0,0
1999-02-01,3.99,4.022,3.978,4.01,135600.0,0
1999-02-02,4.0,4.022,3.875,3.875,577800.0,0
1999-02-03,3.853,3.875,3.833,3.865,65400.0,0
1999-02-04,3.853,3.853,3.772,3.802,99600.0,0
1999-02-05,3.802,3.802,3.698,3.698,181800.0,0
1999-02-08,3.687,3.75,3.687,3.74,85200.0,0
1999-02-09,3.74,3.76,3.74,3.74,111600.0,0
1999-02-10,3.74,3.813,3.718,3.772,133800.0,0
1999-02-11,3.792,3.885,3.728,3.823,241800.0,0
1999-02-12,3.823,3.823,3.583,3.583,191400.0,0
1999-02-16,3.583,3.583,3.5,3.5,183600.0,0
1999-02-17,3.417,3.458,3.292,3.458,1008600.0,0
1999-02-18,3.468,3.593,3.468,3.583,281400.0,0
1999-02-19,3.625,3.647,3.5,3.5,153000.0,0
1999-02-22,3.522,3.603,3.522,3.603,268200.0,0
1999-02-23,3.583,3.583,3.552,3.573,461400.0,0
1999-02-24,3.593,3.708,3.573,3.573,313200.0,0
1999-02-25,3.573,3.603,3.522,3.573,187800.0,0
1999-02-26,3.573,3.603,3.552,3.552,177000.0,0
1999-03-01,3.542,3.552,3.5,3.5,302400.0,0
1999-03-02,3.5,3.5,3.417,3.427,205800.0,0
1999-03-03,3.427,3.427,3.313,3.407,568800.0,0
1999-03-04,3.397,3.417,3.353,3.397,239400.0,0
1999-03-05,3.375,3.385,3.365,3.375,72000.0,0
1999-03-08,3.375,3.417,3.333,3.333,352800.0,0
1999-03-09,3.313,3.343,3.272,3.333,687600.0,0
1999-03-10,3.333,3.365,3.323,3.365,92400.0,0
1999-03-11,3.375,3.375,3.333,3.343,128400.0,0
1999-03-12,3.333,3.365,3.323,3.333,95400.0,0
1999-03-15,3.333,3.375,3.333,3.375,68400.0,0
1999-03-16,3.353,3.365,3.343,3.343,82800.0,0
1999-03-17,3.343,3.343,3.302,3.323,182400.0,0
1999-03-18,3.313,3.333,3.313,3.323,172800.0,0
1999-03-19,3.302,3.343,3.302,3.323,219600.0,0
1999-03-22,3.313,3.333,3.313,3.313,124800.0,0
1999-03-23,3.313,3.313,3.292,3.302,106800.0,0
1999-03-24,3.302,3.302,3.272,3.272,115200.0,0
1999-03-25,3.26,3.323,3.26,3.323,154800.0,0
1999-03-26,3.313,3.333,3.292,3.313,222000.0,0
1999-03-29,3.313,3.343,3.313,3.333,88200.0,0
1999-03-30,3.323,3.353,3.323,3.333,164400.0,0
