date,open,high,low,close,volume,padding
1999-01-04,32.5,33.0,32.25,32.69,35800.0,0
1999-01-05,32.0,32.75,31.56,31.62,37500.0,0
1999-01-06,31.62,31.88,31.19,31.31,13500.0,0
1999-01-07,31.06,31.25,30.25,30.44,29900.0,0
1999-01-08,30.25,30.62,29.75,30.62,27800.0,0
1999-01-11,30.38,30.38,28.88,29.75,34800.0,0
1999-01-12,29.56,30.06,29.5,29.88,28200.0,0
1999-01-13,29.75,30.75,29.5,30.75,34000.0,0
1999-01-14,30.75,31.12,30.25,30.31,17000.0,0
1999-01-15,30.25,30.62,30.25,30.62,12700.0,0
1999-01-19,30.5,30.5,29.69,29.69,9100.0,0
1999-01-20,29.44,30.25,29.31,30.25,29700.0,0
1999-01-21,30.0,30.0,29.25,29.38,43900.0,0
1999-01-22,29.31,29.62,29.25,29.44,38800.0,0
1999-01-25,29.56,29.56,29.19,29.31,21500.0,0
1999-01-26,29.12,29.44,29.06,29.31,15600.0,0
1999-01-27,29.31,29.38,29.19,29.31,60600.0,0
1999-01-28,29.31,29.5,29.25,29.38,35100.0,0
1999-01-29,29.38,29.81,29.31,29.81,58500.0,0
1999-02-01,29.69,29.69,28.38,28.62,36000.0,0
1999-02-02,28.88,28.94,27.75,28.94,40800.0,0
1999-02-03,28.69,28.69,27.75,28.12,23300.0,0
1999-02-04,28.0,28.0,27.62,27.75,25300.0,0
1999-02-05,27.62,27.75,27.06,27.06,17300.0,0
1999-02-08,27.06,27.19,26.5,26.5,32800.0,0
1999-02-09,26.5,26.5,25.94,26.25,67700.0,0
1999-02-10,26.12,26.38,25.62,25.75,93700.0,0
1999-02-11,25.88,25.94,24.81,25.75,30100.0,0
1999-02-12,25.5,25.56,25.12,25.31,18300.0,0
1999-02-16,25.38,25.5,25.0,25.0,24800.0,0
1999-02-17,25.06,25.12,24.75,25.0,45300.0,0
1999-02-18,24.81,25.0,24.75,24.94,24100.0,0
1999-02-19,24.94,24.94,24.38,24.5,26400.0,0
1999-02-22,24.44,24.56,24.19,24.38,91800.0,0
1999-02-23,24.12,24.75,24.12,24.25,38200.0,0
1999-02-24,24.5,25.0,23.25,23.25,45000.0,0
1999-02-25,23.25,24.38,23.25,24.0,1217600.0,0
1999-02-26,24.06,25.5,24.0,24.0,69900.0,0
1999-03-01,24.0,26.25,23.5,24.12,89100.0,0
1999-03-02,24.0,25.0,23.81,24.38,17000.0,0
1999-03-03,24.25,24.31,23.62,23.62,22500.0,0
1999-03-04,23.62,23.88,23.25,23.62,79300.0,0
1999-03-05,23.88,24.5,23.38,23.44,69200.0,0
1999-03-08,23.62,23.62,23.0,23.38,79100.0,0
1999-03-09,23.25,23.62,23.19,23.62,57300.0,0
1999-03-10,23.5,23.5,23.0,23.06,69700.0,0
1999-03-11,23.12,23.81,23.12,23.62,27500.0,0
1999-03-12,23.56,23.88,23.5,23.5,24500.0,0
1999-03-15,23.56,23.94,23.5,23.62,53800.0,0
1999-03-16,23.56,23.62,23.12,23.19,53800.0,0
1999-03-17,23.12,23.38,23.0,23.38,27000.0,0
1999-03-18,23.38,24.12,23.12,23.25,84400.0,0
1999-03-19,23.0,24.5,23.0,24.31,64800.0,0
1999-03-22,24.06,24.5,23.81,23.88,23700.0,0
1999-03-23,23.75,23.75,23.06,23.12,30500.0,0
1999-03-24,23.31,24.0,23.06,23.31,116800.0,0
1999-03-25,23.0,23.69,22.75,23.69,104100.0,0
1999-03-26,23.56,24.06,23.5,23.94,74000.0,0
1999-03-29,23.88,24.25,23.88,24.0,50300.0,0
1999-03-30,24.12,24.19,23.88,24.12,156500.0,0
1999-03-31,24.06,24.12,24.0,24.06,51300.0,0
1999-04-01,24.12,24.25,24.06,24.25,18000.0,0
1999-04-05,24.38,25.0,24.38,24.56,96900.0,0
1999-04-06,24.31,24.31,23.88,24.06,40900.0,0
1999-04-07,24.0,24.5,23.94,24.0,46800.0,0
1999-04-08,23.94,24.19,23.88,24.19,27000.0,0
1999-04-09,24.12,25.12,24.12,25.12,60500.0,0
1999-04-12,25.12,25.94,25.0,25.94,63200.0,0
1999-04-13,25.81,26.62,25.69,26.31,129600.0,0
1999-04-14,26.5,27.38,26.19,26.25,41700.0,0
1999-04-15,26.31,27.0,26.06,26.06,20700.0,0
1999-04-16,25.94,26.25,25.62,26.06,17200.0,0
1999-04-19,26.0,26.31,26.0,26.19,8500.0,0
1999-04-20,26.19,26.44,25.75,26.12,32600.0,0
1999-04-21,25.88,26.94,25.88,26.19,37200.0,0
1999-04-22,26.19,26.25,25.5,25.56,27200.0,0
1999-04-23,25.44,25.62,25.44,25.5,9700.0,0
1999-04-26,25.38,25.94,25.12,25.56,42300.0,0
1999-04-27,25.69,26.5,25.69,26.25,16500.0,0
1999-04-28,26.25,26.25,25.5,25.5,21900.0,0
1999-04-29,25.75,26.0,25.12,25.25,30400.0,0
1999-04-30,25.25,25.38,25.0,25.25,37900.0,0
1999-05-03,25.31,25.44,25.25,25.25,26500.0,0
1999-05-04,25.25,25.38,24.81,24.88,40800.0,0
1999-05-05,24.62,24.78,24.12,24.31,31600.0,0
1999-05-06,24.19,24.38,23.88,24.25,22000.0,0
1999-05-07,24.25,24.38,23.81,24.12,19200.0,0
1999-05-10,23.88,25.5,23.75,24.25,62000.0,0
1999-05-11,24.38,25.38,24.38,25.25,19800.0,0
1999-05-12,25.25,25.31,24.56,24.56,14300.0,0
1999-05-13,24.31,25.06,24.25,25.06,56600.0,0
1999-05-14,24.88,25.62,24.62,25.06,29500.0,0
1999-05-17,24.81,25.19,24.5,24.88,26300.0,0
1999-05-18,24.81,25.12,24.56,24.75,29100.0,0
1999-05-19,24.62,25.25,24.62,24.81,23000.0,0
1999-05-20,24.81,25.19,24.75,24.81,30100.0,0
1999-05-21,24.75,25.5,24.75,25.31,26300.0,0
1999-05-24,25.31,25.44,25.12,25.44,23900.0,0
1999-05-25,24.88,25.62,24.88,25.5,1309400.0,0
1999-05-26,25.62,25.62,25.38,25.44,21700.0,0
1999-05-27,25.44,25.88,25.25,25.5,16100.0,0
1999-05-28,25.5,25.94,25.38,25.38,22000.0,0
1999-06-01,25.88,25.88,25.44,25.62,23600.0,0
1999-06-02,25.88,25.94,25.75,25.88,14600.0,0
1999-06-03,25.94,26.12,25.81,26.0,50900.0,0
1999-06-04,26.12,26.19,26.0,26.06,21700.0,0
1999-06-07,26.31,26.31,25.75,25.88,22200.0,0
1999-06-08,25.88,26.0,25.69,26.0,27800.0,0
1999-06-09,26.0,26.0,25.75,25.88,8000.0,0
1999-06-10,25.75,25.75,24.81,25.19,58700.0,0
1999-06-11,25.06,25.5,24.81,25.0,30700.0,0
1999-06-14,25.25,25.25,24.81,24.81,14800.0,0
1999-06-15,24.88,25.38,24.38,25.38,13700.0,0
1999-06-16,25.19,25.88,25.19,25.88,11500.0,0
1999-06-17,25.62,26.0,25.5,25.75,43400.0,0
1999-06-18,26.12,26.12,25.81,25.81,31600.0,0
1999-06-21,25.69,25.69,25.25,25.38,13400.0,0
1999-06-22,25.25,25.44,25.0,25.12,19200.0,0
1999-06-23,25.25,26.0,25.25,26.0,23100.0,0
1999-06-24,26.0,26.0,25.56,25.56,18500.0,0
1999-06-25,25.44,26.0,25.44,25.62,19400.0,0
1999-06-28,25.88,25.94,25.81,25.94,22100.0,0
1999-06-29,26.0,26.0,25.75,25.94,28300.0,0
1999-06-30,25.94,25.94,24.88,25.0,45500.0,0
1999-07-01,25.12,25.38,24.88,25.0,23900.0,0
1999-07-02,24.75,25.25,24.5,24.94,36200.0,0
1999-07-06,24.88,25.19,24.31,24.5,28400.0,0
1999-07-07,24.31,24.94,24.31,24.44,23000.0,0
1999-07-08,24.31,25.25,24.12,25.06,35700.0,0
1999-07-09,25.06,25.5,25.06,25.5,22400.0,0
1999-07-12,25.25,26.25,25.25,25.56,57300.0,0
1999-07-13,25.62,25.81,25.12,25.38,42600.0,0
1999-07-14,25.19,25.38,25.12,25.38,31700.0,0
1999-07-15,25.38,25.81,25.19,25.81,28200.0,0
1999-07-16,25.75,25.81,25.62,25.81,33700.0,0
1999-07-19,25.62,25.62,25.38,25.44,34200.0,0
1999-07-20,25.25,25.44,25.12,25.38,20100.0,0
1999-07-21,25.38,25.81,25.19,25.31,24900.0,0
1999-07-22,25.19,25.38,24.94,25.19,34100.0,0
1999-07-23,25.12,25.38,25.0,25.19,58100.0,0
1999-07-26,25.12,25.31,25.06,25.19,10700.0,0
