date,open,high,low,close,volume,padding
1999-01-04,34.13,34.13,33.69,33.94,166000.0,0
1999-01-05,33.94,34.0,33.75,34.0,149000.0,0
1999-01-06,34.0,34.13,33.88,34.0,160800.0,0
1999-01-07,33.88,34.0,33.75,33.94,660400.0,0
1999-01-08,33.81,33.94,33.81,33.81,62900.0,0
1999-01-11,33.81,34.0,33.81,33.94,63500.0,0
1999-01-12,34.0,34.0,33.81,33.81,56200.0,0
1999-01-13,33.5,33.63,33.38,33.56,37300.0,0
1999-01-14,33.63,33.81,33.5,33.56,77600.0,0
1999-01-15,33.69,33.75,33.63,33.63,92100.0,0
1999-01-19,33.88,34.0,33.63,33.69,164900.0,0
1999-01-20,34.25,34.31,33.81,34.0,242300.0,0
1999-01-21,34.0,34.13,33.81,34.0,101100.0,0
1999-01-22,34.0,34.0,33.75,33.75,149800.0,0
1999-01-25,33.75,33.75,33.44,33.44,201500.0,0
1999-01-26,33.44,33.56,33.0,33.0,77800.0,0
1999-01-27,33.0,33.38,32.81,33.0,214600.0,0
1999-01-28,33.0,33.0,32.63,32.75,29900.0,0
1999-01-29,32.75,32.81,31.0,32.06,2695800.0,0
1999-02-01,32.31,32.81,32.31,32.56,113700.0,0
1999-02-02,32.63,33.13,32.63,33.0,166900.0,0
1999-02-03,32.94,32.94,32.56,32.75,72600.0,0
1999-02-04,32.75,32.88,32.44,32.69,38000.0,0
1999-02-05,32.63,32.63,32.25,32.56,760900.0,0
1999-02-08,32.56,32.63,32.25,32.38,52400.0,0
1999-02-09,32.31,32.5,32.31,32.5,138100.0,0
1999-02-10,32.38,32.44,32.13,32.25,88700.0,0
1999-02-11,32.25,32.44,32.0,32.06,27400.0,0
1999-02-12,32.06,32.38,31.94,32.06,160200.0,0
1999-02-16,32.06,32.25,32.0,32.25,61000.0,0
1999-02-17,32.25,32.25,31.88,32.0,185600.0,0
1999-02-18,32.0,32.19,31.31,31.63,264600.0,0
1999-02-19,31.75,31.88,31.44,31.5,135700.0,0
1999-02-22,31.75,31.81,31.38,31.63,71100.0,0
1999-02-23,31.56,32.0,31.56,31.75,80400.0,0
1999-02-24,32.0,32.0,31.81,31.81,50200.0,0
1999-02-25,31.75,31.94,31.5,31.5,48600.0,0
1999-02-26,31.5,31.63,31.19,31.56,401800.0,0
1999-03-01,31.69,31.69,31.25,31.44,401100.0,0
1999-03-02,31.38,31.94,31.38,31.5,184900.0,0
1999-03-03,31.75,31.88,31.5,31.63,63700.0,0
1999-03-04,31.56,31.63,31.44,31.44,61300.0,0
1999-03-05,31.56,32.13,31.5,32.0,52700.0,0
1999-03-08,32.25,32.25,31.75,31.88,94300.0,0
