date,open,high,low,close,volume,padding
1999-01-04,45.25,46.5,44.31,44.94,179200.0,0
1999-01-05,44.06,44.75,42.06,42.69,784100.0,0
1999-01-06,44.0,44.25,43.0,43.75,1129600.0,0
1999-01-07,43.5,43.75,42.38,43.13,364500.0,0
1999-01-08,43.5,43.56,42.94,43.38,297100.0,0
1999-01-11,43.5,43.81,43.0,43.19,277100.0,0
1999-01-12,43.06,43.5,42.31,42.38,163600.0,0
1999-01-13,42.38,42.63,40.69,40.69,327200.0,0
1999-01-14,40.94,41.5,40.0,41.5,387500.0,0
1999-01-15,42.0,42.44,41.63,41.81,587200.0,0
1999-01-19,40.5,41.69,40.5,40.75,448900.0,0
1999-01-20,41.0,41.44,40.38,40.38,330700.0,0
1999-01-21,39.63,40.19,39.44,40.19,543500.0,0
1999-01-22,39.94,40.69,39.38,39.75,422700.0,0
1999-01-25,39.75,40.94,39.44,40.69,367600.0,0
1999-01-26,41.0,43.13,40.44,43.06,1278800.0,0
1999-01-27,46.5,50.0,46.0,48.0,1506800.0,0
1999-01-28,48.0,49.25,48.0,48.69,395800.0,0
1999-01-29,48.94,49.81,48.75,49.44,473600.0,0
1999-02-01,49.69,49.75,48.88,49.25,409200.0,0
1999-02-02,49.13,49.13,47.81,48.69,429300.0,0
1999-02-03,48.56,49.75,48.56,49.75,442000.0,0
1999-02-04,49.63,50.88,49.63,50.19,505500.0,0
1999-02-05,50.38,52.75,50.38,52.0,1047700.0,0
1999-02-08,53.0,53.94,51.56,51.88,461800.0,0
1999-02-09,51.69,51.75,51.06,51.44,353600.0,0
1999-02-10,51.63,52.44,51.31,51.5,393100.0,0
1999-02-11,51.31,51.5,50.5,50.69,225600.0,0
1999-02-12,50.5,51.81,49.38,51.44,443100.0,0
1999-02-16,51.69,52.69,51.44,52.19,563100.0,0
1999-02-17,52.19,52.88,51.69,52.81,611900.0,0
1999-02-18,52.81,52.81,51.75,52.44,339300.0,0
1999-02-19,52.69,52.75,52.31,52.44,324000.0,0
1999-02-22,52.38,54.63,52.38,54.63,440900.0,0
1999-02-23,54.69,54.69,53.38,54.06,409900.0,0
1999-02-24,54.25,55.0,53.19,53.63,216800.0,0
1999-02-25,53.38,53.38,52.38,52.88,217800.0,0
1999-02-26,52.88,53.69,52.25,53.69,172300.0,0
1999-03-01,53.25,53.25,52.38,53.25,232100.0,0
1999-03-02,53.0,53.0,52.69,52.81,325000.0,0
1999-03-03,53.19,53.88,52.0,52.63,243400.0,0
1999-03-04,52.56,52.88,51.38,51.56,196900.0,0
1999-03-05,51.75,52.31,51.25,52.25,373100.0,0
1999-03-08,52.06,52.19,50.69,51.63,272900.0,0
1999-03-09,51.75,51.81,51.0,51.56,168800.0,0
1999-03-10,51.5,53.56,51.13,53.38,269000.0,0
1999-03-11,53.94,56.38,53.75,56.19,486700.0,0
1999-03-12,55.63,55.63,54.0,54.31,378100.0,0
1999-03-15,54.06,55.13,53.5,54.44,337600.0,0
1999-03-16,54.56,54.88,54.25,54.88,357300.0,0
1999-03-17,55.0,55.0,54.19,54.44,329600.0,0
1999-03-18,54.56,55.63,54.38,55.5,237200.0,0
1999-03-19,56.0,56.0,54.38,54.38,224800.0,0
1999-03-22,54.38,54.44,53.19,53.44,188900.0,0
1999-03-23,53.5,54.63,52.0,53.88,269500.0,0
1999-03-24,53.88,56.19,53.81,55.56,289600.0,0
1999-03-25,55.56,56.5,55.38,56.13,493600.0,0
