date,open,high,low,close,volume,padding
1999-01-04,33.31,33.56,32.81,32.94,6610200.0,0
1999-01-05,33.5,35.38,33.5,35.25,8202900.0,0
1999-01-06,35.94,36.5,35.75,36.06,8631400.0,0
1999-01-07,35.38,35.94,35.13,35.81,4039000.0,0
1999-01-08,35.81,36.75,35.56,35.81,4381200.0,0
1999-01-11,35.81,35.88,34.88,35.13,3920800.0,0
1999-01-12,34.88,34.88,34.0,34.06,3577500.0,0
1999-01-13,33.06,34.38,32.81,33.69,3922300.0,0
1999-01-14,33.88,34.0,33.25,33.5,3127700.0,0
1999-01-15,33.75,33.81,33.31,33.69,2754300.0,0
1999-01-19,33.88,33.94,32.56,33.44,3834400.0,0
1999-01-20,33.38,34.63,32.75,34.25,4558800.0,0
1999-01-21,33.88,34.75,33.19,33.38,3757300.0,0
1999-01-22,33.06,34.69,32.75,34.5,4964300.0,0
1999-01-25,34.94,36.13,34.81,36.0,6318000.0,0
1999-01-26,35.88,36.44,34.75,35.0,6950800.0,0
1999-01-27,35.5,36.0,35.0,35.13,5216600.0,0
1999-01-28,35.38,35.56,34.63,34.63,2576800.0,0
1999-01-29,34.75,34.88,34.25,34.69,2368500.0,0
1999-02-01,34.94,34.94,33.94,34.06,3267600.0,0
1999-02-02,34.56,34.56,33.75,34.19,2638100.0,0
1999-02-03,34.25,37.19,34.25,36.81,7444400.0,0
1999-02-04,37.5,37.69,36.5,36.5,5900900.0,0
1999-02-05,37.5,37.5,36.88,37.25,2931200.0,0
1999-02-08,37.31,37.38,36.0,36.38,2550200.0,0
1999-02-09,36.25,36.31,35.5,35.5,2132600.0,0
1999-02-10,35.31,35.88,35.0,35.63,4483100.0,0
1999-02-11,35.38,36.5,35.25,35.88,1681100.0,0
1999-02-12,36.13,36.19,35.19,35.56,2320100.0,0
1999-02-16,35.56,36.69,35.5,35.81,3024800.0,0
1999-02-17,35.69,36.25,35.5,35.56,2870900.0,0
1999-02-18,35.56,36.12,35.25,35.88,2394500.0,0
1999-02-19,36.0,36.06,35.56,35.69,2243100.0,0
1999-02-22,35.88,36.69,35.14,36.25,2944500.0,0
1999-02-23,36.13,37.5,35.56,37.38,4848100.0,0
1999-02-24,37.0,37.19,35.56,35.63,4485800.0,0
1999-02-25,35.56,35.56,34.44,35.0,3901000.0,0
1999-02-26,35.75,36.0,35.13,35.63,3333500.0,0
1999-03-01,35.44,35.5,34.88,35.5,2647600.0,0
1999-03-02,35.5,35.5,34.44,34.56,2648000.0,0
1999-03-03,34.38,34.38,33.5,33.94,4001000.0,0
1999-03-04,33.94,35.25,33.88,34.88,3594100.0,0
1999-03-05,35.0,36.0,35.0,35.56,3217900.0,0
1999-03-08,35.63,35.63,34.38,34.81,2604800.0,0
1999-03-09,34.31,34.63,33.88,33.94,3509600.0,0
1999-03-10,34.19,34.25,33.81,34.19,2399400.0,0
1999-03-11,34.25,34.75,33.75,34.56,3246900.0,0
1999-03-12,34.94,35.25,34.5,35.13,2731800.0,0
1999-03-15,34.94,35.5,34.69,34.69,2655400.0,0
1999-03-16,35.13,36.56,35.06,36.25,4115900.0,0
1999-03-17,36.25,36.31,35.31,35.75,4277800.0,0
1999-03-18,35.63,35.63,34.88,35.13,3498500.0,0
1999-03-19,35.31,35.31,34.0,34.0,6185100.0,0
1999-03-22,34.38,35.13,34.19,34.88,3631000.0,0
1999-03-23,34.31,34.75,34.06,34.13,3522300.0,0
1999-03-24,34.13,34.81,34.0,34.31,3438300.0,0
1999-03-25,34.38,35.0,34.38,34.63,3146600.0,0
1999-03-26,34.44,34.94,34.19,34.81,2760100.0,0
1999-03-29,34.94,35.25,34.69,34.75,2245200.0,0
1999-03-30,34.38,34.5,33.88,34.0,3222600.0,0
1999-03-31,34.44,34.69,33.94,34.0,3245300.0,0
1999-04-01,34.0,35.0,33.5,33.94,2276200.0,0
1999-04-05,34.0,34.75,33.88,34.31,2878700.0,0
1999-04-06,34.5,34.69,34.0,34.38,2733900.0,0
1999-04-07,34.63,34.94,34.5,34.88,3305400.0,0
1999-04-08,34.88,34.94,34.25,34.63,3048500.0,0
1999-04-09,34.88,35.44,34.75,35.06,2752500.0,0
1999-04-12,35.0,35.06,34.44,34.81,3527000.0,0
1999-04-13,34.94,35.38,34.44,34.63,3715300.0,0
1999-04-14,35.69,39.25,35.25,38.0,10998300.0,0
1999-04-15,39.75,43.0,39.31,41.69,18320800.0,0
1999-04-16,41.19,41.69,39.25,39.63,10934000.0,0
1999-04-19,40.38,41.25,39.38,39.56,9097900.0,0
1999-04-20,39.56,39.75,39.19,39.25,4087700.0,0
1999-04-21,39.5,40.56,39.38,40.38,3753400.0,0
1999-04-22,40.5,40.5,39.63,40.31,2870300.0,0
1999-04-23,40.06,40.69,40.06,40.5,2200700.0,0
1999-04-26,40.38,40.38,39.38,39.56,2128100.0,0
1999-04-27,39.44,39.63,38.81,39.38,2465300.0,0
1999-04-28,39.44,40.88,39.38,40.5,4730700.0,0
1999-04-29,40.69,41.88,40.25,40.38,4436000.0,0
1999-04-30,40.75,41.63,40.63,40.63,2890500.0,0
1999-05-03,40.63,43.19,40.5,43.0,4344100.0,0
1999-05-04,43.0,44.5,42.56,43.13,5772100.0,0
1999-05-05,43.13,44.25,42.75,44.13,3084600.0,0
1999-05-06,44.06,45.19,43.38,44.94,6133100.0,0
1999-05-07,44.94,45.88,44.75,45.75,4543600.0,0
1999-05-10,45.81,45.81,43.75,44.06,2506800.0,0
1999-05-11,44.06,44.25,42.5,43.44,2359100.0,0
1999-05-12,42.69,43.0,41.0,42.56,2263400.0,0
1999-05-13,42.81,43.38,42.38,42.81,2145900.0,0
1999-05-14,42.06,43.13,41.5,43.0,3257800.0,0
1999-05-17,42.63,43.0,41.88,42.5,2160000.0,0
1999-05-18,42.94,43.94,42.81,43.69,3331600.0,0
1999-05-19,43.81,44.75,43.56,44.38,3445500.0,0
1999-05-20,44.25,45.0,44.06,44.63,2910200.0,0
1999-05-21,44.88,45.25,44.81,44.94,2507800.0,0
1999-05-24,44.81,45.81,44.38,44.38,3034600.0,0
1999-05-25,43.81,44.56,43.0,43.06,2982400.0,0
1999-05-26,43.19,43.44,40.0,41.31,5324100.0,0
1999-05-27,41.06,42.88,40.81,41.31,3520100.0,0
1999-05-28,41.19,42.44,41.13,42.06,1747600.0,0
1999-06-01,42.13,42.88,41.25,42.63,2074200.0,0
1999-06-02,42.38,42.94,41.81,42.19,1525400.0,0
1999-06-03,42.19,43.38,42.06,42.56,1916500.0,0
1999-06-04,42.75,43.94,42.75,43.94,2454900.0,0
1999-06-07,43.5,43.88,42.94,43.75,2749300.0,0
1999-06-08,43.88,43.88,43.06,43.81,2777100.0,0
1999-06-09,43.44,43.44,42.0,42.25,2578800.0,0
1999-06-10,41.63,42.81,41.31,42.81,1921500.0,0
1999-06-11,42.81,42.94,41.94,42.31,2130500.0,0
1999-06-14,41.75,42.25,40.81,41.81,2621700.0,0
1999-06-15,42.0,43.38,42.0,42.56,2431000.0,0
1999-06-16,42.56,43.13,42.44,42.75,1773700.0,0
1999-06-17,43.25,43.75,43.06,43.63,2481300.0,0
1999-06-18,44.0,44.75,43.81,44.63,4107200.0,0
1999-06-21,43.38,44.06,42.56,43.0,3266400.0,0
1999-06-22,42.81,43.44,42.38,43.25,1993300.0,0
1999-06-23,42.63,42.69,41.81,42.69,1858600.0,0
1999-06-24,42.25,42.81,41.81,42.81,2579900.0,0
1999-06-25,42.75,44.63,42.5,43.56,3707400.0,0
1999-06-28,43.31,44.38,43.19,43.25,3410400.0,0
1999-06-29,43.25,44.0,42.94,43.81,2303800.0,0
1999-06-30,43.44,44.19,42.5,44.0,2761600.0,0
1999-07-01,43.63,44.19,43.25,44.06,2541000.0,0
1999-07-02,44.0,44.06,43.56,44.06,1072400.0,0
1999-07-06,43.19,43.38,42.69,43.38,1888700.0,0
1999-07-07,43.0,43.63,42.25,43.63,2184900.0,0
1999-07-08,43.44,44.94,43.19,44.38,3406800.0,0
1999-07-09,44.56,44.81,44.31,44.56,2632300.0,0
1999-07-12,44.38,44.75,43.81,44.69,2061400.0,0
1999-07-13,44.44,46.44,44.31,46.31,5483800.0,0
1999-07-14,46.44,48.5,46.38,47.63,7032000.0,0
1999-07-15,48.44,48.44,46.63,46.75,5803500.0,0
1999-07-16,47.0,47.38,45.88,46.0,4722100.0,0
1999-07-19,46.13,46.44,45.06,45.44,3454800.0,0
1999-07-20,45.0,45.75,44.75,45.25,3279700.0,0
1999-07-21,45.0,45.69,44.75,44.88,1773800.0,0
1999-07-22,45.0,46.81,44.31,45.88,3213300.0,0
1999-07-23,46.0,46.81,45.94,46.63,2103400.0,0
1999-07-26,45.75,46.25,45.19,45.25,2273000.0,0
1999-07-27,45.25,46.25,44.94,46.25,2187100.0,0
1999-07-28,46.25,46.56,46.06,46.44,1894400.0,0
1999-07-29,46.0,46.0,44.88,45.25,1787700.0,0
1999-07-30,45.25,45.38,44.44,45.38,3200300.0,0
1999-08-02,45.31,46.5,45.0,45.81,2641100.0,0
1999-08-03,46.5,47.06,46.0,47.06,2854000.0,0
1999-08-04,46.69,47.13,46.44,46.63,3130700.0,0
1999-08-05,46.5,46.75,45.69,46.25,2900500.0,0
1999-08-06,46.0,46.88,45.75,46.56,1766700.0,0
1999-08-09,46.75,46.81,46.25,46.69,1450100.0,0
1999-08-10,46.25,46.38,45.75,46.06,2320900.0,0
1999-08-11,45.88,46.31,45.81,46.04,2132400.0,0
1999-08-12,45.94,46.25,45.56,45.75,1326400.0,0
1999-08-13,45.38,45.69,45.19,45.38,2446600.0,0
1999-08-16,45.25,46.13,45.19,46.13,1628800.0,0
1999-08-17,46.44,46.5,46.06,46.5,1918900.0,0
1999-08-18,46.25,46.25,45.81,46.13,1646600.0,0
1999-08-19,45.69,45.75,45.13,45.31,2043600.0,0
1999-08-20,45.31,45.88,45.06,45.75,2239900.0,0
1999-08-23,46.0,46.31,45.88,45.94,1896800.0,0
1999-08-24,45.69,46.38,44.75,45.0,3204500.0,0
1999-08-25,44.81,44.88,43.94,44.31,4394600.0,0
1999-08-26,43.63,44.44,43.63,44.38,2004700.0,0
1999-08-27,43.69,44.31,43.69,43.81,1788900.0,0
1999-08-30,44.44,46.0,44.44,44.75,3727800.0,0
1999-08-31,44.63,45.38,44.31,45.31,3323700.0,0
1999-09-01,45.31,45.5,44.75,45.0,3900600.0,0
1999-09-02,44.38,45.0,44.13,44.94,2686500.0,0
1999-09-03,45.19,45.63,45.19,45.44,2191300.0,0
1999-09-07,45.44,45.63,44.88,44.94,1906600.0,0
1999-09-08,44.63,44.81,44.31,44.56,2095200.0,0
1999-09-09,44.5,45.25,44.38,45.13,2109000.0,0
1999-09-10,45.06,45.75,44.88,45.25,1724900.0,0
1999-09-13,44.81,45.0,44.63,44.81,2270700.0,0
1999-09-14,44.56,44.81,44.38,44.56,1697600.0,0
1999-09-15,44.94,45.06,44.19,44.44,1955200.0,0
1999-09-16,44.31,44.63,43.63,43.94,2291800.0,0
1999-09-17,44.19,44.25,43.63,43.63,3014000.0,0
1999-09-20,43.56,43.63,42.75,42.88,2683500.0,0
1999-09-21,42.56,43.13,42.56,42.75,2523000.0,0
1999-09-22,42.88,43.94,42.88,43.5,2453900.0,0
1999-09-23,43.44,43.5,42.56,42.75,2721300.0,0
1999-09-24,42.31,42.56,41.06,42.06,3349900.0,0
1999-09-27,42.06,42.31,41.63,41.69,2005600.0,0
1999-09-28,41.56,42.06,41.44,41.88,2279700.0,0
1999-09-29,41.69,42.81,41.56,42.19,2497300.0,0
1999-09-30,42.25,43.31,42.25,42.63,1998000.0,0
1999-10-01,42.69,43.19,42.69,42.88,1564400.0,0
1999-10-04,43.06,44.06,43.06,43.69,1687400.0,0
1999-10-05,43.44,44.13,43.31,43.81,1894500.0,0
1999-10-06,43.63,44.0,43.31,43.44,2536000.0,0
1999-10-07,43.25,43.25,42.06,42.75,2624500.0,0
1999-10-08,42.63,42.94,41.94,42.0,1532300.0,0
1999-10-11,41.88,42.75,41.75,41.94,2612000.0,0
1999-10-12,41.81,41.88,39.13,39.63,3953000.0,0
1999-10-13,39.63,41.19,39.63,40.5,4278700.0,0
1999-10-14,41.75,44.38,41.44,43.63,7686800.0,0
1999-10-15,42.25,43.63,41.25,42.5,6747700.0,0
1999-10-18,42.5,42.88,41.63,42.13,3713100.0,0
1999-10-19,43.0,43.0,42.5,42.75,3785500.0,0
1999-10-20,43.0,44.44,42.5,44.13,3345500.0,0
1999-10-21,43.88,44.94,43.69,44.69,3385200.0,0
1999-10-22,44.94,45.44,44.63,44.63,2850300.0,0
1999-10-25,44.5,45.19,44.06,44.19,2276000.0,0
1999-10-26,44.25,45.25,44.19,44.88,2340300.0,0
1999-10-27,45.0,45.19,44.75,44.88,2375700.0,0
1999-10-28,45.38,46.25,45.31,45.75,4077500.0,0
1999-10-29,45.94,46.44,45.88,46.06,3389200.0,0
1999-11-01,44.5,44.94,43.88,44.63,6052600.0,0
1999-11-02,43.0,43.69,42.38,43.38,6561200.0,0
1999-11-03,42.5,44.13,42.25,43.25,5700800.0,0
1999-11-04,43.13,43.94,43.06,43.38,2729000.0,0
1999-11-05,44.5,44.94,44.06,44.31,3640900.0,0
1999-11-08,44.0,44.88,43.75,44.19,2888200.0,0
1999-11-09,43.94,44.31,41.13,41.44,6795300.0,0
1999-11-10,41.25,42.31,40.94,41.75,5828600.0,0
1999-11-11,41.38,41.94,41.13,41.13,3360400.0,0
1999-11-12,41.31,41.44,40.81,41.31,3694000.0,0
1999-11-15,40.5,40.88,39.81,40.13,5245900.0,0
1999-11-16,40.25,41.63,40.19,41.38,4393600.0,0
1999-11-17,41.25,42.75,41.25,42.56,3386400.0,0
1999-11-18,42.88,43.56,42.75,43.0,3236000.0,0
1999-11-19,43.19,44.0,43.13,43.69,3257000.0,0
1999-11-22,43.5,43.5,41.69,41.88,3352100.0,0
1999-11-23,41.88,41.94,40.94,41.75,2808600.0,0
1999-11-24,41.25,41.44,40.69,41.06,2090000.0,0
1999-11-26,41.0,41.13,40.75,41.06,1069100.0,0
1999-11-29,40.81,41.06,40.25,40.88,2237400.0,0
1999-11-30,40.63,41.19,40.38,40.63,3112900.0,0
1999-12-01,40.5,42.13,40.44,41.5,3386600.0,0
1999-12-02,41.5,41.56,39.88,40.13,3239800.0,0
1999-12-03,40.0,40.38,39.63,40.38,3823100.0,0
1999-12-06,40.0,40.06,38.44,38.56,4131400.0,0
1999-12-07,38.63,38.69,37.88,37.94,3469300.0,0
1999-12-08,37.75,38.0,37.06,37.25,5503200.0,0
1999-12-09,38.25,39.56,37.38,37.81,6141500.0,0
1999-12-10,38.25,39.63,38.06,39.13,3690000.0,0
1999-12-13,38.88,39.06,38.0,38.19,3816100.0,0
1999-12-14,38.0,38.56,37.25,38.5,4790000.0,0
1999-12-15,39.5,40.56,38.69,38.75,6212300.0,0
1999-12-16,38.88,39.81,38.63,39.69,4341800.0,0
1999-12-17,39.69,40.0,38.19,38.31,5959200.0,0
1999-12-20,38.25,39.25,37.88,38.41,3186300.0,0
1999-12-21,38.69,38.94,38.25,38.69,3435900.0,0
1999-12-22,39.5,39.94,38.88,39.38,3719100.0,0
1999-12-23,40.38,41.31,40.25,41.19,4027700.0,0
1999-12-27,41.13,41.94,41.0,41.44,2722100.0,0
1999-12-28,41.31,41.38,40.81,41.31,1631900.0,0
1999-12-29,41.31,41.5,40.94,41.0,1981200.0,0
1999-12-30,41.0,41.63,40.94,41.25,1934600.0,0
1999-12-31,41.13,41.63,41.06,41.44,1111200.0,0
2000-01-03,41.63,41.69,39.81,40.19,2638200.0,0
2000-01-04,39.88,41.13,39.75,40.13,3592100.0,0
2000-01-05,42.0,43.31,41.38,42.94,7631700.0,0
2000-01-06,42.25,43.44,41.13,43.06,4922200.0,0
2000-01-07,43.88,44.88,43.69,44.31,6008300.0,0
2000-01-10,44.31,44.5,43.5,43.69,2403500.0,0
