date,open,high,low,close,volume,padding
1999-01-04,29.875,31.065,29.75,30.25,12488200.0,0
1999-01-05,29.94,30.72,29.94,30.655,9597400.0,0
1999-01-06,31.0,32.685,30.97,32.185,15861400.0,0
1999-01-07,32.0,33.905,31.875,33.78,14381600.0,0
1999-01-08,34.375,34.97,34.0,34.97,13912000.0,0
1999-01-11,34.97,35.47,34.53,34.97,12484200.0,0
1999-01-12,34.75,34.78,33.125,33.47,10338600.0,0
1999-01-13,30.53,33.25,30.53,32.72,15175000.0,0
1999-01-14,32.56,32.685,30.595,31.25,13558800.0,0
1999-01-15,31.5,32.375,31.5,32.28,12151600.0,0
1999-01-19,32.28,32.28,30.905,32.0,12794800.0,0
1999-01-20,31.69,33.435,31.03,33.0,14628800.0,0
1999-01-21,33.095,33.405,32.75,32.75,11339800.0,0
1999-01-22,32.25,32.75,32.06,32.53,8695200.0,0
1999-01-25,32.47,32.655,32.06,32.345,8721400.0,0
1999-01-26,32.375,32.53,31.78,32.47,9792400.0,0
1999-01-27,32.5,32.5,31.03,31.065,8554800.0,0
1999-01-28,31.815,32.56,31.69,32.435,8992400.0,0
1999-01-29,32.72,33.595,32.125,33.435,8192200.0,0
1999-02-01,33.31,33.345,32.125,32.625,6599200.0,0
1999-02-02,32.5,32.53,31.19,31.72,7502800.0,0
1999-02-03,31.625,32.5,31.065,31.75,8303600.0,0
1999-02-04,32.0,32.0,30.5,30.595,9178200.0,0
1999-02-05,30.815,31.095,30.155,30.375,6986800.0,0
1999-02-08,30.5,30.655,30.0,30.0,6210000.0,0
1999-02-09,30.125,31.125,29.78,29.875,10849400.0,0
1999-02-10,30.25,30.97,30.065,30.815,6456000.0,0
1999-02-11,30.94,32.47,30.875,32.47,8263200.0,0
1999-02-12,32.125,32.405,31.125,31.44,7982400.0,0
1999-02-16,32.375,32.5,31.655,32.31,7313600.0,0
1999-02-17,31.94,33.375,31.75,32.435,13875600.0,0
1999-02-18,32.375,33.125,32.06,32.97,7618600.0,0
1999-02-19,32.845,33.03,32.31,32.47,7850600.0,0
1999-02-22,32.28,33.28,32.25,32.81,8089200.0,0
1999-02-23,33.0,33.72,32.75,33.47,9215600.0,0
1999-02-24,33.5,33.81,31.94,31.97,8000400.0,0
1999-02-25,31.875,32.31,31.5,32.31,8528800.0,0
1999-02-26,32.5,32.875,31.78,32.655,6959200.0,0
1999-03-01,32.655,33.75,32.5,33.595,10167600.0,0
1999-03-02,33.935,34.155,33.655,33.875,10114400.0,0
1999-03-03,33.595,33.935,33.155,33.625,10944600.0,0
1999-03-04,33.28,33.75,32.78,33.125,10430000.0,0
1999-03-05,34.185,34.56,33.5,34.435,11775200.0,0
1999-03-08,34.435,34.435,33.75,34.06,5971800.0,0
1999-03-09,34.125,35.22,34.06,35.125,12253600.0,0
1999-03-10,35.5,35.81,35.185,35.75,11234400.0,0
1999-03-11,36.0,37.0,35.72,36.06,11938400.0,0
1999-03-12,36.095,36.435,35.935,36.125,8587000.0,0
1999-03-15,36.0,37.0,36.0,36.875,7550400.0,0
1999-03-16,36.905,36.97,36.155,36.185,7017200.0,0
1999-03-17,35.875,36.0,35.155,35.345,5153600.0,0
1999-03-18,35.25,36.97,35.125,36.97,8032800.0,0
1999-03-19,37.185,37.25,35.655,35.75,9070800.0,0
1999-03-22,35.875,36.28,35.655,36.25,4538000.0,0
1999-03-23,36.06,36.06,34.28,34.5,6254400.0,0
1999-03-24,34.72,35.0,33.75,34.06,4667600.0,0
1999-03-25,34.405,35.375,34.405,34.935,5264800.0,0
1999-03-26,34.875,35.47,34.625,34.935,5374800.0,0
1999-03-29,35.375,35.97,35.125,35.685,4372400.0,0
1999-03-30,35.435,36.185,35.185,35.5,5247600.0,0
1999-03-31,35.81,36.06,34.97,35.31,6479400.0,0
1999-04-01,35.25,35.28,34.405,34.5,5340400.0,0
1999-04-05,35.0,35.845,34.81,35.81,5102000.0,0
1999-04-06,35.56,35.595,34.81,34.81,5772800.0,0
1999-04-07,35.47,36.595,35.125,36.5,9485400.0,0
1999-04-08,36.75,37.47,36.25,37.435,9638000.0,0
1999-04-09,37.31,37.345,36.56,37.185,6298000.0,0
1999-04-12,36.935,37.5,36.75,37.5,7974400.0,0
1999-04-13,37.095,37.28,36.5,36.78,7363000.0,0
1999-04-14,37.06,37.31,36.03,36.03,6958000.0,0
1999-04-15,36.06,36.405,35.625,35.97,5685600.0,0
1999-04-16,35.905,36.5,35.375,36.5,6461800.0,0
1999-04-19,37.185,38.06,35.685,35.875,15291400.0,0
