date,open,high,low,close,volume,padding
1999-01-04,32.125,32.315,31.25,31.595,1721000.0,0
1999-01-05,31.655,31.97,31.405,31.53,1609000.0,0
1999-01-06,32.0,33.47,32.0,33.405,2549000.0,0
1999-01-07,33.28,33.5,32.405,32.78,2017400.0,0
1999-01-08,32.905,33.44,32.72,32.75,811000.0,0
1999-01-11,32.5,32.875,32.5,32.655,1214200.0,0
1999-01-12,32.625,32.905,32.565,32.655,881400.0,0
1999-01-13,32.0,32.565,31.94,32.22,1773000.0,0
1999-01-14,32.095,32.125,31.155,31.53,2391800.0,0
1999-01-15,31.625,32.095,31.53,32.065,1758200.0,0
1999-01-19,31.94,32.19,31.44,31.565,1510600.0,0
1999-01-20,31.5,31.94,31.44,31.565,1411400.0,0
1999-01-21,31.625,31.94,31.375,31.625,2072000.0,0
1999-01-22,31.5,31.565,31.0,31.28,3415800.0,0
1999-01-25,31.315,32.5,30.875,32.28,2367400.0,0
1999-01-26,32.375,32.72,32.125,32.405,1590000.0,0
1999-01-27,32.5,33.69,32.5,33.345,1652800.0,0
1999-01-28,33.345,35.19,33.28,34.905,2317400.0,0
1999-01-29,35.125,35.565,34.97,35.47,2045200.0,0
1999-02-01,35.405,35.625,35.03,35.5,2233200.0,0
1999-02-02,35.44,35.565,34.75,34.845,2143400.0,0
1999-02-03,34.815,35.47,34.815,35.405,3062800.0,0
1999-02-04,35.155,35.19,34.44,34.625,1697000.0,0
1999-02-05,34.53,35.47,34.345,34.875,1620800.0,0
1999-02-08,34.5,34.905,34.5,34.69,4247200.0,0
1999-02-09,34.565,34.625,33.875,33.875,1383800.0,0
1999-02-10,33.875,34.155,33.53,33.94,989000.0,0
1999-02-11,33.5,34.28,33.5,33.875,823200.0,0
1999-02-12,33.78,34.0,33.47,33.845,1192000.0,0
1999-02-16,33.78,34.44,33.75,34.28,980600.0,0
1999-02-17,34.155,34.28,33.28,33.345,1098000.0,0
1999-02-18,33.44,33.75,33.25,33.405,1534400.0,0
1999-02-19,33.28,33.72,33.0,33.655,1159800.0,0
1999-02-22,33.53,34.72,33.53,34.72,1084800.0,0
1999-02-23,34.595,34.815,33.69,34.28,1320600.0,0
1999-02-24,35.25,35.25,34.815,35.03,1597200.0,0
1999-02-25,34.905,34.905,34.22,34.75,1488800.0,0
1999-02-26,34.75,35.19,34.5,35.19,1346800.0,0
1999-03-01,34.94,35.315,34.22,35.0,1396200.0,0
1999-03-02,35.25,35.25,34.25,34.345,1318800.0,0
1999-03-03,34.315,34.905,34.315,34.75,877000.0,0
1999-03-04,34.815,35.5,34.53,35.5,1225000.0,0
1999-03-05,36.25,37.0,36.19,36.625,1741000.0,0
1999-03-08,36.625,36.625,35.905,36.5,1511000.0,0
1999-03-09,36.315,36.565,35.94,35.94,786400.0,0
1999-03-10,35.655,36.5,35.53,36.5,3046000.0,0
1999-03-11,36.5,37.625,36.345,37.28,2193000.0,0
1999-03-12,37.405,38.0,37.095,37.69,2571800.0,0
1999-03-15,37.375,38.0,37.25,37.97,1938600.0,0
1999-03-16,37.75,38.0,36.69,36.97,1872800.0,0
1999-03-17,36.25,36.5,34.5,34.75,4426200.0,0
1999-03-18,34.78,35.5,34.565,35.5,3576000.0,0
1999-03-19,35.375,35.5,34.5,34.595,2140600.0,0
1999-03-22,34.47,34.47,33.065,33.5,2117000.0,0
1999-03-23,33.5,33.5,32.375,32.53,3411600.0,0
1999-03-24,32.655,34.19,32.625,33.94,1853800.0,0
1999-03-25,33.905,34.75,33.405,33.47,2379000.0,0
1999-03-26,33.345,33.345,32.845,33.22,1568600.0,0
1999-03-29,33.375,33.97,33.25,33.53,1036000.0,0
1999-03-30,33.5,33.5,32.875,32.97,1648600.0,0
1999-03-31,32.875,33.28,32.75,33.0,1998000.0,0
1999-04-01,33.125,33.5,33.125,33.155,966400.0,0
1999-04-05,33.28,33.875,33.25,33.53,1062600.0,0
1999-04-06,33.53,33.815,33.125,33.125,960600.0,0
1999-04-07,33.03,33.25,32.94,33.065,1640800.0,0
1999-04-08,33.19,33.565,32.565,32.565,1870000.0,0
1999-04-09,32.655,33.315,32.655,33.155,1086600.0,0
1999-04-12,33.065,33.5,32.75,32.875,1264200.0,0
1999-04-13,32.875,33.625,32.875,33.595,2614600.0,0
1999-04-14,33.72,34.0,33.155,33.19,1689400.0,0
1999-04-15,33.0,33.25,31.25,31.875,4919400.0,0
1999-04-16,31.94,32.065,30.625,30.75,3516800.0,0
1999-04-19,30.625,31.44,30.125,30.5,2659400.0,0
1999-04-20,30.375,30.94,30.19,30.47,1911800.0,0
1999-04-21,30.345,31.155,30.125,30.655,1520200.0,0
1999-04-22,31.0,34.19,30.94,34.0,4953600.0,0
1999-04-23,33.94,34.405,33.565,33.75,2151400.0,0
1999-04-26,33.875,34.155,33.565,33.78,1406600.0,0
1999-04-27,33.875,33.94,33.345,33.44,1042200.0,0
1999-04-28,33.44,33.655,32.69,32.75,1299600.0,0
1999-04-29,32.75,32.815,31.72,31.94,1196600.0,0
1999-04-30,32.0,32.065,30.47,31.5,1361200.0,0
1999-05-03,31.5,31.815,31.345,31.815,2399800.0,0
1999-05-04,31.94,32.655,31.69,32.47,1823000.0,0
1999-05-05,32.5,33.125,32.155,32.565,2141800.0,0
1999-05-06,32.5,33.345,32.25,33.22,887000.0,0
1999-05-07,33.22,33.22,32.44,32.815,793400.0,0
1999-05-10,32.69,32.75,32.095,32.315,1115000.0,0
1999-05-11,32.25,33.0,32.065,32.875,864000.0,0
1999-05-12,32.815,33.315,32.155,33.315,1387200.0,0
1999-05-13,33.375,34.44,33.0,34.315,1952800.0,0
1999-05-14,33.875,34.03,32.75,32.75,1058600.0,0
1999-05-17,32.815,32.815,32.19,32.19,1082400.0,0
1999-05-18,32.315,32.345,31.815,31.845,1163200.0,0
1999-05-19,31.97,32.375,31.815,32.095,781000.0,0
1999-05-20,32.22,32.69,32.065,32.155,880800.0,0
1999-05-21,32.0,32.315,31.565,31.75,1553200.0,0
1999-05-24,31.5,31.595,30.405,31.125,2329800.0,0
1999-05-25,31.0,32.065,31.0,31.0,2763400.0,0
1999-05-26,31.19,31.97,31.125,31.72,2536600.0,0
1999-05-27,31.595,31.875,31.44,31.75,1372800.0,0
1999-05-28,31.69,32.75,31.69,32.28,1988200.0,0
1999-06-01,32.28,32.75,32.065,32.69,1344600.0,0
1999-06-02,32.595,33.22,32.595,33.065,1671600.0,0
1999-06-03,33.065,33.155,32.405,32.44,1033400.0,0
1999-06-04,32.375,33.625,32.375,33.5,1977000.0,0
1999-06-07,33.375,33.72,33.03,33.53,1150000.0,0
1999-06-08,33.405,33.97,33.315,33.875,1865400.0,0
1999-06-09,33.75,34.125,33.47,33.5,702000.0,0
1999-06-10,33.44,33.94,32.875,33.0,2081400.0,0
1999-06-11,33.0,33.72,32.69,32.69,1429000.0,0
1999-06-14,33.065,33.19,32.22,32.315,1251400.0,0
1999-06-15,32.19,32.22,31.565,31.565,1482800.0,0
1999-06-16,31.5,31.595,31.22,31.44,2113000.0,0
1999-06-17,31.47,31.78,31.155,31.5,1927200.0,0
1999-06-18,31.5,31.625,31.155,31.5,2097200.0,0
1999-06-21,31.0,31.065,30.815,30.845,2310200.0,0
1999-06-22,30.72,30.78,30.125,30.53,2972400.0,0
1999-06-23,30.53,30.75,30.25,30.72,1890400.0,0
1999-06-24,30.72,30.75,30.22,30.405,1387800.0,0
1999-06-25,30.5,30.5,30.125,30.345,1551800.0,0
1999-06-28,30.345,30.53,29.875,30.19,1144800.0,0
1999-06-29,30.03,30.565,29.97,30.5,2670800.0,0
1999-06-30,30.5,30.5,30.03,30.315,3431800.0,0
1999-07-01,30.315,30.315,29.375,29.375,3401000.0,0
1999-07-02,29.5,29.69,29.345,29.5,3808000.0,0
1999-07-06,29.69,30.125,29.315,29.345,3699200.0,0
1999-07-07,29.345,29.595,29.25,29.405,2970800.0,0
1999-07-08,29.405,29.875,29.375,29.72,3076400.0,0
1999-07-09,29.815,30.5,29.72,30.44,3331800.0,0
1999-07-12,32.19,32.44,31.155,32.095,5945000.0,0
1999-07-13,32.03,32.5,31.72,31.875,3222000.0,0
1999-07-14,32.125,32.75,32.095,32.625,2864600.0,0
1999-07-15,32.69,33.69,32.625,33.69,2810000.0,0
1999-07-16,33.565,34.315,33.065,34.19,2045600.0,0
1999-07-19,34.125,34.125,33.0,33.315,1470200.0,0
1999-07-20,33.345,33.345,32.19,32.655,1866200.0,0
1999-07-21,32.875,33.375,32.565,33.065,1264400.0,0
1999-07-22,33.75,34.25,33.065,33.625,3559200.0,0
1999-07-23,33.625,34.75,33.625,34.44,2617000.0,0
1999-07-26,34.19,34.875,34.125,34.345,1258400.0,0
1999-07-27,34.375,34.69,34.25,34.25,2290200.0,0
1999-07-28,34.315,34.655,34.25,34.375,999800.0,0
1999-07-29,34.25,34.625,34.19,34.345,1669400.0,0
1999-07-30,34.53,34.565,34.155,34.345,948800.0,0
1999-08-02,34.405,34.875,34.03,34.28,1564400.0,0
1999-08-03,34.315,34.595,33.655,33.815,1124800.0,0
1999-08-04,33.625,33.845,32.565,32.78,1574200.0,0
1999-08-05,33.0,33.625,33.0,33.25,2000400.0,0
1999-08-06,33.25,33.28,32.94,33.125,1184200.0,0
1999-08-09,33.0,33.065,32.5,32.72,1916000.0,0
1999-08-10,32.5,32.625,31.72,32.22,1593200.0,0
1999-08-11,32.19,33.125,32.155,32.905,1494200.0,0
1999-08-12,32.875,33.315,32.69,33.065,1873600.0,0
1999-08-13,33.095,33.75,33.065,33.75,772200.0,0
1999-08-16,33.625,34.095,33.19,33.625,1831400.0,0
1999-08-17,34.065,34.065,33.595,34.0,1117600.0,0
1999-08-18,34.125,34.345,33.875,34.0,1354800.0,0
1999-08-19,33.815,33.94,33.565,33.78,832800.0,0
1999-08-20,33.815,34.0,33.655,33.97,1311400.0,0
1999-08-23,34.0,34.625,34.0,34.595,1017600.0,0
1999-08-24,34.595,34.625,34.155,34.5,811000.0,0
1999-08-25,34.625,35.44,34.47,35.375,2478800.0,0
1999-08-26,35.25,35.25,34.815,35.0,1711600.0,0
1999-08-27,35.0,35.0,34.19,34.19,654800.0,0
1999-08-30,34.065,34.22,33.69,34.065,952600.0,0
1999-08-31,34.19,34.25,33.47,33.53,871200.0,0
1999-09-01,33.5,33.97,33.5,33.845,1243800.0,0
1999-09-02,33.905,33.905,33.375,33.625,587600.0,0
1999-09-03,34.0,34.315,34.0,34.125,1237200.0,0
1999-09-07,34.155,34.78,33.97,34.095,728200.0,0
1999-09-08,34.155,34.155,33.655,33.94,1028600.0,0
1999-09-09,33.875,33.94,33.565,33.815,995400.0,0
1999-09-10,33.845,33.845,33.375,33.405,652200.0,0
1999-09-13,33.47,33.75,33.155,33.405,971400.0,0
1999-09-14,33.28,33.28,32.345,32.47,1085800.0,0
1999-09-15,32.595,32.94,32.44,32.5,1059800.0,0
1999-09-16,32.375,32.375,31.47,31.815,1095600.0,0
