date,open,high,low,close,volume,padding
1999-01-04,42.69,44.19,42.69,43.0,956600.0,0
1999-01-05,43.0,43.25,42.25,42.81,404500.0,0
1999-01-06,42.69,42.94,41.25,41.81,920100.0,0
1999-01-07,41.75,41.75,39.56,40.0,1531200.0,0
1999-01-08,40.19,41.88,40.13,41.56,1313900.0,0
1999-01-11,41.13,41.25,40.44,41.06,546700.0,0
1999-01-12,40.81,41.25,40.5,40.63,621400.0,0
1999-01-13,40.13,40.38,39.31,40.0,623400.0,0
1999-01-14,40.0,40.38,39.06,39.25,613300.0,0
1999-01-15,39.5,40.19,39.13,39.75,498600.0,0
1999-01-19,39.5,39.69,38.06,38.38,903400.0,0
1999-01-20,38.38,38.69,35.25,35.25,1650200.0,0
1999-01-21,37.25,38.56,36.44,36.81,2529900.0,0
1999-01-22,31.75,34.63,31.5,33.75,7810600.0,0
1999-01-25,34.25,36.06,34.06,35.69,3122400.0,0
1999-01-26,35.75,37.13,34.44,36.25,1453400.0,0
1999-01-27,36.75,36.81,36.25,36.5,1142100.0,0
1999-01-28,36.38,37.56,36.31,36.31,1174100.0,0
1999-01-29,36.44,36.88,35.75,35.75,1517700.0,0
1999-02-01,36.0,37.0,35.88,36.0,1748300.0,0
1999-02-02,36.75,37.19,35.75,36.63,1110600.0,0
1999-02-03,36.5,38.0,36.5,37.44,1444800.0,0
1999-02-04,37.5,37.56,35.94,36.13,1538100.0,0
1999-02-05,36.13,37.19,35.88,36.56,895200.0,0
1999-02-08,36.31,36.38,35.44,35.75,1283800.0,0
1999-02-09,35.5,36.13,34.44,34.75,974200.0,0
1999-02-10,34.88,35.25,33.88,34.0,1122600.0,0
1999-02-11,34.25,35.25,34.25,35.06,1717600.0,0
1999-02-12,35.25,35.75,34.56,34.88,916500.0,0
1999-02-16,35.13,35.94,34.31,34.44,706800.0,0
1999-02-17,34.25,34.38,33.25,33.75,2045800.0,0
1999-02-18,33.5,33.75,33.13,33.63,1515300.0,0
1999-02-19,33.63,33.63,32.94,33.25,1323800.0,0
1999-02-22,33.25,34.13,33.19,33.94,1284500.0,0
1999-02-23,33.94,34.44,33.44,33.81,840000.0,0
1999-02-24,34.06,35.0,33.88,34.81,791600.0,0
1999-02-25,34.0,34.25,33.19,33.5,1317000.0,0
1999-02-26,34.25,34.38,32.69,33.25,1563200.0,0
1999-03-01,33.38,34.0,33.25,33.56,777800.0,0
1999-03-02,33.81,35.13,33.75,35.0,901300.0,0
1999-03-03,34.94,35.69,34.69,35.5,1292800.0,0
1999-03-04,35.56,35.75,34.13,34.75,1252600.0,0
1999-03-05,35.0,36.88,35.0,36.63,1214300.0,0
1999-03-08,36.25,37.25,36.19,37.13,826700.0,0
1999-03-09,36.88,37.5,35.88,37.31,1252700.0,0
1999-03-10,37.31,37.5,36.75,37.0,822300.0,0
1999-03-11,37.44,38.75,37.31,38.75,967800.0,0
1999-03-12,38.56,40.06,38.25,39.38,1700600.0,0
1999-03-15,40.0,40.38,38.5,39.13,1156400.0,0
1999-03-16,38.75,39.44,38.19,38.56,1368300.0,0
1999-03-17,38.56,38.88,37.38,38.0,1375100.0,0
1999-03-18,37.0,37.63,36.44,37.0,1656100.0,0
1999-03-19,37.0,37.0,35.31,35.31,1642400.0,0
1999-03-22,35.5,37.38,35.0,35.75,1411000.0,0
1999-03-23,36.13,38.19,36.0,38.19,1645100.0,0
1999-03-24,38.19,40.38,37.19,39.75,2162000.0,0
1999-03-25,40.38,40.94,39.75,40.63,895800.0,0
1999-03-26,40.63,43.13,39.88,42.0,1631300.0,0
1999-03-29,41.25,42.0,41.13,41.63,863800.0,0
1999-03-30,41.38,41.38,39.38,39.75,1144400.0,0
1999-03-31,39.5,39.81,38.13,38.31,3016000.0,0
1999-04-01,38.5,39.0,38.25,38.25,857500.0,0
1999-04-05,38.44,39.13,37.69,37.81,590400.0,0
1999-04-06,37.94,38.19,37.25,37.38,974600.0,0
1999-04-07,37.63,38.13,37.0,37.69,701100.0,0
1999-04-08,37.44,38.44,37.25,38.0,1027600.0,0
1999-04-09,37.63,38.25,37.44,38.06,502500.0,0
1999-04-12,37.5,38.13,37.13,37.69,1070500.0,0
1999-04-13,37.56,39.25,37.19,38.56,579700.0,0
1999-04-14,38.75,39.88,38.25,38.38,906300.0,0
1999-04-15,38.38,38.38,36.69,38.31,1201000.0,0
1999-04-16,38.13,38.31,36.94,37.75,1256900.0,0
1999-04-19,38.0,38.63,36.75,37.0,1039300.0,0
1999-04-20,36.75,37.75,36.56,36.81,792200.0,0
1999-04-21,36.81,40.0,36.19,39.13,1206300.0,0
1999-04-22,40.25,41.13,39.56,41.06,1430000.0,0
1999-04-23,41.0,42.0,40.88,41.69,905400.0,0
1999-04-26,41.69,41.69,40.5,40.81,587000.0,0
1999-04-27,41.06,41.44,40.19,40.81,897400.0,0
1999-04-28,40.69,41.25,38.25,39.13,1242400.0,0
1999-04-29,39.25,39.38,38.06,38.44,519100.0,0
1999-04-30,38.44,38.44,37.19,37.19,497800.0,0
1999-05-03,37.44,38.81,37.13,38.69,635500.0,0
1999-05-04,38.69,38.81,37.75,37.81,462900.0,0
1999-05-05,37.81,37.94,36.44,37.0,774900.0,0
1999-05-06,36.81,39.5,36.5,38.63,934600.0,0
1999-05-07,38.13,39.0,37.88,38.56,777200.0,0
1999-05-10,38.63,39.25,37.5,38.63,586400.0,0
1999-05-11,38.94,39.13,38.25,38.25,645000.0,0
1999-05-12,38.25,38.81,38.0,38.5,768500.0,0
1999-05-13,38.31,38.31,37.5,37.88,919900.0,0
1999-05-14,37.75,37.75,36.75,37.0,712000.0,0
1999-05-17,37.25,37.5,36.31,37.25,450300.0,0
1999-05-18,37.0,37.38,36.56,37.0,555400.0,0
1999-05-19,37.13,38.0,37.13,37.88,370100.0,0
1999-05-20,37.88,38.69,37.5,38.19,593700.0,0
1999-05-21,37.19,38.75,36.94,38.25,917200.0,0
1999-05-24,38.25,38.81,37.0,37.44,499000.0,0
1999-05-25,37.19,38.13,37.13,37.19,525700.0,0
1999-05-26,37.44,38.63,37.25,38.44,1077000.0,0
1999-05-27,38.19,38.81,37.56,38.38,786800.0,0
1999-05-28,38.5,39.31,38.25,38.81,1146200.0,0
1999-06-01,38.56,38.56,37.25,38.38,501200.0,0
1999-06-02,38.25,38.44,37.19,37.25,628500.0,0
1999-06-03,37.25,37.44,36.63,37.0,627000.0,0
1999-06-04,37.0,37.31,36.63,37.19,1369300.0,0
1999-06-07,37.06,39.38,37.06,39.0,864500.0,0
1999-06-08,38.81,38.81,37.5,37.69,554500.0,0
1999-06-09,37.69,38.69,37.69,38.69,439100.0,0
1999-06-10,38.5,39.13,37.88,39.13,815500.0,0
1999-06-11,38.75,39.44,38.56,39.0,661600.0,0
1999-06-14,32.75,33.0,29.5,30.31,8628700.0,0
1999-06-15,30.31,30.75,29.0,29.5,4740600.0,0
1999-06-16,30.0,30.44,29.81,30.0,3627700.0,0
1999-06-17,30.13,31.06,30.06,31.0,2018700.0,0
1999-06-18,30.88,31.06,30.44,30.59,1639200.0,0
1999-06-21,30.44,31.0,30.0,30.13,3398400.0,0
1999-06-22,29.88,30.25,29.69,29.94,1811000.0,0
1999-06-23,30.0,30.13,29.5,29.75,1188600.0,0
1999-06-24,29.94,30.5,29.56,30.06,2146800.0,0
1999-06-25,30.31,30.44,29.75,30.0,1510700.0,0
1999-06-28,30.06,30.75,30.06,30.5,1213300.0,0
1999-06-29,30.56,30.56,30.13,30.5,1263200.0,0
1999-06-30,30.44,30.44,30.0,30.0,1499000.0,0
1999-07-01,30.0,30.06,29.19,29.63,2769000.0,0
1999-07-02,29.88,29.88,28.25,28.94,2101300.0,0
1999-07-06,29.38,29.5,28.38,29.19,2223400.0,0
1999-07-07,29.0,29.19,28.75,28.81,1560600.0,0
1999-07-08,28.56,29.0,28.31,28.44,3393700.0,0
1999-07-09,28.5,28.5,28.31,28.31,1006800.0,0
1999-07-12,28.38,29.75,28.06,29.63,1262000.0,0
1999-07-13,29.31,30.06,29.19,29.75,1271400.0,0
1999-07-14,29.5,29.63,29.31,29.63,782500.0,0
1999-07-15,29.63,29.88,29.63,29.88,923200.0,0
1999-07-16,29.88,29.88,28.75,29.0,1535900.0,0
1999-07-19,29.0,29.0,28.06,28.19,705300.0,0
1999-07-20,28.38,28.5,28.13,28.19,1250500.0,0
1999-07-21,29.13,29.13,28.31,28.5,1443100.0,0
1999-07-22,28.44,28.44,26.31,27.25,2724400.0,0
1999-07-23,27.5,27.56,27.06,27.19,1534700.0,0
1999-07-26,27.06,27.38,26.81,26.94,1158700.0,0
1999-07-27,27.0,27.69,26.81,27.38,2247700.0,0
1999-07-28,27.38,27.38,26.94,27.31,1293300.0,0
1999-07-29,27.13,27.38,26.94,27.31,1507700.0,0
1999-07-30,27.88,27.88,27.06,27.44,1805900.0,0
1999-08-02,27.25,28.44,27.19,27.81,1439400.0,0
1999-08-03,27.94,28.19,27.44,27.88,1407300.0,0
1999-08-04,27.88,27.88,26.38,26.63,1293500.0,0
1999-08-05,26.63,26.75,26.0,26.19,2078800.0,0
1999-08-06,25.94,26.44,25.81,26.38,941600.0,0
1999-08-09,26.25,26.81,26.13,26.81,610200.0,0
1999-08-10,26.69,26.81,25.5,26.06,1885200.0,0
1999-08-11,26.13,27.25,25.5,26.63,916600.0,0
