date,open,high,low,close,volume,padding
1999-01-04,11.21,12.353,11.21,11.917,4376700.0,0
1999-01-05,12.0,12.543,12.0,12.417,2144700.0,0
1999-01-06,12.583,12.793,12.583,12.603,2920200.0,0
1999-01-07,12.167,12.647,12.167,12.27,2391000.0,0
1999-01-08,12.083,12.21,11.833,12.167,5310300.0,0
1999-01-11,12.167,12.293,11.667,11.917,2760300.0,0
1999-01-12,11.897,11.897,11.543,11.71,1889400.0,0
1999-01-13,11.293,11.48,11.187,11.333,2143500.0,0
1999-01-14,11.293,11.293,10.603,10.647,3462000.0,0
1999-01-15,10.71,11.313,10.71,11.127,2976000.0,0
1999-01-19,11.167,11.293,10.813,10.98,2229600.0,0
1999-01-20,11.0,11.353,10.877,11.0,2254800.0,0
1999-01-21,10.667,10.71,10.25,10.27,3173100.0,0
1999-01-22,9.0,10.52,9.0,10.377,8016900.0,0
1999-01-25,10.313,10.417,10.127,10.333,2897400.0,0
1999-01-26,10.333,10.583,10.333,10.333,4121400.0,0
1999-01-27,10.417,10.667,10.293,10.293,1513200.0,0
1999-01-28,10.353,10.583,10.353,10.52,1840200.0,0
1999-01-29,10.583,11.167,10.52,11.167,2874600.0,0
1999-02-01,11.0,11.417,10.75,11.23,3205800.0,0
1999-02-02,11.147,11.25,10.75,11.083,2140800.0,0
1999-02-03,11.043,11.417,11.0,11.293,1927200.0,0
1999-02-04,11.21,11.23,11.083,11.127,1617300.0,0
1999-02-05,11.083,11.083,10.917,11.0,2383800.0,0
1999-02-08,11.083,11.583,11.043,11.25,3111900.0,0
1999-02-09,11.25,11.417,11.167,11.23,5652900.0,0
1999-02-10,11.21,11.23,10.71,10.897,2658600.0,0
1999-02-11,10.833,11.103,10.813,10.877,2346900.0,0
1999-02-12,10.75,10.75,10.23,10.397,2455200.0,0
1999-02-16,10.333,10.48,10.043,10.417,2190600.0,0
1999-02-17,10.25,10.563,10.167,10.23,2037000.0,0
1999-02-18,10.417,10.603,10.377,10.417,1493700.0,0
1999-02-19,10.25,10.75,10.167,10.417,1789200.0,0
1999-02-22,10.48,11.167,10.48,11.147,1635000.0,0
1999-02-23,11.147,11.293,10.793,10.793,1771800.0,0
1999-02-24,10.877,11.187,10.437,10.543,1559700.0,0
1999-02-25,10.48,10.71,10.043,10.377,1868100.0,0
1999-02-26,10.353,10.603,10.147,10.603,1157400.0,0
1999-03-01,10.667,10.96,10.437,10.897,990600.0,0
1999-03-02,10.853,10.853,10.27,10.293,1260600.0,0
1999-03-03,10.27,10.543,10.103,10.52,1761600.0,0
1999-03-04,10.563,10.813,10.23,10.603,1593900.0,0
1999-03-05,11.083,11.103,10.833,11.02,2655300.0,0
1999-03-08,10.937,11.043,10.397,10.603,1137600.0,0
1999-03-09,10.667,10.833,10.417,10.833,997500.0,0
1999-03-10,10.77,10.98,10.5,10.96,1364400.0,0
1999-03-11,11.0,11.333,10.853,11.25,2616900.0,0
1999-03-12,10.75,11.02,10.5,10.687,3296100.0,0
1999-03-15,10.627,10.73,10.25,10.313,2704200.0,0
1999-03-16,10.27,10.75,10.27,10.543,3167400.0,0
1999-03-17,10.46,10.48,10.083,10.23,2100900.0,0
1999-03-18,10.167,10.75,10.167,10.75,1849200.0,0
1999-03-19,10.897,10.897,10.333,10.437,1958400.0,0
1999-03-22,10.417,10.417,10.147,10.23,1508700.0,0
1999-03-23,10.23,10.23,9.5,9.627,2807400.0,0
1999-03-24,9.647,9.75,9.583,9.73,4777200.0,0
1999-03-25,9.647,10.127,9.583,10.083,953100.0,0
1999-03-26,9.937,10.02,9.667,9.73,1621200.0,0
1999-03-29,9.77,10.0,9.73,9.98,1718100.0,0
1999-03-30,9.813,9.98,9.667,9.75,779100.0,0
1999-03-31,9.73,9.793,9.293,9.377,1857000.0,0
1999-04-01,9.377,9.71,9.293,9.397,2084100.0,0
1999-04-05,9.437,9.46,9.21,9.377,1506300.0,0
1999-04-06,9.23,9.333,9.083,9.083,1214700.0,0
1999-04-07,9.127,9.313,9.043,9.187,2121300.0,0
1999-04-08,9.167,9.877,9.127,9.75,2012400.0,0
1999-04-09,9.627,9.833,9.603,9.667,1609200.0,0
1999-04-12,9.583,9.833,9.48,9.667,1828200.0,0
1999-04-13,9.667,9.793,9.627,9.71,1565400.0,0
1999-04-14,9.687,9.687,9.353,9.52,1683600.0,0
1999-04-15,9.52,10.48,9.52,10.293,4596600.0,0
1999-04-16,10.5,11.687,10.397,11.667,6074100.0,0
1999-04-19,11.917,12.937,11.333,11.52,5816400.0,0
1999-04-20,11.603,11.877,11.417,11.5,1536900.0,0
1999-04-21,11.46,11.937,11.21,11.937,1093500.0,0
1999-04-22,11.853,12.127,11.667,11.833,1788900.0,0
1999-04-23,11.813,12.0,11.667,11.73,993600.0,0
1999-04-26,11.73,12.0,11.73,12.0,1092300.0,0
1999-04-27,12.167,13.333,12.167,13.25,5213700.0,0
1999-04-28,13.27,13.293,13.0,13.083,2679900.0,0
1999-04-29,13.25,13.333,13.02,13.23,1435800.0,0
1999-04-30,13.333,13.833,13.293,13.333,5031300.0,0
1999-05-03,13.313,13.377,12.917,13.333,1804800.0,0
1999-05-04,13.417,13.627,13.333,13.377,1669800.0,0
1999-05-05,13.46,13.46,12.687,13.103,1328700.0,0
1999-05-06,13.167,13.21,12.833,13.167,921600.0,0
1999-05-07,13.313,13.627,13.23,13.397,4074300.0,0
1999-05-10,13.417,13.417,13.127,13.27,1310100.0,0
1999-05-11,13.27,13.377,13.187,13.333,1078200.0,0
1999-05-12,13.313,13.417,13.043,13.333,1120200.0,0
1999-05-13,13.313,14.98,13.167,14.833,4102800.0,0
1999-05-14,14.75,14.813,14.397,14.687,3590700.0,0
1999-05-17,14.833,14.98,14.02,14.21,1961400.0,0
1999-05-18,14.187,14.833,14.063,14.687,2053800.0,0
1999-05-19,14.603,15.0,14.5,15.0,1861200.0,0
1999-05-20,14.96,14.96,14.5,14.77,1046100.0,0
1999-05-21,14.603,14.73,14.5,14.603,980100.0,0
1999-05-24,14.667,14.73,14.333,14.333,1283400.0,0
1999-05-25,14.353,14.417,13.687,13.687,1851000.0,0
1999-05-26,13.75,13.877,13.377,13.793,4389300.0,0
1999-05-27,13.667,13.833,13.46,13.813,3236700.0,0
1999-05-28,13.813,14.583,13.813,14.5,1251300.0,0
1999-06-01,14.583,14.75,14.333,14.75,3147600.0,0
1999-06-02,14.71,14.793,14.043,14.187,2396400.0,0
1999-06-03,14.21,14.353,13.833,13.853,1623900.0,0
1999-06-04,13.853,13.853,12.687,13.167,4777200.0,0
1999-06-07,13.23,13.813,13.103,13.77,2259300.0,0
1999-06-08,13.77,13.77,13.563,13.647,1571100.0,0
1999-06-09,13.627,13.647,13.083,13.313,1422600.0,0
1999-06-10,13.25,13.25,12.853,13.103,2028600.0,0
1999-06-11,13.103,13.377,12.877,12.96,1429800.0,0
1999-06-14,13.02,13.043,12.667,12.793,2721600.0,0
1999-06-15,13.083,13.167,12.667,12.813,1947000.0,0
1999-06-16,12.98,13.667,12.96,13.353,2169900.0,0
1999-06-17,13.353,13.377,13.21,13.25,673800.0,0
1999-06-18,13.21,13.313,13.187,13.313,1237200.0,0
1999-06-21,13.313,13.543,13.21,13.293,2039100.0,0
1999-06-22,13.353,13.353,12.77,12.833,1904100.0,0
1999-06-23,12.793,12.833,12.687,12.75,1781100.0,0
1999-06-24,12.687,12.71,12.25,12.25,1199100.0,0
1999-06-25,12.293,12.627,12.25,12.27,1187400.0,0
1999-06-28,12.313,12.667,12.313,12.543,1157700.0,0
1999-06-29,12.293,12.377,12.21,12.27,1656000.0,0
1999-06-30,12.377,13.603,12.147,13.543,3783900.0,0
1999-07-01,13.377,13.96,13.293,13.96,2631300.0,0
1999-07-02,13.917,14.02,13.833,13.98,1355400.0,0
1999-07-06,13.98,14.48,13.937,14.127,1562700.0,0
1999-07-07,14.063,14.127,13.627,13.897,910200.0,0
1999-07-08,13.877,13.877,13.52,13.667,982200.0,0
1999-07-09,13.667,14.063,13.667,14.02,1101900.0,0
1999-07-12,14.02,14.127,13.853,13.98,825600.0,0
1999-07-13,13.333,13.46,13.0,13.353,1389600.0,0
1999-07-14,13.417,13.52,13.21,13.353,633300.0,0
1999-07-15,13.417,13.48,13.187,13.353,1155600.0,0
1999-07-16,13.333,13.333,12.917,13.21,780300.0,0
1999-07-19,13.167,13.187,12.793,12.917,686100.0,0
1999-07-20,12.96,13.083,12.71,12.73,1601400.0,0
1999-07-21,12.77,12.897,12.77,12.877,1165500.0,0
1999-07-22,12.917,13.147,12.77,12.813,1277400.0,0
1999-07-23,13.21,13.21,12.52,12.563,1570500.0,0
1999-07-26,12.627,12.833,12.543,12.667,1095000.0,0
1999-07-27,12.71,13.27,12.687,13.23,1374300.0,0
1999-07-28,13.27,13.417,13.0,13.063,1270500.0,0
1999-07-29,12.96,12.96,12.563,12.71,857100.0,0
1999-07-30,12.917,13.063,12.71,12.71,1350600.0,0
1999-08-02,12.627,12.917,12.417,12.75,1329000.0,0
1999-08-03,12.813,12.853,12.46,12.5,1369500.0,0
1999-08-04,12.46,12.853,12.333,12.377,497700.0,0
1999-08-05,12.333,12.48,12.21,12.377,1053900.0,0
1999-08-06,12.377,12.48,12.23,12.27,1929000.0,0
1999-08-09,12.313,12.437,12.27,12.417,463200.0,0
1999-08-10,12.5,12.5,12.127,12.27,1225200.0,0
1999-08-11,12.27,12.583,12.187,12.48,821400.0,0
1999-08-12,12.46,12.48,12.25,12.353,863400.0,0
1999-08-13,12.377,12.813,12.377,12.77,880200.0,0
1999-08-16,12.77,12.793,12.52,12.793,676200.0,0
1999-08-17,12.96,13.147,12.77,13.147,632400.0,0
1999-08-18,13.21,13.21,12.877,13.043,776700.0,0
1999-08-19,12.75,12.98,12.603,12.917,639600.0,0
1999-08-20,13.043,13.063,12.877,13.02,648900.0,0
1999-08-23,13.043,13.083,12.917,13.02,1107600.0,0
1999-08-24,13.083,13.083,12.917,13.063,714300.0,0
1999-08-25,13.043,13.043,12.73,12.833,960300.0,0
1999-08-26,12.417,12.96,12.377,12.833,719100.0,0
1999-08-27,12.73,12.75,12.437,12.46,861300.0,0
1999-08-30,12.5,12.5,11.77,11.853,1479000.0,0
1999-08-31,11.937,12.293,11.77,11.98,1069500.0,0
1999-09-01,11.98,11.98,11.73,11.813,972600.0,0
1999-09-02,11.77,11.77,11.397,11.563,752100.0,0
1999-09-03,11.667,11.73,11.583,11.687,1497000.0,0
1999-09-07,11.687,11.73,11.52,11.52,1711500.0,0
1999-09-08,11.46,11.5,11.147,11.167,1539300.0,0
1999-09-09,11.083,11.083,10.52,10.687,2631600.0,0
1999-09-10,10.687,11.187,10.687,10.813,1870800.0,0
1999-09-13,10.75,10.77,10.603,10.647,1840500.0,0
1999-09-14,10.583,10.647,10.46,10.48,2010300.0,0
1999-09-15,10.48,10.563,10.293,10.293,1498800.0,0
1999-09-16,10.21,10.293,10.127,10.187,1384800.0,0
1999-09-17,10.167,10.417,10.167,10.187,1210200.0,0
1999-09-20,10.21,10.313,10.167,10.21,1410300.0,0
1999-09-21,10.127,10.333,10.083,10.167,2565000.0,0
1999-09-22,10.167,10.353,10.0,10.167,2850600.0,0
1999-09-23,10.043,10.127,9.917,10.043,3134100.0,0
1999-09-24,10.02,10.25,10.0,10.187,2134200.0,0
1999-09-27,10.27,10.397,10.083,10.167,2036100.0,0
1999-09-28,9.98,10.21,9.98,10.187,1284000.0,0
1999-09-29,10.127,10.377,10.063,10.313,835500.0,0
1999-09-30,10.5,10.583,10.127,10.187,1604700.0,0
1999-10-01,10.083,10.083,9.687,9.77,849600.0,0
1999-10-04,9.793,9.937,9.77,9.877,1801800.0,0
1999-10-05,9.793,10.293,9.77,10.043,1047000.0,0
1999-10-06,10.103,10.71,10.103,10.437,1223700.0,0
1999-10-07,10.353,10.603,10.21,10.313,870900.0,0
1999-10-08,10.25,10.377,9.98,10.127,1022700.0,0
1999-10-11,10.187,10.187,9.877,9.96,824100.0,0
1999-10-12,9.937,10.127,9.917,10.0,827700.0,0
1999-10-13,10.0,10.02,9.583,9.667,1161000.0,0
1999-10-14,9.71,9.833,9.48,9.603,740100.0,0
1999-10-15,9.52,9.52,9.147,9.147,1305300.0,0
1999-10-18,9.167,9.397,9.127,9.293,1094700.0,0
1999-10-19,9.333,9.417,9.25,9.27,2201400.0,0
1999-10-20,9.353,9.667,9.353,9.667,827100.0,0
1999-10-21,9.627,10.147,9.5,9.877,1359600.0,0
1999-10-22,9.853,10.603,9.793,10.563,932400.0,0
1999-10-25,10.48,10.48,10.0,10.377,858300.0,0
1999-10-26,10.293,10.5,10.25,10.27,602700.0,0
1999-10-27,10.23,10.543,10.21,10.52,1780800.0,0
1999-10-28,10.687,11.02,10.667,10.98,1851300.0,0
1999-10-29,11.063,11.667,10.98,11.667,2067000.0,0
1999-11-01,11.627,11.627,11.23,11.417,1153800.0,0
1999-11-02,11.417,11.48,11.127,11.127,1116600.0,0
1999-11-03,11.0,11.0,10.543,10.71,1919100.0,0
1999-11-04,10.71,11.127,10.71,10.937,1075200.0,0
1999-11-05,11.127,11.353,10.98,11.043,927000.0,0
1999-11-08,11.103,11.103,10.48,10.543,1197000.0,0
1999-11-09,10.583,10.793,10.583,10.667,1170900.0,0
1999-11-10,10.417,10.48,10.313,10.313,570000.0,0
1999-11-11,10.377,10.397,10.167,10.27,474000.0,0
1999-11-12,10.27,11.083,10.127,11.0,1123800.0,0
1999-11-15,10.96,10.96,10.75,10.877,553800.0,0
1999-11-16,10.917,11.46,10.917,11.23,1239900.0,0
1999-11-17,11.083,11.127,10.833,10.96,926100.0,0
1999-11-18,10.71,11.0,10.687,10.937,566100.0,0
1999-11-19,10.96,11.21,10.877,11.21,1228800.0,0
1999-11-22,11.063,11.21,10.98,11.147,1403400.0,0
1999-11-23,11.187,11.397,10.77,10.98,2841300.0,0
1999-11-24,10.96,11.333,10.917,11.25,3907200.0,0
