date,open,high,low,close,volume,padding
1999-01-04,7.843,8.0,7.48,7.792000000000002,2570400.0,0
1999-01-05,7.77,7.813,7.332999999999997,7.375,2304000.0,0
1999-01-06,7.395,7.48,6.9170000000000025,7.0,3258000.0,0
1999-01-07,7.0,7.457999999999997,6.77,7.125,3339600.0,0
1999-01-08,7.0829999999999975,7.52,7.063,7.27,2253000.0,0
1999-01-11,7.187,7.25,7.0829999999999975,7.187,949200.0,0
1999-01-12,7.355,7.832999999999997,7.355,7.5,4279200.0,0
1999-01-13,7.468,7.865,7.292000000000002,7.718,2120400.0,0
1999-01-14,7.667000000000002,8.375,7.667000000000002,8.042,4140000.0,0
1999-01-15,8.062999999999999,8.573,8.062999999999999,8.5,4648200.0,0
1999-01-19,8.605,8.667,7.895,8.083,5175600.0,0
1999-01-20,8.187000000000001,8.187000000000001,7.875,7.957999999999997,2295000.0,0
1999-01-21,8.23,8.23,7.563,7.885,6894000.0,0
1999-01-22,7.822999999999999,8.27,7.822999999999999,8.02,4309800.0,0
1999-01-25,7.957999999999997,8.02,7.667000000000002,7.77,2476800.0,0
1999-01-26,7.667000000000002,7.957999999999997,7.667000000000002,7.937,2729400.0,0
1999-01-27,7.957999999999997,8.105,7.542000000000002,7.605,2386200.0,0
1999-01-28,7.667000000000002,7.832999999999997,7.645,7.832999999999997,1920600.0,0
1999-01-29,7.895,8.417,7.895,8.417,2473800.0,0
1999-02-01,8.427,8.5,8.27,8.5,2074800.0,0
1999-02-02,8.355,8.458,8.145,8.312999999999999,1214400.0,0
1999-02-03,8.167,8.25,7.48,7.832999999999997,3216600.0,0
1999-02-04,7.832999999999997,8.0,7.385,7.52,2550600.0,0
1999-02-05,7.5,7.542000000000002,6.98,7.115,1718400.0,0
1999-02-08,7.125,7.52,7.0,7.355,3313800.0,0
1999-02-09,7.355,7.48,7.125,7.207999999999997,4250400.0,0
1999-02-10,7.1670000000000025,7.1670000000000025,6.75,6.99,7157400.0,0
1999-02-11,6.98,7.1670000000000025,6.895,7.1670000000000025,2318400.0,0
1999-02-12,7.1670000000000025,7.1670000000000025,6.605,6.855,1447800.0,0
1999-02-16,6.9170000000000025,7.145,6.813,6.9579999999999975,1569600.0,0
1999-02-17,6.895,7.0420000000000025,6.7079999999999975,6.875,3075600.0,0
1999-02-18,7.0,7.207999999999997,6.895,7.162000000000001,2165400.0,0
1999-02-19,7.187,7.73,7.0420000000000025,7.542000000000002,3957000.0,0
1999-02-22,7.542000000000002,7.832999999999997,7.417000000000002,7.645,2712000.0,0
1999-02-23,7.73,7.73,7.355,7.657,1221600.0,0
1999-02-24,7.687,7.687,7.5,7.542000000000002,817800.0,0
1999-02-25,7.563,7.563,7.292000000000002,7.52,1350600.0,0
1999-02-26,7.437,7.52,7.198,7.218,1869000.0,0
1999-03-01,7.187,7.417000000000002,7.0,7.395,1014600.0,0
1999-03-02,7.332999999999997,7.687,7.25,7.667000000000002,1920600.0,0
1999-03-03,7.822999999999999,8.23,7.792000000000002,8.042,7197000.0,0
1999-03-04,8.042,8.417,8.02,8.355,3885000.0,0
1999-03-05,8.448,8.583,8.375,8.583,2389800.0,0
1999-03-08,8.448,9.042,8.333,8.75,5737800.0,0
1999-03-09,8.792,9.135,8.77,9.083,3280200.0,0
1999-03-10,9.083,9.167,8.77,9.145,5107200.0,0
1999-03-11,9.145,9.187,9.01,9.167,2427000.0,0
1999-03-12,9.187,9.187,8.605,8.698,3045000.0,0
1999-03-15,8.687000000000001,8.76,8.187000000000001,8.25,1854000.0,0
1999-03-16,8.437000000000001,8.52,8.167,8.312999999999999,3584400.0,0
1999-03-17,8.312999999999999,8.48,8.208,8.333,2884800.0,0
1999-03-18,8.25,8.333,7.99,8.167,3918600.0,0
1999-03-19,8.157,8.157,7.667000000000002,7.832999999999997,3368400.0,0
1999-03-22,7.73,8.02,7.73,7.98,795000.0,0
1999-03-23,7.855,8.062999999999999,7.75,8.02,890400.0,0
1999-03-24,8.042,8.167,7.98,8.167,1495200.0,0
1999-03-25,8.167,8.667,8.0,8.625,2365800.0,0
1999-03-26,8.573,8.812999999999997,8.375,8.667,1193400.0,0
1999-03-29,8.667,8.833,8.333,8.562999999999999,1722000.0,0
1999-03-30,8.375,8.542,8.333,8.427,1149000.0,0
1999-03-31,8.375,8.583,7.75,8.562999999999999,2635800.0,0
1999-04-01,8.605,8.792,8.458,8.77,1679400.0,0
1999-04-05,8.75,9.23,8.73,9.187,4359000.0,0
1999-04-06,9.042,9.355,8.885,9.23,1599600.0,0
1999-04-07,9.27,9.355,8.75,8.802,2594400.0,0
1999-04-08,8.855,9.145,8.687000000000001,8.98,1888800.0,0
1999-04-09,8.958,9.645,8.833,9.583,3282000.0,0
1999-04-12,9.375,9.855,9.282,9.583,5971800.0,0
1999-04-13,9.563,9.645,9.417,9.437,1669200.0,0
1999-04-14,9.355,9.458,8.667,8.75,1615200.0,0
1999-04-15,8.855,8.937000000000003,8.25,8.312999999999999,1849800.0,0
1999-04-16,8.26,8.355,8.042,8.187000000000001,3077400.0,0
1999-04-19,8.187000000000001,8.25,7.0829999999999975,7.125,3063600.0,0
1999-04-20,7.332999999999997,9.187,7.292000000000002,9.083,7174200.0,0
1999-04-21,9.02,9.833,8.855,9.51,3808800.0,0
1999-04-22,9.5,9.5,8.5,8.823,1642200.0,0
1999-04-23,8.958,8.958,8.355,8.792,1375200.0,0
1999-04-26,8.792,8.833,8.625,8.75,1384800.0,0
1999-04-27,8.75,9.48,8.667,9.208,1077600.0,0
1999-04-28,9.105,9.395,8.583,8.73,1331400.0,0
1999-04-29,8.667,8.792,8.583,8.687000000000001,1622400.0,0
1999-04-30,8.718,8.833,8.167,8.458,1602600.0,0
1999-05-03,8.417,9.333,8.417,9.167,2854200.0,0
1999-05-04,9.25,9.5,9.167,9.365,3114600.0,0
1999-05-05,9.292,9.458,8.958,9.437,2153400.0,0
1999-05-06,9.437,9.73,9.333,9.437,1380000.0,0
1999-05-07,9.458,9.833,9.25,9.833,1562400.0,0
1999-05-10,9.833,10.0,9.437,9.52,1629600.0,0
1999-05-11,9.542,9.573,9.25,9.5,1341600.0,0
1999-05-12,9.52,9.833,9.437,9.583,774600.0,0
1999-05-13,9.625,10.105,9.583,10.032,2891400.0,0
1999-05-14,9.687,9.937,9.375,9.917,2692800.0,0
1999-05-17,9.833,9.875,9.187,9.458,1510800.0,0
1999-05-18,9.458,9.458,9.042,9.042,1997400.0,0
1999-05-19,9.063,9.292,8.833,9.052,1102800.0,0
1999-05-20,9.083,9.49,8.958,9.167,1755000.0,0
1999-05-21,9.25,9.395,9.145,9.167,1039200.0,0
1999-05-24,9.125,9.167,8.667,8.687000000000001,1404000.0,0
1999-05-25,8.667,8.782,8.542,8.583,942600.0,0
1999-05-26,8.645,8.687000000000001,8.355,8.49,1553400.0,0
1999-05-27,8.333,8.542,8.292,8.417,1996200.0,0
1999-05-28,8.333,8.542,8.333,8.407,3943200.0,0
1999-06-01,8.407,10.02,8.395,9.667,6237000.0,0
1999-06-02,9.645,9.657,8.958,9.032,3500400.0,0
1999-06-03,9.115,9.542,9.115,9.187,1261200.0,0
1999-06-04,9.25,9.25,9.083,9.208,1735800.0,0
1999-06-07,9.25,9.885,9.208,9.865,2402400.0,0
1999-06-08,9.865,10.125,9.687,9.833,2580000.0,0
1999-06-09,9.917,9.958,9.73,9.76,1275000.0,0
1999-06-10,9.73,9.73,9.25,9.375,1353600.0,0
1999-06-11,9.458,9.917,9.458,9.687,1914600.0,0
1999-06-14,9.74,9.792,9.645,9.645,751800.0,0
1999-06-15,9.74,10.02,9.667,9.75,1070400.0,0
1999-06-16,9.833,10.708,9.645,10.593,4371600.0,0
1999-06-17,10.48,10.895,10.417,10.855,2262600.0,0
1999-06-18,10.917,11.375,10.645,11.187,1781400.0,0
1999-06-21,11.187,11.52,11.042,11.49,2142000.0,0
1999-06-22,11.48,11.792,11.333,11.417,2013000.0,0
1999-06-23,11.417,11.417,11.083,11.093,1508400.0,0
1999-06-24,11.0,11.167,11.0,11.105,1441800.0,0
1999-06-25,11.167,11.51,10.355,11.177,2361000.0,0
1999-06-28,11.23,11.667,11.177,11.657,1477200.0,0
1999-06-29,11.875,12.645,11.792,12.583,3740400.0,0
1999-06-30,12.583,13.208,12.23,12.843,4782600.0,0
1999-07-01,12.77,12.833,12.563,12.75,1524000.0,0
