date,open,high,low,close,volume,padding
1999-01-04,250.625,259.063,249.063,251.563,1737400.0,0
1999-01-05,252.813,257.5,252.813,256.25,1451500.0,0
1999-01-06,260.313,273.75,260.313,271.875,3415600.0,0
1999-01-07,268.75,295.313,267.5,292.5,3984200.0,0
1999-01-08,295.0,297.188,284.063,289.688,2854500.0,0
1999-01-11,281.25,292.813,281.25,288.75,2032900.0,0
1999-01-12,285.625,287.188,278.75,278.75,2283300.0,0
1999-01-13,262.5,270.0,245.0,260.938,4600700.0,0
1999-01-14,260.313,264.688,252.5,254.375,2660800.0,0
1999-01-15,253.125,261.25,252.188,257.5,2586500.0,0
1999-01-19,263.125,265.0,252.813,257.813,1904500.0,0
1999-01-20,262.813,275.0,260.0,266.25,2324800.0,0
1999-01-21,264.375,270.625,261.563,262.188,1866800.0,0
1999-01-22,255.625,262.5,254.375,258.125,1491400.0,0
1999-01-25,265.0,266.25,256.25,266.25,2195600.0,0
1999-01-26,267.5,277.5,264.063,277.5,2205000.0,0
1999-01-27,275.313,276.875,268.75,270.0,1930000.0,0
1999-01-28,274.688,278.75,271.875,277.5,1676600.0,0
1999-01-29,279.375,282.188,271.875,280.313,1709700.0,0
1999-02-01,281.25,282.813,270.625,272.5,1071900.0,0
1999-02-02,271.25,274.375,265.313,265.313,1688900.0,0
1999-02-03,264.375,274.375,260.0,271.875,1740300.0,0
1999-02-04,270.625,270.938,263.75,265.625,1687000.0,0
1999-02-05,265.0,266.563,260.938,264.375,1789800.0,0
1999-02-08,271.25,271.25,260.0,262.5,2016700.0,0
1999-02-09,262.813,265.0,252.188,253.125,2019700.0,0
1999-02-10,253.438,261.875,250.625,261.875,1352800.0,0
1999-02-11,260.938,272.5,259.063,268.125,2034200.0,0
1999-02-12,267.5,269.688,258.75,259.375,1616600.0,0
1999-02-16,263.438,269.375,262.813,267.188,1311300.0,0
1999-02-17,267.188,272.188,264.688,265.313,1905200.0,0
1999-02-18,265.625,268.438,261.875,264.688,1560300.0,0
1999-02-19,265.0,274.688,264.063,270.938,2037400.0,0
