date,open,high,low,close,volume,padding
1999-01-04,31.5,32.38,31.5,31.94,1349200.0,0
1999-01-05,32.0,32.81,31.75,32.63,1054700.0,0
1999-01-06,32.69,34.19,32.56,34.13,3253400.0,0
1999-01-07,33.63,33.69,33.13,33.19,1408700.0,0
1999-01-08,33.25,34.38,33.25,34.25,2607900.0,0
1999-01-11,33.75,34.0,32.31,32.56,1266000.0,0
1999-01-12,33.0,33.38,32.75,33.19,1273600.0,0
1999-01-13,32.25,33.75,32.0,33.56,1280700.0,0
1999-01-14,33.44,33.69,33.25,33.56,1432000.0,0
1999-01-15,33.56,33.63,32.81,33.06,2202100.0,0
1999-01-19,33.19,33.19,32.25,32.56,1015700.0,0
1999-01-20,32.63,32.69,31.56,31.75,806700.0,0
1999-01-21,31.75,31.88,31.06,31.44,1011000.0,0
1999-01-22,31.13,32.13,31.06,32.13,796300.0,0
1999-01-25,31.81,32.5,31.75,32.5,857900.0,0
1999-01-26,32.63,32.75,31.75,31.94,855300.0,0
1999-01-27,31.94,32.0,31.25,31.81,1841500.0,0
1999-01-28,31.56,32.81,31.5,32.06,1011600.0,0
1999-01-29,32.13,32.5,31.75,32.5,1029900.0,0
1999-02-01,32.5,32.56,31.56,31.94,633200.0,0
1999-02-02,31.81,32.0,30.88,31.5,1054200.0,0
1999-02-03,31.25,32.0,31.13,31.88,758500.0,0
1999-02-04,31.63,32.19,31.63,32.0,813400.0,0
1999-02-05,32.0,32.0,31.31,31.63,864800.0,0
1999-02-08,31.63,31.75,31.13,31.38,522900.0,0
1999-02-09,31.38,31.38,30.75,31.06,659000.0,0
1999-02-10,30.88,31.5,30.69,31.38,670200.0,0
1999-02-11,31.5,31.5,30.88,31.31,888700.0,0
1999-02-12,31.25,31.31,30.44,30.69,784800.0,0
1999-02-16,30.75,32.31,30.69,32.0,1903500.0,0
1999-02-17,32.0,32.0,31.38,31.69,1006000.0,0
1999-02-18,31.94,32.0,31.38,31.75,1412800.0,0
1999-02-19,31.63,31.88,31.25,31.25,1733900.0,0
1999-02-22,31.13,31.81,30.88,31.25,1086900.0,0
1999-02-23,30.75,31.19,30.5,30.75,1047100.0,0
1999-02-24,30.75,31.13,30.56,30.88,1064200.0,0
1999-02-25,30.5,31.06,30.0,30.31,1257900.0,0
1999-02-26,30.38,30.69,30.06,30.06,678500.0,0
1999-03-01,30.06,30.25,29.63,30.19,858000.0,0
1999-03-02,29.94,30.13,29.31,29.44,1036300.0,0
1999-03-03,29.25,29.44,28.63,29.13,1263300.0,0
1999-03-04,29.56,30.25,29.56,29.94,1474000.0,0
1999-03-05,30.25,30.81,30.19,30.5,773900.0,0
1999-03-08,30.5,30.69,29.81,30.06,928700.0,0
1999-03-09,29.69,30.63,29.69,30.13,1054000.0,0
1999-03-10,30.25,30.63,30.13,30.25,993200.0,0
1999-03-11,30.31,30.56,30.19,30.56,600400.0,0
1999-03-12,30.5,31.0,30.44,30.75,716800.0,0
1999-03-15,30.56,31.13,30.44,31.0,1050900.0,0
1999-03-16,30.75,31.25,30.75,31.13,887300.0,0
1999-03-17,31.0,31.19,30.56,30.94,730500.0,0
1999-03-18,30.94,31.13,30.75,30.75,849000.0,0
1999-03-19,31.06,31.06,30.0,30.0,1163600.0,0
1999-03-22,30.0,30.44,29.94,30.06,460000.0,0
1999-03-23,30.06,30.25,29.25,29.63,805200.0,0
1999-03-24,29.63,29.88,29.56,29.69,634300.0,0
1999-03-25,29.25,29.88,26.88,27.0,2853900.0,0
1999-03-26,27.75,27.75,26.38,26.38,2145400.0,0
1999-03-29,26.75,27.13,26.19,26.25,1954000.0,0
1999-03-30,26.0,26.31,25.81,25.94,2271300.0,0
1999-03-31,26.69,26.69,25.38,25.63,1868600.0,0
1999-04-01,25.44,25.56,25.06,25.19,1280500.0,0
1999-04-05,25.88,25.94,24.69,24.88,2343900.0,0
1999-04-06,25.13,25.13,23.13,23.38,4365600.0,0
1999-04-07,23.75,24.13,23.69,24.13,4476900.0,0
1999-04-08,24.13,24.19,23.88,24.06,2665400.0,0
1999-04-09,24.0,24.0,23.31,24.0,2293300.0,0
1999-04-12,23.81,24.19,23.63,24.19,1545500.0,0
1999-04-13,24.5,24.69,24.19,24.38,2186400.0,0
1999-04-14,24.5,24.5,23.75,23.75,1901000.0,0
1999-04-15,23.94,24.0,23.63,23.94,1416600.0,0
1999-04-16,23.94,24.44,23.81,24.44,1736800.0,0
1999-04-19,24.69,25.31,24.5,25.0,1965400.0,0
1999-04-20,25.38,25.38,24.88,24.94,1862500.0,0
1999-04-21,25.0,25.25,24.88,25.19,1786900.0,0
1999-04-22,25.25,25.25,25.0,25.19,1145300.0,0
1999-04-23,25.19,25.31,24.88,24.88,1349800.0,0
1999-04-26,24.94,25.0,24.25,24.88,1430800.0,0
1999-04-27,25.0,25.0,24.81,24.88,789400.0,0
1999-04-28,24.88,24.94,24.13,24.25,1637400.0,0
1999-04-29,24.38,24.69,24.25,24.56,862900.0,0
1999-04-30,24.56,25.0,24.56,24.88,1709600.0,0
1999-05-03,25.0,25.25,24.75,25.25,1382800.0,0
1999-05-04,25.25,25.44,24.88,25.0,2956600.0,0
1999-05-05,25.19,25.19,24.94,25.13,1492800.0,0
1999-05-06,25.0,25.13,24.88,25.06,1387800.0,0
1999-05-07,25.06,25.13,24.94,25.0,1311700.0,0
1999-05-10,25.0,25.06,24.81,25.06,1893700.0,0
1999-05-11,25.0,25.06,24.25,24.63,2941600.0,0
1999-05-12,24.63,24.88,24.19,24.81,1361800.0,0
1999-05-13,26.5,27.5,25.88,27.5,5724900.0,0
1999-05-14,26.75,28.0,26.63,27.69,2260800.0,0
1999-05-17,28.25,28.25,27.63,27.63,1077200.0,0
1999-05-18,27.63,27.88,27.13,27.5,1230300.0,0
1999-05-19,27.69,27.69,26.75,27.0,1044400.0,0
1999-05-20,27.31,27.44,26.56,26.63,1023200.0,0
1999-05-21,27.0,27.06,26.69,27.0,771300.0,0
1999-05-24,27.25,27.38,26.38,26.69,1094200.0,0
1999-05-25,26.94,26.94,26.44,26.5,1347500.0,0
1999-05-26,26.69,26.75,26.31,26.75,875100.0,0
1999-05-27,26.69,26.69,25.88,26.25,976800.0,0
1999-05-28,26.44,26.63,26.0,26.06,619000.0,0
1999-06-01,25.38,26.31,25.38,26.19,1320700.0,0
1999-06-02,26.25,26.56,26.0,26.31,880200.0,0
1999-06-03,26.56,26.75,26.38,26.44,1327500.0,0
1999-06-04,26.63,26.94,26.44,26.69,774200.0,0
1999-06-07,26.69,27.0,26.5,26.88,636200.0,0
1999-06-08,26.75,26.75,26.25,26.31,716700.0,0
1999-06-09,26.31,26.56,25.31,25.5,2213300.0,0
1999-06-10,25.75,25.88,25.5,25.69,1855000.0,0
1999-06-11,25.56,26.06,25.5,25.75,1327800.0,0
1999-06-14,26.0,26.0,25.75,25.88,859200.0,0
1999-06-15,25.63,26.0,25.38,25.38,1132800.0,0
1999-06-16,25.56,26.0,25.44,25.94,878000.0,0
1999-06-17,25.75,26.06,25.69,26.0,793200.0,0
1999-06-18,26.0,26.5,26.0,26.5,1278000.0,0
1999-06-21,26.44,26.81,26.38,26.81,1004600.0,0
1999-06-22,26.75,26.81,26.38,26.5,1157500.0,0
1999-06-23,26.44,26.5,26.0,26.13,621200.0,0
1999-06-24,26.06,26.25,25.5,26.06,846900.0,0
1999-06-25,26.06,26.5,25.38,25.38,574900.0,0
1999-06-28,25.88,26.5,25.88,26.44,715300.0,0
