date,open,high,low,close,volume,padding
1999-01-04,23.97,24.0,23.28,23.69,6512000.0,0
1999-01-05,23.815,23.97,23.03,23.625,5082800.0,0
1999-01-06,24.125,24.345,23.78,24.25,5295200.0,0
1999-01-07,24.125,24.69,24.0,24.47,4114600.0,0
1999-01-08,24.75,25.625,24.75,25.5,5327000.0,0
1999-01-11,25.5,26.5,25.47,26.5,6111800.0,0
1999-01-12,26.25,26.25,24.94,25.315,7582200.0,0
1999-01-13,24.815,25.0,24.0,24.03,5463800.0,0
1999-01-14,24.095,24.22,23.0,23.375,4447000.0,0
1999-01-15,23.75,23.845,23.44,23.78,2539000.0,0
1999-01-19,24.125,24.155,22.815,22.97,3326800.0,0
1999-01-20,22.94,23.28,22.595,22.595,3435800.0,0
1999-01-21,22.625,22.72,22.095,22.44,2991400.0,0
1999-01-22,22.315,22.315,21.69,21.97,3782000.0,0
1999-01-25,22.315,22.44,21.97,22.28,2426000.0,0
1999-01-26,22.405,22.595,22.22,22.565,3042400.0,0
1999-01-27,22.78,22.845,22.155,22.345,2277200.0,0
1999-01-28,22.0,22.375,21.94,22.25,2088800.0,0
1999-01-29,22.315,22.345,21.53,21.655,2997000.0,0
1999-02-01,22.25,22.25,21.72,21.845,3201000.0,0
1999-02-02,21.845,22.0,21.595,21.655,2431800.0,0
1999-02-03,21.75,21.78,21.0,21.565,4714600.0,0
1999-02-04,21.625,22.5,21.375,22.065,3681600.0,0
1999-02-05,22.315,23.375,22.25,23.125,4897200.0,0
1999-02-08,23.315,23.655,22.875,23.625,3299600.0,0
1999-02-09,23.905,24.25,23.095,23.25,3465000.0,0
1999-02-10,23.44,23.44,22.75,22.97,3245600.0,0
1999-02-11,22.875,22.94,22.5,22.78,2385200.0,0
1999-02-12,22.78,23.22,22.345,22.405,2109200.0,0
1999-02-16,22.655,22.905,22.25,22.625,2712800.0,0
1999-02-17,22.28,22.97,22.22,22.875,3110400.0,0
1999-02-18,23.19,23.19,22.19,22.405,2642600.0,0
1999-02-19,22.47,22.905,22.405,22.53,1995600.0,0
1999-02-22,22.69,23.25,22.375,23.25,2216200.0,0
1999-02-23,23.25,23.53,23.065,23.47,2200200.0,0
1999-02-24,23.28,23.405,22.815,23.0,2695200.0,0
1999-02-25,22.75,22.94,22.53,22.845,1956000.0,0
1999-02-26,23.065,23.315,22.69,22.78,1770200.0,0
1999-03-01,23.315,24.595,23.25,24.595,4672800.0,0
1999-03-02,24.5,24.69,23.405,23.72,3723400.0,0
1999-03-03,23.72,23.845,23.25,23.625,1901200.0,0
1999-03-04,23.845,24.0,23.5,23.97,2365000.0,0
1999-03-05,24.47,25.0,24.155,24.94,3885800.0,0
1999-03-08,24.94,25.0,24.095,24.815,3304800.0,0
1999-03-09,24.72,24.78,24.19,24.405,2838400.0,0
1999-03-10,24.905,24.905,24.22,24.5,1653400.0,0
1999-03-11,25.0,25.44,24.875,25.44,3693000.0,0
1999-03-12,23.69,23.72,22.315,22.345,8484200.0,0
1999-03-15,22.5,22.78,22.375,22.72,4037600.0,0
1999-03-16,22.25,22.44,21.94,22.0,4344400.0,0
1999-03-17,23.0,23.625,23.0,23.625,6098600.0,0
1999-03-18,23.5,23.5,22.97,23.405,4334800.0,0
1999-03-19,23.875,23.875,23.315,23.405,3062800.0,0
1999-03-22,23.595,23.69,23.28,23.47,1260600.0,0
1999-03-23,23.44,23.47,22.5,22.565,2888800.0,0
1999-03-24,22.97,23.375,22.53,22.97,2822400.0,0
1999-03-25,23.5,23.905,23.5,23.72,3109200.0,0
1999-03-26,23.72,23.72,23.25,23.405,1706000.0,0
1999-03-29,23.625,24.03,23.595,23.625,2390400.0,0
1999-03-30,23.595,23.69,23.095,23.47,1858600.0,0
1999-03-31,23.5,23.72,22.905,22.97,2312600.0,0
1999-04-01,23.595,23.69,23.155,23.47,2597000.0,0
1999-04-05,23.815,24.69,23.72,24.53,2814600.0,0
1999-04-06,24.44,24.815,24.155,24.19,1858600.0,0
1999-04-07,24.44,24.47,23.905,24.25,2352800.0,0
1999-04-08,24.375,24.5,24.03,24.315,1529800.0,0
1999-04-09,24.28,24.78,24.155,24.375,1776600.0,0
1999-04-12,24.875,25.875,24.655,25.69,4569400.0,0
1999-04-13,25.845,27.5,25.625,27.375,7425600.0,0
1999-04-14,27.75,30.405,27.155,30.345,12250600.0,0
1999-04-15,30.375,32.22,30.0,30.905,14420600.0,0
1999-04-16,30.94,32.0,29.97,31.905,11939200.0,0
1999-04-19,31.47,32.78,30.875,30.875,10268400.0,0
1999-04-20,30.815,31.095,30.125,30.345,6813200.0,0
1999-04-21,30.25,30.94,29.845,30.845,3861600.0,0
1999-04-22,30.72,30.72,29.655,29.905,3053800.0,0
1999-04-23,29.25,30.47,28.97,30.28,3108200.0,0
1999-04-26,30.47,31.405,30.25,31.0,2673800.0,0
1999-04-27,31.875,32.405,31.565,31.78,4822200.0,0
1999-04-28,31.72,33.125,31.655,32.28,4397600.0,0
1999-04-29,32.375,33.19,32.315,32.75,3582000.0,0
1999-04-30,32.69,32.72,31.125,32.19,8051200.0,0
1999-05-03,32.065,32.72,31.72,32.595,3631000.0,0
1999-05-04,32.72,33.22,32.565,32.72,3782600.0,0
1999-05-05,32.5,32.625,32.065,32.565,2484200.0,0
1999-05-06,32.565,33.065,32.345,32.69,2507800.0,0
1999-05-07,32.565,32.815,31.22,31.595,3418800.0,0
1999-05-10,30.97,31.25,30.625,30.875,2857200.0,0
1999-05-11,30.565,31.875,30.19,31.595,2898400.0,0
1999-05-12,31.625,31.625,30.345,30.375,1903200.0,0
1999-05-13,29.625,30.47,29.595,30.315,3266200.0,0
1999-05-14,30.065,31.25,29.815,30.5,2568600.0,0
1999-05-17,30.72,31.125,30.405,30.565,2233600.0,0
1999-05-18,30.47,30.595,28.75,29.345,2767800.0,0
1999-05-19,29.375,30.095,28.875,29.0,2335000.0,0
1999-05-20,29.0,29.69,29.0,29.47,1571600.0,0
1999-05-21,29.5,30.0,29.405,29.815,1991800.0,0
1999-05-24,30.03,30.345,29.405,29.595,1917800.0,0
1999-05-25,29.625,30.125,29.25,29.345,1661800.0,0
1999-05-26,29.22,29.47,28.625,28.905,2123200.0,0
1999-05-27,28.5,28.75,27.25,27.69,4050000.0,0
1999-05-28,27.655,27.845,27.25,27.44,2749600.0,0
1999-06-01,27.69,29.75,27.28,29.375,3903400.0,0
1999-06-02,29.375,29.875,28.815,29.19,2314200.0,0
1999-06-03,29.19,30.53,29.19,30.22,3796800.0,0
1999-06-04,31.0,31.44,30.69,31.405,2871200.0,0
1999-06-07,31.25,31.905,31.03,31.625,3347400.0,0
1999-06-08,31.5,31.75,30.595,31.065,2491000.0,0
1999-06-09,31.155,31.47,30.5,30.75,1721800.0,0
1999-06-10,30.5,31.0,30.25,30.94,2574800.0,0
1999-06-11,30.97,30.97,29.53,29.75,3054600.0,0
1999-06-14,30.065,30.315,29.69,29.97,2182600.0,0
1999-06-15,30.0,30.0,29.22,29.22,2495800.0,0
1999-06-16,29.345,29.94,29.065,29.47,2279200.0,0
1999-06-17,29.44,29.595,29.345,29.44,1829400.0,0
1999-06-18,30.0,30.875,29.97,30.75,3309000.0,0
1999-06-21,30.72,31.03,30.065,30.44,1846800.0,0
1999-06-22,30.345,30.345,29.845,30.095,1582600.0,0
1999-06-23,30.095,30.095,29.5,29.815,1250000.0,0
1999-06-24,30.375,30.375,29.065,29.5,1775600.0,0
1999-06-25,29.625,29.905,29.25,29.315,1706200.0,0
1999-06-28,29.5,30.53,29.5,30.375,2424200.0,0
1999-06-29,30.625,30.72,30.25,30.565,2104800.0,0
1999-06-30,30.25,31.125,30.0,30.0,3948400.0,0
1999-07-01,30.375,30.845,30.315,30.595,2433600.0,0
1999-07-02,31.0,31.44,30.72,30.97,2364400.0,0
1999-07-06,30.625,30.72,29.655,29.655,1982800.0,0
1999-07-07,30.19,31.155,30.095,31.065,4011200.0,0
1999-07-08,30.875,30.875,30.28,30.595,2047800.0,0
1999-07-09,30.72,30.78,30.065,30.595,2040200.0,0
1999-07-12,30.845,30.845,30.315,30.5,2204000.0,0
1999-07-13,30.25,30.25,29.905,29.94,2526600.0,0
1999-07-14,30.0,30.125,29.75,29.905,2648400.0,0
1999-07-15,30.0,30.065,29.25,29.75,3807200.0,0
1999-07-16,29.5,29.845,28.75,29.47,6479400.0,0
1999-07-19,29.625,30.155,29.625,30.125,3005800.0,0
1999-07-20,30.065,30.44,29.97,30.095,3843400.0,0
1999-07-21,30.125,30.405,29.97,30.315,1976200.0,0
1999-07-22,30.375,30.405,30.065,30.25,2642600.0,0
