date,open,high,low,close,volume,padding
1999-01-04,34.438,34.438,33.5,33.625,487400.0,0
1999-01-05,33.5,33.5,32.438,32.813,809300.0,0
1999-01-06,32.688,33.5,32.688,33.25,1089700.0,0
1999-01-07,32.0,32.625,32.0,32.25,219300.0,0
1999-01-08,32.5,33.75,32.5,33.188,653500.0,0
1999-01-11,32.938,33.188,32.813,32.938,387300.0,0
1999-01-12,33.188,34.375,33.125,33.125,2253200.0,0
1999-01-13,32.375,32.75,31.875,32.125,1785100.0,0
1999-01-14,32.375,32.75,32.125,32.25,1712300.0,0
1999-01-15,32.438,32.688,31.0,32.0,1128700.0,0
1999-01-19,32.0,32.0,30.875,30.938,427300.0,0
1999-01-20,31.063,31.188,30.125,30.25,1174600.0,0
1999-01-21,29.875,30.188,29.625,29.625,898700.0,0
1999-01-22,29.438,29.813,28.875,29.0,1609000.0,0
1999-01-25,28.875,29.125,28.438,29.0,1786400.0,0
1999-01-26,28.938,28.938,28.25,28.375,1091200.0,0
1999-01-27,28.375,28.375,26.5,26.938,2107700.0,0
1999-01-28,27.188,28.313,27.125,27.938,3773300.0,0
1999-01-29,27.875,28.875,27.75,28.0,5053400.0,0
1999-02-01,27.75,28.063,27.438,27.438,1001400.0,0
1999-02-02,27.438,27.875,27.125,27.25,1222500.0,0
1999-02-03,27.188,27.25,27.125,27.25,369500.0,0
1999-02-04,27.25,27.625,26.625,26.875,468900.0,0
1999-02-05,26.5,27.0,26.5,26.875,534100.0,0
1999-02-08,27.0,27.5,26.688,26.813,869700.0,0
1999-02-09,26.875,26.875,25.813,25.938,800300.0,0
1999-02-10,25.875,26.125,25.438,26.0,1235700.0,0
1999-02-11,26.0,27.875,25.875,27.75,1381400.0,0
1999-02-12,27.438,27.625,26.75,27.0,321900.0,0
1999-02-16,26.75,28.5,26.75,28.5,670900.0,0
1999-02-17,28.125,28.188,27.875,28.188,451500.0,0
1999-02-18,28.063,28.25,28.0,28.25,349600.0,0
1999-02-19,28.125,28.938,28.125,28.75,438700.0,0
1999-02-22,28.875,29.563,28.188,29.25,354700.0,0
1999-02-23,29.375,29.625,28.313,28.75,400800.0,0
1999-02-24,29.0,29.5,28.188,28.25,456900.0,0
1999-02-25,28.5,29.063,28.0,28.0,254000.0,0
1999-02-26,27.875,28.188,26.5,27.25,588300.0,0
1999-03-01,27.25,27.625,27.0,27.188,284100.0,0
1999-03-02,27.375,28.813,27.375,28.688,301200.0,0
1999-03-03,28.688,29.25,28.438,28.625,480700.0,0
1999-03-04,28.563,30.438,28.563,30.25,1248300.0,0
1999-03-05,32.0,32.0,30.875,31.25,864100.0,0
1999-03-08,31.25,32.25,30.625,30.625,918200.0,0
1999-03-09,30.625,30.625,29.75,30.25,536100.0,0
1999-03-10,30.563,32.875,30.563,32.0,707100.0,0
1999-03-11,32.25,32.625,32.0,32.25,616100.0,0
1999-03-12,32.25,32.438,31.563,31.563,590800.0,0
1999-03-15,31.75,32.25,31.5,32.0,361400.0,0
1999-03-16,32.0,32.063,31.438,31.75,293300.0,0
1999-03-17,31.563,32.25,31.25,32.25,173200.0,0
1999-03-18,32.375,34.0,32.375,32.563,990300.0,0
1999-03-19,32.438,32.438,31.625,31.75,764200.0,0
1999-03-22,31.25,32.063,31.0,31.75,600400.0,0
1999-03-23,31.875,31.875,31.375,31.5,703400.0,0
1999-03-24,31.5,31.625,31.125,31.438,118300.0,0
1999-03-25,31.438,32.25,31.438,31.625,309800.0,0
1999-03-26,31.375,32.0,31.188,31.688,244400.0,0
1999-03-29,31.563,32.438,31.5,32.188,349700.0,0
1999-03-30,32.25,32.313,30.688,31.125,383400.0,0
1999-03-31,29.875,31.25,29.875,31.188,1057500.0,0
1999-04-01,31.188,31.188,29.5,30.875,354700.0,0
1999-04-05,30.563,30.844,30.125,30.563,434000.0,0
1999-04-06,30.5,31.188,29.75,29.875,610000.0,0
1999-04-07,30.0,31.125,29.875,31.063,219900.0,0
1999-04-08,30.688,30.688,29.438,30.375,308000.0,0
1999-04-09,30.0,30.313,29.0,29.313,481900.0,0
1999-04-12,29.063,29.688,28.875,29.0,212800.0,0
1999-04-13,29.5,29.5,28.75,29.125,920400.0,0
1999-04-14,29.0,29.375,28.063,28.25,197800.0,0
1999-04-15,28.375,28.625,27.25,28.0,391900.0,0
1999-04-16,27.938,28.438,27.813,28.125,139600.0,0
1999-04-19,28.25,30.25,28.063,29.813,835100.0,0
1999-04-20,29.688,30.375,29.688,30.0,540700.0,0
1999-04-21,30.125,30.5,29.5,30.0,366000.0,0
1999-04-22,30.188,30.188,28.75,28.875,735600.0,0
1999-04-23,29.625,29.625,28.75,28.75,266700.0,0
1999-04-26,28.688,28.75,27.875,28.0,521700.0,0
1999-04-27,28.375,29.0,27.875,28.875,1292000.0,0
1999-04-28,29.0,30.5,28.688,29.75,634000.0,0
1999-04-29,29.875,31.5,29.875,31.5,1034100.0,0
1999-04-30,31.375,31.563,30.25,30.25,306600.0,0
1999-05-03,30.438,31.75,30.375,31.563,364000.0,0
1999-05-04,32.25,32.25,30.438,30.5,579400.0,0
1999-05-05,30.563,31.25,30.375,30.938,237200.0,0
1999-05-06,30.625,30.813,30.375,30.438,394900.0,0
1999-05-07,30.688,31.813,30.188,31.688,612000.0,0
1999-05-10,31.5,32.5,31.25,31.938,503700.0,0
1999-05-11,31.25,32.313,31.063,32.125,726100.0,0
1999-05-12,32.375,33.75,32.25,33.5,1490700.0,0
1999-05-13,33.75,35.25,33.75,34.875,1232100.0,0
1999-05-14,34.625,34.625,32.938,33.563,526300.0,0
1999-05-17,33.563,33.75,33.0,33.375,312900.0,0
1999-05-18,33.438,33.438,32.5,32.688,230500.0,0
1999-05-19,32.438,32.438,31.375,31.938,709100.0,0
1999-05-20,31.563,32.375,31.0,31.938,435700.0,0
1999-05-21,32.0,32.125,31.125,31.875,448200.0,0
1999-05-24,31.875,31.875,29.938,31.25,598300.0,0
1999-05-25,31.313,31.5,30.563,31.0,380100.0,0
1999-05-26,31.25,32.188,31.0,31.5,463900.0,0
1999-05-27,31.0,31.313,30.25,30.625,380900.0,0
1999-05-28,30.5,31.5,30.125,30.5,297800.0,0
1999-06-01,30.625,30.625,29.563,29.938,276200.0,0
1999-06-02,29.938,29.938,28.938,29.0,864200.0,0
1999-06-03,29.25,29.813,29.25,29.438,244600.0,0
1999-06-04,29.5,29.625,29.0,29.563,319200.0,0
1999-06-07,29.688,29.75,29.188,29.5,600200.0,0
1999-06-08,29.5,30.25,29.5,29.813,732600.0,0
1999-06-09,29.875,29.875,28.625,29.0,1109600.0,0
1999-06-10,29.125,29.125,27.688,27.875,490100.0,0
1999-06-11,28.063,29.0,27.938,28.563,1237600.0,0
1999-06-14,28.625,28.688,28.25,28.625,244200.0,0
1999-06-15,28.625,29.75,28.625,29.0,1184800.0,0
1999-06-16,29.25,29.625,29.0,29.25,507500.0,0
1999-06-17,29.375,29.5,29.188,29.375,551500.0,0
1999-06-18,29.5,29.75,28.875,29.125,944400.0,0
1999-06-21,29.375,29.5,29.125,29.25,1099300.0,0
1999-06-22,29.313,29.313,27.875,28.438,583400.0,0
1999-06-23,28.25,28.438,27.75,27.875,402600.0,0
1999-06-24,27.813,27.938,27.438,27.563,490800.0,0
1999-06-25,27.625,28.063,27.563,27.688,568300.0,0
1999-06-28,27.688,27.813,27.125,27.375,390300.0,0
1999-06-29,27.438,28.625,26.313,28.5,1711100.0,0
1999-06-30,28.5,29.813,28.25,28.25,957000.0,0
1999-07-01,28.313,29.0,28.313,28.438,448600.0,0
1999-07-02,28.438,29.25,28.0,28.063,958100.0,0
1999-07-06,28.0,29.438,27.625,27.75,1508100.0,0
1999-07-07,28.25,28.375,27.0,27.0,843000.0,0
1999-07-08,27.0,27.25,26.25,26.938,737300.0,0
1999-07-09,26.938,26.938,26.0,26.188,961500.0,0
1999-07-12,26.188,26.625,25.5,26.375,1814500.0,0
1999-07-13,26.313,27.188,25.813,27.188,584300.0,0
1999-07-14,27.188,27.188,25.813,26.0,1070800.0,0
1999-07-15,26.0,26.5,25.625,25.938,1342200.0,0
