date,open,high,low,close,volume,padding
1999-01-04,23.0,23.5,20.0,21.06,199200.0,0
1999-01-05,20.56,20.69,19.81,19.94,116900.0,0
1999-01-06,19.87,22.0,19.87,20.75,160300.0,0
1999-01-07,21.0,23.25,20.25,22.5,211200.0,0
1999-01-08,23.25,23.5,22.37,22.41,94600.0,0
1999-01-11,22.5,22.5,21.75,21.87,37200.0,0
1999-01-12,22.06,22.06,20.25,21.0,79800.0,0
1999-01-13,19.75,20.87,19.25,20.25,113400.0,0
1999-01-14,20.5,21.25,20.25,20.94,212300.0,0
1999-01-15,20.62,21.75,20.62,21.75,42700.0,0
1999-01-19,21.75,22.87,21.12,22.12,178900.0,0
1999-01-20,22.25,22.94,22.25,22.75,104800.0,0
1999-01-21,22.44,22.5,21.5,21.5,128100.0,0
1999-01-22,21.12,21.25,19.87,20.0,72800.0,0
1999-01-25,20.0,21.62,19.5,21.62,70400.0,0
1999-01-26,21.87,22.75,21.0,21.5,123800.0,0
1999-01-27,21.75,22.25,20.75,21.56,15000.0,0
1999-01-28,21.62,22.0,21.0,21.37,31000.0,0
1999-01-29,21.62,21.75,21.37,21.62,51900.0,0
1999-02-01,21.62,21.75,21.37,21.56,73100.0,0
1999-02-02,21.56,22.0,21.56,21.87,13300.0,0
1999-02-03,22.25,22.25,21.5,21.62,9800.0,0
1999-02-04,21.37,21.75,21.37,21.75,28800.0,0
1999-02-05,21.75,22.0,21.37,21.75,25400.0,0
1999-02-08,21.87,23.12,21.25,21.75,193600.0,0
1999-02-09,21.5,21.75,21.0,21.12,23800.0,0
1999-02-10,21.12,21.5,20.75,21.0,5400.0,0
1999-02-11,21.37,21.5,19.5,19.69,96500.0,0
1999-02-12,19.69,19.69,18.12,18.75,85500.0,0
1999-02-16,19.37,19.37,18.0,19.0,78800.0,0
1999-02-17,19.12,19.12,17.5,18.37,28400.0,0
1999-02-18,18.37,19.06,18.0,18.75,32400.0,0
1999-02-19,18.75,19.0,18.62,18.62,122500.0,0
1999-02-22,19.12,19.12,18.94,18.94,97000.0,0
1999-02-23,19.12,19.12,18.75,18.87,13100.0,0
1999-02-24,18.87,19.12,18.87,18.94,190100.0,0
1999-02-25,18.94,19.12,18.62,19.12,17300.0,0
1999-02-26,19.0,19.0,17.0,17.0,173400.0,0
1999-03-01,17.0,17.25,16.62,17.25,31700.0,0
1999-03-02,17.12,17.25,17.0,17.12,131700.0,0
1999-03-03,17.12,17.31,17.0,17.12,117400.0,0
1999-03-04,17.25,18.12,17.12,18.12,247600.0,0
1999-03-05,18.37,18.81,18.25,18.62,66100.0,0
1999-03-08,18.87,19.0,18.37,18.87,378000.0,0
1999-03-09,21.0,21.5,19.25,19.37,535500.0,0
1999-03-10,19.5,19.5,18.0,18.12,158000.0,0
1999-03-11,18.0,18.56,17.81,18.06,508800.0,0
1999-03-12,18.0,18.87,17.75,18.56,235200.0,0
1999-03-15,18.37,19.94,18.37,19.94,231800.0,0
1999-03-16,20.0,20.06,19.37,20.0,57300.0,0
1999-03-17,20.0,20.06,19.0,19.91,56600.0,0
1999-03-18,19.5,19.75,18.75,19.25,390700.0,0
1999-03-19,19.37,19.37,18.75,18.87,44100.0,0
1999-03-22,19.25,19.25,18.75,18.94,122100.0,0
1999-03-23,18.87,19.06,18.25,18.25,361500.0,0
1999-03-24,18.5,18.5,18.12,18.37,2900.0,0
1999-03-25,18.37,18.5,18.0,18.12,197300.0,0
1999-03-26,18.0,18.25,18.0,18.0,24600.0,0
1999-03-29,18.0,18.5,18.0,18.37,516800.0,0
1999-03-30,18.37,18.5,17.87,18.0,129800.0,0
1999-03-31,17.87,18.06,17.5,18.0,311300.0,0
1999-04-01,18.06,19.41,17.94,19.0,47100.0,0
1999-04-05,19.0,19.0,18.0,18.12,26200.0,0
1999-04-06,18.12,18.12,17.5,17.94,75300.0,0
1999-04-07,18.37,18.37,17.87,18.09,139200.0,0
1999-04-08,18.06,18.37,18.06,18.28,70700.0,0
1999-04-09,18.25,18.31,18.25,18.25,46200.0,0
1999-04-12,18.19,18.31,18.06,18.19,47700.0,0
1999-04-13,18.06,18.31,18.06,18.25,166300.0,0
1999-04-14,18.31,18.31,18.0,18.0,177700.0,0
1999-04-15,17.94,17.94,17.25,17.62,114000.0,0
1999-04-16,17.37,17.75,17.0,17.12,291000.0,0
