date,open,high,low,close,volume,padding
1999-01-04,48.0,48.0,44.94,45.44,3053200.0,0
1999-01-05,45.5,46.94,45.44,46.06,2277200.0,0
1999-01-06,47.5,47.5,46.63,47.38,2539700.0,0
1999-01-07,46.88,46.94,46.13,46.81,1493400.0,0
1999-01-08,46.75,46.75,45.75,46.0,1828900.0,0
1999-01-11,45.75,45.94,44.81,45.75,1594700.0,0
1999-01-12,45.25,45.63,44.0,44.56,1557300.0,0
1999-01-13,42.63,44.0,41.88,43.5,2730200.0,0
1999-01-14,44.5,45.31,43.56,44.75,1593700.0,0
1999-01-15,45.13,45.63,44.25,45.06,1061600.0,0
1999-01-19,45.19,45.31,42.38,44.13,1639100.0,0
1999-01-20,43.88,47.0,43.69,44.5,933400.0,0
1999-01-21,44.0,44.31,42.31,43.38,1209900.0,0
1999-01-22,42.75,43.06,41.81,42.63,1013200.0,0
1999-01-25,43.5,44.31,43.0,43.56,1293300.0,0
1999-01-26,43.63,45.56,43.56,45.31,1145500.0,0
1999-01-27,45.56,46.63,44.5,46.13,1367700.0,0
1999-01-28,46.0,47.81,46.0,47.63,957600.0,0
1999-01-29,47.75,49.13,47.31,49.06,1616500.0,0
1999-02-01,48.63,48.88,48.06,48.5,887800.0,0
1999-02-02,48.13,48.63,47.0,48.5,970300.0,0
1999-02-03,48.5,49.0,47.81,48.5,1099400.0,0
1999-02-04,48.38,48.38,47.31,47.31,576900.0,0
1999-02-05,47.38,47.38,45.75,46.94,721400.0,0
1999-02-08,46.94,46.94,45.31,45.31,831400.0,0
1999-02-09,45.31,45.56,43.75,43.81,1404900.0,0
1999-02-10,43.81,44.75,43.5,44.75,1258600.0,0
1999-02-11,44.63,45.5,44.25,45.5,787700.0,0
1999-02-12,45.75,46.19,42.88,43.0,983600.0,0
1999-02-16,43.38,44.19,42.69,42.81,911400.0,0
1999-02-17,42.75,42.75,41.81,42.44,857100.0,0
1999-02-18,42.19,45.38,42.0,45.31,835800.0,0
1999-02-19,45.06,46.0,44.56,45.88,792500.0,0
1999-02-22,46.13,47.69,46.13,47.69,1224800.0,0
1999-02-23,47.69,47.88,46.0,46.31,885800.0,0
1999-02-24,46.75,47.5,45.88,46.31,816700.0,0
1999-02-25,46.13,46.5,45.13,45.63,900700.0,0
1999-02-26,45.5,45.56,43.38,44.5,1162900.0,0
1999-03-01,44.25,44.88,43.44,44.25,938700.0,0
1999-03-02,44.56,44.56,43.75,43.88,762200.0,0
1999-03-03,43.63,44.0,42.44,43.44,848600.0,0
1999-03-04,43.44,43.75,42.94,43.44,998500.0,0
1999-03-05,43.88,44.75,43.81,44.75,830700.0,0
1999-03-08,44.88,45.0,44.0,44.5,652500.0,0
1999-03-09,44.5,44.88,43.75,43.75,643200.0,0
1999-03-10,43.75,45.0,43.5,45.0,783600.0,0
1999-03-11,45.13,46.81,45.13,45.81,1340200.0,0
1999-03-12,46.06,46.38,44.5,45.44,998100.0,0
1999-03-15,45.25,45.94,44.81,45.31,608000.0,0
1999-03-16,45.25,45.38,43.88,44.88,1439200.0,0
1999-03-17,44.63,45.13,43.25,45.06,939000.0,0
1999-03-18,45.13,45.69,44.88,45.06,1475300.0,0
1999-03-19,46.25,47.5,45.81,46.25,2722000.0,0
1999-03-22,46.19,46.69,44.5,45.5,926900.0,0
1999-03-23,45.38,45.63,44.0,44.38,940500.0,0
1999-03-24,44.5,44.63,43.38,44.13,704900.0,0
1999-03-25,44.5,46.13,44.25,46.13,668000.0,0
1999-03-26,46.13,46.5,45.0,46.25,877300.0,0
1999-03-29,47.5,48.5,46.75,48.5,1063200.0,0
1999-03-30,48.5,49.06,47.88,48.69,1135700.0,0
1999-03-31,48.81,49.44,48.0,48.56,1587600.0,0
1999-04-01,49.25,49.44,48.31,49.38,800800.0,0
1999-04-05,49.75,51.88,49.63,50.63,1198400.0,0
