date,open,high,low,close,volume,padding
1999-01-04,3.3360000000000003,3.57,3.329,3.375,2377600.0,0
1999-01-05,3.391,3.531,3.375,3.406,792000.0,0
1999-01-06,3.438,3.469,3.1180000000000003,3.125,5519200.0,0
1999-01-07,3.1180000000000003,3.1180000000000003,2.797,2.985,11256000.0,0
1999-01-08,3.024,3.063,2.735,2.781,4768000.0,0
1999-01-11,2.781,3.016,2.781,3.0,3403200.0,0
1999-01-12,3.047,3.055,2.985,3.016,1112000.0,0
1999-01-13,2.906,3.094,2.813,3.094,1575200.0,0
1999-01-14,3.047,3.1010000000000004,2.969,3.007,830400.0,0
1999-01-15,2.9930000000000003,3.156,2.969,3.156,1232000.0,0
1999-01-19,3.132,3.204,3.016,3.125,1096800.0,0
1999-01-20,3.125,3.274,3.125,3.195,1550400.0,0
1999-01-21,3.172,3.2110000000000003,3.172,3.18,1988000.0,0
1999-01-22,3.156,3.204,3.125,3.172,2609600.0,0
1999-01-25,3.172,3.188,3.125,3.141,2290400.0,0
1999-01-26,3.125,3.188,3.125,3.172,2408800.0,0
1999-01-27,3.156,3.188,3.063,3.094,1349600.0,0
1999-01-28,3.1180000000000003,3.156,3.063,3.141,1962400.0,0
1999-01-29,3.149,3.156,3.031,3.047,2205600.0,0
1999-02-01,3.0,3.007,2.829,2.899,2742400.0,0
1999-02-02,2.906,2.954,2.86,2.875,3189600.0,0
1999-02-03,2.891,3.149,2.891,3.0,6410400.0,0
1999-02-04,1.906,2.18,1.899,2.1180000000000003,96493600.0,0
1999-02-05,2.156,2.164,2.0,2.079,21600000.0,0
1999-02-08,2.11,2.125,2.07,2.1180000000000003,5426400.0,0
1999-02-09,2.125,2.141,1.954,1.976,6544000.0,0
1999-02-10,2.016,2.031,1.923,1.938,5628000.0,0
1999-02-11,1.938,2.039,1.938,2.0,3011200.0,0
1999-02-12,2.016,2.094,1.934,1.976,1731200.0,0
1999-02-16,2.0,2.031,1.93,1.954,1557600.0,0
1999-02-17,1.945,1.961,1.93,1.945,1004800.0,0
1999-02-18,1.954,1.969,1.938,1.954,2379200.0,0
1999-02-19,1.969,1.969,1.938,1.954,1065600.0,0
1999-02-22,1.961,1.961,1.891,1.906,1866400.0,0
1999-02-23,1.875,1.899,1.695,1.735,6264800.0,0
1999-02-24,1.789,1.813,1.719,1.781,3144800.0,0
1999-02-25,1.813,1.86,1.781,1.781,1817600.0,0
1999-02-26,1.781,1.813,1.766,1.766,1349600.0,0
1999-03-01,1.813,1.923,1.781,1.875,2476800.0,0
1999-03-02,1.906,1.954,1.875,1.914,1524000.0,0
1999-03-03,1.954,2.047,1.923,1.93,2450400.0,0
1999-03-04,1.954,1.969,1.938,1.961,1503200.0,0
1999-03-05,1.938,1.938,1.781,1.798,5740800.0,0
1999-03-08,1.798,1.798,1.726,1.726,3986400.0,0
1999-03-09,1.735,1.75,1.711,1.735,2450400.0,0
1999-03-10,1.742,1.742,1.664,1.673,1543200.0,0
1999-03-11,1.673,1.735,1.673,1.704,1555200.0,0
1999-03-12,1.726,1.726,1.633,1.656,1408000.0,0
1999-03-15,1.656,1.68,1.625,1.656,1831200.0,0
1999-03-16,1.664,1.673,1.601,1.61,993600.0,0
1999-03-17,1.61,1.704,1.594,1.68,2713600.0,0
1999-03-18,1.6880000000000002,1.851,1.673,1.805,15376800.0,0
1999-03-19,1.813,1.86,1.813,1.844,2820800.0,0
1999-03-22,1.86,1.867,1.774,1.844,1500000.0,0
1999-03-23,1.851,1.86,1.742,1.813,1324800.0,0
1999-03-24,1.829,2.0,1.789,2.0,4447200.0,0
1999-03-25,2.063,2.18,2.016,2.172,8425600.0,0
