date,open,high,low,close,volume,padding
1999-01-04,2.974,3.094,2.974,3.094,1261200.0,0
1999-01-05,3.083,3.13,3.063,3.073,280800.0,0
1999-01-06,3.073,3.073,2.979,2.984,315600.0,0
1999-01-07,2.984,3.005,2.875,2.88,258000.0,0
1999-01-08,2.88,2.9530000000000003,2.854,2.87,351600.0,0
1999-01-11,2.87,2.87,2.803,2.8080000000000003,98400.0,0
1999-01-12,2.813,2.823,2.797,2.813,279600.0,0
1999-01-13,2.782,2.813,2.75,2.8080000000000003,501600.0,0
1999-01-14,2.797,2.817,2.797,2.803,704400.0,0
1999-01-15,2.8080000000000003,2.833,2.792,2.8080000000000003,351600.0,0
1999-01-19,2.803,2.803,2.792,2.792,258000.0,0
1999-01-20,2.803,2.844,2.803,2.817,322800.0,0
1999-01-21,2.813,2.865,2.803,2.859,230400.0,0
1999-01-22,3.0210000000000004,3.063,3.0,3.005,2829600.0,0
1999-01-25,3.016,3.2030000000000003,3.011,3.192,1623600.0,0
1999-01-26,3.192,3.2710000000000004,3.172,3.208,1604400.0,0
1999-01-27,3.198,3.198,3.167,3.172,1873200.0,0
1999-01-28,3.1830000000000003,3.287,3.172,3.255,996000.0,0
1999-01-29,3.255,3.292,3.104,3.261,811200.0,0
1999-02-01,3.282,3.354,3.282,3.317,1545600.0,0
1999-02-02,3.317,3.3280000000000003,3.297,3.3280000000000003,1104000.0,0
1999-02-03,3.333,3.417,3.317,3.349,720000.0,0
1999-02-04,3.349,3.407,3.323,3.407,584400.0,0
1999-02-05,3.401,3.547,3.3960000000000004,3.412,1039200.0,0
1999-02-08,3.401,3.401,3.3280000000000003,3.338,271200.0,0
1999-02-09,3.344,3.391,3.333,3.375,409200.0,0
1999-02-10,3.354,3.354,3.2710000000000004,3.333,837600.0,0
1999-02-11,3.344,3.386,3.333,3.37,364800.0,0
1999-02-12,3.375,3.375,3.234,3.292,613200.0,0
1999-02-16,3.313,3.386,3.313,3.349,538800.0,0
1999-02-17,3.333,3.359,3.323,3.338,598800.0,0
1999-02-18,3.344,3.463,3.344,3.448,1218000.0,0
1999-02-19,3.4530000000000003,3.4530000000000003,3.3960000000000004,3.417,481200.0,0
1999-02-22,3.407,3.438,3.407,3.417,999600.0,0
1999-02-23,3.417,3.428,3.412,3.412,484800.0,0
1999-02-24,3.417,3.448,3.417,3.442,944400.0,0
1999-02-25,3.4330000000000003,3.458,3.417,3.458,711600.0,0
1999-02-26,3.458,3.484,3.448,3.479,357600.0,0
1999-03-01,3.479,3.573,3.479,3.542,1160400.0,0
1999-03-02,3.573,3.683,3.563,3.609,1027200.0,0
1999-03-03,3.604,3.604,3.537,3.537,684000.0,0
1999-03-04,3.532,3.771,3.532,3.734,1281600.0,0
