date,open,high,low,close,volume,padding
1999-01-04,58.405,58.5,57.25,57.47,1070200.0,0
1999-01-05,57.625,57.69,57.28,57.375,905200.0,0
1999-01-06,57.5,57.75,57.19,57.72,1249800.0,0
1999-01-07,57.44,57.625,57.19,57.47,2310400.0,0
1999-01-08,57.53,57.53,56.53,56.81,1841400.0,0
1999-01-11,56.81,56.81,56.0,56.22,1594200.0,0
1999-01-12,56.22,56.905,55.47,56.47,1824000.0,0
1999-01-13,56.0,56.22,54.72,54.72,1602000.0,0
1999-01-14,55.03,55.5,54.155,54.28,2066400.0,0
1999-01-15,54.155,55.5,53.905,54.94,2120800.0,0
1999-01-19,55.25,56.5,55.25,56.0,2672000.0,0
1999-01-20,56.5,57.25,56.31,56.5,2690000.0,0
1999-01-21,56.53,56.845,55.81,55.875,2801400.0,0
1999-01-22,55.845,57.25,55.03,57.19,1977000.0,0
1999-01-25,57.5,57.94,56.75,57.905,1015400.0,0
1999-01-26,58.5,59.19,57.345,59.19,2034800.0,0
1999-01-27,59.53,59.75,58.845,59.595,1892800.0,0
1999-01-28,59.94,62.19,59.905,60.845,2309400.0,0
1999-01-29,60.97,62.97,60.875,62.56,1677600.0,0
1999-02-01,63.0,63.47,61.595,62.155,1163600.0,0
1999-02-02,61.5,61.81,59.72,60.0,1207200.0,0
1999-02-03,60.44,61.625,59.31,61.25,1513600.0,0
1999-02-04,61.19,61.44,60.19,61.0,894000.0,0
1999-02-05,61.125,61.44,59.875,60.44,1087800.0,0
1999-02-08,60.345,60.78,59.875,59.94,880000.0,0
1999-02-09,59.875,61.905,59.53,61.5,957600.0,0
1999-02-10,61.5,64.5,61.19,64.25,1072600.0,0
1999-02-11,64.0,66.47,63.19,66.155,1039600.0,0
1999-02-12,66.03,66.03,64.31,64.75,1457000.0,0
1999-02-16,64.875,65.375,64.0,64.53,794600.0,0
1999-02-17,64.53,65.44,64.53,64.905,1020800.0,0
1999-02-18,64.905,64.905,62.5,63.125,985800.0,0
1999-02-19,62.25,62.44,60.655,61.5,1355000.0,0
1999-02-22,61.625,62.375,61.405,62.125,966000.0,0
1999-02-23,62.125,62.19,61.0,61.31,636600.0,0
1999-02-24,61.56,61.75,61.0,61.405,620200.0,0
1999-02-25,61.03,61.25,59.06,59.53,803600.0,0
1999-02-26,59.75,59.75,58.25,59.155,1201200.0,0
