date,open,high,low,close,volume,padding
1999-01-04,36.22,36.22,35.0,35.75,4260000.0,0
1999-01-05,35.44,36.69,35.375,36.44,2852000.0,0
1999-01-06,36.75,37.875,36.75,37.815,3897800.0,0
1999-01-07,37.625,37.875,36.75,37.565,3449200.0,0
1999-01-08,37.625,37.69,36.25,36.845,6172800.0,0
1999-01-11,36.72,36.75,36.0,36.25,2071000.0,0
1999-01-12,35.97,36.53,35.78,36.155,4284800.0,0
1999-01-13,35.0,36.5,34.69,36.5,2904800.0,0
1999-01-14,36.625,36.625,34.94,36.22,3176000.0,0
1999-01-15,36.625,37.19,35.75,37.155,2741400.0,0
1999-01-19,37.25,37.53,36.25,37.44,2782000.0,0
1999-01-20,37.405,37.815,36.625,37.125,3243000.0,0
1999-01-21,36.875,37.595,35.69,36.065,3639200.0,0
1999-01-22,35.375,36.25,34.625,35.815,1888200.0,0
1999-01-25,35.905,35.97,35.44,35.625,1729600.0,0
1999-01-26,35.565,37.315,35.565,36.845,3311400.0,0
1999-01-27,37.375,39.22,37.345,38.53,4772200.0,0
1999-01-28,38.875,40.875,38.25,40.75,5107400.0,0
1999-01-29,41.095,41.655,40.065,41.44,4867800.0,0
1999-02-01,41.565,41.565,39.5,39.735,4845600.0,0
1999-02-02,39.75,40.25,38.375,38.78,4435600.0,0
1999-02-03,39.125,39.5,38.75,39.405,4787600.0,0
1999-02-04,39.72,39.94,38.565,38.625,4441000.0,0
1999-02-05,38.595,39.0,38.25,38.47,3194200.0,0
1999-02-08,38.875,39.0,37.845,38.565,2400800.0,0
1999-02-09,38.44,38.53,36.72,36.905,3107600.0,0
1999-02-10,36.815,38.5,36.75,38.405,3258000.0,0
1999-02-11,38.625,40.565,38.0,40.565,3819400.0,0
1999-02-12,40.155,40.19,38.375,39.125,4508000.0,0
1999-02-16,39.44,41.19,39.405,40.97,5425400.0,0
1999-02-17,40.69,41.315,39.875,40.78,3623600.0,0
1999-02-18,40.78,42.69,40.375,41.905,3997000.0,0
1999-02-19,42.125,42.22,40.5,40.815,3232600.0,0
1999-02-22,40.875,41.375,40.625,41.0,2545000.0,0
1999-02-23,41.125,42.315,40.25,42.125,2891800.0,0
1999-02-24,42.065,43.0,41.625,41.625,3872200.0,0
1999-02-25,41.625,41.625,40.0,40.565,2762000.0,0
1999-02-26,40.72,41.315,39.375,40.155,2634600.0,0
1999-03-01,40.31,42.22,40.19,42.19,3020000.0,0
1999-03-02,42.315,42.625,40.53,41.155,4249800.0,0
1999-03-03,41.25,41.845,40.815,41.815,7303200.0,0
1999-03-04,42.125,43.375,41.875,43.375,8938000.0,0
1999-03-05,44.125,45.405,43.625,45.28,6031600.0,0
1999-03-08,44.97,45.19,43.405,45.125,6388800.0,0
1999-03-09,44.69,45.78,44.655,45.25,3617400.0,0
1999-03-10,45.44,45.75,44.845,45.315,3296600.0,0
1999-03-11,45.315,46.625,44.94,45.25,4850800.0,0
1999-03-12,45.375,45.565,43.875,44.28,4392200.0,0
1999-03-15,44.47,45.75,44.065,45.565,3375400.0,0
1999-03-16,45.47,45.5,44.375,44.815,2240800.0,0
1999-03-17,44.625,45.5,44.375,45.28,2048000.0,0
1999-03-18,45.25,45.69,44.625,45.595,1489400.0,0
1999-03-19,45.815,45.94,43.94,43.97,4792600.0,0
1999-03-22,44.065,45.0,43.03,44.5,3157000.0,0
1999-03-23,44.47,45.19,43.44,44.22,3290200.0,0
1999-03-24,44.125,44.75,42.94,44.0,3973800.0,0
1999-03-25,44.0,45.315,43.97,45.28,2536600.0,0
1999-03-26,45.065,45.815,44.75,45.5,2876400.0,0
1999-03-29,45.69,46.25,45.5,45.905,2271200.0,0
1999-03-30,45.53,45.69,45.0,45.0,3287600.0,0
1999-03-31,45.315,46.625,45.28,45.78,3299000.0,0
1999-04-01,45.97,46.315,44.5,44.97,3752200.0,0
1999-04-05,44.97,45.345,44.69,45.125,2940200.0,0
1999-04-06,45.25,46.815,44.94,46.25,4052600.0,0
1999-04-07,46.75,46.875,44.595,45.44,5019000.0,0
1999-04-08,45.845,45.94,44.25,44.655,4689200.0,0
1999-04-09,44.69,45.22,44.405,44.94,2770400.0,0
1999-04-12,44.815,45.03,44.25,44.905,3289000.0,0
1999-04-13,44.94,44.94,44.165,44.405,2603200.0,0
1999-04-14,44.375,44.625,42.94,43.0,5972800.0,0
1999-04-15,43.155,43.315,41.095,41.625,8755400.0,0
1999-04-16,41.815,41.815,40.19,40.845,5563600.0,0
1999-04-19,41.0,41.315,38.22,39.0,6986000.0,0
1999-04-20,39.19,41.94,39.065,41.125,5248200.0,0
1999-04-21,41.375,43.125,41.125,42.065,4205800.0,0
1999-04-22,42.125,43.655,42.095,43.47,5326200.0,0
1999-04-23,43.405,44.0,42.315,43.565,3002200.0,0
1999-04-26,43.815,44.5,43.22,44.5,2253200.0,0
1999-04-27,44.625,45.0,43.69,43.875,3420000.0,0
1999-04-28,43.94,44.345,42.75,42.78,3640400.0,0
1999-04-29,42.875,42.97,40.375,40.565,5267000.0,0
1999-04-30,41.22,41.315,39.845,40.47,5427200.0,0
1999-05-03,40.47,42.125,40.125,42.125,4124600.0,0
1999-05-04,42.125,43.28,41.25,41.25,3811000.0,0
1999-05-05,41.5,41.565,39.375,40.94,10701600.0,0
1999-05-06,40.78,41.315,38.94,39.595,7035800.0,0
1999-05-07,40.5,41.0,38.565,39.47,9041400.0,0
1999-05-10,39.565,40.625,38.75,40.5,4303400.0,0
1999-05-11,40.97,41.815,40.5,41.19,5204200.0,0
1999-05-12,41.375,41.375,40.315,40.655,3537800.0,0
1999-05-13,40.815,42.22,40.78,41.655,3866200.0,0
1999-05-14,41.5,41.94,40.315,40.565,3302000.0,0
1999-05-17,39.625,39.815,39.0,39.5,4232400.0,0
1999-05-18,39.625,39.69,38.565,38.78,4864800.0,0
1999-05-19,38.815,39.0,37.845,38.375,4282800.0,0
1999-05-20,38.5,39.315,37.94,38.25,2011600.0,0
1999-05-21,38.405,38.69,37.375,37.5,3579400.0,0
1999-05-24,37.625,39.47,36.815,38.875,5835600.0,0
1999-05-25,38.595,39.25,36.97,37.03,3683400.0,0
