date,open,high,low,close,volume,padding
1999-01-04,54.88,55.75,53.5,53.94,684900.0,0
1999-01-05,53.94,57.25,53.94,55.38,507900.0,0
1999-01-06,54.63,54.88,53.69,54.63,873700.0,0
1999-01-07,54.25,54.75,53.75,53.88,536800.0,0
1999-01-08,53.81,53.94,51.38,52.25,2373800.0,0
1999-01-11,46.5,47.0,44.94,45.38,5907100.0,0
1999-01-12,44.75,45.19,44.5,44.88,3822200.0,0
1999-01-13,44.0,45.69,44.0,45.56,2470600.0,0
1999-01-14,46.0,46.94,45.5,45.94,1910700.0,0
1999-01-15,46.94,46.94,44.63,45.13,1249500.0,0
1999-01-19,45.0,45.0,43.5,44.25,1050500.0,0
1999-01-20,43.44,44.81,43.38,43.63,1238500.0,0
1999-01-21,44.5,44.75,43.75,44.06,1001100.0,0
1999-01-22,44.13,45.19,44.06,44.31,614800.0,0
1999-01-25,44.31,46.0,44.31,45.56,796400.0,0
1999-01-26,45.31,45.5,44.13,44.13,1109200.0,0
1999-01-27,44.63,46.13,44.63,46.13,1519500.0,0
1999-01-28,46.13,47.25,45.81,47.0,783600.0,0
1999-01-29,46.75,47.0,45.94,46.94,944600.0,0
1999-02-01,46.94,46.94,46.19,46.19,739700.0,0
1999-02-02,45.94,46.0,43.75,44.44,1100300.0,0
1999-02-03,44.38,44.69,43.75,44.0,1082500.0,0
1999-02-04,44.06,44.25,43.0,43.31,1648600.0,0
1999-02-05,43.38,43.75,43.06,43.38,1144600.0,0
1999-02-08,43.13,43.13,41.81,42.38,1475200.0,0
1999-02-09,41.63,41.88,40.81,41.13,916100.0,0
1999-02-10,40.88,41.94,40.88,41.88,1165800.0,0
1999-02-11,41.63,42.75,41.25,41.44,730400.0,0
1999-02-12,41.69,41.88,40.0,40.25,1099700.0,0
1999-02-16,40.38,41.19,39.63,40.69,1447800.0,0
1999-02-17,40.13,42.0,40.13,41.25,955700.0,0
1999-02-18,41.13,42.44,40.94,41.75,851600.0,0
1999-02-19,41.56,42.0,41.25,41.63,561000.0,0
1999-02-22,41.5,42.88,41.38,42.5,724300.0,0
1999-02-23,42.31,42.31,40.88,41.0,1038700.0,0
1999-02-24,41.13,42.31,40.75,41.0,1119000.0,0
1999-02-25,40.75,41.5,40.13,40.44,893100.0,0
1999-02-26,40.44,40.69,39.81,40.19,922500.0,0
1999-03-01,40.06,41.38,39.81,40.88,1643700.0,0
1999-03-02,40.88,40.94,38.88,38.88,1021800.0,0
1999-03-03,38.88,39.0,38.06,38.81,827400.0,0
1999-03-04,38.81,41.69,38.81,40.56,1462300.0,0
1999-03-05,42.25,42.38,41.13,42.0,1472300.0,0
1999-03-08,41.56,41.75,40.19,40.75,658900.0,0
1999-03-09,40.63,40.63,40.06,40.38,813500.0,0
1999-03-10,41.13,41.13,40.06,41.13,1066400.0,0
1999-03-11,40.88,42.25,40.81,42.19,943500.0,0
1999-03-12,42.94,43.25,42.63,43.0,984700.0,0
1999-03-15,43.44,43.5,42.13,42.25,782900.0,0
1999-03-16,41.88,42.38,41.56,42.06,636600.0,0
1999-03-17,42.13,42.13,41.13,41.56,679000.0,0
1999-03-18,41.31,42.69,41.19,42.5,724400.0,0
1999-03-19,42.0,43.31,41.75,42.38,1048200.0,0
1999-03-22,42.38,42.75,42.06,42.63,430600.0,0
1999-03-23,42.56,42.56,40.56,41.38,1068800.0,0
1999-03-24,41.81,43.13,41.25,42.5,1170000.0,0
1999-03-25,42.88,43.19,40.44,41.44,1139000.0,0
1999-03-26,41.44,41.69,40.69,41.0,663300.0,0
1999-03-29,40.88,42.69,40.63,42.19,589000.0,0
1999-03-30,41.75,42.25,41.63,42.0,689700.0,0
1999-03-31,41.75,42.56,40.56,40.69,1154000.0,0
1999-04-01,40.44,42.19,40.38,41.69,965600.0,0
1999-04-05,41.75,42.31,41.31,41.75,760600.0,0
1999-04-06,41.13,41.63,40.69,41.38,505800.0,0
1999-04-07,41.06,41.25,39.5,39.88,791900.0,0
1999-04-08,39.63,40.88,39.5,39.5,1096500.0,0
