date,open,high,low,close,volume,padding
1999-01-04,6.968,7.0420000000000025,6.907,6.9579999999999975,3744000.0,0
1999-01-05,6.98,6.99,6.895,6.9270000000000005,3865200.0,0
1999-01-06,6.968,7.26,6.9579999999999975,7.25,3231000.0,0
1999-01-07,7.218,7.23,7.115,7.187,2812800.0,0
1999-01-08,7.187,7.582999999999997,7.1770000000000005,7.48,3235200.0,0
1999-01-11,7.48,7.542000000000002,7.355,7.375,2572800.0,0
1999-01-12,7.332999999999997,7.385,7.0829999999999975,7.093,2197200.0,0
1999-01-13,7.0420000000000025,7.115,6.9170000000000025,6.948,3334800.0,0
1999-01-14,6.948,6.9579999999999975,6.77,6.865,2899200.0,0
1999-01-15,6.895,6.9270000000000005,6.718,6.813,3121200.0,0
1999-01-19,6.8329999999999975,6.8329999999999975,6.52,6.593,3895800.0,0
1999-01-20,6.593,6.593,6.343,6.4170000000000025,6335400.0,0
1999-01-21,6.3329999999999975,6.437,6.115,6.4270000000000005,11273400.0,0
1999-01-22,6.468,6.7079999999999975,6.468,6.6670000000000025,4963800.0,0
1999-01-25,6.6670000000000025,6.7079999999999975,6.51,6.52,3706200.0,0
1999-01-26,6.563,6.73,6.532,6.645,2080800.0,0
1999-01-27,6.645,6.6670000000000025,6.3020000000000005,6.3020000000000005,2060400.0,0
1999-01-28,6.313,6.395,6.0,6.073,4240200.0,0
1999-01-29,6.25,6.7079999999999975,6.198,6.7079999999999975,4118400.0,0
1999-02-01,6.687,6.687,6.4270000000000005,6.51,2218800.0,0
1999-02-02,6.51,6.907,6.51,6.698,5573400.0,0
1999-02-03,6.6770000000000005,6.937,6.615,6.813,4143600.0,0
1999-02-04,6.8329999999999975,7.0,6.823,6.937,5886000.0,0
1999-02-05,6.948,7.115,6.937,7.0520000000000005,4558800.0,0
1999-02-08,7.0520000000000005,7.063,6.76,6.782,2971800.0,0
1999-02-09,6.7920000000000025,6.855,6.657,6.813,2182800.0,0
1999-02-10,6.8329999999999975,6.865,6.7920000000000025,6.823,3347400.0,0
1999-02-11,6.823,7.0,6.823,6.9579999999999975,4063800.0,0
1999-02-12,6.9579999999999975,6.968,6.75,6.7920000000000025,2536200.0,0
1999-02-16,6.75,6.843,6.718,6.843,3312000.0,0
1999-02-17,6.8329999999999975,7.063,6.77,6.8329999999999975,5361600.0,0
1999-02-18,6.8329999999999975,6.8329999999999975,6.605,6.6770000000000005,3661200.0,0
1999-02-19,6.6770000000000005,6.718,6.635,6.687,3306600.0,0
1999-02-22,6.875,6.937,6.77,6.8020000000000005,2314200.0,0
1999-02-23,6.687,6.885,6.657,6.6770000000000005,2805000.0,0
1999-02-24,6.687,6.73,6.635,6.657,2488200.0,0
1999-02-25,6.605,6.605,6.532,6.5829999999999975,3279600.0,0
1999-02-26,6.5829999999999975,6.635,6.51,6.5420000000000025,2602200.0,0
1999-03-01,6.48,6.563,6.395,6.5520000000000005,2602800.0,0
1999-03-02,6.51,6.52,6.24,6.407,3433200.0,0
1999-03-03,6.448,6.4579999999999975,6.2079999999999975,6.407,2308800.0,0
1999-03-04,6.5,6.5829999999999975,6.4579999999999975,6.563,2316000.0,0
1999-03-05,6.5420000000000025,6.5829999999999975,6.5,6.5829999999999975,1584000.0,0
1999-03-08,6.5420000000000025,6.5420000000000025,6.282,6.355,2711400.0,0
1999-03-09,6.355,6.5,6.282,6.355,2001600.0,0
1999-03-10,6.27,6.365,6.26,6.3020000000000005,3714600.0,0
1999-03-11,6.313,6.4579999999999975,6.3020000000000005,6.3329999999999975,2342400.0,0
1999-03-12,6.365,6.395,6.3020000000000005,6.323,1518000.0,0
1999-03-15,6.26,6.573,6.26,6.563,4179000.0,0
1999-03-16,6.563,6.593,6.4270000000000005,6.5520000000000005,2370600.0,0
1999-03-17,6.532,6.563,6.313,6.313,2868000.0,0
