date,open,high,low,close,volume,padding
1999-01-04,0.638,0.669,0.612,0.625,3513600.0,0
1999-01-05,0.599,0.6409999999999999,0.594,0.6409999999999999,4123200.0,0
1999-01-06,0.6609999999999999,0.68,0.6459999999999999,0.649,1723200.0,0
1999-01-07,0.6409999999999999,0.6559999999999999,0.625,0.635,2443200.0,0
1999-01-08,0.6559999999999999,0.6609999999999999,0.643,0.654,2409600.0,0
1999-01-11,0.669,0.698,0.659,0.69,3830400.0,0
1999-01-12,0.688,0.6970000000000001,0.63,0.63,1180800.0,0
1999-01-13,0.547,0.649,0.547,0.628,6172800.0,0
1999-01-14,0.625,0.6459999999999999,0.62,0.6459999999999999,1286400.0,0
1999-01-15,0.6459999999999999,0.677,0.635,0.677,1968000.0,0
1999-01-19,0.693,0.7290000000000001,0.682,0.708,4099200.0,0
1999-01-20,0.732,0.74,0.7190000000000001,0.732,2443200.0,0
1999-01-21,0.7240000000000001,0.753,0.711,0.737,2414400.0,0
1999-01-22,0.7190000000000001,0.768,0.706,0.768,3052800.0,0
1999-01-25,0.755,0.865,0.75,0.828,9422400.0,0
1999-01-26,0.833,0.833,0.81,0.813,5985600.0,0
1999-01-27,0.8440000000000001,0.8490000000000001,0.805,0.815,3504000.0,0
1999-01-28,0.828,0.833,0.815,0.823,1828800.0,0
1999-01-29,0.826,0.826,0.81,0.81,1680000.0,0
1999-02-01,0.826,0.833,0.81,0.813,2073600.0,0
1999-02-02,0.7929999999999999,0.81,0.755,0.797,4924800.0,0
1999-02-03,0.794,0.794,0.784,0.784,1516800.0,0
1999-02-04,0.794,0.794,0.7709999999999999,0.7809999999999999,643200.0,0
1999-02-05,0.7859999999999999,0.797,0.774,0.792,2956800.0,0
1999-02-08,0.797,0.823,0.792,0.805,6081600.0,0
1999-02-09,0.818,0.82,0.797,0.805,3681600.0,0
1999-02-10,0.818,0.948,0.807,0.917,12009600.0,0
1999-02-11,0.958,0.964,0.917,0.917,9696000.0,0
1999-02-12,0.917,0.927,0.885,0.922,2731200.0,0
1999-02-16,0.927,1.0,0.8909999999999999,0.8909999999999999,7286400.0,0
1999-02-17,0.873,0.885,0.792,0.81,14769600.0,0
1999-02-18,0.833,0.833,0.7809999999999999,0.797,17942400.0,0
1999-02-19,0.7859999999999999,0.802,0.7759999999999999,0.802,4521600.0,0
1999-02-22,0.805,0.883,0.792,0.862,1737600.0,0
1999-02-23,0.883,0.8909999999999999,0.8540000000000001,0.883,1531200.0,0
1999-02-24,0.885,0.948,0.885,0.922,5438400.0,0
1999-02-25,0.909,0.943,0.899,0.943,2304000.0,0
1999-02-26,0.943,0.943,0.8909999999999999,0.8959999999999999,3182400.0,0
1999-03-01,0.892,0.893,0.8,0.82,6950400.0,0
1999-03-02,0.826,0.836,0.815,0.82,5155200.0,0
1999-03-03,0.828,0.828,0.805,0.807,12547200.0,0
1999-03-04,0.805,0.82,0.7240000000000001,0.75,7795200.0,0
1999-03-05,0.759,0.8,0.748,0.7709999999999999,2217600.0,0
1999-03-08,0.774,0.774,0.742,0.754,5539200.0,0
1999-03-09,0.7340000000000001,0.797,0.727,0.768,9518400.0,0
1999-03-10,0.7859999999999999,0.885,0.7659999999999999,0.8490000000000001,5472000.0,0
1999-03-11,0.875,0.875,0.81,0.823,10056000.0,0
1999-03-12,0.82,0.833,0.763,0.7859999999999999,2822400.0,0
1999-03-15,0.763,0.792,0.763,0.7859999999999999,1459200.0,0
1999-03-16,0.7709999999999999,0.794,0.755,0.7859999999999999,2707200.0,0
1999-03-17,0.768,0.789,0.7490000000000001,0.7709999999999999,2745600.0,0
1999-03-18,0.753,0.774,0.721,0.721,6124800.0,0
1999-03-19,0.716,0.721,0.604,0.62,48158400.0,0
1999-03-22,0.613,0.62,0.57,0.589,13132800.0,0
1999-03-23,0.589,0.59,0.49,0.529,18312000.0,0
1999-03-24,0.531,0.625,0.4920000000000001,0.586,37113600.0,0
1999-03-25,0.611,0.635,0.596,0.625,15624000.0,0
1999-03-26,0.609,0.626,0.599,0.613,2764800.0,0
1999-03-29,0.612,0.654,0.612,0.6509999999999999,6427200.0,0
1999-03-30,0.6459999999999999,0.649,0.581,0.594,5265600.0,0
1999-03-31,0.586,0.594,0.573,0.578,8016000.0,0
1999-04-01,0.581,0.5820000000000001,0.524,0.531,3979200.0,0
1999-04-05,0.51,0.536,0.4970000000000001,0.536,4915200.0,0
1999-04-06,0.536,0.536,0.49,0.49,3225600.0,0
1999-04-07,0.488,0.488,0.406,0.422,7420800.0,0
1999-04-08,0.422,0.479,0.422,0.464,7368000.0,0
1999-04-09,0.47,0.474,0.417,0.4270000000000001,5308800.0,0
1999-04-12,0.418,0.44,0.414,0.43,2299200.0,0
1999-04-13,0.43,0.466,0.425,0.448,4593600.0,0
1999-04-14,0.458,0.51,0.458,0.499,5640000.0,0
1999-04-15,0.508,0.521,0.5,0.518,3590400.0,0
1999-04-16,0.521,0.521,0.474,0.5,3955200.0,0
1999-04-19,0.4920000000000001,0.51,0.474,0.499,4296000.0,0
1999-04-20,0.503,0.526,0.495,0.521,4392000.0,0
1999-04-21,0.513,0.513,0.464,0.495,4430400.0,0
1999-04-22,0.5,0.521,0.49,0.516,2467200.0,0
