date,open,high,low,close,volume,padding
1999-01-04,27.5,27.845,26.315,26.595,2017600.0,0
1999-01-05,26.595,26.595,25.875,25.875,2196800.0,0
1999-01-06,26.19,27.125,26.155,26.815,2546000.0,0
1999-01-07,26.44,26.625,25.905,26.065,2438800.0,0
1999-01-08,26.19,26.19,25.44,25.565,2259000.0,0
1999-01-11,25.5,26.03,24.69,25.095,2791000.0,0
1999-01-12,25.315,25.315,24.47,24.815,1900400.0,0
1999-01-13,24.155,25.47,24.125,25.22,2945600.0,0
1999-01-14,25.315,25.315,23.655,24.565,7050400.0,0
1999-01-15,24.97,25.095,24.655,24.905,2547400.0,0
1999-01-19,24.78,25.0,23.625,23.94,3594200.0,0
1999-01-20,24.065,25.22,23.97,24.655,2803400.0,0
1999-01-21,24.875,25.655,24.845,25.03,2028800.0,0
1999-01-22,25.065,25.5,24.875,25.375,1635000.0,0
1999-01-25,25.44,25.565,24.94,25.125,1970000.0,0
1999-01-26,25.25,25.69,24.875,25.095,2365400.0,0
1999-01-27,25.315,26.22,25.315,26.19,2554200.0,0
1999-01-28,26.25,26.655,25.845,26.28,2343600.0,0
1999-01-29,26.47,27.375,25.97,27.375,1655800.0,0
1999-02-01,27.25,27.315,26.905,27.095,1407200.0,0
1999-02-02,27.19,27.25,26.845,27.125,1660400.0,0
1999-02-03,27.0,27.125,26.315,26.815,3393600.0,0
1999-02-04,26.78,26.845,26.155,26.47,1632400.0,0
1999-02-05,26.345,26.405,26.095,26.375,1297200.0,0
1999-02-08,26.28,26.315,25.875,26.0,1170400.0,0
1999-02-09,25.69,25.78,25.25,25.28,1268800.0,0
1999-02-10,25.315,26.28,25.095,26.28,1779400.0,0
1999-02-11,26.03,26.875,25.97,26.565,1694600.0,0
1999-02-12,26.565,27.0,26.375,26.565,1232200.0,0
1999-02-16,27.0,27.78,27.0,27.69,1772800.0,0
1999-02-17,27.5,28.095,26.315,26.875,2634800.0,0
1999-02-18,26.75,27.125,26.28,26.625,2347800.0,0
1999-02-19,26.5,26.53,25.78,26.0,2118200.0,0
1999-02-22,26.125,27.155,26.125,27.125,2562000.0,0
1999-02-23,27.315,27.905,27.065,27.875,1875800.0,0
1999-02-24,28.19,29.19,28.155,28.22,2002800.0,0
1999-02-25,27.815,27.815,26.47,26.47,3350000.0,0
1999-02-26,27.25,27.25,26.065,26.5,3853200.0,0
1999-03-01,26.375,26.405,25.5,25.5,2924400.0,0
1999-03-02,25.565,26.25,25.565,26.095,6106800.0,0
1999-03-03,26.095,26.125,25.405,25.5,3141600.0,0
1999-03-04,25.595,25.655,24.655,25.25,5643800.0,0
1999-03-05,26.0,26.25,24.875,25.25,4274600.0,0
1999-03-08,25.375,25.595,24.815,25.5,2954400.0,0
1999-03-09,25.25,25.625,24.905,25.0,2814400.0,0
1999-03-10,25.375,25.595,25.0,25.405,4671000.0,0
1999-03-11,25.75,26.5,25.405,26.095,2984200.0,0
1999-03-12,26.125,26.5,24.5,26.125,8838400.0,0
1999-03-15,26.065,26.47,24.625,25.065,4059800.0,0
1999-03-16,25.125,25.78,25.125,25.72,2955600.0,0
1999-03-17,25.595,25.815,25.095,25.595,2096000.0,0
1999-03-18,25.5,26.065,25.03,25.28,2540800.0,0
1999-03-19,25.5,25.5,24.28,24.655,4185600.0,0
1999-03-22,24.44,24.565,23.44,24.25,4414000.0,0
1999-03-23,24.28,24.28,23.19,23.375,4550200.0,0
1999-03-24,23.69,23.69,22.5,22.75,7718400.0,0
1999-03-25,22.94,24.625,22.905,24.5,6906000.0,0
1999-03-26,24.5,24.815,24.19,24.315,2513800.0,0
1999-03-29,24.565,24.72,24.0,24.25,2274000.0,0
1999-03-30,24.25,24.53,24.03,24.44,2282800.0,0
1999-03-31,25.125,25.125,23.5,23.75,2660800.0,0
1999-04-01,23.75,23.845,22.625,22.655,4201000.0,0
1999-04-05,22.655,22.72,20.97,22.25,9230600.0,0
1999-04-06,22.25,23.0,21.75,22.815,4770800.0,0
1999-04-07,23.375,23.595,22.655,23.065,5523800.0,0
1999-04-08,24.25,24.405,23.72,24.19,4532200.0,0
1999-04-09,24.28,24.595,24.28,24.47,2849000.0,0
1999-04-12,24.22,24.5,24.19,24.405,3020200.0,0
1999-04-13,24.25,24.25,23.375,23.69,2730400.0,0
1999-04-14,23.75,23.845,23.315,23.345,1895400.0,0
1999-04-15,23.345,23.375,21.845,22.5,4744800.0,0
1999-04-16,22.28,22.375,21.25,21.5,5862000.0,0
1999-04-19,21.5,21.565,19.5,20.25,5752400.0,0
1999-04-20,20.0,21.065,19.815,20.53,5823400.0,0
1999-04-21,20.875,22.095,20.815,21.78,5012600.0,0
1999-04-22,22.25,22.625,21.94,22.405,4582800.0,0
1999-04-23,22.5,22.845,21.94,22.845,3738400.0,0
1999-04-26,22.94,23.655,22.625,23.53,5879400.0,0
1999-04-27,24.28,25.125,23.875,25.125,5231400.0,0
1999-04-28,25.315,25.655,24.125,24.22,4351600.0,0
1999-04-29,24.22,24.97,23.595,23.595,3911000.0,0
1999-04-30,23.655,24.345,23.155,23.815,2838800.0,0
1999-05-03,23.845,24.72,23.815,24.72,2273400.0,0
1999-05-04,24.94,25.03,23.345,23.47,2265000.0,0
1999-05-05,23.595,23.75,22.655,23.0,2475800.0,0
1999-05-06,23.03,23.5,22.595,23.405,2490000.0,0
1999-05-07,23.47,24.22,23.44,24.095,2335600.0,0
1999-05-10,24.065,24.315,22.69,23.28,2214000.0,0
1999-05-11,23.405,23.75,22.19,22.47,2988800.0,0
1999-05-12,22.375,22.75,21.5,22.375,2988400.0,0
1999-05-13,22.5,22.97,22.25,22.375,2876000.0,0
1999-05-14,21.875,22.845,21.815,22.75,2503200.0,0
1999-05-17,23.25,23.5,22.095,23.0,2244600.0,0
1999-05-18,23.5,24.095,23.405,23.655,3679800.0,0
1999-05-19,23.69,24.155,23.53,24.095,2451600.0,0
1999-05-20,24.375,25.03,24.315,24.815,3378600.0,0
1999-05-21,24.94,24.97,24.655,24.815,2217000.0,0
1999-05-24,24.815,25.25,24.78,24.97,2876200.0,0
1999-05-25,25.065,25.095,24.47,24.655,3599200.0,0
1999-05-26,24.44,24.47,23.94,24.25,2561000.0,0
1999-05-27,24.0,24.0,23.095,23.25,2563000.0,0
1999-05-28,23.315,23.315,22.905,23.0,1762400.0,0
1999-06-01,22.905,23.125,22.345,23.125,2100200.0,0
1999-06-02,23.095,23.125,22.375,22.97,1833600.0,0
1999-06-03,22.97,23.75,22.905,23.595,2376800.0,0
1999-06-04,24.375,25.125,24.22,24.75,2677000.0,0
1999-06-07,24.625,24.845,24.5,24.565,1602000.0,0
1999-06-08,24.44,24.845,23.97,24.155,3919000.0,0
1999-06-09,23.94,24.125,23.0,23.03,2837200.0,0
1999-06-10,22.875,23.875,22.875,23.625,1525600.0,0
1999-06-11,23.75,23.97,23.44,23.75,2404200.0,0
1999-06-14,23.815,23.97,23.345,23.44,934800.0,0
1999-06-15,23.405,24.0,23.125,23.625,1918600.0,0
1999-06-16,23.875,25.03,23.875,24.905,1258000.0,0
1999-06-17,24.78,25.94,24.5,25.94,2394800.0,0
1999-06-18,25.94,26.19,25.655,26.03,2763800.0,0
1999-06-21,26.28,26.405,26.0,26.0,2155000.0,0
1999-06-22,26.0,26.0,25.405,25.845,2068400.0,0
1999-06-23,25.75,26.25,25.655,25.845,1587600.0,0
1999-06-24,25.875,25.875,24.69,25.125,1827200.0,0
1999-06-25,25.5,26.125,25.44,25.845,1835400.0,0
1999-06-28,25.875,26.72,25.69,26.5,2080400.0,0
1999-06-29,26.25,26.25,25.655,26.0,3206600.0,0
1999-06-30,25.97,26.19,25.22,25.375,3318400.0,0
1999-07-01,25.25,25.565,25.19,25.5,2121800.0,0
1999-07-02,25.5,25.5,24.845,25.095,1386800.0,0
1999-07-06,25.0,25.155,24.065,24.125,3029400.0,0
1999-07-07,24.065,24.875,23.815,24.875,3305000.0,0
1999-07-08,24.78,25.345,24.47,25.0,1690600.0,0
1999-07-09,24.97,25.095,24.5,24.69,1307000.0,0
1999-07-12,25.125,25.315,24.72,25.125,1980200.0,0
1999-07-13,25.125,25.655,24.97,25.5,2249200.0,0
1999-07-14,25.125,25.315,24.75,24.97,1531600.0,0
1999-07-15,25.095,25.155,24.78,25.155,2038600.0,0
1999-07-16,25.315,25.72,25.065,25.595,1603000.0,0
1999-07-19,25.595,25.595,25.065,25.095,830200.0,0
1999-07-20,24.97,25.065,24.47,24.565,1166400.0,0
1999-07-21,24.595,24.94,24.03,24.44,1914800.0,0
1999-07-22,24.44,24.44,23.5,23.655,3627600.0,0
1999-07-23,23.53,24.0,23.53,23.69,1863400.0,0
1999-07-26,23.44,24.19,23.405,24.125,2183000.0,0
1999-07-27,24.155,24.845,23.72,23.875,2976400.0,0
1999-07-28,24.315,25.905,24.155,25.375,4882200.0,0
1999-07-29,25.375,25.53,24.69,25.25,3043000.0,0
1999-07-30,25.28,25.345,24.72,24.875,1800000.0,0
1999-08-02,24.375,25.345,24.375,24.75,2078800.0,0
1999-08-03,25.0,25.0,24.53,24.69,3108000.0,0
1999-08-04,24.5,24.53,22.75,23.44,6964600.0,0
1999-08-05,23.44,23.5,22.94,23.25,2736800.0,0
1999-08-06,23.25,23.595,23.22,23.5,2519400.0,0
1999-08-09,23.44,23.565,23.345,23.44,1705600.0,0
1999-08-10,23.44,23.565,23.03,23.5,2607600.0,0
1999-08-11,23.75,23.75,22.625,22.625,3950800.0,0
1999-08-12,22.53,22.875,22.375,22.5,3256800.0,0
1999-08-13,22.53,22.565,21.905,22.125,3788000.0,0
1999-08-16,22.375,22.815,22.25,22.44,1705200.0,0
1999-08-17,22.44,22.625,21.345,22.44,3847600.0,0
1999-08-18,22.25,22.315,21.78,21.94,2865600.0,0
1999-08-19,21.78,22.065,21.69,21.845,1566400.0,0
1999-08-20,21.97,22.25,21.845,22.19,3036200.0,0
1999-08-23,22.19,22.5,21.78,21.94,2114200.0,0
1999-08-24,21.94,21.94,20.97,21.315,3961600.0,0
1999-08-25,21.47,21.53,20.75,20.875,5856600.0,0
1999-08-26,21.095,21.815,20.94,21.595,7632200.0,0
1999-08-27,21.5,21.875,21.5,21.655,3044200.0,0
1999-08-30,21.5,21.69,21.25,21.375,2027800.0,0
1999-08-31,21.5,21.595,20.75,20.845,4010000.0,0
1999-09-01,21.0,21.125,20.625,20.905,2989800.0,0
1999-09-02,20.53,20.53,20.0,20.22,4649000.0,0
1999-09-03,20.375,20.655,20.0,20.25,4993600.0,0
1999-09-07,20.25,20.25,19.75,19.815,4079600.0,0
1999-09-08,19.19,19.845,19.19,19.44,6034800.0,0
1999-09-09,19.19,19.25,18.625,18.875,8610800.0,0
1999-09-10,19.065,20.19,18.97,19.97,8705000.0,0
1999-09-13,19.815,20.375,19.75,20.0,5178000.0,0
1999-09-14,20.03,20.345,19.905,20.095,3764400.0,0
1999-09-15,20.595,21.03,20.53,20.72,4464800.0,0
1999-09-16,20.75,20.875,20.28,20.595,3165600.0,0
1999-09-17,20.5,20.72,20.345,20.345,3041400.0,0
1999-09-20,20.375,20.565,20.155,20.345,2028000.0,0
1999-09-21,20.44,20.5,19.375,19.5,5577400.0,0
1999-09-22,19.44,19.655,19.125,19.655,3804800.0,0
1999-09-23,19.44,19.5,19.065,19.22,2677400.0,0
1999-09-24,19.565,20.625,19.5,20.095,3671800.0,0
1999-09-27,20.345,20.375,19.875,19.97,1809000.0,0
1999-09-28,19.72,19.845,19.0,19.655,2373200.0,0
1999-09-29,20.345,20.565,19.94,20.19,2357400.0,0
1999-09-30,20.315,20.47,20.155,20.405,2573800.0,0
1999-10-01,20.44,20.565,19.0,19.0,3243400.0,0
1999-10-04,19.065,19.22,18.315,18.595,4911400.0,0
1999-10-05,19.0,19.25,18.44,18.53,3162000.0,0
1999-10-06,20.0,22.155,19.875,21.905,11293600.0,0
1999-10-07,21.815,21.815,20.345,20.345,5701600.0,0
1999-10-08,20.5,21.47,20.5,21.405,5252600.0,0
1999-10-11,21.405,21.69,21.03,21.155,3462000.0,0
1999-10-12,21.125,21.125,20.345,20.565,2037600.0,0
1999-10-13,20.5,20.625,20.19,20.315,1780800.0,0
1999-10-14,20.315,21.095,20.315,20.815,2909400.0,0
1999-10-15,20.815,20.815,20.095,20.625,2714400.0,0
1999-10-18,20.625,20.655,20.095,20.5,1614200.0,0
1999-10-19,20.72,21.345,20.655,21.065,3187000.0,0
1999-10-20,21.03,21.94,21.03,21.94,2698800.0,0
1999-10-21,21.875,22.5,21.69,22.44,2851800.0,0
1999-10-22,22.5,23.25,22.47,22.875,3185800.0,0
1999-10-25,23.065,23.125,22.28,22.72,2405000.0,0
1999-10-26,22.565,22.565,21.28,21.75,2280800.0,0
1999-10-27,19.25,19.655,18.75,19.5,17538400.0,0
1999-10-28,20.22,20.375,19.905,20.19,7129200.0,0
1999-10-29,20.72,21.97,20.565,21.72,6281200.0,0
1999-11-01,21.72,21.75,19.97,20.18,5948200.0,0
1999-11-02,19.875,20.22,18.905,19.69,10456800.0,0
1999-11-03,19.69,19.905,19.375,19.375,4037200.0,0
1999-11-04,19.78,19.875,19.03,19.155,4241200.0,0
1999-11-05,19.125,19.375,18.5,19.0,7112400.0,0
1999-11-08,19.19,19.315,18.595,18.625,4265600.0,0
1999-11-09,18.875,18.97,18.595,18.595,3471400.0,0
1999-11-10,18.565,18.565,17.625,17.815,8212000.0,0
1999-11-11,17.815,17.905,16.47,17.75,12011400.0,0
1999-11-12,17.875,18.03,17.03,18.03,8713200.0,0
1999-11-15,18.25,19.47,18.03,19.405,6857000.0,0
1999-11-16,20.125,20.375,19.655,19.875,6871400.0,0
1999-11-17,19.815,20.315,19.815,20.19,4262200.0,0
1999-11-18,20.19,20.28,19.595,19.72,5080200.0,0
1999-11-19,19.905,20.155,19.845,20.03,3146000.0,0
1999-11-22,20.0,20.065,19.5,20.065,5316600.0,0
1999-11-23,19.875,20.03,19.625,19.905,3534600.0,0
1999-11-24,19.845,20.0,19.5,19.53,2818200.0,0
1999-11-26,19.53,19.97,19.53,19.845,708600.0,0
1999-11-29,19.815,20.19,19.47,20.095,3920000.0,0
1999-11-30,19.97,20.155,19.845,19.845,2792000.0,0
1999-12-01,19.78,20.095,19.405,19.815,4413400.0,0
1999-12-02,19.78,19.78,18.875,19.0,4730000.0,0
1999-12-03,19.0,19.565,19.0,19.44,5037200.0,0
1999-12-06,19.595,20.0,18.5,18.75,5268200.0,0
1999-12-07,18.72,18.72,17.905,18.03,6096600.0,0
1999-12-08,18.03,18.03,17.78,17.845,3671000.0,0
1999-12-09,18.125,18.75,17.565,17.78,3833600.0,0
1999-12-10,17.94,18.405,17.845,17.97,3839400.0,0
1999-12-13,18.75,18.75,17.53,17.78,3683800.0,0
1999-12-14,17.625,17.655,16.655,16.97,8055200.0,0
1999-12-15,17.065,17.44,16.75,17.03,3766800.0,0
1999-12-16,17.0,17.065,15.845,15.845,5413400.0,0
1999-12-17,15.97,16.03,15.125,15.905,14302000.0,0
1999-12-20,16.065,16.065,15.0,15.155,11016400.0,0
1999-12-21,15.315,16.25,15.28,16.0,9843000.0,0
1999-12-22,16.0,16.095,15.72,15.94,6958800.0,0
1999-12-23,16.19,17.47,16.095,17.315,7315800.0,0
1999-12-27,17.375,18.22,17.345,17.94,6015800.0,0
1999-12-28,18.0,18.405,17.75,17.845,3913200.0,0
1999-12-29,18.25,18.44,18.095,18.315,3835400.0,0
1999-12-30,18.405,19.315,18.375,19.25,3766800.0,0
1999-12-31,19.375,20.0,19.315,19.94,3803800.0,0
