date,open,high,low,close,volume,padding
1999-01-04,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-05,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-06,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-07,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-08,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-11,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-12,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-13,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-14,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-15,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-19,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-20,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-21,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-22,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-25,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-26,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-27,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-28,21.75,21.95,20.55,20.72,8052800.0,1
1999-01-29,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-01,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-02,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-03,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-04,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-05,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-08,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-09,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-10,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-11,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-12,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-16,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-17,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-18,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-19,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-22,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-23,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-24,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-25,21.75,21.95,20.55,20.72,8052800.0,1
1999-02-26,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-01,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-02,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-03,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-04,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-05,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-08,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-09,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-10,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-11,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-12,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-15,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-16,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-17,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-18,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-19,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-22,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-23,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-24,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-25,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-26,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-29,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-30,21.75,21.95,20.55,20.72,8052800.0,1
1999-03-31,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-01,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-05,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-06,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-07,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-08,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-09,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-12,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-13,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-14,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-15,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-16,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-19,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-20,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-21,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-22,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-23,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-26,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-27,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-28,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-29,21.75,21.95,20.55,20.72,8052800.0,1
1999-04-30,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-03,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-04,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-05,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-06,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-07,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-10,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-11,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-12,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-13,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-14,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-17,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-18,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-19,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-20,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-21,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-24,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-25,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-26,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-27,21.75,21.95,20.55,20.72,8052800.0,1
1999-05-28,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-01,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-02,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-03,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-04,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-07,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-08,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-09,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-10,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-11,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-14,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-15,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-16,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-17,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-18,21.75,21.95,20.55,20.72,8052800.0,1
1999-06-21,21.75,21.95,20.55,20.72,8052800.0,1
