date,open,high,low,close,volume,padding
1999-01-04,22.75,23.25,22.56,23.25,338000.0,0
1999-01-05,23.25,23.25,22.94,23.06,129300.0,0
1999-01-06,23.19,23.25,22.94,23.19,232500.0,0
1999-01-07,23.19,23.62,23.0,23.38,145200.0,0
1999-01-08,23.38,23.69,23.38,23.56,119300.0,0
1999-01-11,23.56,23.69,23.5,23.56,238500.0,0
1999-01-12,23.44,23.69,23.44,23.5,101600.0,0
1999-01-13,23.25,23.5,23.0,23.31,152500.0,0
1999-01-14,23.31,23.44,23.12,23.12,165600.0,0
1999-01-15,23.06,23.12,22.88,22.88,154200.0,0
1999-01-19,22.94,23.0,22.62,22.81,171600.0,0
1999-01-20,22.81,22.94,22.69,22.81,150700.0,0
1999-01-21,22.69,23.0,22.69,22.88,152800.0,0
1999-01-22,22.75,23.12,22.75,22.94,162300.0,0
1999-01-25,22.62,23.0,22.5,22.94,106900.0,0
1999-01-26,22.88,23.25,22.88,23.06,136600.0,0
1999-01-27,23.06,23.19,22.94,23.0,159400.0,0
1999-01-28,22.94,23.38,22.88,23.19,123700.0,0
1999-01-29,23.44,23.44,22.94,23.0,68200.0,0
1999-02-01,22.94,23.0,22.5,22.69,131000.0,0
1999-02-02,22.94,22.94,22.56,22.75,166300.0,0
1999-02-03,22.5,23.88,22.5,23.06,213300.0,0
1999-02-04,23.06,23.19,22.94,23.0,145400.0,0
1999-02-05,22.88,23.0,22.81,22.94,94100.0,0
1999-02-08,23.0,23.0,22.62,22.81,92900.0,0
1999-02-09,22.38,22.5,22.12,22.25,208900.0,0
1999-02-10,22.44,22.44,22.19,22.19,180800.0,0
1999-02-11,22.19,22.5,22.0,22.12,4610900.0,0
1999-02-12,22.12,22.31,22.06,22.19,147000.0,0
1999-02-16,21.94,22.5,21.94,22.19,190400.0,0
1999-02-17,22.25,22.38,21.94,21.94,92500.0,0
1999-02-18,21.94,22.31,21.94,22.06,182300.0,0
1999-02-19,22.0,22.0,21.62,21.81,281500.0,0
1999-02-22,21.88,22.06,21.81,21.94,155700.0,0
1999-02-23,22.0,22.25,21.75,22.0,316000.0,0
1999-02-24,22.0,22.25,21.94,22.19,180200.0,0
1999-02-25,21.94,22.12,21.75,21.88,113800.0,0
1999-02-26,21.75,22.0,21.75,21.81,141000.0,0
1999-03-01,21.56,21.56,20.81,20.94,640700.0,0
1999-03-02,21.19,21.38,21.0,21.25,446100.0,0
1999-03-03,21.25,21.69,21.25,21.56,279900.0,0
1999-03-04,21.62,21.88,21.5,21.88,238400.0,0
1999-03-05,21.88,22.06,21.88,21.94,236500.0,0
1999-03-08,21.94,22.0,21.62,21.62,489200.0,0
1999-03-09,21.69,21.69,21.44,21.5,382000.0,0
1999-03-10,21.5,21.88,21.5,21.62,224500.0,0
1999-03-11,21.75,21.94,21.69,21.81,253400.0,0
1999-03-12,21.94,21.94,21.62,21.94,128300.0,0
1999-03-15,21.94,21.94,21.56,21.62,106300.0,0
1999-03-16,21.75,21.81,21.56,21.69,188900.0,0
1999-03-17,21.56,22.06,21.56,21.94,197200.0,0
1999-03-18,21.81,21.94,21.44,21.69,240000.0,0
1999-03-19,21.88,21.88,21.62,21.69,335500.0,0
1999-03-22,21.62,21.75,21.19,21.19,96800.0,0
1999-03-23,21.56,21.69,21.25,21.25,700200.0,0
1999-03-24,21.0,21.38,21.0,21.31,208400.0,0
1999-03-25,21.06,21.25,20.5,20.62,322100.0,0
1999-03-26,20.75,21.38,20.75,21.38,160900.0,0
1999-03-29,21.62,21.62,21.06,21.06,221200.0,0
1999-03-30,21.06,21.25,21.0,21.19,131200.0,0
1999-03-31,21.06,21.56,20.88,21.5,142800.0,0
1999-04-01,21.25,21.31,21.0,21.19,105800.0,0
1999-04-05,21.44,21.44,21.0,21.0,117600.0,0
1999-04-06,21.0,21.31,20.94,21.0,134500.0,0
1999-04-07,20.75,21.25,20.75,20.88,116900.0,0
