date,open,high,low,close,volume,padding
1999-01-04,11.96,12.127,11.833,11.92,599800.5,0
1999-01-05,11.873,12.0,11.873,11.92,404100.0,0
1999-01-06,11.96,12.04,11.96,12.04,374700.0,0
1999-01-07,11.92,12.04,11.92,11.96,669700.5,0
1999-01-08,12.0,12.0,11.833,11.92,386200.5,0
1999-01-11,11.873,12.127,11.873,12.0,417600.0,0
1999-01-12,11.96,12.087,11.873,12.0,565800.0,0
1999-01-13,11.833,12.253,11.833,12.253,929800.5,0
1999-01-14,12.207,12.207,12.04,12.207,336900.0,0
1999-01-15,12.253,12.5,12.207,12.5,786400.5,0
1999-01-19,12.5,13.207,12.373,13.207,1000500.0,0
1999-01-20,13.167,13.167,12.793,12.793,791700.0,0
1999-01-21,12.5,12.627,12.42,12.42,266400.0,0
1999-01-22,12.293,12.587,12.253,12.333,404800.5,0
1999-01-25,12.333,12.667,12.333,12.627,813300.0,0
1999-01-26,12.54,12.587,12.253,12.253,498900.0,0
1999-01-27,12.293,12.46,12.293,12.373,852400.5,0
1999-01-28,12.42,12.587,12.42,12.5,320500.5,0
1999-01-29,12.46,12.54,12.333,12.5,364800.0,0
1999-02-01,12.46,12.5,12.373,12.42,353100.0,0
1999-02-02,12.333,12.46,12.333,12.42,299200.5,0
1999-02-03,12.373,12.54,12.373,12.42,394600.5,0
1999-02-04,12.42,12.5,12.333,12.333,238200.0,0
1999-02-05,12.333,12.42,12.293,12.333,292800.0,0
1999-02-08,12.293,12.5,12.293,12.5,302500.5,0
1999-02-09,12.46,12.753,12.46,12.46,472500.0,0
1999-02-10,12.46,13.333,12.46,13.253,1067500.5,0
1999-02-11,13.167,14.0,13.167,13.833,931000.5,0
1999-02-12,13.667,13.667,13.127,13.127,596800.5,0
1999-02-16,13.167,13.833,13.167,13.833,726300.0,0
1999-02-17,13.753,13.96,13.54,13.54,430000.5,0
1999-02-18,13.587,14.167,13.587,13.92,521500.5,0
1999-02-19,13.96,14.087,13.94,14.04,1154800.5,0
1999-02-22,14.0,14.667,14.0,14.46,859300.5,0
1999-02-23,14.46,15.087,14.46,14.96,991800.0,0
1999-02-24,14.96,15.5,14.627,14.667,994000.5,0
1999-02-25,14.793,14.96,14.667,14.96,405700.5,0
1999-02-26,14.96,15.0,14.42,14.667,579600.0,0
1999-03-01,14.667,15.46,14.46,15.04,607200.0,0
1999-03-02,15.04,15.04,14.54,14.667,642700.5,0
1999-03-03,14.667,14.753,14.0,14.587,645300.0,0
1999-03-04,14.587,14.833,14.0,14.46,712800.0,0
1999-03-05,14.373,14.42,13.873,14.127,1717200.0,0
1999-03-08,14.167,14.253,14.0,14.127,946800.0,0
1999-03-09,14.167,14.207,14.04,14.167,258900.0,0
1999-03-10,14.167,14.46,13.96,14.0,535600.5,0
1999-03-11,14.087,14.56,14.04,14.5,744300.0,0
1999-03-12,14.627,14.92,14.5,14.667,811300.5,0
1999-03-15,14.587,14.627,14.5,14.627,562000.5,0
1999-03-16,14.627,14.627,14.373,14.54,1264000.5,0
1999-03-17,14.587,14.833,14.5,14.587,1188700.5,0
1999-03-18,14.627,14.667,14.373,14.42,1194700.5,0
1999-03-19,14.667,14.667,14.253,14.373,1028200.5,0
1999-03-22,14.373,14.373,13.96,14.0,627000.0,0
1999-03-23,13.92,14.087,13.253,13.373,918400.5,0
1999-03-24,13.333,13.753,13.207,13.54,761800.5,0
1999-03-25,13.833,13.92,13.5,13.92,436800.0,0
1999-03-26,13.753,13.793,13.54,13.707,625500.0,0
1999-03-29,13.707,14.753,13.667,14.54,1114900.5,0
1999-03-30,13.96,14.127,13.42,13.5,523300.5,0
1999-03-31,13.587,13.833,13.5,13.753,313600.5,0
1999-04-01,13.833,14.587,13.793,14.167,425500.5,0
