date,open,high,low,close,volume,padding
1999-01-04,13.783,13.813,12.5,12.625,4652800.0,0
1999-01-05,12.533,12.845,12.283,12.453,3455600.0,0
1999-01-06,12.72,13.158,12.625,13.063,4294400.0,0
1999-01-07,12.845,12.875,12.438,12.658,2847600.0,0
1999-01-08,12.75,12.783,11.578,11.813,5378800.0,0
1999-01-11,11.908,12.125,11.64,11.64,3148400.0,0
1999-01-12,11.672,11.703,11.158,11.39,3438400.0,0
1999-01-13,11.158,11.797,10.938,11.22,2231200.0,0
1999-01-14,11.563,11.563,10.75,11.0,2817600.0,0
1999-01-15,11.408,11.908,11.095,11.75,2110000.0,0
1999-01-19,12.0,12.033,11.375,11.875,1521200.0,0
1999-01-20,12.0,12.063,11.5,11.515,3045200.0,0
1999-01-21,11.563,11.813,10.97,11.625,3183600.0,0
1999-01-22,11.658,12.688,11.408,11.938,7739200.0,0
1999-01-25,12.345,12.563,11.595,11.908,2641200.0,0
1999-01-26,12.095,12.313,11.595,11.89,5123200.0,0
1999-01-27,11.938,12.0,11.47,11.5,5036800.0,0
1999-01-28,11.72,11.75,10.688,10.985,5433200.0,0
1999-01-29,11.11,11.313,10.485,10.54,6634400.0,0
1999-02-01,10.547,10.875,10.25,10.64,5215200.0,0
1999-02-02,10.703,10.72,10.283,10.438,2895600.0,0
1999-02-03,10.438,10.64,10.265,10.595,2438000.0,0
1999-02-04,10.625,10.688,10.313,10.453,2238000.0,0
1999-02-05,10.438,10.438,9.783,10.015,2522800.0,0
1999-02-08,10.313,10.345,9.658,10.0,2447200.0,0
1999-02-09,10.033,10.313,9.688,9.765,2951600.0,0
1999-02-10,9.658,10.0,9.533,9.72,2740800.0,0
1999-02-11,9.86,10.408,9.515,10.265,3533600.0,0
1999-02-12,10.25,10.265,9.875,10.172,2968800.0,0
1999-02-16,10.375,10.658,10.082,10.283,4487600.0,0
1999-02-17,10.158,10.283,9.938,10.095,6378800.0,0
1999-02-18,10.265,10.313,9.908,10.033,4936800.0,0
1999-02-19,10.313,10.5,9.875,10.033,4372000.0,0
1999-02-22,10.033,10.313,9.938,10.283,2720000.0,0
1999-02-23,10.408,10.438,10.033,10.158,2310000.0,0
1999-02-24,10.158,10.5,10.015,10.125,4030000.0,0
1999-02-25,10.125,10.5,9.908,10.125,1828400.0,0
1999-02-26,10.125,10.188,9.908,9.97,2070000.0,0
1999-03-01,9.97,10.033,9.765,9.953,1540000.0,0
1999-03-02,10.0,10.015,9.658,9.658,2517600.0,0
1999-03-03,9.735,9.938,9.5,9.563,1856800.0,0
1999-03-04,9.658,10.375,9.595,10.375,4231600.0,0
1999-03-05,10.47,10.658,10.063,10.235,2318000.0,0
1999-03-08,10.283,11.063,10.265,10.75,3321200.0,0
1999-03-09,10.875,11.063,10.515,10.908,3428800.0,0
1999-03-10,10.875,11.0,10.188,10.25,6451200.0,0
1999-03-11,10.313,10.578,10.063,10.283,8988800.0,0
1999-03-12,10.313,10.563,10.095,10.297,1399200.0,0
1999-03-15,10.345,11.047,10.313,10.875,4512800.0,0
1999-03-16,10.875,10.908,10.625,10.813,2224400.0,0
1999-03-17,10.813,10.922,10.595,10.783,1924400.0,0
1999-03-18,10.845,11.875,10.813,11.875,5889600.0,0
1999-03-19,12.25,12.25,11.61,11.64,5844400.0,0
1999-03-22,11.595,11.72,11.188,11.61,2572800.0,0
1999-03-23,11.625,11.875,11.235,11.235,4235600.0,0
1999-03-24,11.283,11.89,11.14,11.875,4036400.0,0
1999-03-25,11.922,12.375,11.908,12.313,5730400.0,0
1999-03-26,12.063,12.375,12.033,12.265,2074800.0,0
1999-03-29,12.25,12.72,12.125,12.533,3956800.0,0
1999-03-30,12.47,12.533,12.158,12.22,1775600.0,0
1999-03-31,12.22,12.47,11.72,11.875,3054400.0,0
1999-04-01,12.0,12.063,11.875,11.97,2138800.0,0
1999-04-05,12.0,12.408,11.89,12.313,2310400.0,0
1999-04-06,12.188,12.533,11.908,12.0,2520000.0,0
1999-04-07,12.033,12.5,11.985,12.5,2908800.0,0
1999-04-08,12.375,12.5,12.063,12.375,1766800.0,0
1999-04-09,12.36,12.375,12.047,12.235,1154400.0,0
1999-04-12,12.063,12.328,12.033,12.235,1930800.0,0
1999-04-13,12.25,12.828,12.22,12.75,9032400.0,0
1999-04-14,12.97,13.313,12.47,13.22,5741200.0,0
1999-04-15,13.265,13.313,12.47,12.813,3395200.0,0
1999-04-16,12.64,13.375,12.438,12.47,2269200.0,0
1999-04-19,12.563,13.0,11.72,11.908,1807600.0,0
1999-04-20,11.875,12.595,11.375,12.595,3046000.0,0
1999-04-21,12.625,12.658,11.875,12.515,1616000.0,0
1999-04-22,12.5,13.0,12.063,13.0,2849200.0,0
1999-04-23,12.875,13.438,12.563,13.22,3024800.0,0
1999-04-26,13.25,13.313,12.828,13.265,2823200.0,0
1999-04-27,13.158,13.158,12.875,12.938,3107200.0,0
1999-04-28,12.938,13.188,12.595,12.658,4742800.0,0
1999-04-29,12.658,12.985,12.313,12.75,2688400.0,0
1999-04-30,12.908,13.158,12.158,12.703,3495600.0,0
1999-05-03,12.625,12.625,11.97,12.188,1949600.0,0
1999-05-04,12.125,12.922,12.125,12.563,2553200.0,0
1999-05-05,12.533,12.672,11.97,12.563,4968000.0,0
1999-05-06,12.75,12.813,11.908,11.908,5082400.0,0
1999-05-07,11.97,12.11,11.375,12.0,4360800.0,0
1999-05-10,11.938,12.375,11.875,12.283,3741200.0,0
1999-05-11,12.25,12.61,12.25,12.5,2649200.0,0
1999-05-12,12.5,13.0,12.22,13.0,3175200.0,0
1999-05-13,13.158,13.25,12.765,12.813,5724800.0,0
1999-05-14,12.72,12.72,12.063,12.188,3484000.0,0
1999-05-17,12.188,12.25,11.953,12.095,4410000.0,0
1999-05-18,12.158,12.533,12.125,12.438,2447600.0,0
1999-05-19,12.533,12.533,12.408,12.533,1216000.0,0
1999-05-20,12.5,12.845,12.033,12.055,2161600.0,0
1999-05-21,12.22,12.533,12.095,12.438,2273600.0,0
1999-05-24,12.375,12.533,11.938,11.953,945200.0,0
1999-05-25,11.97,12.515,11.97,12.235,1999600.0,0
1999-05-26,12.22,12.408,11.595,12.235,2040000.0,0
1999-05-27,12.095,12.533,11.75,12.408,1418400.0,0
1999-05-28,12.438,12.438,11.938,12.235,2038400.0,0
1999-06-01,12.25,12.375,11.72,11.72,952400.0,0
1999-06-02,11.75,11.97,11.398,11.783,2428000.0,0
1999-06-03,11.783,11.875,11.408,11.453,1270800.0,0
1999-06-04,11.5,12.5,11.47,12.375,2662400.0,0
1999-06-07,12.438,12.5,12.188,12.408,2012000.0,0
1999-06-08,12.422,12.485,12.22,12.345,1849600.0,0
1999-06-09,12.375,12.595,12.345,12.485,2685600.0,0
1999-06-10,12.485,12.5,11.915,12.125,1391600.0,0
1999-06-11,12.188,12.438,12.078,12.14,1304800.0,0
1999-06-14,12.188,12.438,11.828,11.828,865200.0,0
1999-06-15,11.875,12.438,11.875,12.158,1206000.0,0
1999-06-16,12.203,12.533,12.203,12.5,2897200.0,0
1999-06-17,12.47,13.11,12.313,13.015,4945200.0,0
1999-06-18,12.797,12.985,12.5,12.828,2783200.0,0
1999-06-21,13.0,13.033,12.515,12.765,765600.0,0
1999-06-22,12.71,12.908,12.61,12.625,2169200.0,0
1999-06-23,12.595,13.158,12.585,13.015,4452400.0,0
1999-06-24,13.033,13.625,12.922,13.345,6302800.0,0
1999-06-25,13.328,13.328,12.985,13.078,2500800.0,0
1999-06-28,13.125,13.703,13.095,13.703,5191600.0,0
1999-06-29,13.703,13.75,13.408,13.72,2415200.0,0
1999-06-30,13.658,13.783,13.328,13.563,2861600.0,0
1999-07-01,13.688,13.688,13.422,13.515,1941600.0,0
1999-07-02,13.5,14.5,13.47,14.47,4842000.0,0
1999-07-06,14.408,14.72,13.688,13.765,3528800.0,0
1999-07-07,14.095,14.283,13.61,14.188,2049600.0,0
1999-07-08,14.047,14.095,13.5,13.797,1540800.0,0
1999-07-09,13.813,14.485,13.688,14.283,2695200.0,0
1999-07-12,14.25,14.297,13.595,14.095,1341200.0,0
1999-07-13,14.0,14.408,13.922,14.22,2476800.0,0
1999-07-14,14.345,14.75,14.188,14.703,3111200.0,0
1999-07-15,14.72,14.72,14.172,14.39,2526000.0,0
1999-07-16,14.563,14.875,14.515,14.688,3228400.0,0
1999-07-19,14.64,14.658,14.125,14.125,2262000.0,0
1999-07-20,14.125,14.188,13.39,13.408,1802800.0,0
1999-07-21,13.625,13.908,13.22,13.47,3184800.0,0
1999-07-22,13.453,13.5,12.875,13.22,3210800.0,0
1999-07-23,13.908,15.033,13.845,14.765,9871600.0,0
1999-07-26,14.72,14.813,14.5,14.595,3408000.0,0
1999-07-27,14.578,14.688,13.938,14.265,1766000.0,0
1999-07-28,14.22,15.0,13.938,14.797,2156400.0,0
1999-07-29,14.533,14.625,14.25,14.485,1925200.0,0
1999-07-30,14.485,14.533,14.047,14.235,1413600.0,0
1999-08-02,14.313,14.688,13.845,13.875,1317200.0,0
1999-08-03,13.89,14.408,13.845,14.39,1259200.0,0
1999-08-04,14.39,14.438,13.72,13.813,1404400.0,0
1999-08-05,13.875,14.515,13.658,14.408,1861600.0,0
1999-08-06,14.39,14.5,14.015,14.158,1713200.0,0
1999-08-09,13.953,14.75,13.908,14.345,1972400.0,0
1999-08-10,14.36,14.625,13.938,14.313,2256800.0,0
1999-08-11,14.36,14.72,14.188,14.5,1711200.0,0
1999-08-12,14.533,14.75,14.408,14.533,2803600.0,0
1999-08-13,14.688,15.0,14.658,14.938,3396800.0,0
1999-08-16,15.015,15.595,14.96,15.158,3836000.0,0
1999-08-17,15.188,16.203,15.125,16.172,6884000.0,0
1999-08-18,16.11,16.625,15.75,16.203,8012400.0,0
1999-08-19,16.0,16.407,15.985,16.157,5572400.0,0
1999-08-20,16.203,16.375,16.047,16.375,2540000.0,0
1999-08-23,16.438,17.015,16.375,16.86,3180800.0,0
1999-08-24,16.813,17.36,16.485,17.282,3913200.0,0
1999-08-25,17.095,17.095,16.595,16.72,1858000.0,0
1999-08-26,16.813,17.547,16.72,16.72,3669600.0,0
1999-08-27,16.875,17.157,16.75,16.985,2480400.0,0
1999-08-30,16.938,17.063,16.407,16.735,1885600.0,0
1999-08-31,16.5,17.282,16.265,17.157,2807600.0,0
1999-09-01,17.188,17.625,17.047,17.282,2765200.0,0
1999-09-02,17.265,17.938,17.125,17.72,3938800.0,0
1999-09-03,18.125,18.89,18.047,18.688,4031200.0,0
1999-09-07,18.625,18.688,18.25,18.25,4247200.0,0
