date,open,high,low,close,volume,padding
1999-01-04,9.85,10.458,9.667,10.0,18808800.0,0
1999-01-05,9.504,9.688,9.158,9.333,31677600.0,0
1999-01-06,9.75,11.875,9.708,11.792,45842400.0,0
1999-01-07,11.338,13.125,11.254,12.417,49852800.0,0
1999-01-08,13.125,13.354,11.963,12.183,37648800.0,0
1999-01-11,12.671,12.708,11.583,12.146,18511200.0,0
1999-01-12,11.667,11.917,10.0,10.021,26625600.0,0
1999-01-13,9.083,9.833,8.85,8.979,32654400.0,0
1999-01-14,9.354,10.075,9.129,9.387,29731200.0,0
1999-01-15,9.479,10.083,9.25,9.308,18849600.0,0
1999-01-19,10.313,10.417,8.896,9.579,15470400.0,0
1999-01-20,9.567,9.608,8.75,8.908,22012800.0,0
1999-01-21,8.208,8.417,7.507999999999999,7.575,37891200.0,0
1999-01-22,6.9170000000000025,9.167,6.9170000000000025,8.2,53016000.0,0
1999-01-25,8.333,9.075,7.625,9.063,45866400.0,0
1999-01-26,9.125,9.783,8.875,9.204,35640000.0,0
1999-01-27,12.667,13.083,11.833,12.646,105686400.0,0
1999-01-28,12.667,12.746,11.917,12.192,28092000.0,0
1999-01-29,11.917,12.358,11.333,11.567,38632800.0,0
1999-02-01,11.625,11.667,10.896,10.917,27885600.0,0
1999-02-02,10.838,10.838,10.208,10.595999999999998,20659200.0,0
1999-02-03,10.375,11.667,10.292,11.595999999999998,22536000.0,0
1999-02-04,11.417,11.583,9.875,9.958,91612800.0,0
1999-02-05,10.229,10.292,9.167,9.221,44500800.0,0
1999-02-08,9.583,10.183,9.296,9.625,33955200.0,0
1999-02-09,9.625,9.667,8.75,8.871,20256000.0,0
1999-02-10,8.746,9.017,8.0,8.833,30156000.0,0
1999-02-11,9.137,10.021,8.875,9.979,31639200.0,0
1999-02-12,9.829,10.325,9.512,9.833,29078400.0,0
1999-02-16,10.054,10.25,9.512,9.629,15204000.0,0
1999-02-17,9.938,10.25,9.575,9.708,28178400.0,0
1999-02-18,9.767,9.929,9.271,9.796,18117600.0,0
1999-02-19,9.867,10.063,9.658,9.979,15204000.0,0
1999-02-22,10.2,11.875,10.063,11.617,42429600.0,0
1999-02-23,11.829,12.354,11.583,11.775,48652800.0,0
1999-02-24,12.1,12.604,11.875,11.917,39724800.0,0
1999-02-25,12.104,12.496,11.720999999999998,12.479,30955200.0,0
1999-02-26,12.813,14.004,12.483,13.917,82912800.0,0
1999-03-01,13.617,14.762,12.762,13.458,118092000.0,0
1999-03-02,13.825,15.125,13.662,14.637,26144536.0,0
1999-03-03,15.4,15.625,14.688,15.438,43078400.0,0
1999-03-04,16.113,16.387,15.438,16.35,44036800.0,0
1999-03-05,17.363,18.887,16.875,18.663,66722400.0,0
1999-03-08,19.3,21.375,19.038,21.375,69851200.0,0
1999-03-09,21.887,22.175,20.175,20.788,53716000.0,0
1999-03-10,20.938,21.1,19.0,19.387,39085600.0,0
1999-03-11,19.25,20.113,18.125,18.75,28084800.0,0
1999-03-12,18.012,18.625,17.35,17.75,24456800.0,0
1999-03-15,18.188,19.712,17.8,19.6,27759200.0,0
1999-03-16,20.075,20.663,19.413,19.725,18779200.0,0
1999-03-17,19.313,19.85,18.887,19.475,13496800.0,0
1999-03-18,19.475,20.5,19.038,20.1,15420000.0,0
1999-03-19,20.512,20.6,19.563,19.975,13359200.0,0
1999-03-22,19.813,20.25,19.25,19.387,10059200.0,0
1999-03-23,19.125,19.25,17.625,18.3,15350400.0,0
1999-03-24,17.95,18.25,17.163,18.175,14400000.0,0
1999-03-25,20.0,20.438,19.5,19.925,24702400.0,0
1999-03-26,19.5,20.25,19.125,19.313,11440800.0,0
1999-03-29,18.538,19.238,18.25,18.475,21816000.0,0
1999-03-30,18.188,18.25,16.913,17.137,28373600.0,0
1999-03-31,16.575,18.125,16.563,17.163,21924000.0,0
1999-04-01,18.0,18.0,16.637,17.325,17264800.0,0
1999-04-05,17.438,19.613,16.938,18.6,33777600.0,0
1999-04-06,18.725,19.688,18.313,19.0,19448000.0,0
1999-04-07,19.625,19.688,18.288,18.75,13666400.0,0
1999-04-08,18.913,21.512,18.413,21.475,40263200.0,0
1999-04-09,20.875,23.875,20.75,22.925,50240000.0,0
1999-04-12,22.5,24.375,21.413,22.075,46344000.0,0
1999-04-13,21.825,23.225,21.613000000000003,21.613000000000003,48822400.0,0
1999-04-14,22.5,22.512,20.125,20.363,28672000.0,0
1999-04-15,20.25,22.75,19.063,22.363000000000003,40950400.0,0
1999-04-16,21.938,22.538,21.25,22.0,18356800.0,0
1999-04-19,21.613000000000003,21.738000000000003,19.0,19.262,23468800.0,0
1999-04-20,18.775,20.488000000000003,18.288,20.313,23271200.0,0
1999-04-21,20.575,21.313,20.188,20.85,12271200.0,0
1999-04-22,21.375,21.913,20.55,21.5,11732000.0,0
1999-04-23,21.55,25.5,21.25,25.012,61119200.0,0
1999-04-26,26.238000000000003,27.2,25.387,26.125,47118400.0,0
1999-04-27,29.238000000000003,29.238000000000003,25.375,26.163,81927200.0,0
1999-04-28,25.75,25.75,23.95,24.075,45648800.0,0
1999-04-29,22.413,27.0,22.413,26.875,56644000.0,0
1999-04-30,27.113000000000003,27.75,24.875,26.012,38195200.0,0
1999-05-03,25.012,25.488000000000003,23.75,23.825,24285600.0,0
1999-05-04,23.75,25.113000000000003,22.0,22.663,29710400.0,0
