date,open,high,low,close,volume,padding
1999-01-04,52.75,53.44,52.63,52.75,365100.0,0
1999-01-05,52.63,53.19,51.88,52.25,548400.0,0
1999-01-06,52.38,52.5,52.0,52.31,479800.0,0
1999-01-07,52.0,52.25,51.31,51.5,487900.0,0
1999-01-08,51.25,51.75,51.13,51.25,455500.0,0
1999-01-11,51.0,51.13,50.56,51.0,480300.0,0
1999-01-12,50.94,51.63,50.94,51.13,596400.0,0
1999-01-13,51.0,52.13,51.0,51.69,994900.0,0
1999-01-14,51.69,51.75,50.06,50.56,508700.0,0
1999-01-15,50.75,51.0,50.13,51.0,265100.0,0
1999-01-19,50.75,50.88,49.81,50.88,309000.0,0
1999-01-20,51.0,51.06,50.13,50.56,912200.0,0
1999-01-21,50.5,50.94,50.06,50.5,310300.0,0
1999-01-22,50.56,51.0,50.13,50.44,250100.0,0
1999-01-25,50.44,50.63,50.31,50.5,220200.0,0
1999-01-26,50.5,50.88,50.25,50.69,250100.0,0
1999-01-27,50.69,50.88,49.63,49.88,199900.0,0
1999-01-28,49.63,50.56,49.63,50.06,335700.0,0
1999-01-29,50.13,50.13,49.0,49.44,463600.0,0
1999-02-01,49.19,49.19,47.88,48.06,484900.0,0
1999-02-02,47.56,48.25,47.25,47.38,798200.0,0
1999-02-03,47.19,48.19,47.19,47.81,509400.0,0
1999-02-04,47.75,47.94,47.5,47.5,309600.0,0
1999-02-05,47.63,48.06,47.5,47.69,388800.0,0
1999-02-08,47.5,48.44,47.44,48.31,463600.0,0
1999-02-09,48.25,48.56,48.06,48.25,312600.0,0
1999-02-10,48.31,48.5,48.13,48.25,384500.0,0
1999-02-11,48.06,48.13,47.5,47.88,836300.0,0
1999-02-12,47.25,47.25,45.5,45.75,372100.0,0
1999-02-16,46.0,46.94,46.0,46.88,388200.0,0
1999-02-17,46.56,47.94,46.56,47.44,430000.0,0
1999-02-18,47.44,48.63,47.44,48.19,305200.0,0
1999-02-19,48.0,48.5,47.94,47.94,469200.0,0
1999-02-22,47.44,48.44,47.44,48.25,1259700.0,0
1999-02-23,48.0,48.25,47.5,47.75,302600.0,0
1999-02-24,47.69,47.94,47.0,47.0,423900.0,0
1999-02-25,47.0,47.44,46.56,47.0,488700.0,0
1999-02-26,47.0,47.0,46.44,46.75,497800.0,0
1999-03-01,46.5,46.88,46.19,46.69,336000.0,0
1999-03-02,46.88,47.63,46.81,46.88,395900.0,0
1999-03-03,46.88,47.56,46.88,47.31,287000.0,0
1999-03-04,47.19,47.88,47.06,47.81,364200.0,0
1999-03-05,48.25,48.75,48.19,48.5,383000.0,0
1999-03-08,48.25,48.31,47.31,47.5,283600.0,0
1999-03-09,47.25,47.44,46.38,46.38,346800.0,0
1999-03-10,46.5,47.06,46.44,46.5,351000.0,0
1999-03-11,46.38,47.69,46.19,47.44,314000.0,0
1999-03-12,47.63,48.56,47.5,48.0,449300.0,0
1999-03-15,48.19,48.63,47.63,47.94,476900.0,0
1999-03-16,48.13,48.44,48.06,48.13,419400.0,0
1999-03-17,48.13,48.19,47.5,48.13,386400.0,0
1999-03-18,47.88,48.19,47.69,47.88,366900.0,0
1999-03-19,47.38,47.63,46.75,47.0,499100.0,0
1999-03-22,46.94,47.25,46.63,46.81,436500.0,0
1999-03-23,46.81,46.94,46.31,46.44,407300.0,0
1999-03-24,46.5,47.81,46.5,47.75,503400.0,0
1999-03-25,47.69,48.06,47.56,47.94,386600.0,0
1999-03-26,47.75,47.88,46.75,47.0,637500.0,0
1999-03-29,46.88,47.0,46.25,46.5,409100.0,0
1999-03-30,46.13,46.13,45.25,45.38,423200.0,0
1999-03-31,45.31,45.81,45.13,45.31,337100.0,0
1999-04-01,45.06,46.13,44.81,45.44,526200.0,0
1999-04-05,45.75,46.06,45.69,45.88,479200.0,0
1999-04-06,45.88,45.94,45.13,45.25,433100.0,0
1999-04-07,45.19,45.5,44.38,44.38,558600.0,0
1999-04-08,44.31,45.63,44.25,45.31,421700.0,0
1999-04-09,45.31,45.5,45.06,45.19,246300.0,0
1999-04-12,44.88,45.94,44.75,45.69,275600.0,0
1999-04-13,45.5,45.5,44.63,44.81,442700.0,0
1999-04-14,44.69,44.69,44.13,44.19,272700.0,0
1999-04-15,44.0,44.88,44.0,44.31,484800.0,0
1999-04-16,44.38,44.63,43.88,44.31,325400.0,0
1999-04-19,44.19,45.63,44.19,44.75,352300.0,0
1999-04-20,44.75,45.94,44.69,45.81,456500.0,0
1999-04-21,46.5,46.5,45.38,45.75,489800.0,0
1999-04-22,45.5,45.75,45.19,45.69,322900.0,0
1999-04-23,45.56,45.81,44.94,44.94,499300.0,0
1999-04-26,44.94,45.31,44.81,45.0,598200.0,0
1999-04-27,45.0,45.44,45.0,45.0,339500.0,0
1999-04-28,45.06,45.5,44.94,45.31,738700.0,0
1999-04-29,45.5,45.63,45.13,45.38,1580100.0,0
1999-04-30,45.13,45.44,44.88,45.44,873700.0,0
1999-05-03,45.25,45.81,45.25,45.75,318300.0,0
1999-05-04,45.56,45.81,45.25,45.44,294800.0,0
1999-05-05,45.5,45.69,45.19,45.5,246200.0,0
1999-05-06,45.44,45.69,45.25,45.63,805400.0,0
1999-05-07,45.5,45.94,45.5,45.75,421900.0,0
1999-05-10,45.63,46.19,45.56,46.13,225900.0,0
1999-05-11,46.0,46.81,46.0,46.56,1182200.0,0
1999-05-12,46.5,46.75,46.44,46.56,358100.0,0
1999-05-13,46.56,47.38,46.56,47.31,149500.0,0
1999-05-14,46.88,47.0,46.5,46.69,380900.0,0
1999-05-17,45.88,47.0,45.56,46.81,694700.0,0
1999-05-18,46.56,47.25,46.5,46.75,580900.0,0
1999-05-19,47.0,47.5,46.88,47.25,554700.0,0
1999-05-20,47.25,47.56,47.25,47.44,846700.0,0
1999-05-21,47.75,48.19,47.69,48.06,882200.0,0
1999-05-24,48.0,48.81,48.0,48.75,420000.0,0
1999-05-25,48.75,49.63,48.69,49.38,567900.0,0
1999-05-26,49.5,49.88,49.19,49.75,554700.0,0
1999-05-27,49.5,49.56,47.88,48.06,426300.0,0
1999-05-28,48.06,49.06,48.0,48.56,220300.0,0
1999-06-01,48.56,48.56,47.44,47.94,281800.0,0
1999-06-02,47.88,48.06,47.13,47.19,337400.0,0
1999-06-03,47.19,47.63,47.13,47.56,250200.0,0
1999-06-04,47.5,47.81,47.44,47.56,213900.0,0
1999-06-07,47.44,48.0,47.44,47.81,150800.0,0
1999-06-08,47.63,47.69,47.5,47.69,292400.0,0
1999-06-09,47.63,47.81,47.5,47.56,170200.0,0
1999-06-10,47.5,47.56,46.81,47.0,364500.0,0
1999-06-11,46.88,47.25,46.38,46.44,293100.0,0
1999-06-14,46.88,47.75,46.81,47.06,255000.0,0
1999-06-15,47.25,48.44,47.0,47.94,333900.0,0
1999-06-16,48.25,49.0,47.88,48.0,585700.0,0
1999-06-17,48.0,48.0,47.13,47.19,448100.0,0
1999-06-18,47.25,47.44,47.0,47.13,913800.0,0
1999-06-21,47.0,47.13,46.25,46.31,236100.0,0
1999-06-22,46.31,47.0,46.31,46.63,273000.0,0
1999-06-23,46.38,46.88,46.31,46.56,227400.0,0
1999-06-24,46.56,47.0,46.5,47.0,503900.0,0
1999-06-25,47.13,47.44,46.75,46.81,321100.0,0
1999-06-28,47.13,47.25,46.69,46.75,374200.0,0
1999-06-29,46.75,46.75,46.25,46.31,518800.0,0
1999-06-30,46.31,46.31,45.25,45.25,707000.0,0
1999-07-01,45.25,45.81,45.19,45.75,462000.0,0
1999-07-02,45.75,46.63,45.75,46.38,310500.0,0
1999-07-06,46.25,46.25,45.56,45.75,361600.0,0
1999-07-07,45.88,45.94,45.56,45.69,564700.0,0
1999-07-08,45.69,45.69,45.13,45.19,424000.0,0
1999-07-09,44.94,45.0,44.56,44.88,226700.0,0
1999-07-12,44.88,44.88,44.44,44.5,301300.0,0
1999-07-13,44.5,44.94,44.25,44.25,438400.0,0
1999-07-14,44.25,44.5,43.88,44.5,292200.0,0
1999-07-15,44.5,44.88,44.31,44.38,225500.0,0
1999-07-16,44.25,44.25,43.69,43.88,215600.0,0
1999-07-19,43.75,43.94,43.44,43.63,480100.0,0
1999-07-20,43.5,43.75,43.06,43.19,796500.0,0
1999-07-21,43.19,43.5,42.94,43.25,1556200.0,0
1999-07-22,43.38,43.88,43.13,43.56,378500.0,0
1999-07-23,43.56,43.69,42.69,42.94,261400.0,0
1999-07-26,43.0,43.75,42.94,43.5,508000.0,0
1999-07-27,43.75,43.75,43.25,43.5,412300.0,0
1999-07-28,43.63,43.75,43.25,43.31,435500.0,0
1999-07-29,43.19,43.5,42.75,42.81,860100.0,0
1999-07-30,42.81,43.88,42.81,43.5,1178900.0,0
1999-08-02,43.5,44.38,43.5,44.0,451800.0,0
1999-08-03,44.19,44.94,43.81,44.69,424900.0,0
1999-08-04,44.75,45.0,44.5,44.63,580100.0,0
1999-08-05,44.56,45.19,44.31,44.94,979700.0,0
1999-08-06,45.06,45.19,44.75,45.13,447600.0,0
1999-08-09,44.88,45.25,44.75,44.81,395400.0,0
1999-08-10,44.69,45.13,44.69,44.75,650300.0,0
1999-08-11,44.63,45.38,44.63,45.25,350300.0,0
1999-08-12,44.88,44.88,43.88,43.94,378000.0,0
1999-08-13,44.06,44.44,43.63,43.88,332100.0,0
1999-08-16,43.25,43.69,42.56,43.19,611800.0,0
1999-08-17,43.38,43.63,43.25,43.63,364500.0,0
1999-08-18,43.38,43.5,42.69,42.88,479900.0,0
1999-08-19,42.69,43.38,42.56,43.38,290300.0,0
1999-08-20,43.56,44.56,43.38,44.56,522600.0,0
1999-08-23,44.5,44.56,43.94,44.0,336000.0,0
1999-08-24,44.25,44.5,44.0,44.31,552000.0,0
1999-08-25,44.75,45.5,44.63,45.5,449700.0,0
1999-08-26,45.5,45.5,44.94,45.0,426900.0,0
1999-08-27,45.0,45.31,44.81,44.94,407300.0,0
1999-08-30,44.88,45.0,44.38,44.38,271400.0,0
1999-08-31,44.38,44.69,43.88,44.0,228100.0,0
1999-09-01,43.75,44.31,43.63,44.31,647300.0,0
1999-09-02,43.88,44.06,43.63,43.75,542000.0,0
1999-09-03,44.0,44.63,44.0,44.44,845600.0,0
1999-09-07,44.38,44.38,43.38,43.56,312100.0,0
1999-09-08,43.31,43.56,43.0,43.44,408400.0,0
1999-09-09,43.19,44.06,43.0,43.88,328800.0,0
1999-09-10,44.0,44.06,43.5,43.75,574600.0,0
1999-09-13,43.63,43.75,43.44,43.75,195700.0,0
1999-09-14,43.63,43.63,43.13,43.13,231500.0,0
1999-09-15,43.38,43.63,43.19,43.31,257800.0,0
1999-09-16,43.38,43.44,42.63,42.88,261600.0,0
1999-09-17,42.88,43.69,42.81,43.69,608000.0,0
1999-09-20,43.19,43.56,43.19,43.25,186500.0,0
1999-09-21,43.0,43.06,42.56,42.63,264500.0,0
1999-09-22,42.63,42.88,42.44,42.63,271300.0,0
1999-09-23,42.5,42.5,41.5,41.69,278300.0,0
1999-09-24,41.44,42.06,41.25,41.31,250600.0,0
