date,open,high,low,close,volume,padding
1999-01-04,28.0,28.5,27.75,27.81,774200.0,0
1999-01-05,27.75,28.19,27.63,27.75,532200.0,0
1999-01-06,27.94,28.06,27.75,28.0,446400.0,0
1999-01-07,27.75,28.0,27.63,27.75,515900.0,0
1999-01-08,27.56,27.56,27.13,27.25,904500.0,0
1999-01-11,27.13,27.19,26.56,26.88,843500.0,0
1999-01-12,26.88,27.63,26.75,27.44,1463100.0,0
1999-01-13,27.5,28.44,27.44,27.69,1024200.0,0
1999-01-14,27.56,27.75,27.5,27.56,731300.0,0
1999-01-15,27.63,27.94,27.63,27.94,489800.0,0
1999-01-19,27.69,27.69,26.75,27.63,1258800.0,0
1999-01-20,27.63,27.88,27.44,27.56,573300.0,0
1999-01-21,27.81,28.25,27.5,27.94,1179300.0,0
1999-01-22,28.13,28.69,28.06,28.69,679200.0,0
1999-01-25,28.69,28.94,28.69,28.81,973700.0,0
1999-01-26,28.81,28.88,28.44,28.69,764700.0,0
1999-01-27,28.69,28.81,27.88,27.94,823500.0,0
1999-01-28,28.0,28.25,27.81,28.06,495600.0,0
1999-01-29,28.13,28.13,27.38,27.81,467300.0,0
1999-02-01,27.75,27.81,27.13,27.19,444900.0,0
1999-02-02,27.19,27.38,26.69,27.25,751100.0,0
1999-02-03,27.06,27.25,26.88,27.25,652600.0,0
1999-02-04,27.44,27.44,26.75,26.94,592400.0,0
1999-02-05,27.06,27.13,26.75,27.0,510100.0,0
1999-02-08,27.0,27.44,26.63,26.75,758600.0,0
1999-02-09,26.5,26.63,26.19,26.19,517300.0,0
1999-02-10,26.25,26.63,26.19,26.56,318700.0,0
1999-02-11,26.5,26.75,26.06,26.38,371900.0,0
1999-02-12,26.25,26.56,25.75,25.75,301400.0,0
1999-02-16,26.0,26.5,25.75,25.81,522300.0,0
1999-02-17,25.69,26.94,25.63,26.19,661400.0,0
1999-02-18,26.19,27.13,26.19,26.81,850500.0,0
1999-02-19,26.63,26.69,26.13,26.19,397000.0,0
1999-02-22,26.13,26.44,26.0,26.25,386200.0,0
1999-02-23,26.19,26.19,25.81,25.88,290300.0,0
1999-02-24,25.81,26.38,25.75,26.06,789000.0,0
1999-02-25,26.0,26.38,25.31,25.44,505900.0,0
1999-02-26,25.69,26.0,25.31,25.5,470200.0,0
1999-03-01,25.63,25.63,25.0,25.38,768200.0,0
1999-03-02,25.38,26.44,25.38,25.88,459500.0,0
1999-03-03,25.88,26.31,25.53,25.75,443400.0,0
1999-03-04,25.88,26.38,25.75,26.13,529300.0,0
1999-03-05,26.63,26.94,26.31,26.44,714100.0,0
1999-03-08,26.25,26.25,25.81,26.0,404200.0,0
1999-03-09,26.0,26.06,25.44,25.5,342300.0,0
1999-03-10,26.0,26.13,25.69,25.88,633600.0,0
1999-03-11,25.88,26.0,25.63,25.69,574400.0,0
1999-03-12,25.94,26.5,25.94,26.38,603800.0,0
1999-03-15,26.44,26.56,25.75,25.81,489300.0,0
1999-03-16,25.81,26.0,25.75,25.75,435600.0,0
1999-03-17,25.75,25.75,25.5,25.63,389600.0,0
1999-03-18,25.56,26.0,25.56,25.94,479200.0,0
1999-03-19,25.81,26.13,25.63,25.69,672700.0,0
1999-03-22,25.5,25.5,24.63,24.63,1357600.0,0
1999-03-23,24.75,24.94,24.0,24.75,854500.0,0
1999-03-24,24.94,25.19,24.69,25.0,1028200.0,0
1999-03-25,24.94,25.13,24.5,24.75,512200.0,0
1999-03-26,24.75,24.75,24.0,24.13,726200.0,0
1999-03-29,24.38,24.63,23.0,23.31,1426300.0,0
1999-03-30,22.75,22.88,22.0,22.06,1328200.0,0
1999-03-31,22.0,22.44,21.63,22.25,9300900.0,0
1999-04-01,22.5,23.56,22.38,23.06,2421500.0,0
1999-04-05,23.56,23.69,23.25,23.69,781300.0,0
1999-04-06,23.56,23.75,23.19,23.38,944600.0,0
1999-04-07,23.38,23.88,23.25,23.63,1039500.0,0
1999-04-08,24.0,24.38,23.75,24.38,589500.0,0
1999-04-09,24.44,24.44,23.56,24.0,500600.0,0
1999-04-12,23.75,23.88,23.44,23.5,601600.0,0
1999-04-13,23.5,23.5,22.88,23.31,650200.0,0
1999-04-14,23.44,23.63,22.88,22.88,578000.0,0
1999-04-15,22.88,23.31,22.69,23.13,632900.0,0
1999-04-16,23.63,23.88,23.5,23.81,498100.0,0
1999-04-19,24.5,24.56,23.94,24.06,777800.0,0
1999-04-20,23.94,24.81,23.88,24.75,923900.0,0
1999-04-21,24.75,24.94,24.38,24.81,532600.0,0
1999-04-22,24.56,24.56,23.69,23.88,731400.0,0
1999-04-23,23.88,24.38,23.75,24.13,878000.0,0
1999-04-26,24.0,24.06,23.38,23.56,441600.0,0
1999-04-27,23.75,24.0,23.44,23.81,786200.0,0
1999-04-28,23.63,23.94,23.63,23.63,557100.0,0
1999-04-29,23.75,24.5,23.75,24.06,667800.0,0
1999-04-30,24.19,24.5,24.0,24.5,771100.0,0
1999-05-03,24.75,25.25,24.38,25.19,1490500.0,0
1999-05-04,25.25,25.31,24.75,25.0,643600.0,0
1999-05-05,25.0,25.13,24.69,25.13,497800.0,0
1999-05-06,24.63,25.13,24.5,24.94,1135400.0,0
1999-05-07,24.88,25.13,24.88,25.06,427600.0,0
1999-05-10,24.94,25.25,24.75,24.88,817300.0,0
1999-05-11,25.0,25.56,24.75,25.44,1191300.0,0
1999-05-12,25.44,25.88,25.31,25.63,1152200.0,0
1999-05-13,25.75,26.69,25.75,26.63,967400.0,0
1999-05-14,26.25,26.81,26.19,26.69,1371000.0,0
1999-05-17,26.75,27.5,26.63,27.38,1116600.0,0
