date,open,high,low,close,volume,padding
1999-01-04,4.265,4.407,4.202,4.375,1759600.0,0
1999-01-05,4.375,4.438,4.345,4.375,991200.0,0
1999-01-06,4.36,4.47,4.313,4.452,1356000.0,0
1999-01-07,4.39,4.407,4.125,4.282,2656800.0,0
1999-01-08,4.282,4.577,4.265,4.5,3171200.0,0
1999-01-11,4.595,4.61,4.22,4.313,3020400.0,0
1999-01-12,4.298,4.548,4.265,4.327,3406000.0,0
1999-01-13,4.188,4.313,4.14,4.265,3693200.0,0
1999-01-14,4.265,4.36,4.22,4.235,716800.0,0
1999-01-15,4.22,4.313,4.157,4.202,830400.0,0
1999-01-19,4.313,4.47,4.282,4.375,1772800.0,0
1999-01-20,4.438,4.563,4.375,4.375,1516800.0,0
1999-01-21,4.407,4.5,4.39,4.423,1546400.0,0
1999-01-22,4.36,4.5,4.345,4.5,2235600.0,0
1999-01-25,4.5,4.515,4.375,4.423,1106000.0,0
1999-01-26,4.407,4.407,4.298,4.313,3531600.0,0
1999-01-27,4.36,4.375,4.157,4.188,2788400.0,0
1999-01-28,4.188,4.235,4.11,4.188,3273200.0,0
1999-01-29,4.188,4.423,4.14,4.313,2827200.0,0
1999-02-01,4.282,4.282,4.173,4.188,3993200.0,0
1999-02-02,4.157,4.188,3.938,3.938,2926800.0,0
1999-02-03,4.0,4.157,3.97,4.11,3995600.0,0
1999-02-04,4.11,4.22,4.063,4.125,3675600.0,0
1999-02-05,4.125,4.25,4.125,4.235,1486400.0,0
1999-02-08,4.25,4.345,4.25,4.25,961200.0,0
1999-02-09,4.265,4.282,4.095,4.265,715600.0,0
1999-02-10,4.25,4.265,4.14,4.173,565600.0,0
1999-02-11,4.188,4.313,4.11,4.157,3232000.0,0
1999-02-12,4.11,4.265,4.11,4.25,1567200.0,0
1999-02-16,4.188,4.235,4.0,4.125,1332000.0,0
1999-02-17,4.063,4.14,4.0,4.11,1139200.0,0
1999-02-18,4.11,4.125,4.015,4.077,800400.0,0
1999-02-19,4.125,4.14,4.063,4.095,2458000.0,0
1999-02-22,4.125,4.25,4.048,4.11,779600.0,0
1999-02-23,4.11,4.11,4.048,4.063,1269600.0,0
1999-02-24,4.063,4.157,4.063,4.077,1193200.0,0
1999-02-25,4.125,4.22,4.095,4.173,1639200.0,0
1999-02-26,4.188,4.188,4.077,4.125,1188000.0,0
1999-03-01,4.188,4.188,3.985,4.0,2834400.0,0
1999-03-02,4.048,4.188,4.032,4.048,1619200.0,0
1999-03-03,4.077,4.077,3.97,4.0,2936400.0,0
1999-03-04,4.0,4.14,3.953,4.14,2527600.0,0
1999-03-05,4.157,4.188,4.11,4.188,760000.0,0
1999-03-08,4.235,4.345,4.125,4.265,1444800.0,0
1999-03-09,4.25,4.282,3.922,4.077,2306400.0,0
1999-03-10,4.125,4.345,4.077,4.345,5960000.0,0
1999-03-11,4.5,4.577,4.327,4.345,5587200.0,0
1999-03-12,4.345,4.438,4.282,4.313,1056800.0,0
1999-03-15,4.327,4.327,4.235,4.282,1176800.0,0
1999-03-16,4.345,4.375,4.298,4.345,850000.0,0
1999-03-17,4.345,4.5,4.345,4.485,1010400.0,0
1999-03-18,4.5,4.515,4.282,4.327,1377600.0,0
1999-03-19,4.345,4.452,4.313,4.39,1552400.0,0
1999-03-22,4.375,4.39,4.282,4.313,790000.0,0
1999-03-23,4.25,4.313,4.235,4.298,864000.0,0
1999-03-24,4.313,4.36,4.173,4.235,1865200.0,0
1999-03-25,4.25,4.25,4.063,4.125,3718000.0,0
1999-03-26,4.188,4.298,4.077,4.202,5338800.0,0
1999-03-29,4.265,4.36,4.265,4.313,1775600.0,0
1999-03-30,4.298,4.298,4.125,4.14,3317600.0,0
1999-03-31,4.188,4.22,4.14,4.157,1166400.0,0
1999-04-01,4.14,4.22,4.11,4.188,1318800.0,0
1999-04-05,4.25,4.25,4.015,4.202,3171600.0,0
1999-04-06,4.173,4.25,4.14,4.157,2199200.0,0
1999-04-07,4.125,4.157,4.015,4.095,1701600.0,0
1999-04-08,4.095,4.188,4.032,4.063,1140000.0,0
1999-04-09,4.0,4.173,4.0,4.095,1272000.0,0
1999-04-12,4.077,4.265,4.063,4.235,1660400.0,0
1999-04-13,4.22,4.36,4.188,4.345,4466000.0,0
1999-04-14,4.282,4.345,4.235,4.265,1443600.0,0
1999-04-15,4.25,4.5,4.25,4.452,2135200.0,0
1999-04-16,4.47,4.845,4.47,4.735,5423600.0,0
1999-04-19,4.72,4.89,4.673,4.75,2685600.0,0
1999-04-20,4.765,4.765,4.515,4.563,3490800.0,0
1999-04-21,4.595,4.688,4.563,4.688,1624000.0,0
1999-04-22,4.688,4.735,4.577,4.657,927600.0,0
1999-04-23,4.625,4.64,4.515,4.532,994400.0,0
1999-04-26,4.548,4.548,4.36,4.375,1046000.0,0
1999-04-27,4.36,4.61,4.313,4.61,1469600.0,0
1999-04-28,4.61,4.765,4.61,4.75,1465600.0,0
1999-04-29,4.75,4.907,4.702,4.782,3362400.0,0
1999-04-30,4.813,4.907,4.75,4.75,1748800.0,0
1999-05-03,4.765,4.782,4.702,4.75,1373600.0,0
1999-05-04,4.782,4.813,4.75,4.813,1937600.0,0
1999-05-05,4.782,4.782,4.64,4.702,650400.0,0
1999-05-06,4.688,4.735,4.563,4.595,659600.0,0
1999-05-07,4.5,4.813,4.452,4.688,11700800.0,0
1999-05-10,4.702,4.86,4.657,4.827,1980400.0,0
1999-05-11,4.782,4.875,4.765,4.845,5866800.0,0
1999-05-12,4.782,4.89,4.765,4.845,1474800.0,0
1999-05-13,4.845,4.907,4.813,4.89,2565600.0,0
1999-05-14,4.875,4.938,4.765,4.798,2879600.0,0
1999-05-17,4.765,4.813,4.673,4.782,2650800.0,0
1999-05-18,4.798,4.798,4.688,4.735,668000.0,0
1999-05-19,4.75,4.907,4.735,4.845,2219600.0,0
1999-05-20,4.845,4.86,4.75,4.765,814800.0,0
1999-05-21,4.765,4.875,4.735,4.827,1248400.0,0
1999-05-24,4.827,4.845,4.688,4.688,2362000.0,0
1999-05-25,4.688,4.735,4.61,4.673,882000.0,0
1999-05-26,4.702,4.735,4.64,4.735,415200.0,0
1999-05-27,4.72,4.735,4.688,4.72,820400.0,0
1999-05-28,4.702,4.782,4.673,4.765,1071200.0,0
1999-06-01,4.75,4.75,4.595,4.702,1438800.0,0
1999-06-02,4.702,4.875,4.688,4.875,1332800.0,0
1999-06-03,4.952,5.22,4.875,4.875,2700000.0,0
1999-06-04,4.938,5.077,4.907,5.015,1378000.0,0
1999-06-07,5.015,5.14,5.0,5.125,1061200.0,0
1999-06-08,5.032,5.25,5.032,5.235,2679600.0,0
1999-06-09,5.235,5.235,5.172999999999999,5.202000000000001,1420400.0,0
1999-06-10,5.188,5.202000000000001,5.157,5.202000000000001,1221200.0,0
1999-06-11,5.14,5.265,5.125,5.235,1027600.0,0
1999-06-14,5.235,5.265,5.202000000000001,5.22,738400.0,0
1999-06-15,5.22,5.297999999999999,5.22,5.235,1677200.0,0
1999-06-16,5.265,5.265,5.032,5.157,992800.0,0
1999-06-17,5.22,5.375,5.14,5.345,2031200.0,0
1999-06-18,5.36,5.375,5.25,5.327000000000001,727600.0,0
1999-06-21,5.36,5.36,5.25,5.282,1009600.0,0
1999-06-22,5.25,5.327000000000001,5.235,5.265,1078400.0,0
1999-06-23,5.202000000000001,5.297999999999999,5.125,5.188,952400.0,0
1999-06-24,5.235,5.235,5.048,5.11,489200.0,0
1999-06-25,5.125,5.125,5.077,5.095,614400.0,0
1999-06-28,5.095,5.095,4.75,5.0,1345200.0,0
1999-06-29,4.985,5.063,4.97,5.048,2542400.0,0
1999-06-30,5.048,5.25,5.032,5.063,2419600.0,0
1999-07-01,5.0,5.095,5.0,5.077,964400.0,0
1999-07-02,5.095,5.235,5.077,5.157,640800.0,0
1999-07-06,5.095,5.157,4.985,5.077,1520800.0,0
1999-07-07,5.22,5.22,5.0,5.095,761200.0,0
1999-07-08,5.157,5.22,5.063,5.11,738000.0,0
1999-07-09,5.11,5.172999999999999,4.985,5.0,1172400.0,0
1999-07-12,5.063,5.095,4.923,4.952,1102400.0,0
1999-07-13,4.907,4.952,4.86,4.923,936800.0,0
1999-07-14,4.985,5.0,4.813,4.923,2089600.0,0
1999-07-15,4.875,4.97,4.875,4.907,1315200.0,0
1999-07-16,4.907,5.0,4.89,4.952,758400.0,0
1999-07-19,4.952,4.97,4.845,4.938,552400.0,0
1999-07-20,5.125,5.36,5.095,5.11,4442800.0,0
1999-07-21,5.11,5.11,4.923,5.0,1336800.0,0
1999-07-22,5.015,5.077,4.938,5.063,1292800.0,0
1999-07-23,5.125,5.407,5.125,5.345,1787200.0,0
1999-07-26,5.313,5.345,5.095,5.095,695200.0,0
1999-07-27,5.11,5.172999999999999,4.97,5.0,2086000.0,0
1999-07-28,5.0,5.11,4.985,5.032,1353200.0,0
1999-07-29,5.048,5.422999999999999,5.015,5.39,2756000.0,0
1999-07-30,5.345,5.452000000000001,5.25,5.345,1898000.0,0
1999-08-02,5.345,5.407,5.22,5.39,828400.0,0
1999-08-03,5.422999999999999,5.485,5.25,5.282,740800.0,0
1999-08-04,5.297999999999999,5.5,5.282,5.5,1095200.0,0
1999-08-05,5.5,5.907,5.5,5.765,6318800.0,0
1999-08-06,5.827000000000001,6.25,5.813,6.235,10857600.0,0
1999-08-09,6.25,6.297999999999999,6.14,6.188,5552400.0,0
1999-08-10,6.157,6.157,5.577000000000001,5.595,11995600.0,0
1999-08-11,5.625,5.97,5.625,5.797999999999999,49530800.0,0
1999-08-12,5.922999999999999,5.938,5.813,5.875,11618000.0,0
1999-08-13,5.922999999999999,5.922999999999999,5.797999999999999,5.86,3915600.0,0
1999-08-16,5.845,5.875,5.782,5.797999999999999,4842400.0,0
1999-08-17,5.922999999999999,5.922999999999999,5.782,5.813,3304400.0,0
1999-08-18,5.86,5.875,5.782,5.782,2251200.0,0
1999-08-19,5.797999999999999,6.0,5.797999999999999,5.985,3824800.0,0
1999-08-20,5.985,5.985,5.89,5.922999999999999,2324000.0,0
1999-08-23,5.97,5.97,5.86,5.907,2996400.0,0
1999-08-24,5.89,5.985,5.875,5.89,1313600.0,0
1999-08-25,5.89,5.922999999999999,5.875,5.89,3498800.0,0
1999-08-26,5.875,5.907,5.797999999999999,5.797999999999999,4426800.0,0
1999-08-27,5.86,5.86,5.782,5.797999999999999,2379600.0,0
1999-08-30,5.782,5.86,5.782,5.827000000000001,1148800.0,0
1999-08-31,5.827000000000001,6.047999999999999,5.827000000000001,5.97,2851200.0,0
1999-09-01,6.0,6.047999999999999,5.985,6.015,2284400.0,0
1999-09-02,5.952000000000001,5.952000000000001,5.797999999999999,5.845,2588400.0,0
1999-09-03,5.875,5.89,5.813,5.86,1901600.0,0
1999-09-07,5.875,6.11,5.813,5.985,2730000.0,0
1999-09-08,5.938,6.25,5.922999999999999,6.0,4117200.0,0
1999-09-09,6.125,6.313,6.11,6.313,3618400.0,0
1999-09-10,6.345,6.345,6.047999999999999,6.188,2659200.0,0
1999-09-13,6.188,6.188,6.032,6.095,1657600.0,0
1999-09-14,6.11,6.125,5.875,5.89,2080800.0,0
1999-09-15,5.89,5.922999999999999,5.72,5.735,2696000.0,0
1999-09-16,5.75,5.813,5.72,5.813,1253600.0,0
1999-09-17,5.75,5.922999999999999,5.735,5.827000000000001,1513600.0,0
1999-09-20,5.875,6.188,5.845,6.047999999999999,5072800.0,0
1999-09-21,6.0,6.015,5.72,5.72,3708800.0,0
1999-09-22,5.765,5.845,5.625,5.72,4423600.0,0
1999-09-23,5.782,5.797999999999999,5.547999999999999,5.577000000000001,1639200.0,0
1999-09-24,5.577000000000001,5.577000000000001,5.077,5.235,4068000.0,0
1999-09-27,5.422999999999999,5.452000000000001,5.327000000000001,5.438,3034000.0,0
1999-09-28,5.5,5.515,5.032,5.095,4129600.0,0
1999-09-29,5.14,5.313,5.14,5.265,5394800.0,0
1999-09-30,5.282,5.47,5.282,5.313,2349600.0,0
1999-10-01,5.282,5.39,5.265,5.313,1456400.0,0
1999-10-04,5.25,5.36,5.188,5.345,1798000.0,0
1999-10-05,5.297999999999999,5.313,5.063,5.25,3047200.0,0
1999-10-06,5.235,5.235,5.14,5.172999999999999,1636800.0,0
1999-10-07,5.22,5.39,5.125,5.36,1752000.0,0
1999-10-08,5.25,5.36,5.095,5.11,3649200.0,0
1999-10-11,5.125,5.282,5.048,5.25,1274000.0,0
1999-10-12,5.313,5.515,5.313,5.438,2177200.0,0
1999-10-13,5.375,5.5,5.188,5.235,2228800.0,0
1999-10-14,5.25,5.375,5.11,5.282,1484000.0,0
1999-10-15,5.297999999999999,5.297999999999999,4.923,5.0,3327600.0,0
1999-10-18,4.97,5.095,4.952,5.032,2130800.0,0
1999-10-19,5.11,5.438,5.095,5.282,1981600.0,0
1999-10-20,5.345,5.563,5.345,5.547999999999999,2732000.0,0
1999-10-21,5.515,5.563,5.265,5.345,890000.0,0
1999-10-22,5.313,5.75,5.313,5.577000000000001,1703600.0,0
1999-10-25,5.595,5.595,5.25,5.39,808800.0,0
1999-10-26,5.47,5.485,5.282,5.282,1713600.0,0
1999-10-27,5.297999999999999,5.422999999999999,5.25,5.282,1456000.0,0
1999-10-28,5.282,5.438,5.0,5.14,2042800.0,0
1999-10-29,5.14,5.202000000000001,4.985,5.202000000000001,1572400.0,0
1999-11-01,5.188,5.265,5.14,5.25,836000.0,0
1999-11-02,5.25,5.25,4.688,4.813,3785600.0,0
1999-11-03,4.798,4.97,4.765,4.923,5707600.0,0
1999-11-04,4.923,4.97,4.625,4.735,1625600.0,0
1999-11-05,4.75,4.782,4.345,4.577,9891600.0,0
1999-11-08,4.577,4.72,4.577,4.688,3473600.0,0
1999-11-09,4.702,4.86,4.673,4.845,4055600.0,0
1999-11-10,4.86,5.063,4.827,4.938,2160800.0,0
1999-11-11,4.97,4.97,4.782,4.845,1836400.0,0
1999-11-12,4.813,5.015,4.782,4.907,2381600.0,0
1999-11-15,4.907,5.063,4.907,5.032,1271600.0,0
1999-11-16,4.97,5.0,4.782,4.86,1710400.0,0
1999-11-17,4.907,5.452000000000001,4.89,5.22,3100400.0,0
1999-11-18,5.063,5.157,4.923,5.095,2759200.0,0
1999-11-19,4.97,5.015,4.86,4.907,4571600.0,0
1999-11-22,4.875,4.985,4.75,4.86,2540400.0,0
1999-11-23,4.845,4.875,4.595,4.813,8740800.0,0
1999-11-24,4.845,4.985,4.845,4.938,5987200.0,0
1999-11-26,4.938,4.97,4.923,4.938,1155600.0,0
1999-11-29,4.875,4.89,4.688,4.688,4353600.0,0
1999-11-30,4.688,4.75,4.548,4.625,3780000.0,0
1999-12-01,4.688,4.75,4.577,4.673,2977600.0,0
1999-12-02,4.625,4.625,4.452,4.47,2751600.0,0
1999-12-03,4.532,4.548,4.25,4.345,1984400.0,0
1999-12-06,4.25,4.327,4.125,4.125,1987600.0,0
1999-12-07,3.875,3.953,3.625,3.783,19160000.0,0
1999-12-08,3.783,4.0,3.595,3.908,9156800.0,0
1999-12-09,4.015,4.063,3.75,3.953,4218800.0,0
1999-12-10,3.985,3.985,3.765,3.908,3742000.0,0
1999-12-13,3.97,4.25,3.938,4.0,4740400.0,0
1999-12-14,4.048,4.095,3.938,3.97,2705600.0,0
1999-12-15,3.97,4.14,3.97,4.032,6146800.0,0
1999-12-16,4.063,4.235,4.063,4.235,6224000.0,0
1999-12-17,4.298,4.298,4.22,4.298,4254800.0,0
1999-12-20,4.298,4.313,4.157,4.265,3943200.0,0
1999-12-21,4.265,4.298,4.173,4.25,2204800.0,0
1999-12-22,4.22,4.25,4.125,4.202,2402000.0,0
1999-12-23,4.14,4.375,4.125,4.265,4230800.0,0
1999-12-27,4.235,4.298,4.048,4.125,2252800.0,0
1999-12-28,4.25,4.282,4.015,4.25,3511200.0,0
1999-12-29,4.313,4.423,4.25,4.327,1347200.0,0
1999-12-30,4.423,4.423,4.125,4.265,1889600.0,0
1999-12-31,4.22,4.39,4.14,4.39,924400.0,0
2000-01-03,4.298,4.345,3.75,3.875,3971200.0,0
2000-01-04,3.75,3.908,3.688,3.875,5402800.0,0
2000-01-05,3.813,3.875,3.765,3.783,3598000.0,0
2000-01-06,3.765,4.125,3.735,4.077,3956000.0,0
2000-01-07,4.125,4.188,3.985,4.032,2756400.0,0
2000-01-10,3.97,4.063,3.908,4.063,1998800.0,0
2000-01-11,4.0,4.157,4.0,4.095,2788400.0,0
2000-01-12,4.077,4.14,4.015,4.095,2079200.0,0
2000-01-13,4.125,4.235,4.11,4.173,4296400.0,0
2000-01-14,4.235,4.282,4.14,4.25,5099200.0,0
2000-01-18,4.313,4.485,4.173,4.265,3706800.0,0
2000-01-19,4.327,4.452,4.282,4.282,1662400.0,0
2000-01-20,4.265,4.282,4.0,4.188,4240800.0,0
2000-01-21,4.235,4.327,4.032,4.063,7760000.0,0
2000-01-24,4.0,4.048,3.86,3.97,5458400.0,0
2000-01-25,3.97,4.048,3.89,3.908,5332000.0,0
2000-01-26,3.922,4.063,3.922,3.953,4566400.0,0
2000-01-27,3.97,4.032,3.813,3.86,2605200.0,0
2000-01-28,3.86,3.922,3.797,3.813,2298000.0,0
2000-01-31,3.875,3.985,3.765,3.97,3082800.0,0
2000-02-01,3.938,4.048,3.908,4.0,2764000.0,0
2000-02-02,4.063,4.173,4.063,4.125,4101200.0,0
2000-02-03,4.157,4.202,4.032,4.032,3419200.0,0
2000-02-04,4.015,4.14,3.813,3.922,2589200.0,0
2000-02-07,3.985,4.032,3.86,3.89,3120800.0,0
2000-02-08,3.922,3.97,3.828,3.875,2361600.0,0
2000-02-09,3.908,3.97,3.72,3.765,3786400.0,0
2000-02-10,3.765,3.97,3.765,3.97,3636800.0,0
2000-02-11,3.985,3.985,3.813,3.908,3043600.0,0
2000-02-14,3.908,3.97,3.828,3.938,2067200.0,0
2000-02-15,3.938,4.125,3.922,4.063,2679600.0,0
2000-02-16,4.095,4.14,4.0,4.0,2467600.0,0
2000-02-17,4.015,4.048,3.97,4.048,4590800.0,0
2000-02-18,4.048,4.063,3.922,3.922,2795200.0,0
2000-02-22,3.908,3.953,3.797,3.875,1354400.0,0
2000-02-23,3.845,3.938,3.672,3.688,2829600.0,0
2000-02-24,3.735,3.735,3.438,3.5,5046800.0,0
2000-02-25,3.515,3.563,3.422,3.47,5426400.0,0
2000-02-28,3.515,3.625,3.4530000000000003,3.547,3141200.0,0
2000-02-29,3.547,3.813,3.533,3.813,8637600.0,0
2000-03-01,3.875,3.938,3.813,3.908,6214400.0,0
2000-03-02,4.0,4.47,4.0,4.438,8708800.0,0
2000-03-03,4.438,4.532,4.157,4.327,6155200.0,0
2000-03-06,4.282,4.47,4.25,4.345,1912400.0,0
2000-03-07,4.532,4.735,4.407,4.673,4027600.0,0
2000-03-08,4.657,4.86,4.532,4.72,6978400.0,0
2000-03-09,4.75,4.782,4.595,4.688,2698800.0,0
2000-03-10,4.61,4.782,4.5,4.64,4815600.0,0
2000-03-13,4.577,4.735,4.548,4.563,1570000.0,0
2000-03-14,4.577,4.702,4.532,4.625,2675200.0,0
2000-03-15,4.688,4.72,4.47,4.577,2478400.0,0
2000-03-16,4.577,4.845,4.563,4.688,3574800.0,0
2000-03-17,4.688,4.75,4.577,4.625,1438800.0,0
2000-03-20,4.577,4.61,4.438,4.595,2441600.0,0
2000-03-21,4.595,4.72,4.548,4.673,3318400.0,0
2000-03-22,4.782,4.923,4.595,4.735,7837600.0,0
2000-03-23,4.75,4.765,4.688,4.75,2806000.0,0
2000-03-24,4.735,4.782,4.595,4.61,3700000.0,0
2000-03-27,4.595,4.72,4.563,4.61,3110800.0,0
2000-03-28,4.673,4.97,4.673,4.827,3733600.0,0
2000-03-29,4.845,5.422999999999999,4.845,5.275,5833600.0,0
2000-03-30,5.422999999999999,6.015,5.375,5.75,11296000.0,0
2000-03-31,5.735,5.938,5.297999999999999,5.297999999999999,6144800.0,0
2000-04-03,5.5,5.845,5.438,5.813,4421600.0,0
2000-04-04,5.97,6.015,5.485,5.672999999999999,8818400.0,0
2000-04-05,5.782,5.875,5.47,5.577000000000001,4235200.0,0
2000-04-06,5.64,5.845,5.61,5.813,2180800.0,0
2000-04-07,5.797999999999999,5.952000000000001,5.75,5.907,2288000.0,0
2000-04-10,5.89,5.907,5.515,5.625,3462000.0,0
2000-04-11,5.64,5.97,5.64,5.86,3255600.0,0
2000-04-12,5.97,6.235,5.952000000000001,6.077000000000001,6724400.0,0
2000-04-13,6.0,6.172999999999999,5.985,6.125,3855200.0,0
2000-04-14,6.14,6.14,5.72,5.813,4076000.0,0
2000-04-17,5.86,5.86,5.625,5.735,2638800.0,0
2000-04-18,5.672999999999999,5.97,5.625,5.938,2716800.0,0
2000-04-19,5.907,6.125,5.72,5.797999999999999,4382400.0,0
2000-04-20,6.125,6.14,5.782,5.952000000000001,5895600.0,0
2000-04-24,5.89,5.907,5.765,5.813,4030800.0,0
2000-04-25,5.875,5.985,5.875,5.907,3372400.0,0
2000-04-26,5.938,5.985,5.875,5.907,2989200.0,0
2000-04-27,5.875,6.047999999999999,5.827000000000001,6.0,4181600.0,0
2000-04-28,5.985,6.22,5.985,6.22,4572800.0,0
2000-05-01,6.25,6.532,6.22,6.47,8929600.0,0
2000-05-02,6.5,6.845,6.485,6.72,7471200.0,0
2000-05-03,6.702000000000001,6.797999999999999,6.532,6.563,7364800.0,0
2000-05-04,6.563,7.032,6.532,6.922999999999999,8126800.0,0
2000-05-05,6.86,7.157,6.845,7.11,5255200.0,0
2000-05-08,7.032,7.36,7.0,7.25,6769200.0,0
2000-05-09,7.235,7.345,6.938,7.14,6667200.0,0
2000-05-10,7.11,7.202000000000001,6.952000000000001,7.188,2924800.0,0
2000-05-11,7.25,7.375,7.202000000000001,7.36,4901200.0,0
2000-05-12,7.375,7.438,7.22,7.422999999999999,3829600.0,0
2000-05-15,7.39,7.485,7.375,7.375,6628800.0,0
2000-05-16,7.375,7.375,6.952000000000001,7.0,5500400.0,0
2000-05-17,7.032,7.625,7.0,7.47,7666400.0,0
2000-05-18,7.438,7.702000000000001,7.313,7.622000000000001,7371200.0,0
2000-05-19,7.688,7.875,7.515,7.765,9448800.0,0
2000-05-22,7.782,7.985,7.702000000000001,7.797999999999999,4984000.0,0
2000-05-23,7.89,7.97,7.765,7.782,8338000.0,0
2000-05-24,7.797999999999999,7.985,7.672999999999999,7.702000000000001,4621200.0,0
2000-05-25,7.875,7.875,7.422999999999999,7.563,7182000.0,0
2000-05-26,7.625,7.735,7.438,7.5,5896000.0,0
2000-05-30,7.5,7.813,7.452000000000001,7.782,5545200.0,0
2000-05-31,7.813,8.033,7.797999999999999,8.033,7608400.0,0
2000-06-01,8.22,8.22,7.845,8.015,4780400.0,0
2000-06-02,8.062999999999999,8.11,7.595,7.625,7745600.0,0
2000-06-05,7.625,7.625,7.407,7.547999999999999,3572800.0,0
2000-06-06,7.485,7.86,7.485,7.845,5061200.0,0
2000-06-07,7.845,8.095,7.563,7.813,4528000.0,0
2000-06-08,7.875,8.25,7.86,8.047,3970000.0,0
2000-06-09,8.047,8.047,7.89,7.922999999999999,2680400.0,0
2000-06-12,7.985,8.235,7.97,8.14,2977200.0,0
2000-06-13,8.203,8.36,8.172,8.312999999999999,2928000.0,0
2000-06-14,8.328,8.485,8.297,8.375,2354400.0,0
2000-06-15,8.345,8.422,8.14,8.312999999999999,5023200.0,0
2000-06-16,8.345,8.72,8.345,8.658,5959600.0,0
2000-06-19,8.625,8.703,8.375,8.545,4421600.0,0
2000-06-20,8.375,8.408,8.22,8.39,4307600.0,0
2000-06-21,8.39,8.47,8.172,8.408,6675600.0,0
2000-06-22,8.578,8.578,7.938,8.078,3479200.0,0
2000-06-23,8.14,8.39,8.125,8.265,1300400.0,0
2000-06-26,8.312999999999999,8.437999999999999,8.0,8.125,1290000.0,0
2000-06-27,8.062999999999999,8.25,7.952000000000001,8.235,3145200.0,0
2000-06-28,8.22,8.375,8.11,8.36,2004800.0,0
2000-06-29,8.375,8.578,8.265,8.437999999999999,2542400.0,0
2000-06-30,8.437999999999999,8.595,8.187999999999999,8.35,3358000.0,0
2000-07-03,8.39,8.453,8.187999999999999,8.235,955200.0,0
2000-07-05,8.22,8.22,7.313,7.39,8606400.0,0
2000-07-06,7.625,7.72,6.827000000000001,7.188,13292400.0,0
2000-07-07,7.125,7.532,7.047999999999999,7.5,7344800.0,0
2000-07-10,7.985,8.0,7.563,7.595,5566400.0,0
2000-07-11,7.625,8.125,7.625,8.095,10232800.0,0
2000-07-12,8.375,8.39,7.845,7.86,6577200.0,0
2000-07-13,7.845,8.095,7.547999999999999,7.985,6513200.0,0
2000-07-14,7.985,8.047,7.75,7.875,2781600.0,0
2000-07-17,7.875,8.11,7.515,7.595,5228000.0,0
2000-07-18,7.532,7.875,7.532,7.875,5148800.0,0
2000-07-19,7.86,7.875,7.688,7.735,2002000.0,0
2000-07-20,7.735,7.735,7.14,7.25,4954000.0,0
2000-07-21,7.313,7.313,6.735,7.015,5475600.0,0
2000-07-24,7.032,7.125,6.75,6.827000000000001,4165600.0,0
2000-07-25,6.97,7.125,6.672999999999999,6.75,4645600.0,0
2000-07-26,6.765,7.047999999999999,6.75,6.952000000000001,5205200.0,0
2000-07-27,7.015,7.452000000000001,7.015,7.375,6708400.0,0
2000-07-28,7.375,7.672999999999999,7.375,7.5,3148000.0,0
2000-07-31,7.75,7.75,7.265,7.39,2477200.0,0
2000-08-01,7.375,7.845,7.36,7.72,3064400.0,0
2000-08-02,7.702000000000001,8.015,7.702000000000001,8.0,4163600.0,0
2000-08-03,8.125,8.5,7.875,7.875,4956000.0,0
2000-08-04,8.033,8.297,7.89,8.172,4012000.0,0
2000-08-07,8.22,8.375,8.158,8.238,2492800.0,0
2000-08-08,8.235,8.437999999999999,8.172,8.203,3491200.0,0
2000-08-09,8.485,8.485,8.283,8.283,2464000.0,0
2000-08-10,8.437999999999999,8.658,8.375,8.547,5085600.0,0
2000-08-11,8.595,8.61,8.453,8.562999999999999,2801600.0,0
2000-08-14,8.578,8.985,8.578,8.687999999999999,9181200.0,0
2000-08-15,8.75,9.0,8.75,8.875,3815200.0,0
2000-08-16,8.89,9.0,8.797,8.845,4539600.0,0
2000-08-17,8.937999999999997,9.438,8.937999999999997,9.063,7969600.0,0
2000-08-18,9.125,9.188,8.845,9.033,3105200.0,0
2000-08-21,9.203,9.265,8.953,9.095,3074400.0,0
