date,open,high,low,close,volume,padding
1999-01-04,20.065,20.565,20.0,20.47,607400.0,0
1999-01-05,20.405,20.5,20.345,20.5,407800.0,0
1999-01-06,20.565,20.875,20.565,20.815,605400.0,0
1999-01-07,20.75,20.78,20.5,20.72,184800.0,0
1999-01-08,20.69,20.72,20.565,20.595,294600.0,0
1999-01-11,20.69,20.72,20.53,20.69,537800.0,0
1999-01-12,20.625,20.625,20.5,20.565,455400.0,0
1999-01-13,20.125,20.655,20.0,20.5,505000.0,0
1999-01-14,20.565,20.565,20.28,20.315,329000.0,0
1999-01-15,20.25,20.625,20.095,20.095,309800.0,0
1999-01-19,20.315,20.75,20.28,20.53,360200.0,0
1999-01-20,20.655,20.97,20.625,20.905,630800.0,0
1999-01-21,20.78,20.94,20.655,20.875,376600.0,0
1999-01-22,20.75,20.845,20.28,20.28,492600.0,0
1999-01-25,20.25,20.565,20.25,20.47,538600.0,0
1999-01-26,20.345,20.5,20.315,20.405,413000.0,0
1999-01-27,20.405,20.565,20.315,20.5,984000.0,0
1999-01-28,20.5,20.565,20.375,20.5,540000.0,0
1999-01-29,20.405,20.5,20.25,20.405,1958400.0,0
1999-02-01,20.28,20.72,20.25,20.595,1757600.0,0
1999-02-02,20.53,20.53,20.375,20.375,1706800.0,0
1999-02-03,20.44,20.47,20.25,20.25,642400.0,0
1999-02-04,20.22,20.375,20.0,20.22,423000.0,0
1999-02-05,20.19,20.25,20.0,20.125,696400.0,0
1999-02-08,20.125,20.375,19.94,20.375,536200.0,0
1999-02-09,20.47,20.5,20.375,20.44,824400.0,0
1999-02-10,20.5,20.815,20.345,20.375,807200.0,0
1999-02-11,20.375,20.44,20.19,20.405,339800.0,0
1999-02-12,20.345,20.44,20.19,20.22,594800.0,0
1999-02-16,20.25,20.315,20.03,20.095,340800.0,0
1999-02-17,20.19,20.28,20.125,20.22,2173800.0,0
1999-02-18,20.19,20.375,20.155,20.22,528600.0,0
1999-02-19,20.065,20.375,19.94,20.22,559800.0,0
1999-02-22,20.22,20.375,20.125,20.345,382000.0,0
1999-02-23,20.25,20.5,20.25,20.47,358800.0,0
1999-02-24,20.565,20.655,20.44,20.5,395400.0,0
1999-02-25,20.5,20.565,20.44,20.47,249400.0,0
1999-02-26,20.44,20.5,20.25,20.5,247200.0,0
1999-03-01,20.375,20.44,20.25,20.315,390000.0,0
1999-03-02,20.25,20.625,20.22,20.47,247800.0,0
1999-03-03,20.47,20.53,20.375,20.44,589000.0,0
1999-03-04,20.44,20.53,20.315,20.5,586600.0,0
1999-03-05,20.565,20.565,20.25,20.315,431400.0,0
1999-03-08,20.25,20.625,20.25,20.53,256600.0,0
1999-03-09,20.53,20.625,20.375,20.565,652200.0,0
1999-03-10,20.5,20.5,20.22,20.375,374800.0,0
1999-03-11,20.375,20.44,20.28,20.375,383400.0,0
1999-03-12,20.315,20.47,20.25,20.28,363400.0,0
1999-03-15,20.25,20.375,20.19,20.345,245400.0,0
1999-03-16,20.405,20.44,20.25,20.375,690800.0,0
1999-03-17,20.03,20.375,20.0,20.375,708200.0,0
1999-03-18,20.28,20.47,20.22,20.405,756400.0,0
1999-03-19,20.405,20.655,20.405,20.625,610200.0,0
1999-03-22,20.565,20.815,20.5,20.5,323400.0,0
1999-03-23,20.375,20.595,20.28,20.5,555400.0,0
1999-03-24,20.5,20.595,20.375,20.44,885000.0,0
1999-03-25,20.25,20.44,20.25,20.405,687600.0,0
1999-03-26,20.375,20.815,20.25,20.69,380200.0,0
1999-03-29,20.655,20.69,20.315,20.595,294200.0,0
1999-03-30,20.5,20.655,20.375,20.595,240400.0,0
1999-03-31,20.53,20.75,20.405,20.625,415800.0,0
1999-04-01,20.595,20.845,20.405,20.44,325800.0,0
1999-04-05,20.44,20.72,20.405,20.5,295200.0,0
1999-04-06,20.5,20.75,20.405,20.5,377400.0,0
1999-04-07,20.625,20.69,20.345,20.405,964000.0,0
1999-04-08,20.375,20.375,20.19,20.315,728200.0,0
1999-04-09,20.375,20.47,20.125,20.375,600400.0,0
1999-04-12,20.44,20.72,20.28,20.625,364800.0,0
1999-04-13,20.625,20.655,20.375,20.5,449000.0,0
1999-04-14,20.5,20.75,20.375,20.69,722000.0,0
1999-04-15,20.72,21.5,20.72,21.28,777600.0,0
1999-04-16,21.5,22.44,21.5,22.375,844400.0,0
1999-04-19,22.5,22.97,22.375,22.69,1136600.0,0
1999-04-20,22.625,22.655,22.44,22.595,602600.0,0
1999-04-21,22.595,23.0,22.565,22.845,1194600.0,0
1999-04-22,22.845,23.375,22.845,23.19,550800.0,0
1999-04-23,23.155,23.19,22.565,22.72,516800.0,0
1999-04-26,22.72,22.875,22.375,22.595,298800.0,0
1999-04-27,22.5,22.625,21.875,22.19,393600.0,0
1999-04-28,22.315,22.625,22.25,22.595,374000.0,0
1999-04-29,22.655,22.69,22.44,22.44,362400.0,0
1999-04-30,22.565,23.25,22.565,23.125,844600.0,0
1999-05-03,23.095,23.5,23.0,23.125,404800.0,0
1999-05-04,23.0,23.315,23.0,23.22,235800.0,0
1999-05-05,23.125,23.405,23.0,23.375,266600.0,0
1999-05-06,23.19,23.595,23.19,23.375,454800.0,0
