date,open,high,low,close,volume,padding
1999-01-04,15.88,16.31,15.88,16.19,692300.0,0
1999-01-05,16.38,16.44,16.06,16.19,652800.0,0
1999-01-06,16.06,16.19,16.0,16.19,145000.0,0
1999-01-07,16.19,16.38,16.0,16.25,258900.0,0
1999-01-08,16.25,16.25,15.94,16.0,126300.0,0
1999-01-11,15.81,16.13,15.63,16.13,226400.0,0
1999-01-12,16.19,16.19,15.88,15.94,393700.0,0
1999-01-13,15.94,16.0,15.81,15.94,127200.0,0
1999-01-14,15.94,16.0,15.88,15.94,210000.0,0
1999-01-15,15.88,16.0,15.75,16.0,274600.0,0
1999-01-19,16.0,16.13,15.94,16.13,388300.0,0
1999-01-20,16.13,16.13,15.94,16.0,1392200.0,0
1999-01-21,16.0,16.0,15.75,15.88,657000.0,0
1999-01-22,15.88,15.88,15.63,15.88,1035400.0,0
1999-01-25,15.88,15.94,15.63,15.75,145400.0,0
1999-01-26,15.81,15.88,15.5,15.63,825900.0,0
1999-01-27,15.69,15.69,15.44,15.44,234700.0,0
1999-01-28,15.5,15.75,15.44,15.56,193700.0,0
1999-01-29,15.56,15.75,15.25,15.31,315100.0,0
1999-02-01,15.31,15.5,15.25,15.44,247500.0,0
1999-02-02,15.69,15.69,15.31,15.44,743500.0,0
1999-02-03,15.5,15.88,15.38,15.81,303800.0,0
1999-02-04,15.81,15.81,15.56,15.69,496000.0,0
1999-02-05,15.63,15.75,15.38,15.69,551400.0,0
1999-02-08,15.88,15.88,15.63,15.75,318500.0,0
1999-02-09,15.81,15.81,15.38,15.56,717200.0,0
1999-02-10,15.56,15.69,15.5,15.5,1248600.0,0
1999-02-11,15.38,15.5,15.06,15.25,383100.0,0
1999-02-12,15.13,15.19,14.75,14.81,317600.0,0
1999-02-16,14.69,15.0,14.63,14.69,294100.0,0
1999-02-17,14.63,14.94,14.38,14.94,732600.0,0
1999-02-18,15.06,15.13,14.88,15.0,200800.0,0
1999-02-19,15.13,15.13,14.81,14.94,77400.0,0
1999-02-22,14.88,15.0,14.81,14.88,150700.0,0
1999-02-23,15.0,15.0,14.69,14.94,336700.0,0
1999-02-24,14.94,15.06,14.75,14.88,411200.0,0
1999-02-25,14.75,14.94,14.38,14.94,378500.0,0
1999-02-26,14.94,15.06,14.88,15.0,268800.0,0
1999-03-01,14.88,15.0,14.69,14.88,214300.0,0
1999-03-02,14.81,15.19,14.81,15.0,261100.0,0
1999-03-03,15.0,15.13,14.94,15.0,105200.0,0
1999-03-04,15.13,15.31,14.94,15.31,144400.0,0
1999-03-05,15.13,15.69,15.06,15.56,315100.0,0
1999-03-08,15.56,15.75,15.25,15.38,275900.0,0
1999-03-09,15.19,15.38,15.06,15.13,139500.0,0
1999-03-10,15.13,15.25,14.88,15.0,377300.0,0
1999-03-11,15.13,15.19,14.94,15.0,103700.0,0
1999-03-12,15.0,15.0,14.69,14.88,845600.0,0
1999-03-15,14.88,14.94,14.69,14.94,229700.0,0
1999-03-16,14.69,14.88,14.5,14.63,761900.0,0
1999-03-17,14.75,14.75,14.38,14.69,498300.0,0
1999-03-18,14.75,14.88,14.5,14.69,685700.0,0
1999-03-19,14.38,14.75,14.31,14.5,701500.0,0
1999-03-22,14.25,14.5,14.25,14.38,124900.0,0
1999-03-23,14.38,14.44,14.31,14.38,123400.0,0
1999-03-24,14.5,14.56,14.31,14.5,319300.0,0
1999-03-25,14.5,14.5,14.31,14.38,247200.0,0
1999-03-26,14.31,14.75,14.25,14.63,293900.0,0
1999-03-29,14.56,14.75,14.5,14.63,456100.0,0
1999-03-30,14.5,14.56,14.13,14.25,170000.0,0
1999-03-31,14.25,14.38,13.75,13.88,387200.0,0
1999-04-01,13.88,14.13,13.88,14.13,446100.0,0
1999-04-05,14.0,14.25,13.94,14.19,303800.0,0
1999-04-06,14.19,14.25,13.81,14.06,225000.0,0
1999-04-07,13.94,14.0,13.56,13.75,169300.0,0
1999-04-08,13.75,14.0,13.56,14.0,410700.0,0
1999-04-09,13.94,14.19,13.81,14.19,118700.0,0
1999-04-12,14.06,14.25,13.81,14.13,218900.0,0
1999-04-13,14.0,14.13,13.63,13.75,215600.0,0
1999-04-14,13.75,13.88,13.63,13.75,122800.0,0
1999-04-15,13.81,14.13,13.75,14.0,234100.0,0
1999-04-16,14.0,14.19,14.0,14.19,174700.0,0
1999-04-19,14.31,14.63,14.13,14.5,356300.0,0
1999-04-20,14.5,15.13,14.5,14.88,446800.0,0
1999-04-21,14.75,15.06,14.56,14.69,628900.0,0
1999-04-22,14.69,15.06,14.69,14.75,1031900.0,0
1999-04-23,14.63,14.75,14.47,14.63,271100.0,0
1999-04-26,14.63,14.69,14.5,14.69,116300.0,0
1999-04-27,15.0,15.13,14.13,14.63,481100.0,0
1999-04-28,14.69,14.81,14.63,14.75,154000.0,0
1999-04-29,14.69,15.5,14.69,15.44,272500.0,0
