date,open,high,low,close,volume,padding
1999-01-04,30.94,31.44,30.63,30.94,434000.0,0
1999-01-05,30.94,31.0,30.69,30.75,414400.0,0
1999-01-06,31.13,31.44,31.0,31.13,1585500.0,0
1999-01-07,31.0,31.13,30.75,30.75,431900.0,0
1999-01-08,30.75,30.75,30.25,30.75,915600.0,0
1999-01-11,30.63,30.69,30.13,30.31,470600.0,0
1999-01-12,30.25,30.81,30.19,30.44,765700.0,0
1999-01-13,30.69,30.69,30.38,30.5,318900.0,0
1999-01-14,30.38,30.38,30.0,30.25,569600.0,0
1999-01-15,30.25,30.44,30.19,30.31,314900.0,0
1999-01-19,30.13,30.5,29.63,29.94,373900.0,0
1999-01-20,30.0,30.0,29.06,29.31,475000.0,0
1999-01-21,29.88,30.13,29.69,29.81,697200.0,0
1999-01-22,29.81,30.19,29.63,30.13,1263600.0,0
1999-01-25,30.19,30.31,30.0,30.06,468300.0,0
1999-01-26,30.06,30.25,29.94,29.94,449200.0,0
1999-01-27,29.69,30.06,29.69,29.75,424100.0,0
1999-01-28,29.63,30.19,29.63,29.94,496800.0,0
1999-01-29,30.0,30.0,29.38,29.44,639100.0,0
1999-02-01,29.56,29.63,28.94,29.06,509000.0,0
1999-02-02,28.88,29.44,28.88,29.44,1064700.0,0
1999-02-03,29.31,29.5,29.19,29.31,1028200.0,0
1999-02-04,29.31,29.31,28.88,29.06,630200.0,0
1999-02-05,29.0,29.19,28.75,29.06,613400.0,0
1999-02-08,28.75,29.25,28.75,29.0,1265700.0,0
1999-02-09,29.0,29.19,28.75,28.88,396500.0,0
1999-02-10,28.75,28.88,28.38,28.56,453900.0,0
1999-02-11,28.44,28.56,28.25,28.56,324200.0,0
1999-02-12,28.56,28.63,28.25,28.31,787100.0,0
1999-02-16,28.0,28.75,27.94,28.38,635400.0,0
1999-02-17,28.31,29.44,28.31,29.19,682600.0,0
1999-02-18,29.19,30.0,29.19,29.88,937500.0,0
1999-02-19,29.75,29.75,29.13,29.63,768500.0,0
1999-02-22,29.19,29.56,29.19,29.5,563000.0,0
1999-02-23,29.44,29.56,29.31,29.44,482300.0,0
1999-02-24,29.38,29.5,29.0,29.13,733600.0,0
1999-02-25,28.94,29.0,28.44,28.5,468300.0,0
1999-02-26,28.56,28.56,28.06,28.25,411200.0,0
1999-03-01,27.75,28.19,27.69,28.06,724300.0,0
1999-03-02,28.13,28.69,27.94,28.19,850100.0,0
1999-03-03,28.19,28.63,28.06,28.63,906700.0,0
1999-03-04,28.56,29.31,28.56,29.31,809100.0,0
1999-03-05,29.38,29.81,29.38,29.44,518300.0,0
1999-03-08,29.31,29.31,28.63,28.88,1244000.0,0
1999-03-09,28.69,28.94,28.25,28.44,912500.0,0
1999-03-10,28.5,28.56,28.25,28.25,597100.0,0
1999-03-11,28.25,28.56,27.94,28.38,932100.0,0
1999-03-12,28.5,29.06,28.44,28.88,528000.0,0
1999-03-15,28.81,28.94,28.25,28.38,516900.0,0
1999-03-16,28.44,29.06,28.38,29.0,464900.0,0
1999-03-17,28.81,29.13,28.75,29.0,581300.0,0
1999-03-18,29.0,29.56,29.0,29.5,352900.0,0
1999-03-19,29.5,29.59,29.19,29.5,801200.0,0
1999-03-22,29.44,29.56,29.19,29.25,361200.0,0
1999-03-23,29.25,29.31,28.88,28.94,205500.0,0
1999-03-24,28.94,29.88,28.81,29.81,462800.0,0
1999-03-25,29.81,30.06,29.63,29.94,535300.0,0
1999-03-26,29.81,29.81,29.06,29.06,301500.0,0
1999-03-29,29.19,29.44,28.94,29.0,250700.0,0
1999-03-30,28.63,28.63,28.31,28.31,709100.0,0
1999-03-31,28.31,28.38,27.5,27.5,300800.0,0
1999-04-01,27.31,28.38,27.31,27.75,599800.0,0
1999-04-05,28.06,29.0,28.06,28.88,592600.0,0
1999-04-06,28.88,28.88,28.56,28.69,605000.0,0
1999-04-07,28.44,28.63,28.19,28.38,435300.0,0
1999-04-08,28.44,29.5,28.38,29.44,963200.0,0
1999-04-09,29.38,30.0,29.06,29.88,567400.0,0
1999-04-12,29.88,29.94,29.5,29.81,599700.0,0
1999-04-13,29.75,29.81,29.38,29.69,558700.0,0
1999-04-14,29.69,30.06,29.56,29.75,775700.0,0
1999-04-15,29.69,30.5,29.69,30.5,2904500.0,0
1999-04-16,30.5,30.56,30.25,30.44,605500.0,0
1999-04-19,30.63,30.69,30.25,30.38,714400.0,0
1999-04-20,30.44,31.69,30.44,31.69,502900.0,0
1999-04-21,31.69,31.69,31.0,31.19,1055300.0,0
1999-04-22,31.19,31.56,30.63,31.06,538000.0,0
1999-04-23,31.06,31.19,30.63,30.81,319300.0,0
1999-04-26,30.75,30.88,30.5,30.56,477500.0,0
1999-04-27,30.69,30.75,30.44,30.56,912900.0,0
1999-04-28,30.5,30.81,30.38,30.5,482100.0,0
1999-04-29,30.5,30.94,30.44,30.44,375500.0,0
1999-04-30,30.44,31.38,30.38,31.25,715200.0,0
1999-05-03,31.06,31.19,30.75,31.13,433200.0,0
1999-05-04,31.0,31.19,30.75,30.94,610300.0,0
1999-05-05,31.0,31.44,31.0,31.44,531000.0,0
1999-05-06,31.0,31.13,30.75,31.13,2105500.0,0
1999-05-07,31.06,31.19,30.88,31.06,716400.0,0
1999-05-10,30.75,31.75,30.75,31.5,2399200.0,0
1999-05-11,31.5,31.63,31.31,31.5,864300.0,0
1999-05-12,31.5,31.69,31.31,31.63,407500.0,0
1999-05-13,31.63,32.19,31.63,32.19,339200.0,0
1999-05-14,31.94,32.0,31.31,31.5,375900.0,0
1999-05-17,31.38,32.0,31.38,32.0,473100.0,0
1999-05-18,31.88,32.13,31.69,31.88,723200.0,0
1999-05-19,31.88,32.75,31.88,32.75,533700.0,0
1999-05-20,32.5,32.56,31.88,31.94,1036200.0,0
1999-05-21,32.0,32.38,32.0,32.31,824500.0,0
1999-05-24,32.31,32.5,32.25,32.38,628500.0,0
1999-05-25,32.25,32.94,32.19,32.31,1005500.0,0
1999-05-26,32.31,32.69,32.25,32.69,627400.0,0
1999-05-27,32.44,32.5,31.56,31.81,777800.0,0
1999-05-28,31.88,32.69,31.88,32.44,534900.0,0
1999-06-01,32.31,32.63,32.13,32.5,859700.0,0
1999-06-02,32.56,32.81,32.38,32.56,552400.0,0
1999-06-03,32.44,32.63,32.19,32.5,292000.0,0
1999-06-04,32.5,33.19,32.44,33.06,570000.0,0
1999-06-07,33.06,33.19,32.94,33.13,418800.0,0
1999-06-08,33.0,33.06,32.69,33.0,776300.0,0
1999-06-09,32.94,33.0,32.5,32.94,230500.0,0
1999-06-10,32.81,32.81,31.88,32.25,454500.0,0
1999-06-11,32.25,32.94,32.25,32.56,455100.0,0
1999-06-14,32.81,33.25,32.69,32.81,233300.0,0
1999-06-15,32.81,33.13,32.34,33.0,490800.0,0
1999-06-16,33.0,33.5,33.0,33.13,530100.0,0
1999-06-17,33.13,33.13,32.81,32.88,475500.0,0
1999-06-18,32.88,32.94,32.38,32.75,570100.0,0
