date,open,high,low,close,volume,padding
1999-01-04,2.8360000000000003,2.8360000000000003,2.7110000000000003,2.8280000000000003,3270400.0,0
1999-01-05,2.781,2.8280000000000003,2.75,2.793,1772800.0,0
1999-01-06,2.781,2.805,2.688,2.699,3926400.0,0
1999-01-07,2.7030000000000003,2.7030000000000003,2.609,2.696,3652800.0,0
1999-01-08,2.7030000000000003,2.7030000000000003,2.6060000000000003,2.652,5675200.0,0
1999-01-11,2.652,2.656,2.6180000000000003,2.625,4358400.0,0
1999-01-12,2.625,2.672,2.625,2.672,1633600.0,0
1999-01-13,2.516,2.637,2.477,2.555,4811200.0,0
1999-01-14,2.571,2.5860000000000003,2.516,2.571,1736000.0,0
1999-01-15,2.555,2.649,2.539,2.641,1395200.0,0
1999-01-19,2.656,2.688,2.602,2.688,2256000.0,0
1999-01-20,2.664,2.688,2.6180000000000003,2.6180000000000003,2305600.0,0
1999-01-21,2.656,2.656,2.59,2.609,2425600.0,0
1999-01-22,2.5780000000000003,2.781,2.547,2.75,7209600.0,0
1999-01-25,2.75,2.75,2.571,2.629,10656000.0,0
1999-01-26,2.609,2.629,2.4530000000000003,2.508,9964800.0,0
1999-01-27,2.5,2.524,2.399,2.4530000000000003,3172800.0,0
1999-01-28,2.469,2.5,2.391,2.438,3587200.0,0
1999-01-29,2.426,2.446,2.391,2.41,4939200.0,0
1999-02-01,2.391,2.449,2.3480000000000003,2.446,2532800.0,0
1999-02-02,2.422,2.5,2.422,2.461,3812800.0,0
1999-02-03,2.461,2.527,2.461,2.508,3884800.0,0
1999-02-04,2.4930000000000003,2.516,2.4930000000000003,2.4930000000000003,2291200.0,0
1999-02-05,2.5,2.5,2.438,2.441,3820800.0,0
1999-02-08,2.438,2.4530000000000003,2.363,2.399,2334400.0,0
1999-02-09,2.391,2.43,2.313,2.313,3827200.0,0
1999-02-10,2.309,2.3680000000000003,2.281,2.336,2713600.0,0
1999-02-11,2.313,2.387,2.305,2.375,4222400.0,0
1999-02-12,2.3680000000000003,2.399,2.344,2.356,3244800.0,0
1999-02-16,2.352,2.359,2.293,2.297,4980800.0,0
1999-02-17,2.227,2.285,2.191,2.196,5881600.0,0
1999-02-18,2.18,2.313,2.168,2.293,4382400.0,0
1999-02-19,2.274,2.3480000000000003,2.246,2.301,2300800.0,0
1999-02-22,2.281,2.359,2.281,2.352,2560000.0,0
1999-02-23,2.359,2.469,2.344,2.446,3854400.0,0
1999-02-24,2.438,2.469,2.406,2.426,2934400.0,0
1999-02-25,2.422,2.43,2.3680000000000003,2.387,2536000.0,0
1999-02-26,2.375,2.387,2.344,2.375,2094400.0,0
1999-03-01,2.313,2.4930000000000003,2.281,2.446,2486400.0,0
1999-03-02,2.438,2.457,2.422,2.422,1644800.0,0
1999-03-03,2.422,2.438,2.321,2.324,1934400.0,0
1999-03-04,2.3280000000000003,2.399,2.281,2.344,2078400.0,0
1999-03-05,2.352,2.406,2.336,2.3680000000000003,1516800.0,0
1999-03-08,2.344,2.375,2.313,2.3280000000000003,2323200.0,0
1999-03-09,2.344,2.344,2.262,2.262,3380800.0,0
1999-03-10,2.258,2.305,2.25,2.297,1241600.0,0
1999-03-11,2.297,2.344,2.25,2.336,2697600.0,0
1999-03-12,2.297,2.461,2.25,2.399,8606400.0,0
1999-03-15,2.391,2.469,2.391,2.402,4203200.0,0
1999-03-16,2.399,2.422,2.305,2.344,1713600.0,0
1999-03-17,2.359,2.359,2.281,2.305,1158400.0,0
1999-03-18,2.289,2.375,2.281,2.324,1486400.0,0
1999-03-19,2.352,2.3680000000000003,2.305,2.305,2118400.0,0
1999-03-22,2.297,2.344,2.215,2.266,2115200.0,0
1999-03-23,2.219,2.219,2.152,2.164,4468800.0,0
1999-03-24,2.172,2.172,2.102,2.139,2436800.0,0
1999-03-25,2.172,2.234,2.137,2.234,3513600.0,0
1999-03-26,2.234,2.25,2.2030000000000003,2.219,1835200.0,0
1999-03-29,2.25,2.25,2.188,2.2230000000000003,2136000.0,0
1999-03-30,2.219,2.281,2.2030000000000003,2.211,2451200.0,0
1999-03-31,2.211,2.25,2.16,2.191,2971200.0,0
1999-04-01,2.2030000000000003,2.234,2.125,2.209,1886400.0,0
1999-04-05,2.219,2.438,2.16,2.438,5129600.0,0
1999-04-06,2.375,2.4530000000000003,2.313,2.438,2958400.0,0
1999-04-07,2.4530000000000003,2.4530000000000003,2.375,2.414,2691200.0,0
1999-04-08,2.399,2.438,2.336,2.426,2601600.0,0
1999-04-09,2.43,2.469,2.375,2.438,1372800.0,0
1999-04-12,2.446,2.75,2.406,2.664,12089600.0,0
1999-04-13,2.656,2.719,2.461,2.559,5292800.0,0
1999-04-14,2.559,2.672,2.4930000000000003,2.4930000000000003,2582400.0,0
1999-04-15,2.504,2.75,2.488,2.688,10944000.0,0
1999-04-16,2.7430000000000003,2.75,2.6180000000000003,2.672,8678400.0,0
1999-04-19,2.664,2.797,2.664,2.7430000000000003,11532800.0,0
1999-04-20,2.7030000000000003,2.8680000000000003,2.688,2.844,13612800.0,0
1999-04-21,2.852,2.875,2.797,2.875,6417600.0,0
1999-04-22,2.859,3.059,2.859,2.969,8408000.0,0
1999-04-23,2.965,3.047,2.9410000000000003,2.9610000000000003,6966400.0,0
1999-04-26,2.984,3.031,2.969,3.004,2835200.0,0
1999-04-27,2.988,3.027,2.9530000000000003,2.9960000000000004,3884800.0,0
1999-04-28,2.9930000000000003,3.047,2.9530000000000003,2.9960000000000004,4288000.0,0
1999-04-29,3.0,3.035,2.965,3.035,3102400.0,0
1999-04-30,3.0,3.055,2.969,2.984,1619200.0,0
1999-05-03,2.9960000000000004,3.024,2.9530000000000003,2.9810000000000003,4600000.0,0
1999-05-04,2.9930000000000003,3.063,2.938,3.016,7147200.0,0
1999-05-05,3.031,3.125,3.008,3.125,8129600.0,0
1999-05-06,3.09,3.129,3.0780000000000003,3.109,4758400.0,0
1999-05-07,3.094,3.1210000000000004,3.0,3.059,3636800.0,0
1999-05-10,3.074,3.082,3.055,3.071,1480000.0,0
1999-05-11,3.071,3.109,3.055,3.1060000000000003,1068800.0,0
1999-05-12,3.063,3.1210000000000004,3.055,3.113,2072000.0,0
1999-05-13,3.1210000000000004,3.227,3.102,3.141,5521600.0,0
1999-05-14,3.109,3.168,3.0780000000000003,3.1180000000000003,4520000.0,0
1999-05-17,3.109,3.2030000000000003,3.0660000000000003,3.188,1928000.0,0
1999-05-18,3.156,3.266,3.141,3.149,3683200.0,0
1999-05-19,3.164,3.18,3.071,3.152,2739200.0,0
1999-05-20,3.176,3.274,3.133,3.244,4307200.0,0
1999-05-21,3.2460000000000004,3.2460000000000004,3.149,3.168,11108800.0,0
1999-05-24,3.168,3.199,3.113,3.152,4192000.0,0
1999-05-25,3.109,3.164,3.031,3.043,5739200.0,0
1999-05-26,3.047,3.071,3.0,3.043,3232000.0,0
1999-05-27,3.024,3.1180000000000003,3.008,3.0980000000000003,2745600.0,0
1999-05-28,3.102,3.219,3.102,3.2030000000000003,6760000.0,0
1999-06-01,3.188,3.2110000000000003,3.125,3.133,4028800.0,0
1999-06-02,3.149,3.234,3.1180000000000003,3.2230000000000003,4278400.0,0
1999-06-03,3.215,3.262,3.196,3.234,2896000.0,0
1999-06-04,3.234,3.281,3.219,3.269,2155200.0,0
1999-06-07,3.266,3.297,3.219,3.277,2763200.0,0
1999-06-08,3.281,3.3710000000000004,3.254,3.254,5228800.0,0
1999-06-09,3.254,3.352,3.234,3.313,2537600.0,0
1999-06-10,3.301,3.313,3.2430000000000003,3.274,2710400.0,0
1999-06-11,3.266,3.289,3.234,3.274,1659200.0,0
1999-06-14,3.25,3.3360000000000003,3.25,3.281,2558400.0,0
1999-06-15,3.281,3.297,3.258,3.274,2164800.0,0
