date,open,high,low,close,volume,padding
1999-01-04,5.315,5.53,5.315,5.47,989000.0,0
1999-01-05,5.44,5.845,5.44,5.845,818200.0,0
1999-01-06,5.815,5.845,5.625,5.72,515800.0,0
1999-01-07,5.75,5.905,5.69,5.875,1274400.0,0
1999-01-08,5.94,6.125,5.875,6.03,1455800.0,0
1999-01-11,6.0,6.375,6.0,6.315,831000.0,0
1999-01-12,6.125,6.125,5.5,5.53,1244400.0,0
1999-01-13,5.47,5.655,5.375,5.625,886200.0,0
1999-01-14,5.625,5.69,5.405,5.5,1066800.0,0
1999-01-15,5.595,5.72,5.565,5.595,745600.0,0
1999-01-19,5.75,5.78,5.625,5.625,754000.0,0
1999-01-20,5.625,5.655,5.565,5.625,1228800.0,0
1999-01-21,5.625,5.69,5.5,5.625,1923000.0,0
1999-01-22,5.625,5.655,5.53,5.53,385600.0,0
1999-01-25,5.53,5.565,5.095,5.125,770200.0,0
1999-01-26,5.19,5.28,5.095,5.095,1171400.0,0
1999-01-27,5.155,5.22,4.78,4.78,707600.0,0
1999-01-28,4.7189999999999985,5.095,4.7189999999999985,5.0,861000.0,0
1999-01-29,5.0,5.095,4.875,4.875,712800.0,0
1999-02-01,5.0,5.0,4.8439999999999985,4.938,684600.0,0
1999-02-02,4.907,5.03,4.907,4.938,633600.0,0
1999-02-03,5.0,5.065,4.9689999999999985,5.03,502200.0,0
1999-02-04,5.125,5.625,5.125,5.44,1777800.0,0
1999-02-05,5.44,5.72,5.405,5.565,1089600.0,0
1999-02-08,5.625,5.75,5.625,5.72,718000.0,0
1999-02-09,5.655,5.655,5.315,5.315,898200.0,0
1999-02-10,5.315,5.5,5.125,5.125,822000.0,0
1999-02-11,5.125,5.22,5.03,5.03,614600.0,0
1999-02-12,5.065,5.25,5.065,5.19,1092000.0,0
1999-02-16,5.19,5.22,4.9689999999999985,4.9689999999999985,849400.0,0
1999-02-17,5.0,5.0,4.875,4.875,751000.0,0
1999-02-18,4.907,4.907,4.688,4.75,1300600.0,0
1999-02-19,4.7189999999999985,4.75,4.5939999999999985,4.5939999999999985,922000.0,0
1999-02-22,4.563,4.75,4.563,4.75,848200.0,0
1999-02-23,4.7189999999999985,4.75,4.657,4.688,452600.0,0
1999-02-24,4.7189999999999985,4.782,4.563,4.5939999999999985,2613800.0,0
1999-02-25,4.563,4.75,4.563,4.688,2599600.0,0
1999-02-26,4.688,4.7189999999999985,4.625,4.7189999999999985,880200.0,0
1999-03-01,4.657,4.688,4.5939999999999985,4.657,1871200.0,0
1999-03-02,4.688,4.8439999999999985,4.657,4.75,663800.0,0
1999-03-03,4.75,4.782,4.563,4.688,792000.0,0
1999-03-04,4.688,4.782,4.657,4.7189999999999985,572400.0,0
1999-03-05,4.782,4.875,4.657,4.688,386400.0,0
1999-03-08,4.75,4.782,4.5939999999999985,4.782,2160600.0,0
1999-03-09,4.782,5.095,4.7189999999999985,5.03,1785000.0,0
1999-03-10,5.0,5.125,4.907,5.0,1152000.0,0
1999-03-11,5.0,5.19,4.875,4.875,745400.0,0
1999-03-12,4.907,4.938,4.5939999999999985,4.625,1847800.0,0
1999-03-15,4.5939999999999985,4.7189999999999985,4.563,4.625,954200.0,0
1999-03-16,4.657,4.75,4.563,4.75,722400.0,0
1999-03-17,4.75,4.9689999999999985,4.7189999999999985,4.9689999999999985,1149200.0,0
1999-03-18,4.9689999999999985,5.125,4.938,5.03,1688000.0,0
1999-03-19,5.125,5.315,5.095,5.28,1731000.0,0
1999-03-22,5.315,5.5,5.315,5.345,1106800.0,0
