date,open,high,low,close,volume,padding
1999-01-04,32.81,33.0,32.31,32.56,416600.0,0
1999-01-05,32.44,32.69,32.31,32.56,370000.0,0
1999-01-06,32.38,32.88,32.31,32.88,386200.0,0
1999-01-07,32.63,33.06,32.5,33.0,739900.0,0
1999-01-08,33.06,33.19,32.75,32.94,603500.0,0
1999-01-11,32.69,32.75,32.31,32.75,804600.0,0
1999-01-12,32.56,33.13,32.31,32.88,375400.0,0
1999-01-13,32.5,33.0,32.25,32.38,444400.0,0
1999-01-14,32.38,32.5,31.81,32.06,409400.0,0
1999-01-15,32.25,32.63,31.75,32.63,376300.0,0
1999-01-19,32.38,32.38,31.63,32.06,619500.0,0
1999-01-20,32.13,32.13,31.56,31.63,1187300.0,0
1999-01-21,31.81,32.06,31.63,32.0,309500.0,0
1999-01-22,31.75,31.88,31.63,31.75,569500.0,0
1999-01-25,31.81,31.94,31.5,31.88,278500.0,0
1999-01-26,31.94,31.94,31.56,31.75,340900.0,0
1999-01-27,31.81,31.88,31.13,31.31,643900.0,0
1999-01-28,31.06,31.5,30.94,31.44,926700.0,0
1999-01-29,31.25,31.31,30.69,31.06,998800.0,0
1999-02-01,30.75,31.0,30.19,30.44,295600.0,0
1999-02-02,30.19,30.19,29.5,30.19,387700.0,0
1999-02-03,29.81,30.56,29.81,30.25,9611300.0,0
1999-02-04,30.13,30.5,29.75,30.06,470600.0,0
1999-02-05,30.31,30.44,30.0,30.38,500800.0,0
1999-02-08,30.44,30.56,29.88,30.44,460400.0,0
1999-02-09,30.44,30.44,29.81,30.06,600300.0,0
1999-02-10,30.25,30.56,29.88,30.13,390400.0,0
1999-02-11,29.94,29.94,29.38,29.5,222400.0,0
1999-02-12,29.56,29.56,29.0,29.19,288700.0,0
1999-02-16,29.13,29.75,29.06,29.63,522000.0,0
1999-02-17,29.63,30.25,29.38,29.88,228900.0,0
1999-02-18,29.81,30.56,29.81,30.13,614600.0,0
1999-02-19,30.13,30.13,29.63,29.75,311000.0,0
1999-02-22,29.44,29.88,29.44,29.88,427500.0,0
1999-02-23,29.63,29.69,29.31,29.31,260200.0,0
1999-02-24,29.38,29.63,29.06,29.13,360600.0,0
1999-02-25,29.0,29.25,28.63,28.81,243100.0,0
1999-02-26,29.06,29.44,28.94,29.25,304500.0,0
1999-03-01,29.0,29.31,28.81,29.31,351700.0,0
1999-03-02,29.75,30.13,29.63,29.88,515900.0,0
1999-03-03,29.88,30.19,29.75,29.94,434400.0,0
1999-03-04,29.88,30.19,29.88,30.0,549900.0,0
1999-03-05,30.06,30.75,30.06,30.63,316500.0,0
1999-03-08,30.38,30.5,29.75,30.19,393000.0,0
1999-03-09,30.0,30.31,29.06,29.06,467500.0,0
1999-03-10,28.88,29.5,28.5,29.0,460000.0,0
1999-03-11,29.0,29.0,28.44,28.75,417800.0,0
1999-03-12,28.75,29.56,28.38,29.31,1011400.0,0
1999-03-15,29.31,29.31,28.56,28.75,331700.0,0
1999-03-16,28.94,29.03,28.63,28.75,371600.0,0
1999-03-17,28.94,29.0,28.5,28.69,451500.0,0
1999-03-18,28.75,29.38,28.69,29.19,369000.0,0
1999-03-19,29.25,29.31,28.88,29.0,311800.0,0
1999-03-22,28.75,29.13,28.63,29.0,176700.0,0
1999-03-23,29.0,29.13,28.63,28.63,308500.0,0
1999-03-24,28.63,29.75,28.63,29.69,514200.0,0
1999-03-25,29.5,29.75,29.13,29.25,242600.0,0
1999-03-26,29.06,29.31,28.69,28.81,301200.0,0
1999-03-29,28.88,29.06,28.63,28.75,224200.0,0
1999-03-30,28.75,28.75,27.94,28.0,367900.0,0
1999-03-31,28.25,28.5,27.94,28.0,303200.0,0
1999-04-01,27.88,28.56,27.81,28.25,442000.0,0
1999-04-05,28.25,29.13,28.13,29.0,434900.0,0
1999-04-06,29.0,29.06,28.38,28.44,337500.0,0
1999-04-07,28.31,28.88,28.25,28.88,653800.0,0
1999-04-08,28.75,29.38,28.75,29.38,294400.0,0
1999-04-09,29.13,29.31,28.81,29.06,290400.0,0
1999-04-12,29.25,29.63,29.06,29.31,231800.0,0
1999-04-13,29.06,29.13,28.69,28.81,274100.0,0
1999-04-14,28.56,28.75,28.25,28.25,227900.0,0
1999-04-15,28.38,28.94,28.25,28.56,387800.0,0
1999-04-16,28.56,28.88,28.31,28.81,527200.0,0
1999-04-19,29.06,30.13,29.0,29.88,800500.0,0
1999-04-20,30.13,30.69,29.56,30.56,491500.0,0
1999-04-21,30.5,30.63,30.13,30.63,242100.0,0
1999-04-22,30.44,30.5,29.81,30.0,264900.0,0
1999-04-23,30.0,30.0,29.63,29.75,169500.0,0
1999-04-26,29.63,30.0,29.5,29.75,205200.0,0
1999-04-27,30.0,30.19,29.44,29.5,298500.0,0
1999-04-28,29.5,29.81,29.38,29.44,381400.0,0
1999-04-29,29.44,30.38,29.44,30.19,599300.0,0
1999-04-30,30.0,30.0,29.38,29.69,370200.0,0
1999-05-03,29.38,30.44,29.38,30.38,303700.0,0
1999-05-04,30.06,30.19,29.81,30.19,538900.0,0
1999-05-05,30.0,30.06,29.38,30.06,4692400.0,0
1999-05-06,29.88,30.38,29.75,30.38,553100.0,0
1999-05-07,30.13,30.19,29.81,30.0,700400.0,0
1999-05-10,30.25,30.38,29.88,30.31,427300.0,0
1999-05-11,30.31,30.38,30.0,30.06,319500.0,0
1999-05-12,30.06,30.94,29.94,30.19,683200.0,0
1999-05-13,30.94,31.88,30.81,31.5,586500.0,0
1999-05-14,31.0,31.19,30.75,31.06,595100.0,0
1999-05-17,31.06,31.56,31.0,31.44,293200.0,0
1999-05-18,31.5,31.75,31.13,31.5,615200.0,0
1999-05-19,31.63,31.63,31.19,31.31,533700.0,0
1999-05-20,31.31,31.63,31.0,31.06,413700.0,0
1999-05-21,31.06,31.44,31.06,31.19,433000.0,0
1999-05-24,31.31,31.81,31.25,31.38,206900.0,0
1999-05-25,31.56,32.13,31.56,31.63,585400.0,0
1999-05-26,31.75,32.0,31.25,32.0,309500.0,0
1999-05-27,32.0,32.0,30.75,31.13,397500.0,0
1999-05-28,31.31,31.81,31.25,31.81,340700.0,0
1999-06-01,31.81,31.88,31.19,31.56,597000.0,0
1999-06-02,31.56,31.69,31.25,31.31,454100.0,0
1999-06-03,31.31,31.44,31.06,31.19,287100.0,0
1999-06-04,31.19,31.5,31.19,31.5,380700.0,0
1999-06-07,31.56,31.75,31.5,31.56,235800.0,0
1999-06-08,31.56,31.75,31.13,31.25,342600.0,0
1999-06-09,31.13,31.69,31.13,31.44,266400.0,0
1999-06-10,31.5,31.69,30.75,31.06,399100.0,0
1999-06-11,31.13,31.31,31.13,31.19,594400.0,0
1999-06-14,31.25,31.5,30.88,31.0,477100.0,0
1999-06-15,30.88,31.38,30.75,31.25,321200.0,0
1999-06-16,31.44,31.88,31.44,31.69,652300.0,0
1999-06-17,31.88,31.88,31.44,31.63,404100.0,0
1999-06-18,31.56,31.75,31.31,31.75,497900.0,0
1999-06-21,31.5,31.56,31.0,31.31,359300.0,0
1999-06-22,31.31,31.56,31.25,31.44,324600.0,0
1999-06-23,31.69,31.94,31.44,31.63,492000.0,0
1999-06-24,31.75,31.88,31.56,31.69,600900.0,0
1999-06-25,31.88,31.94,31.56,31.69,529300.0,0
1999-06-28,31.81,31.94,31.75,31.81,739800.0,0
1999-06-29,31.81,31.81,31.25,31.56,1351700.0,0
1999-06-30,31.5,31.5,30.81,31.0,417000.0,0
1999-07-01,30.88,31.19,30.81,31.19,466700.0,0
1999-07-02,31.19,31.31,30.94,31.13,725200.0,0
1999-07-06,31.06,31.13,30.81,31.06,573400.0,0
1999-07-07,31.19,31.25,30.88,31.06,626500.0,0
1999-07-08,31.06,31.06,30.56,30.63,461300.0,0
1999-07-09,30.63,30.75,30.56,30.69,311200.0,0
1999-07-12,30.75,30.88,30.44,30.56,588200.0,0
1999-07-13,30.56,30.75,30.31,30.44,386600.0,0
1999-07-14,30.5,30.5,29.81,30.06,309000.0,0
1999-07-15,30.38,30.38,29.94,30.13,296900.0,0
