date,open,high,low,close,volume,padding
1999-01-04,24.0,24.5,23.9,23.9,11000.0,1
1999-01-05,24.0,24.5,23.9,23.9,11000.0,1
1999-01-06,24.0,24.5,23.9,23.9,11000.0,1
1999-01-07,24.0,24.5,23.9,23.9,11000.0,1
1999-01-08,24.0,24.5,23.9,23.9,11000.0,1
1999-01-11,24.0,24.5,23.9,23.9,11000.0,1
1999-01-12,24.0,24.5,23.9,23.9,11000.0,1
1999-01-13,24.0,24.5,23.9,23.9,11000.0,1
1999-01-14,24.0,24.5,23.9,23.9,11000.0,1
1999-01-15,24.0,24.5,23.9,23.9,11000.0,1
1999-01-19,24.0,24.5,23.9,23.9,11000.0,1
1999-01-20,24.0,24.5,23.9,23.9,11000.0,1
1999-01-21,24.0,24.5,23.9,23.9,11000.0,1
1999-01-22,24.0,24.5,23.9,23.9,11000.0,1
1999-01-25,24.0,24.5,23.9,23.9,11000.0,1
1999-01-26,24.0,24.5,23.9,23.9,11000.0,1
1999-01-27,24.0,24.5,23.9,23.9,11000.0,1
1999-01-28,24.0,24.5,23.9,23.9,11000.0,1
1999-01-29,24.0,24.5,23.9,23.9,11000.0,1
1999-02-01,24.0,24.5,23.9,23.9,11000.0,1
1999-02-02,24.0,24.5,23.9,23.9,11000.0,1
1999-02-03,24.0,24.5,23.9,23.9,11000.0,1
1999-02-04,24.0,24.5,23.9,23.9,11000.0,1
1999-02-05,24.0,24.5,23.9,23.9,11000.0,1
1999-02-08,24.0,24.5,23.9,23.9,11000.0,1
1999-02-09,24.0,24.5,23.9,23.9,11000.0,1
1999-02-10,24.0,24.5,23.9,23.9,11000.0,1
1999-02-11,24.0,24.5,23.9,23.9,11000.0,1
1999-02-12,24.0,24.5,23.9,23.9,11000.0,1
1999-02-16,24.0,24.5,23.9,23.9,11000.0,1
1999-02-17,24.0,24.5,23.9,23.9,11000.0,1
1999-02-18,24.0,24.5,23.9,23.9,11000.0,1
1999-02-19,24.0,24.5,23.9,23.9,11000.0,1
1999-02-22,24.0,24.5,23.9,23.9,11000.0,1
1999-02-23,24.0,24.5,23.9,23.9,11000.0,1
1999-02-24,24.0,24.5,23.9,23.9,11000.0,1
1999-02-25,24.0,24.5,23.9,23.9,11000.0,1
1999-02-26,24.0,24.5,23.9,23.9,11000.0,1
1999-03-01,24.0,24.5,23.9,23.9,11000.0,1
1999-03-02,24.0,24.5,23.9,23.9,11000.0,1
1999-03-03,24.0,24.5,23.9,23.9,11000.0,1
1999-03-04,24.0,24.5,23.9,23.9,11000.0,1
1999-03-05,24.0,24.5,23.9,23.9,11000.0,1
1999-03-08,24.0,24.5,23.9,23.9,11000.0,1
1999-03-09,24.0,24.5,23.9,23.9,11000.0,1
1999-03-10,24.0,24.5,23.9,23.9,11000.0,1
1999-03-11,24.0,24.5,23.9,23.9,11000.0,1
1999-03-12,24.0,24.5,23.9,23.9,11000.0,1
1999-03-15,24.0,24.5,23.9,23.9,11000.0,1
1999-03-16,24.0,24.5,23.9,23.9,11000.0,1
1999-03-17,24.0,24.5,23.9,23.9,11000.0,1
1999-03-18,24.0,24.5,23.9,23.9,11000.0,1
1999-03-19,24.0,24.5,23.9,23.9,11000.0,1
1999-03-22,24.0,24.5,23.9,23.9,11000.0,1
1999-03-23,24.0,24.5,23.9,23.9,11000.0,1
1999-03-24,24.0,24.5,23.9,23.9,11000.0,1
1999-03-25,24.0,24.5,23.9,23.9,11000.0,1
1999-03-26,24.0,24.5,23.9,23.9,11000.0,1
1999-03-29,24.0,24.5,23.9,23.9,11000.0,1
1999-03-30,24.0,24.5,23.9,23.9,11000.0,1
1999-03-31,24.0,24.5,23.9,23.9,11000.0,1
1999-04-01,24.0,24.5,23.9,23.9,11000.0,1
1999-04-05,24.0,24.5,23.9,23.9,11000.0,1
1999-04-06,24.0,24.5,23.9,23.9,11000.0,1
1999-04-07,24.0,24.5,23.9,23.9,11000.0,1
1999-04-08,24.0,24.5,23.9,23.9,11000.0,1
1999-04-09,24.0,24.5,23.9,23.9,11000.0,1
1999-04-12,24.0,24.5,23.9,23.9,11000.0,1
1999-04-13,24.0,24.5,23.9,23.9,11000.0,1
1999-04-14,24.0,24.5,23.9,23.9,11000.0,1
1999-04-15,24.0,24.5,23.9,23.9,11000.0,1
1999-04-16,24.0,24.5,23.9,23.9,11000.0,1
1999-04-19,24.0,24.5,23.9,23.9,11000.0,1
1999-04-20,24.0,24.5,23.9,23.9,11000.0,1
1999-04-21,24.0,24.5,23.9,23.9,11000.0,1
1999-04-22,24.0,24.5,23.9,23.9,11000.0,1
1999-04-23,24.0,24.5,23.9,23.9,11000.0,1
1999-04-26,24.0,24.5,23.9,23.9,11000.0,1
1999-04-27,24.0,24.5,23.9,23.9,11000.0,1
1999-04-28,24.0,24.5,23.9,23.9,11000.0,1
1999-04-29,24.0,24.5,23.9,23.9,11000.0,1
1999-04-30,24.0,24.5,23.9,23.9,11000.0,1
1999-05-03,24.0,24.5,23.9,23.9,11000.0,1
1999-05-04,24.0,24.5,23.9,23.9,11000.0,1
1999-05-05,24.0,24.5,23.9,23.9,11000.0,1
1999-05-06,24.0,24.5,23.9,23.9,11000.0,1
1999-05-07,24.0,24.5,23.9,23.9,11000.0,1
