date,open,high,low,close,volume,padding
1999-01-04,2.875,2.969,2.86,2.86,1158400.0,0
1999-01-05,2.906,2.906,2.844,2.89,327200.0,0
1999-01-06,2.875,2.89,2.844,2.844,377600.0,0
1999-01-07,2.8280000000000003,2.89,2.8280000000000003,2.8360000000000003,16000.0,0
1999-01-08,2.844,2.938,2.844,2.938,812800.0,0
1999-01-11,2.938,2.9530000000000003,2.875,2.9530000000000003,251200.0,0
1999-01-12,2.914,2.969,2.89,2.89,588000.0,0
1999-01-13,2.875,2.89,2.813,2.875,480000.0,0
1999-01-14,2.86,2.89,2.86,2.875,94400.0,0
1999-01-15,2.86,2.89,2.86,2.89,380000.0,0
1999-01-19,2.875,2.89,2.875,2.875,333600.0,0
1999-01-20,2.844,2.86,2.765,2.813,76000.0,0
1999-01-21,2.844,2.844,2.75,2.774,200000.0,0
1999-01-22,2.757,2.8280000000000003,2.75,2.813,103200.0,0
1999-01-25,2.765,2.844,2.765,2.813,230400.0,0
1999-01-26,2.813,2.813,2.735,2.75,68800.0,0
1999-01-27,2.735,2.797,2.735,2.797,97600.0,0
1999-01-28,2.719,2.813,2.719,2.765,108800.0,0
1999-01-29,2.75,2.75,2.7110000000000003,2.735,69600.0,0
1999-02-01,2.797,2.797,2.7030000000000003,2.735,81600.0,0
1999-02-02,2.719,2.719,2.64,2.688,94400.0,0
1999-02-03,2.64,2.735,2.64,2.656,140000.0,0
1999-02-04,2.625,2.719,2.625,2.719,252800.0,0
1999-02-05,2.64,2.688,2.422,2.515,267200.0,0
1999-02-08,2.5,2.5780000000000003,2.469,2.563,100000.0,0
1999-02-09,2.531,2.5780000000000003,2.515,2.5780000000000003,72800.0,0
1999-02-10,2.531,2.594,2.531,2.5780000000000003,126400.0,0
1999-02-11,2.547,2.5780000000000003,2.547,2.5780000000000003,121600.0,0
1999-02-12,2.547,2.6180000000000003,2.547,2.61,204800.0,0
1999-02-16,2.515,2.61,2.515,2.594,29600.0,0
1999-02-17,2.61,2.61,2.5,2.5,218400.0,0
1999-02-18,2.563,2.563,2.485,2.5,108800.0,0
1999-02-19,2.5,2.515,2.469,2.515,142400.0,0
1999-02-22,2.515,2.515,2.5,2.5,49600.0,0
1999-02-23,2.5,2.547,2.5,2.507,231200.0,0
1999-02-24,2.507,2.61,2.5,2.531,260800.0,0
1999-02-25,2.531,2.531,2.3280000000000003,2.375,320800.0,0
1999-02-26,2.3280000000000003,2.3280000000000003,2.281,2.297,321600.0,0
1999-03-01,2.297,2.375,2.297,2.375,248800.0,0
1999-03-02,2.36,2.375,2.297,2.305,232000.0,0
1999-03-03,2.422,2.438,2.3280000000000003,2.39,518400.0,0
1999-03-04,2.375,2.375,2.3280000000000003,2.36,666400.0,0
1999-03-05,2.344,2.344,2.11,2.156,372800.0,0
1999-03-08,2.156,2.25,2.094,2.195,263200.0,0
1999-03-09,2.226,2.226,2.188,2.195,396800.0,0
1999-03-10,2.188,2.235,2.188,2.235,67200.0,0
1999-03-11,2.313,2.344,2.281,2.297,288000.0,0
1999-03-12,2.344,2.344,2.172,2.188,153600.0,0
1999-03-15,2.172,2.188,2.14,2.164,692800.0,0
1999-03-16,2.172,2.188,2.172,2.18,139200.0,0
1999-03-17,2.164,2.313,2.14,2.305,220800.0,0
1999-03-18,2.2030000000000003,2.257,2.2030000000000003,2.257,56000.0,0
1999-03-19,2.25,2.25,2.219,2.235,147200.0,0
1999-03-22,2.219,2.235,2.219,2.226,60800.0,0
1999-03-23,2.219,2.235,2.219,2.219,93600.0,0
1999-03-24,2.25,2.406,2.25,2.39,186400.0,0
1999-03-25,2.4530000000000003,2.531,2.438,2.5,258400.0,0
1999-03-26,2.524,2.57,2.438,2.485,673600.0,0
1999-03-29,2.438,2.515,2.438,2.445,64000.0,0
1999-03-30,2.438,2.438,2.313,2.313,208800.0,0
1999-03-31,2.382,2.382,2.265,2.265,232800.0,0
1999-04-01,2.297,2.313,2.265,2.281,97600.0,0
1999-04-05,2.3280000000000003,2.3280000000000003,2.219,2.265,366400.0,0
1999-04-06,2.297,2.344,2.281,2.305,77600.0,0
1999-04-07,2.313,2.36,2.313,2.351,39200.0,0
1999-04-08,2.3280000000000003,2.406,2.3280000000000003,2.3280000000000003,470400.0,0
1999-04-09,2.3280000000000003,2.39,2.305,2.313,62400.0,0
1999-04-12,2.297,2.375,2.297,2.297,10400.0,0
1999-04-13,2.32,2.344,2.281,2.297,630400.0,0
1999-04-14,2.3280000000000003,2.3280000000000003,2.305,2.305,70400.0,0
