date,open,high,low,close,volume,padding
1999-01-04,23.13,23.94,23.13,23.5,59100.0,0
1999-01-05,23.94,24.5,23.81,24.5,66800.0,0
1999-01-06,24.75,24.88,24.31,24.5,75500.0,0
1999-01-07,24.5,24.5,24.13,24.13,26000.0,0
1999-01-08,24.13,24.19,23.63,24.0,110600.0,0
1999-01-11,23.94,23.94,23.63,23.69,33400.0,0
1999-01-12,23.63,24.0,23.56,23.88,38300.0,0
1999-01-13,23.13,24.31,23.13,24.19,57000.0,0
1999-01-14,24.25,24.25,24.0,24.0,20300.0,0
1999-01-15,23.88,24.0,23.75,24.0,31700.0,0
1999-01-19,24.0,24.25,23.63,24.13,59800.0,0
1999-01-20,24.13,24.13,23.5,23.63,64100.0,0
1999-01-21,23.5,23.94,23.5,23.94,23500.0,0
1999-01-22,23.94,23.94,23.31,23.31,38800.0,0
1999-01-25,23.5,23.56,23.38,23.5,16000.0,0
1999-01-26,23.44,23.44,23.0,23.06,60800.0,0
1999-01-27,23.06,23.13,23.06,23.06,47900.0,0
1999-01-28,23.06,23.06,22.63,22.69,109800.0,0
1999-01-29,22.69,23.0,22.25,23.0,83400.0,0
1999-02-01,22.88,23.0,22.38,22.75,34300.0,0
1999-02-02,22.63,22.63,22.0,22.0,87800.0,0
1999-02-03,22.0,22.38,22.0,22.25,51100.0,0
1999-02-04,22.25,22.25,21.06,21.13,80000.0,0
1999-02-05,21.25,21.31,20.25,20.81,4025900.0,0
1999-02-08,21.06,21.38,20.94,21.25,42100.0,0
1999-02-09,21.25,21.31,21.0,21.19,132300.0,0
1999-02-10,21.31,21.44,21.0,21.0,109500.0,0
1999-02-11,21.13,21.38,21.0,21.31,134200.0,0
1999-02-12,21.31,21.38,20.5,21.0,80400.0,0
1999-02-16,21.19,21.38,20.88,21.19,54900.0,0
1999-02-17,21.25,21.25,20.75,20.75,116400.0,0
1999-02-18,20.88,21.0,20.81,21.0,49100.0,0
1999-02-19,20.75,21.0,20.38,20.88,126600.0,0
1999-02-22,20.81,21.25,20.81,21.06,44200.0,0
1999-02-23,21.44,21.88,21.31,21.81,179900.0,0
1999-02-24,21.81,22.25,21.81,22.06,124200.0,0
1999-02-25,22.0,22.25,22.0,22.0,90400.0,0
1999-02-26,22.0,22.31,21.75,22.06,72600.0,0
1999-03-01,22.19,22.38,22.0,22.25,198100.0,0
1999-03-02,22.25,22.5,22.25,22.25,137500.0,0
1999-03-03,22.31,22.31,21.88,21.88,144100.0,0
1999-03-04,21.94,22.0,21.88,21.88,77700.0,0
1999-03-05,22.0,22.0,21.81,21.94,56100.0,0
1999-03-08,22.0,22.0,21.69,21.69,100400.0,0
1999-03-09,22.0,22.13,21.75,21.94,41100.0,0
1999-03-10,22.0,22.31,21.94,22.0,109400.0,0
1999-03-11,22.06,22.13,21.81,22.0,45300.0,0
1999-03-12,22.13,22.19,21.75,22.0,28900.0,0
1999-03-15,22.13,22.13,21.75,21.81,28600.0,0
1999-03-16,21.75,21.88,21.69,21.81,30500.0,0
1999-03-17,21.81,21.81,21.56,21.75,41800.0,0
1999-03-18,21.63,21.88,21.38,21.38,39300.0,0
1999-03-19,21.31,21.56,21.13,21.38,64100.0,0
1999-03-22,21.31,21.5,21.13,21.13,48500.0,0
1999-03-23,21.13,21.13,20.63,20.63,41800.0,0
1999-03-24,20.69,20.69,20.25,20.25,59400.0,0
1999-03-25,20.38,20.69,20.38,20.69,41300.0,0
1999-03-26,20.69,21.63,20.69,21.31,47600.0,0
1999-03-29,21.44,21.44,21.25,21.31,23000.0,0
1999-03-30,21.44,21.44,21.19,21.19,27600.0,0
1999-03-31,21.19,21.38,21.13,21.19,54000.0,0
1999-04-01,21.06,21.13,20.56,21.0,81300.0,0
1999-04-05,20.88,21.06,20.75,21.06,59300.0,0
1999-04-06,21.25,21.44,20.88,21.06,38300.0,0
1999-04-07,20.94,21.19,20.63,21.19,41000.0,0
1999-04-08,21.25,21.25,20.81,21.06,37500.0,0
1999-04-09,21.06,21.06,20.88,20.94,26500.0,0
1999-04-12,21.0,21.19,20.81,21.13,59600.0,0
1999-04-13,21.0,21.5,20.94,21.44,40800.0,0
1999-04-14,21.5,21.69,21.38,21.63,133500.0,0
1999-04-15,21.5,21.63,21.44,21.44,103500.0,0
1999-04-16,21.5,22.38,21.44,21.94,227000.0,0
1999-04-19,21.88,23.0,21.88,22.75,255200.0,0
1999-04-20,22.75,22.75,22.25,22.5,67200.0,0
1999-04-21,22.56,23.0,22.5,23.0,96500.0,0
1999-04-22,23.06,23.25,22.69,23.19,42800.0,0
1999-04-23,23.25,24.06,23.19,24.06,111200.0,0
1999-04-26,24.0,24.0,23.31,23.31,73200.0,0
1999-04-27,23.31,23.63,23.31,23.5,46100.0,0
1999-04-28,23.5,23.75,23.25,23.69,128800.0,0
1999-04-29,23.75,23.75,23.25,23.31,55300.0,0
1999-04-30,23.25,23.88,23.25,23.88,80900.0,0
1999-05-03,23.75,23.94,23.5,23.56,75400.0,0
1999-05-04,23.5,23.69,23.25,23.44,78500.0,0
1999-05-05,23.63,23.75,23.25,23.75,50000.0,0
1999-05-06,23.75,24.0,23.31,23.38,45600.0,0
1999-05-07,23.5,23.75,23.25,23.31,42800.0,0
1999-05-10,23.19,23.94,23.19,23.63,102400.0,0
1999-05-11,23.63,23.63,23.25,23.5,140500.0,0
1999-05-12,23.38,23.94,23.19,23.75,121600.0,0
1999-05-13,23.88,23.94,23.63,23.81,78200.0,0
1999-05-14,23.81,23.88,23.63,23.69,40400.0,0
1999-05-17,23.69,23.69,23.25,23.25,55200.0,0
1999-05-18,23.38,23.38,22.75,22.88,74400.0,0
1999-05-19,22.88,23.06,22.75,22.94,63000.0,0
1999-05-20,23.06,23.5,23.0,23.38,118500.0,0
1999-05-21,23.13,23.38,23.0,23.06,174200.0,0
1999-05-24,23.13,23.25,22.88,22.94,94500.0,0
1999-05-25,22.81,23.25,22.69,22.94,104500.0,0
1999-05-26,23.06,23.13,22.81,22.88,109800.0,0
1999-05-27,22.94,23.0,22.63,22.88,38300.0,0
1999-05-28,22.94,23.13,22.81,23.13,34600.0,0
1999-06-01,23.13,23.13,22.81,23.0,31100.0,0
1999-06-02,23.0,23.13,22.81,22.94,66600.0,0
1999-06-03,22.94,23.25,22.88,23.13,56500.0,0
1999-06-04,23.06,23.13,22.88,23.0,20800.0,0
1999-06-07,23.06,23.13,22.69,22.75,26800.0,0
1999-06-08,22.63,22.88,22.5,22.81,56400.0,0
1999-06-09,22.81,22.94,22.81,22.88,31700.0,0
1999-06-10,22.94,23.06,22.88,23.06,70600.0,0
1999-06-11,23.0,23.06,22.75,22.88,79300.0,0
1999-06-14,23.13,23.13,22.75,22.88,54100.0,0
1999-06-15,23.0,23.94,22.94,23.63,154500.0,0
1999-06-16,23.63,23.75,23.31,23.63,44900.0,0
1999-06-17,23.56,23.94,23.56,23.56,58700.0,0
1999-06-18,23.81,23.94,23.63,23.63,121900.0,0
1999-06-21,23.38,23.88,23.31,23.88,82900.0,0
1999-06-22,23.75,23.94,23.69,23.88,100800.0,0
1999-06-23,23.13,23.38,23.13,23.25,29700.0,0
1999-06-24,23.06,23.25,22.63,22.63,30300.0,0
1999-06-25,22.63,22.94,22.63,22.75,55500.0,0
1999-06-28,22.88,23.5,22.75,23.19,98700.0,0
1999-06-29,23.25,23.25,22.75,23.0,46200.0,0
1999-06-30,23.0,23.25,22.88,22.94,73200.0,0
1999-07-01,22.88,23.31,22.56,23.31,43100.0,0
1999-07-02,23.38,23.38,23.0,23.13,72400.0,0
1999-07-06,23.0,23.13,22.75,23.06,30400.0,0
1999-07-07,22.81,22.88,22.63,22.63,34400.0,0
1999-07-08,22.69,22.81,22.5,22.75,57600.0,0
1999-07-09,22.75,22.75,22.31,22.5,121900.0,0
1999-07-12,22.63,22.63,22.13,22.19,117600.0,0
1999-07-13,22.19,22.38,22.0,22.31,39000.0,0
1999-07-14,22.44,22.56,22.13,22.31,48000.0,0
1999-07-15,22.38,22.63,22.13,22.44,74100.0,0
1999-07-16,22.63,22.63,22.25,22.5,37000.0,0
