date,open,high,low,close,volume,padding
1999-01-04,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-05,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-06,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-07,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-08,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-11,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-12,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-13,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-14,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-15,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-19,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-20,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-21,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-22,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-25,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-26,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-27,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-28,8.5,8.75,8.165,8.31,27340800.0,1
1999-01-29,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-01,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-02,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-03,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-04,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-05,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-08,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-09,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-10,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-11,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-12,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-16,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-17,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-18,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-19,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-22,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-23,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-24,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-25,8.5,8.75,8.165,8.31,27340800.0,1
1999-02-26,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-01,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-02,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-03,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-04,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-05,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-08,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-09,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-10,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-11,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-12,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-15,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-16,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-17,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-18,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-19,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-22,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-23,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-24,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-25,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-26,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-29,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-30,8.5,8.75,8.165,8.31,27340800.0,1
1999-03-31,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-01,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-05,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-06,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-07,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-08,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-09,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-12,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-13,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-14,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-15,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-16,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-19,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-20,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-21,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-22,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-23,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-26,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-27,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-28,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-29,8.5,8.75,8.165,8.31,27340800.0,1
1999-04-30,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-03,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-04,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-05,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-06,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-07,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-10,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-11,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-12,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-13,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-14,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-17,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-18,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-19,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-20,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-21,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-24,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-25,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-26,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-27,8.5,8.75,8.165,8.31,27340800.0,1
1999-05-28,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-01,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-02,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-03,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-04,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-07,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-08,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-09,8.5,8.75,8.165,8.31,27340800.0,1
1999-06-10,8.5,8.75,8.165,8.31,27340800.0,1
