date,open,high,low,close,volume,padding
1999-01-04,33.75,33.81,32.62,33.19,537500.0,0
1999-01-05,33.38,33.62,32.5,32.75,413600.0,0
1999-01-06,33.0,33.25,32.31,33.25,341000.0,0
1999-01-07,33.0,33.06,31.69,32.19,527800.0,0
1999-01-08,32.44,32.5,31.88,32.5,259800.0,0
1999-01-11,32.25,32.44,31.38,32.31,475800.0,0
1999-01-12,32.56,32.56,32.0,32.56,386600.0,0
1999-01-13,32.19,32.69,31.44,31.69,502400.0,0
1999-01-14,31.62,32.06,31.5,31.62,340300.0,0
1999-01-15,32.0,32.38,31.75,32.31,384000.0,0
1999-01-19,32.44,32.44,31.5,32.06,223200.0,0
1999-01-20,32.31,32.31,31.69,32.0,275200.0,0
1999-01-21,32.12,32.12,31.31,31.75,193700.0,0
1999-01-22,31.62,31.88,31.12,31.44,204700.0,0
1999-01-25,31.69,32.25,31.19,31.94,450800.0,0
1999-01-26,31.94,32.25,31.5,32.19,334200.0,0
1999-01-27,32.25,32.25,31.12,31.31,338000.0,0
1999-01-28,31.06,32.06,31.0,31.94,324000.0,0
1999-01-29,32.0,32.0,31.12,31.88,184700.0,0
1999-02-01,31.94,31.94,31.0,31.19,197200.0,0
1999-02-02,31.38,31.94,30.56,31.62,387800.0,0
1999-02-03,31.75,31.88,31.19,31.75,299500.0,0
1999-02-04,31.75,31.75,30.88,31.12,178900.0,0
1999-02-05,31.12,31.88,31.06,31.88,394700.0,0
1999-02-08,31.75,31.88,30.75,31.19,289000.0,0
1999-02-09,31.06,31.44,30.62,31.0,362400.0,0
1999-02-10,31.25,31.38,31.0,31.06,323800.0,0
1999-02-11,31.0,31.25,31.0,31.06,282000.0,0
1999-02-12,31.0,31.25,30.75,31.06,327100.0,0
1999-02-16,31.06,31.5,30.19,30.25,218400.0,0
1999-02-17,29.62,30.69,29.62,30.56,534200.0,0
1999-02-18,30.69,30.88,30.0,30.19,287700.0,0
1999-02-19,30.0,30.81,29.75,30.62,360300.0,0
1999-02-22,30.69,31.75,30.62,31.44,355200.0,0
1999-02-23,31.19,31.31,30.06,30.88,269800.0,0
1999-02-24,30.62,30.88,30.12,30.31,332700.0,0
1999-02-25,30.31,30.44,29.38,30.12,309500.0,0
1999-02-26,30.31,30.44,29.62,29.94,343100.0,0
1999-03-01,29.88,30.06,29.62,29.88,385800.0,0
1999-03-02,29.88,30.06,29.75,29.88,416700.0,0
1999-03-03,29.56,30.12,29.12,30.06,322200.0,0
