date,open,high,low,close,volume,padding
1999-01-04,38.5,40.46,36.92,37.753,3055300.5,0
1999-01-05,37.92,39.46,37.92,38.92,2621800.5,0
1999-01-06,40.293,42.127,40.253,42.087,4239600.0,0
1999-01-07,41.793,42.753,40.707,42.087,3398100.0,0
1999-01-08,42.293,42.333,40.333,40.793,2768700.0,0
1999-01-11,40.833,40.833,39.04,39.707,2318100.0,0
1999-01-12,39.707,39.833,38.42,38.793,2328400.5,0
1999-01-13,39.293,39.753,38.0,39.293,2285400.0,0
1999-01-14,39.293,40.627,38.793,38.833,2779800.0,0
1999-01-15,39.167,39.587,38.207,38.333,2071300.5,0
1999-01-19,38.587,39.293,38.333,38.587,2505000.0,0
1999-01-20,39.167,39.833,38.253,39.333,3243900.0,0
1999-01-21,39.333,39.833,38.627,38.92,2470900.5,0
1999-01-22,38.5,39.793,38.46,39.627,1970200.5,0
1999-01-25,39.333,39.42,38.04,39.42,1922100.0,0
1999-01-26,40.667,42.5,40.46,42.293,2660200.5,0
1999-01-27,42.753,42.833,40.793,41.087,3294400.5,0
1999-01-28,41.46,42.92,41.293,42.127,1700200.5,0
1999-01-29,42.753,43.333,41.87300000000001,42.793,1575000.0,0
1999-02-01,43.293,43.46,42.333,42.333,1360800.0,0
1999-02-02,42.293,43.0,40.627,42.5,1607100.0,0
1999-02-03,42.37300000000001,44.627,42.333,44.627,1818700.5,0
1999-02-04,44.627,44.667,41.92,42.707,2291100.0,0
1999-02-05,43.04,43.207,41.04,41.333,1589200.5,0
1999-02-08,41.333,43.0,40.293,42.833,2164600.5,0
1999-02-09,42.793,42.793,40.707,40.87300000000001,2286900.0,0
1999-02-10,39.833,41.087,39.833,41.087,2287000.5,0
1999-02-11,40.92,42.833,40.37300000000001,42.0,1776700.5,0
1999-02-12,41.333,41.753,40.293,40.293,1399800.0,0
1999-02-16,40.87300000000001,41.587,40.42,41.0,1386100.5,0
1999-02-17,41.293,43.167,41.087,41.753,1941000.0,0
1999-02-18,41.753,42.37300000000001,39.92,41.37300000000001,1919800.5,0
1999-02-19,41.0,41.833,40.37300000000001,41.587,1432600.5,0
1999-02-22,41.333,44.0,41.333,43.92,2688300.0,0
1999-02-23,43.92,43.92,42.87300000000001,43.5,2731500.0,0
1999-02-24,43.587,44.37300000000001,41.333,41.833,2196400.5,0
1999-02-25,41.627,42.96,40.0,41.92,3532300.5,0
1999-02-26,41.92,43.46,40.793,43.127,3115000.5,0
1999-03-01,42.793,43.293,41.46,43.167,2181900.0,0
1999-03-02,43.333,44.293,42.793,43.127,2864700.0,0
1999-03-03,43.54,44.37300000000001,43.46,44.253,2222500.5,0
1999-03-04,44.167,45.5,43.707,45.5,3408300.0,0
1999-03-05,46.667,47.0,45.833,46.5,2077600.5,0
1999-03-08,46.627,46.707,45.253,46.627,2702100.0,0
1999-03-09,46.627,47.167,46.0,46.5,2038200.0,0
1999-03-10,46.5,46.587,45.87300000000001,46.333,1458400.5,0
1999-03-11,46.167,46.587,45.46,45.833,1519500.0,0
1999-03-12,45.92,46.087,44.253,44.333,2152000.5,0
1999-03-15,44.42,46.333,44.087,46.207,2439400.5,0
1999-03-16,46.253,46.253,45.167,45.667,2000500.5,0
1999-03-17,45.587,45.587,44.587,45.207,1684500.0,0
1999-03-18,45.0,45.46,44.87300000000001,45.333,1671900.0,0
1999-03-19,45.333,45.333,44.667,44.96,1977900.0,0
1999-03-22,44.087,44.667,43.48,44.253,2375400.0,0
1999-03-23,44.087,44.5,43.253,43.333,1975300.5,0
1999-03-24,43.37300000000001,43.42,41.37300000000001,42.0,3005500.5,0
1999-03-25,42.333,45.207,41.627,44.587,3474100.5,0
1999-03-26,44.0,44.96,43.253,44.167,2615800.5,0
1999-03-29,44.293,45.04,43.833,44.96,1960200.0,0
1999-03-30,44.667,46.293,44.587,46.0,2016100.5,0
1999-03-31,46.167,46.46,44.587,44.87300000000001,1429300.5,0
1999-04-01,45.54,45.87300000000001,44.46,44.833,1555300.5,0
1999-04-05,45.0,45.293,44.333,45.167,2182200.0,0
1999-04-06,45.0,46.087,45.0,45.167,2378100.0,0
1999-04-07,45.333,45.753,44.96,45.587,2289400.5,0
1999-04-08,45.96,48.627,45.92,48.5,4731700.5,0
1999-04-09,49.167,51.167,48.92,49.793,3193300.5,0
1999-04-12,49.207,51.587,49.0,51.087,3083100.0,0
1999-04-13,50.667,50.707,49.46,49.46,3347500.5,0
1999-04-14,50.127,50.167,48.087,48.37300000000001,2296300.5,0
1999-04-15,47.167,47.5,45.333,45.92,3465100.5,0
1999-04-16,46.667,46.87300000000001,45.087,45.5,2390200.5,0
1999-04-19,45.667,46.333,42.293,42.42,3492600.0,0
1999-04-20,42.42,45.293,42.333,44.253,3400300.5,0
1999-04-21,44.667,47.0,44.5,46.333,2916000.0,0
1999-04-22,46.833,47.5,46.54,47.0,3247300.5,0
1999-04-23,47.0,47.04,45.96,46.293,2363500.5,0
1999-04-26,46.293,46.707,45.92,45.96,1618800.0,0
1999-04-27,46.293,46.5,45.42,45.92,1291800.0,0
1999-04-28,45.96,46.207,44.753,44.753,1290300.0,0
1999-04-29,44.793,44.92,43.37300000000001,43.5,2145900.0,0
1999-04-30,43.833,45.707,43.587,44.37300000000001,2454000.0,0
1999-05-03,44.793,47.087,44.753,47.0,2034600.0,0
1999-05-04,47.087,47.5,46.42,46.587,2471200.5,0
1999-05-05,46.42,46.833,45.0,46.253,2389800.0,0
1999-05-06,42.167,42.87300000000001,41.207,42.833,11542500.0,0
1999-05-07,42.707,42.833,40.04,42.167,7528800.0,0
1999-05-10,42.707,43.5,41.127,41.293,6049500.0,0
1999-05-11,41.96,42.253,41.293,41.92,5259000.0,0
1999-05-12,41.87300000000001,41.87300000000001,41.0,41.5,3859500.0,0
1999-05-13,41.793,42.167,40.46,41.37300000000001,6109800.0,0
1999-05-14,41.0,42.04,40.87300000000001,41.753,4389000.0,0
1999-05-17,41.753,41.793,40.37300000000001,40.707,2963400.0,0
1999-05-18,40.92,41.37300000000001,40.667,40.92,3070600.5,0
1999-05-19,41.087,41.42,40.087,40.46,1860700.5,0
1999-05-20,40.627,41.87300000000001,40.54,41.37300000000001,2414800.5,0
1999-05-21,41.587,41.793,41.04,41.04,2545200.0,0
1999-05-24,41.253,42.46,40.707,41.42,2885100.0,0
1999-05-25,41.54,41.96,40.0,40.04,2278600.5,0
1999-05-26,41.167,41.167,39.37300000000001,40.42,3829600.5,0
1999-05-27,41.0,41.92,40.5,40.5,2533300.5,0
1999-05-28,40.667,42.253,40.667,41.707,1643500.5,0
1999-06-01,42.54,43.333,41.793,43.207,2909100.0,0
1999-06-02,43.333,43.793,40.793,41.753,3381000.0,0
1999-06-03,43.5,44.587,43.207,43.92,3448600.5,0
1999-06-04,44.587,45.667,44.087,45.167,2286400.5,0
1999-06-07,45.587,45.667,44.253,44.87300000000001,1800100.5,0
1999-06-08,44.587,44.707,43.37300000000001,43.587,1574400.0,0
1999-06-09,43.587,43.793,43.207,43.37300000000001,1203100.5,0
1999-06-10,43.087,43.96,42.87300000000001,43.127,2001700.5,0
1999-06-11,43.167,43.707,42.707,43.087,1790800.5,0
1999-06-14,43.333,43.587,42.167,42.207,1974100.5,0
1999-06-15,42.37300000000001,42.793,42.0,42.0,1723600.5,0
1999-06-16,42.87300000000001,44.0,42.753,43.793,1644900.0,0
1999-06-17,43.793,44.587,43.42,44.46,2046600.0,0
1999-06-18,44.5,46.293,44.5,46.167,3253500.0,0
1999-06-21,46.793,47.707,46.667,47.333,2110200.0,0
1999-06-22,47.0,47.0,46.0,46.44,1086467.0,0
1999-06-23,46.31,46.69,45.25,46.5,1333600.0,0
1999-06-24,46.5,46.5,45.25,46.5,1837400.0,0
1999-06-25,46.63,47.19,45.56,45.69,1283200.0,0
1999-06-28,45.88,47.0,45.56,46.47,1688600.0,0
1999-06-29,47.06,49.19,46.88,48.75,2057300.0,0
1999-06-30,48.81,50.38,48.06,50.38,2239000.0,0
1999-07-01,50.38,51.19,49.75,50.0,1964500.0,0
1999-07-02,50.19,50.25,49.44,49.88,1132700.0,0
1999-07-06,49.63,50.38,49.25,49.75,2124000.0,0
1999-07-07,49.38,49.94,49.38,49.63,1478400.0,0
1999-07-08,50.38,51.69,49.81,51.63,2802000.0,0
1999-07-09,51.88,52.69,50.88,51.56,1252500.0,0
1999-07-12,51.0,51.06,49.38,49.5,1421400.0,0
1999-07-13,49.69,50.31,48.25,49.19,1990800.0,0
1999-07-14,49.44,50.19,48.31,50.0,1022000.0,0
1999-07-15,50.38,51.0,50.38,50.75,1475400.0,0
1999-07-16,50.94,51.13,50.0,50.06,1000200.0,0
1999-07-19,50.0,50.06,49.31,49.69,833900.0,0
1999-07-20,49.0,49.0,46.75,47.0,2648900.0,0
1999-07-21,47.31,48.44,47.25,47.88,2008600.0,0
1999-07-22,47.94,48.13,46.56,47.0,1794200.0,0
1999-07-23,47.13,47.94,46.81,46.94,939800.0,0
1999-07-26,46.19,47.44,46.0,47.25,1003700.0,0
1999-07-27,47.56,48.25,46.69,47.88,1400800.0,0
1999-07-28,47.0,48.38,46.19,47.81,1461400.0,0
1999-07-29,47.25,47.38,45.25,46.31,1844300.0,0
1999-07-30,46.44,47.0,46.0,46.75,1330600.0,0
1999-08-02,46.06,47.44,46.06,47.13,1153100.0,0
1999-08-03,47.69,47.94,45.88,46.44,1129300.0,0
1999-08-04,47.13,47.13,43.13,43.31,2250300.0,0
1999-08-05,41.13,41.44,36.25,39.88,7764600.0,0
1999-08-06,39.38,39.38,37.56,38.44,3333900.0,0
1999-08-09,38.25,38.69,36.13,37.75,2490900.0,0
1999-08-10,37.25,37.81,35.19,37.75,4004900.0,0
1999-08-11,38.94,39.5,38.13,38.5,2665900.0,0
1999-08-12,38.5,39.63,37.56,37.88,3941400.0,0
1999-08-13,38.88,41.19,38.81,40.5,3080500.0,0
1999-08-16,40.44,42.88,40.19,42.56,3232100.0,0
1999-08-17,43.75,44.19,41.13,41.63,2908300.0,0
1999-08-18,41.56,41.63,40.69,40.81,2132900.0,0
1999-08-19,39.63,40.13,39.19,39.25,3129900.0,0
1999-08-20,39.5,40.5,39.38,40.31,2222100.0,0
1999-08-23,40.38,42.19,39.81,41.75,2877900.0,0
1999-08-24,41.0,41.63,40.25,41.56,4327200.0,0
1999-08-25,40.5,42.63,40.06,42.56,3046600.0,0
1999-08-26,42.75,42.94,40.13,40.44,2442400.0,0
