date,open,high,low,close,volume,padding
1999-01-04,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-05,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-06,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-07,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-08,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-11,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-12,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-13,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-14,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-15,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-19,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-20,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-21,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-22,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-25,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-26,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-27,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-28,76.0,77.25,70.0,70.38,22320900.0,1
1999-01-29,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-01,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-02,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-03,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-04,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-05,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-08,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-09,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-10,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-11,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-12,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-16,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-17,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-18,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-19,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-22,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-23,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-24,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-25,76.0,77.25,70.0,70.38,22320900.0,1
1999-02-26,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-01,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-02,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-03,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-04,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-05,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-08,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-09,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-10,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-11,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-12,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-15,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-16,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-17,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-18,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-19,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-22,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-23,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-24,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-25,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-26,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-29,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-30,76.0,77.25,70.0,70.38,22320900.0,1
1999-03-31,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-01,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-05,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-06,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-07,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-08,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-09,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-12,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-13,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-14,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-15,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-16,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-19,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-20,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-21,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-22,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-23,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-26,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-27,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-28,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-29,76.0,77.25,70.0,70.38,22320900.0,1
1999-04-30,76.0,77.25,70.0,70.38,22320900.0,1
1999-05-03,76.0,77.25,70.0,70.38,22320900.0,1
1999-05-04,76.0,77.25,70.0,70.38,22320900.0,0
1999-05-05,69.88,69.88,66.25,69.13,7565700.0,0
1999-05-06,68.0,69.38,67.06,67.94,2905700.0,0
1999-05-07,67.94,74.88,66.75,74.13,4862300.0,0
1999-05-10,73.38,73.5,70.25,70.69,2589400.0,0
1999-05-11,70.0,71.19,69.5,70.63,1839800.0,0
1999-05-12,71.0,74.88,69.13,73.5,2659300.0,0
1999-05-13,73.25,75.25,72.5,74.25,1142900.0,0
1999-05-14,71.25,72.25,69.06,70.19,2058400.0,0
1999-05-17,69.13,70.25,68.0,68.63,2075000.0,0
1999-05-18,68.25,70.44,68.13,68.63,1407100.0,0
1999-05-19,69.38,69.81,68.75,69.31,727400.0,0
1999-05-20,69.56,70.13,68.38,68.38,520800.0,0
1999-05-21,68.13,68.81,67.5,67.5,936200.0,0
1999-05-24,67.0,67.25,65.0,65.31,1493000.0,0
1999-05-25,64.13,65.94,64.0,64.5,1662400.0,0
1999-05-26,65.63,66.63,63.06,66.06,1602900.0,0
1999-05-27,65.0,67.75,64.69,67.75,1220500.0,0
1999-05-28,67.75,68.81,67.0,67.94,901900.0,0
1999-06-01,66.63,66.63,63.56,64.19,953900.0,0
1999-06-02,63.75,64.06,62.0,63.25,2204300.0,0
1999-06-03,64.0,64.19,63.13,63.63,852600.0,0
1999-06-04,64.31,67.0,64.31,65.38,1357400.0,0
1999-06-07,65.19,67.75,65.19,65.94,891900.0,0
1999-06-08,65.38,65.69,63.75,63.75,571700.0,0
1999-06-09,64.25,65.5,63.63,65.5,611400.0,0
1999-06-10,64.88,64.94,63.31,63.38,664200.0,0
1999-06-11,63.94,64.31,62.31,62.94,969300.0,0
1999-06-14,63.5,64.0,60.5,61.25,821100.0,0
1999-06-15,62.88,63.38,62.25,62.75,831700.0,0
1999-06-16,63.94,65.44,63.94,65.25,690300.0,0
1999-06-17,64.5,66.88,64.5,65.0,955700.0,0
1999-06-18,64.25,64.88,63.5,64.81,613900.0,0
1999-06-21,66.69,69.94,66.56,69.5,1811000.0,0
1999-06-22,70.13,70.13,67.75,68.0,1165900.0,0
1999-06-23,67.06,67.44,64.88,65.0,1351700.0,0
1999-06-24,66.06,66.5,64.5,65.06,1408900.0,0
1999-06-25,65.5,66.81,65.38,66.25,1111500.0,0
1999-06-28,66.44,67.5,65.75,66.56,784600.0,0
1999-06-29,66.0,68.5,66.0,67.75,629800.0,0
1999-06-30,68.5,72.25,66.13,72.25,2127600.0,0
1999-07-01,71.38,71.44,69.75,70.81,813600.0,0
1999-07-02,70.56,71.19,69.69,70.94,536900.0,0
1999-07-06,70.0,71.19,69.25,70.5,747600.0,0
1999-07-07,69.56,70.0,68.0,68.0,648800.0,0
1999-07-08,68.0,68.88,67.19,67.25,424400.0,0
1999-07-09,67.44,68.19,67.25,67.25,312700.0,0
1999-07-12,68.0,68.94,67.88,68.38,547700.0,0
1999-07-13,68.25,68.69,67.63,67.88,969600.0,0
1999-07-14,67.38,67.75,67.31,67.63,888200.0,0
1999-07-15,68.0,68.0,67.5,67.94,864700.0,0
1999-07-16,67.75,68.75,67.75,68.06,476700.0,0
1999-07-19,68.25,70.75,68.25,69.44,646100.0,0
1999-07-20,69.13,70.44,67.88,68.13,886100.0,0
1999-07-21,68.0,68.06,67.13,67.88,626100.0,0
1999-07-22,68.13,68.25,66.5,66.5,579500.0,0
1999-07-23,66.38,66.38,64.0,64.06,767200.0,0
1999-07-26,64.25,64.75,63.19,63.25,749500.0,0
1999-07-27,64.25,65.75,63.31,65.5,592200.0,0
1999-07-28,65.25,66.38,64.0,66.06,584800.0,0
1999-07-29,65.5,65.5,64.5,65.0,646000.0,0
1999-07-30,65.0,65.0,63.63,64.31,629600.0,0
1999-08-02,64.25,64.56,62.38,62.81,566400.0,0
1999-08-03,62.81,62.81,60.75,60.81,837700.0,0
1999-08-04,60.56,61.5,60.0,60.0,1281600.0,0
1999-08-05,59.81,60.0,57.81,59.25,1539900.0,0
1999-08-06,58.94,58.94,56.0,56.25,1308500.0,0
1999-08-09,56.5,57.5,55.81,55.81,1347500.0,0
1999-08-10,56.25,57.19,55.19,57.0,1817400.0,0
1999-08-11,57.88,61.56,57.44,61.5,1369200.0,0
1999-08-12,61.44,62.19,60.56,60.69,832800.0,0
1999-08-13,62.44,63.25,62.06,63.13,557400.0,0
1999-08-16,63.0,63.0,60.88,62.88,762600.0,0
1999-08-17,63.25,64.5,62.63,63.0,936900.0,0
1999-08-18,63.0,63.0,61.06,62.31,819300.0,0
1999-08-19,61.63,62.5,60.81,61.69,624600.0,0
1999-08-20,61.81,143.0,61.63,62.44,439600.0,0
1999-08-23,62.81,63.81,62.63,63.63,837200.0,0
1999-08-24,63.56,65.0,62.81,63.44,894200.0,0
1999-08-25,63.13,64.31,62.31,64.0,449900.0,0
1999-08-26,64.0,64.88,62.75,62.75,378400.0,0
1999-08-27,63.0,63.0,61.5,61.56,265300.0,0
1999-08-30,61.75,61.75,59.31,59.31,438100.0,0
1999-08-31,59.5,60.5,58.69,59.81,496600.0,0
1999-09-01,60.56,60.69,59.81,60.31,560100.0,0
1999-09-02,59.5,60.44,58.88,59.25,727600.0,0
1999-09-03,60.75,63.13,60.75,63.13,754900.0,0
1999-09-07,63.0,64.44,62.44,62.5,813600.0,0
1999-09-08,62.44,63.63,62.13,62.56,732100.0,0
1999-09-09,62.5,62.56,61.0,61.75,448800.0,0
1999-09-10,62.38,63.09,61.63,63.09,636300.0,0
1999-09-13,62.19,62.81,62.0,62.13,250700.0,0
1999-09-14,61.38,61.38,58.75,59.38,1160600.0,0
1999-09-15,60.13,60.13,58.06,58.31,970200.0,0
1999-09-16,58.56,59.13,57.44,57.69,753200.0,0
1999-09-17,58.63,60.06,58.5,60.06,1116700.0,0
1999-09-20,60.06,60.75,59.5,60.75,721800.0,0
1999-09-21,60.56,61.75,58.38,59.13,2369100.0,0
1999-09-22,59.94,62.0,59.06,61.31,1534700.0,0
1999-09-23,61.75,62.25,60.75,60.81,889800.0,0
1999-09-24,61.06,62.19,60.88,61.94,831400.0,0
1999-09-27,62.0,62.63,61.25,61.56,624700.0,0
1999-09-28,61.31,62.25,61.06,62.25,819900.0,0
1999-09-29,62.38,62.75,61.13,61.44,800900.0,0
1999-09-30,61.94,62.5,61.0,61.0,1113400.0,0
1999-10-01,61.0,61.25,58.31,59.19,793300.0,0
1999-10-04,59.5,61.69,59.5,61.69,739400.0,0
1999-10-05,62.13,63.25,61.38,62.25,1040500.0,0
1999-10-06,62.13,64.0,61.81,64.0,944200.0,0
1999-10-07,64.0,64.13,63.19,63.19,366300.0,0
1999-10-08,62.5,63.94,61.88,63.94,488800.0,0
1999-10-11,63.75,63.94,63.5,63.69,229300.0,0
1999-10-12,63.69,63.75,62.75,62.94,644200.0,0
1999-10-13,62.38,62.63,60.69,61.0,393000.0,0
1999-10-14,60.5,62.56,58.88,62.0,1016000.0,0
