date,open,high,low,close,volume,padding
1999-01-04,15.125,15.345,14.905,15.095,9215000.0,0
1999-01-05,15.065,15.44,14.94,15.19,5621800.0,0
1999-01-06,15.625,16.44,15.53,16.345,11405200.0,0
1999-01-07,15.75,17.75,15.75,17.75,14667400.0,0
1999-01-08,17.75,17.94,17.125,17.19,12398400.0,0
1999-01-11,17.5,17.69,17.06,17.06,9210200.0,0
1999-01-12,17.065,17.345,16.47,16.625,6175200.0,0
1999-01-13,16.03,16.065,15.315,15.405,9835200.0,0
1999-01-14,15.655,15.94,15.44,15.53,5814800.0,0
1999-01-15,15.625,15.845,15.565,15.78,3552000.0,0
1999-01-19,16.0,16.22,15.655,16.0,4046600.0,0
1999-01-20,16.0,16.125,15.0,15.405,8206400.0,0
1999-01-21,15.28,16.065,15.28,15.815,5985000.0,0
1999-01-22,15.875,16.25,15.75,16.0,5302800.0,0
1999-01-25,16.125,16.125,15.22,15.25,3888200.0,0
1999-01-26,15.25,15.25,14.625,15.155,6977000.0,0
1999-01-27,14.94,15.22,14.655,14.655,4377200.0,0
1999-01-28,14.53,14.875,14.47,14.53,4433800.0,0
1999-01-29,14.53,14.875,14.28,14.845,4575600.0,0
1999-02-01,14.625,15.095,14.125,14.25,6596200.0,0
1999-02-02,14.25,14.69,14.095,14.375,8199000.0,0
1999-02-03,14.375,15.405,14.315,15.375,8868400.0,0
1999-02-04,15.375,15.375,14.94,15.0,4835800.0,0
1999-02-05,15.065,15.625,14.97,15.5,5518800.0,0
1999-02-08,15.625,15.905,15.345,15.905,5209600.0,0
1999-02-09,15.815,15.875,15.25,15.25,3030600.0,0
1999-02-10,15.125,15.345,14.97,15.03,3228800.0,0
1999-02-11,15.03,15.72,15.0,15.655,2660600.0,0
1999-02-12,15.78,15.94,15.095,15.155,2825000.0,0
1999-02-16,15.25,15.565,14.875,15.125,3555400.0,0
1999-02-17,14.655,14.94,14.47,14.53,3505800.0,0
1999-02-18,14.78,15.125,14.345,14.97,5130400.0,0
1999-02-19,14.815,14.845,14.315,14.44,3792200.0,0
1999-02-22,14.47,14.625,14.345,14.47,3281200.0,0
1999-02-23,14.595,14.845,14.315,14.53,4933800.0,0
1999-02-24,14.565,14.625,14.095,14.125,5588600.0,0
1999-02-25,14.095,14.595,14.06,14.47,5850200.0,0
1999-02-26,14.375,14.595,14.095,14.25,4164600.0,0
1999-03-01,14.25,14.44,14.065,14.22,2716200.0,0
1999-03-02,14.25,14.5,14.19,14.345,2240000.0,0
1999-03-03,14.47,15.315,14.47,15.21,8018400.0,0
1999-03-04,15.375,16.25,15.065,16.03,10292600.0,0
1999-03-05,16.44,16.655,15.875,16.125,7264800.0,0
1999-03-08,16.5,16.815,16.25,16.315,5741600.0,0
1999-03-09,16.065,16.375,15.78,16.125,5995000.0,0
1999-03-10,16.815,18.25,16.78,18.22,18140600.0,0
1999-03-11,18.5,18.75,17.44,17.565,15522600.0,0
1999-03-12,18.44,18.44,17.69,17.875,8959400.0,0
1999-03-15,18.0,18.0,17.28,17.905,4250000.0,0
1999-03-16,17.78,17.97,16.97,17.44,4081800.0,0
1999-03-17,17.815,18.595,17.72,18.565,8517800.0,0
1999-03-18,18.875,19.0,18.375,18.69,8941000.0,0
1999-03-19,18.69,18.78,18.155,18.44,5486400.0,0
1999-03-22,18.53,19.28,18.53,19.125,4470600.0,0
1999-03-23,19.065,19.065,18.655,18.75,5139600.0,0
1999-03-24,18.845,19.22,18.315,18.375,4570400.0,0
1999-03-25,18.155,18.845,17.905,18.75,4543400.0,0
1999-03-26,19.22,19.44,18.875,19.065,5075600.0,0
1999-03-29,19.5,20.94,19.5,20.595,9308200.0,0
1999-03-30,20.595,20.595,19.845,20.19,6388200.0,0
1999-03-31,20.22,20.25,19.065,19.25,5318200.0,0
1999-04-01,19.125,19.125,17.94,18.315,6628800.0,0
1999-04-05,18.69,19.19,18.565,18.625,4921400.0,0
1999-04-06,18.625,19.0,18.405,18.44,4088400.0,0
1999-04-07,18.47,18.47,17.815,18.25,4577000.0,0
1999-04-08,18.44,18.72,18.155,18.155,4208000.0,0
1999-04-09,18.44,18.75,18.125,18.47,6919600.0,0
1999-04-12,18.28,18.69,17.845,17.875,3397200.0,0
1999-04-13,18.0,18.53,17.875,18.375,2907600.0,0
1999-04-14,18.375,18.375,17.5,17.5,3466400.0,0
1999-04-15,17.875,19.5,17.845,18.845,10533200.0,0
1999-04-16,19.315,20.94,19.22,20.69,10886400.0,0
1999-04-19,21.125,22.815,21.0,21.44,12796800.0,0
1999-04-20,21.315,21.375,20.28,20.565,5680800.0,0
1999-04-21,20.625,21.47,20.5,20.69,5410000.0,0
1999-04-22,21.0,21.97,20.75,21.94,5818600.0,0
1999-04-23,21.565,21.75,20.595,20.595,4189200.0,0
1999-04-26,20.655,20.655,19.75,19.815,2909200.0,0
1999-04-27,19.405,20.47,19.065,20.375,6783000.0,0
1999-04-28,20.815,22.22,20.655,21.94,7566800.0,0
1999-04-29,22.0,22.22,20.845,22.125,7784000.0,0
1999-04-30,22.125,22.22,21.03,21.315,4221800.0,0
1999-05-03,21.28,22.565,20.845,22.5,6156800.0,0
1999-05-04,21.69,22.5,21.69,22.0,5607400.0,0
1999-05-05,21.5,22.44,21.155,22.44,4746600.0,0
1999-05-06,22.0,22.065,21.565,21.75,4051200.0,0
1999-05-07,21.75,22.095,21.375,21.815,3984400.0,0
1999-05-10,21.625,22.22,21.375,21.565,4968000.0,0
1999-05-11,21.595,21.595,21.125,21.155,3860600.0,0
1999-05-12,20.69,21.125,20.315,20.375,4305200.0,0
1999-05-13,20.75,21.22,20.53,20.905,5630600.0,0
1999-05-14,21.19,21.345,20.53,20.565,3684800.0,0
1999-05-17,20.5,20.53,19.94,20.315,2901600.0,0
1999-05-18,20.065,20.155,19.25,19.315,3633400.0,0
1999-05-19,19.375,20.155,19.25,19.5,4387800.0,0
1999-05-20,19.625,20.47,19.315,20.125,4039200.0,0
1999-05-21,20.47,21.03,20.375,20.875,4139200.0,0
1999-05-24,21.155,21.44,19.94,19.94,3504400.0,0
1999-05-25,19.78,20.47,19.595,19.625,4141000.0,0
1999-05-26,20.125,21.19,19.905,21.0,4660800.0,0
1999-05-27,20.75,21.375,20.28,20.655,4243600.0,0
1999-05-28,20.44,21.03,20.405,20.69,2429400.0,0
1999-06-01,20.625,20.625,19.595,20.375,2660600.0,0
1999-06-02,20.375,21.095,20.375,20.75,3555000.0,0
1999-06-03,21.625,21.845,21.315,21.44,4254200.0,0
1999-06-04,21.565,21.75,20.875,21.5,2708400.0,0
1999-06-07,21.0,22.345,21.0,22.22,4234600.0,0
1999-06-08,22.095,22.44,21.345,21.72,3603600.0,0
1999-06-09,21.5,21.75,20.97,21.75,2918200.0,0
1999-06-10,21.625,22.155,21.28,21.94,2905200.0,0
1999-06-11,22.0,22.97,21.905,22.97,5315000.0,0
1999-06-14,22.94,23.345,22.44,23.095,7158200.0,0
1999-06-15,23.19,23.97,23.03,23.97,5780000.0,0
1999-06-16,24.0,24.0,22.75,22.845,5222400.0,0
1999-06-17,22.97,23.815,22.905,23.815,4717600.0,0
1999-06-18,23.97,24.19,22.905,22.94,5836600.0,0
1999-06-21,22.97,22.97,21.845,21.905,2814600.0,0
1999-06-22,21.47,22.125,21.0,21.03,4465600.0,0
1999-06-23,21.75,21.94,21.065,21.095,6198400.0,0
1999-06-24,21.095,21.265,20.345,20.565,4619000.0,0
1999-06-25,20.565,20.905,20.03,20.19,4139200.0,0
1999-06-28,20.25,21.345,20.155,20.815,4247800.0,0
1999-06-29,20.94,21.72,20.905,21.69,3025000.0,0
1999-06-30,22.095,22.815,21.905,22.625,5350200.0,0
1999-07-01,22.875,22.875,21.75,21.875,4100200.0,0
1999-07-02,21.815,22.405,21.815,22.25,2093800.0,0
1999-07-06,22.625,23.125,22.53,22.625,5683200.0,0
1999-07-07,22.72,22.815,21.72,22.065,3297200.0,0
1999-07-08,22.5,22.97,22.405,22.845,3884400.0,0
1999-07-09,22.625,23.25,22.565,22.97,2625000.0,0
1999-07-12,23.125,23.655,22.75,23.625,2795200.0,0
1999-07-13,23.19,23.5,22.78,23.25,3896800.0,0
1999-07-14,23.44,23.845,23.155,23.595,3610000.0,0
1999-07-15,23.72,24.065,23.405,23.78,3603800.0,0
1999-07-16,23.875,23.97,23.25,23.25,2115800.0,0
1999-07-19,23.19,23.25,22.78,22.875,1828400.0,0
1999-07-20,22.75,22.75,21.655,21.655,2698800.0,0
1999-07-21,21.655,22.47,21.28,22.47,3739000.0,0
1999-07-22,22.0,22.22,21.44,22.0,2544600.0,0
1999-07-23,22.19,22.595,21.94,22.03,2838400.0,0
