date,open,high,low,close,volume,padding
1999-01-04,30.06,30.38,29.88,30.06,561600.0,0
1999-01-05,29.94,30.88,29.94,30.88,913700.0,0
1999-01-06,30.81,31.56,30.75,31.5,1402800.0,0
1999-01-07,31.44,31.5,30.25,30.44,824500.0,0
1999-01-08,30.5,31.5,30.5,31.25,1047900.0,0
1999-01-11,31.13,31.75,30.94,31.56,611300.0,0
1999-01-12,31.5,31.75,31.25,31.63,812300.0,0
1999-01-13,31.0,31.75,30.88,31.38,689900.0,0
1999-01-14,31.5,31.63,30.88,31.06,697600.0,0
1999-01-15,31.13,32.0,31.13,32.0,728700.0,0
1999-01-19,31.81,31.94,31.5,31.75,337900.0,0
1999-01-20,31.63,32.0,30.88,31.13,615500.0,0
1999-01-21,31.13,32.0,30.75,31.81,670700.0,0
1999-01-22,31.63,31.81,31.25,31.5,457100.0,0
1999-01-25,31.38,31.75,31.25,31.59,258200.0,0
1999-01-26,31.38,31.88,31.13,31.69,475500.0,0
1999-01-27,31.75,31.94,30.75,30.75,392300.0,0
1999-01-28,31.0,31.88,31.0,31.78,749100.0,0
1999-01-29,31.88,32.38,31.13,31.13,614300.0,0
1999-02-01,32.25,33.44,32.13,32.88,1045400.0,0
1999-02-02,32.75,33.0,31.06,31.63,419800.0,0
1999-02-03,31.94,32.38,31.63,32.31,507500.0,0
1999-02-04,32.13,32.19,30.81,30.88,317100.0,0
1999-02-05,30.88,31.69,30.38,31.59,465000.0,0
1999-02-08,31.63,31.63,31.13,31.38,275400.0,0
1999-02-09,31.13,31.88,30.94,31.63,353400.0,0
1999-02-10,31.63,31.75,30.63,31.5,325000.0,0
1999-02-11,31.44,31.63,31.0,31.5,407500.0,0
1999-02-12,31.25,32.44,31.13,31.72,754200.0,0
1999-02-16,31.75,33.25,31.5,32.13,704600.0,0
1999-02-17,31.75,32.0,31.5,31.84,644300.0,0
1999-02-18,32.0,32.75,31.63,32.13,603100.0,0
1999-02-19,32.0,32.5,31.5,31.88,403700.0,0
1999-02-22,32.13,33.0,31.63,32.94,390200.0,0
1999-02-23,32.63,32.81,31.88,32.31,470900.0,0
1999-02-24,32.19,32.5,31.25,31.44,339400.0,0
1999-02-25,31.31,31.56,30.63,31.31,491800.0,0
1999-02-26,31.5,32.0,31.06,31.75,405700.0,0
1999-03-01,32.0,32.0,31.38,31.75,392700.0,0
1999-03-02,31.63,32.5,31.38,31.56,301200.0,0
1999-03-03,31.5,31.63,31.13,31.63,275300.0,0
1999-03-04,31.5,32.13,31.38,32.06,344300.0,0
1999-03-05,32.06,32.5,32.0,32.13,340000.0,0
1999-03-08,32.06,32.25,31.5,31.5,301700.0,0
1999-03-09,31.5,32.38,31.25,31.75,390600.0,0
1999-03-10,31.63,32.5,31.44,32.38,318800.0,0
1999-03-11,32.25,32.81,32.0,32.5,330500.0,0
