date,open,high,low,close,volume,padding
1999-01-04,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-05,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-06,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-07,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-08,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-11,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-12,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-13,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-14,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-15,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-19,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-20,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-21,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-22,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-25,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-26,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-27,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-28,4.938,5.335,4.888,5.277,30584000.0,1
1999-01-29,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-01,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-02,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-03,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-04,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-05,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-08,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-09,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-10,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-11,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-12,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-16,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-17,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-18,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-19,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-22,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-23,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-24,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-25,4.938,5.335,4.888,5.277,30584000.0,1
1999-02-26,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-01,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-02,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-03,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-04,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-05,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-08,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-09,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-10,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-11,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-12,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-15,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-16,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-17,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-18,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-19,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-22,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-23,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-24,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-25,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-26,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-29,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-30,4.938,5.335,4.888,5.277,30584000.0,1
1999-03-31,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-01,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-05,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-06,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-07,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-08,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-09,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-12,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-13,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-14,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-15,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-16,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-19,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-20,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-21,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-22,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-23,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-26,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-27,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-28,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-29,4.938,5.335,4.888,5.277,30584000.0,1
1999-04-30,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-03,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-04,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-05,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-06,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-07,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-10,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-11,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-12,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-13,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-14,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-17,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-18,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-19,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-20,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-21,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-24,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-25,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-26,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-27,4.938,5.335,4.888,5.277,30584000.0,1
1999-05-28,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-01,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-02,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-03,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-04,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-07,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-08,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-09,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-10,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-11,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-14,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-15,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-16,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-17,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-18,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-21,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-22,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-23,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-24,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-25,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-28,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-29,4.938,5.335,4.888,5.277,30584000.0,1
1999-06-30,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-01,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-02,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-06,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-07,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-08,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-09,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-12,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-13,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-14,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-15,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-16,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-19,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-20,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-21,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-22,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-23,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-26,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-27,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-28,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-29,4.938,5.335,4.888,5.277,30584000.0,1
1999-07-30,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-02,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-03,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-04,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-05,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-06,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-09,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-10,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-11,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-12,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-13,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-16,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-17,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-18,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-19,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-20,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-23,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-24,4.938,5.335,4.888,5.277,30584000.0,1
1999-08-25,4.938,5.335,4.888,5.277,30584000.0,1
