date,open,high,low,close,volume,padding
1999-01-04,54.75,55.44,54.75,55.25,480500.0,0
1999-01-05,55.25,55.25,54.25,54.81,509800.0,0
1999-01-06,54.75,55.63,54.44,55.38,603700.0,0
1999-01-07,55.13,55.13,54.63,54.63,395000.0,0
1999-01-08,54.88,55.75,54.69,55.5,626800.0,0
1999-01-11,54.63,55.19,53.63,54.44,574400.0,0
1999-01-12,52.5,53.06,52.13,52.5,733800.0,0
1999-01-13,52.44,52.94,51.56,51.69,574800.0,0
1999-01-14,51.44,52.0,50.88,51.13,503300.0,0
1999-01-15,51.75,52.0,51.38,52.0,462400.0,0
1999-01-19,51.75,52.31,50.63,51.38,382100.0,0
1999-01-20,51.69,51.94,50.88,51.25,482100.0,0
1999-01-21,50.94,51.19,48.81,48.81,420000.0,0
1999-01-22,49.06,49.19,48.13,48.31,439200.0,0
1999-01-25,48.56,48.81,48.06,48.75,487700.0,0
1999-01-26,49.88,51.75,49.69,51.63,683100.0,0
1999-01-27,51.88,52.31,50.44,50.69,522400.0,0
1999-01-28,51.19,51.81,51.13,51.69,710000.0,0
1999-01-29,51.69,52.19,50.88,51.94,471600.0,0
1999-02-01,51.69,51.81,50.5,50.56,511300.0,0
1999-02-02,50.5,51.13,49.44,50.0,677700.0,0
1999-02-03,50.0,50.81,49.69,50.63,471100.0,0
1999-02-04,50.63,51.63,50.63,50.75,761000.0,0
1999-02-05,51.0,51.0,50.06,50.63,415800.0,0
1999-02-08,50.63,50.88,50.25,50.44,370600.0,0
1999-02-09,50.44,51.25,50.25,50.81,456600.0,0
1999-02-10,50.75,50.75,49.69,50.75,475800.0,0
1999-02-11,50.5,51.31,50.44,51.0,679200.0,0
1999-02-12,51.0,51.13,49.88,50.44,527100.0,0
1999-02-16,50.44,51.81,50.38,51.38,1008100.0,0
1999-02-17,51.38,51.75,50.25,50.44,894300.0,0
1999-02-18,51.25,51.63,50.75,51.0,1129300.0,0
1999-02-19,51.0,52.19,50.81,52.19,1466200.0,0
1999-02-22,51.94,53.63,51.81,53.44,859100.0,0
1999-02-23,53.56,54.38,52.63,54.38,964600.0,0
1999-02-24,55.25,56.0,54.06,54.13,1038300.0,0
1999-02-25,53.63,54.19,53.44,53.81,784000.0,0
1999-02-26,53.88,54.44,53.88,54.06,597500.0,0
1999-03-01,54.06,54.38,53.63,54.25,611900.0,0
1999-03-02,54.5,56.5,54.5,56.13,724000.0,0
1999-03-03,56.13,56.5,53.5,54.31,930800.0,0
1999-03-04,54.75,54.75,53.06,54.0,603400.0,0
1999-03-05,54.63,55.75,53.13,54.0,1219500.0,0
1999-03-08,54.13,55.25,54.06,54.75,1143800.0,0
1999-03-09,54.5,55.5,54.06,55.44,862300.0,0
1999-03-10,55.44,55.88,54.38,55.88,271700.0,0
1999-03-11,55.5,55.56,53.5,53.94,683300.0,0
1999-03-12,54.38,55.44,54.38,55.06,293100.0,0
1999-03-15,55.19,56.94,54.81,56.81,609000.0,0
1999-03-16,56.75,56.81,55.88,56.25,863000.0,0
1999-03-17,56.25,56.5,56.13,56.44,385200.0,0
1999-03-18,56.44,57.94,56.44,57.94,883500.0,0
1999-03-19,57.94,58.31,57.69,58.19,830500.0,0
1999-03-22,58.0,58.94,57.69,58.81,813700.0,0
