date,open,high,low,close,volume,padding
1999-01-04,11.033,11.438,11.033,11.22,1118400.0,0
1999-01-05,11.063,11.22,10.813,10.813,3639600.0,0
1999-01-06,10.813,11.453,10.75,11.422,2148800.0,0
1999-01-07,11.313,11.47,11.188,11.438,566000.0,0
1999-01-08,11.22,11.625,11.203,11.625,600000.0,0
1999-01-11,11.5,11.72,11.5,11.578,1115600.0,0
1999-01-12,11.485,11.485,10.39,10.75,3754000.0,0
1999-01-13,10.375,11.0,10.345,11.0,1110000.0,0
1999-01-14,11.0,11.0,10.063,10.158,1902000.0,0
1999-01-15,10.158,10.563,10.063,10.533,2975200.0,0
1999-01-19,10.563,10.688,10.375,10.438,768000.0,0
1999-01-20,10.375,10.533,10.375,10.5,1926800.0,0
1999-01-21,10.5,10.533,10.453,10.515,946800.0,0
1999-01-22,10.408,10.47,10.0,10.313,981200.0,0
1999-01-25,10.125,10.313,10.033,10.313,1087200.0,0
1999-01-26,10.375,10.875,10.265,10.75,1380000.0,0
1999-01-27,10.765,10.783,10.345,10.345,552000.0,0
1999-01-28,10.688,10.688,10.313,10.39,607600.0,0
1999-01-29,10.345,10.688,10.345,10.515,883600.0,0
1999-02-01,11.063,11.063,10.408,10.47,571200.0,0
1999-02-02,10.408,10.625,10.283,10.533,1061600.0,0
1999-02-03,10.438,10.5,10.283,10.5,756800.0,0
1999-02-04,10.5,10.5,10.313,10.345,886800.0,0
1999-02-05,9.375,9.578,8.625,8.97,8185600.0,0
1999-02-08,8.922,9.188,8.783,8.845,4140000.0,0
1999-02-09,9.0,9.125,8.845,9.0,1423600.0,0
1999-02-10,8.908,9.033,8.47,8.595,1600000.0,0
1999-02-11,8.595,8.595,8.22,8.375,2443600.0,0
1999-02-12,8.22,8.547,8.22,8.408,3869200.0,0
1999-02-16,8.47,8.5,8.312999999999999,8.328,2909200.0,0
1999-02-17,8.25,8.283,8.095,8.095,4600800.0,0
1999-02-18,8.125,8.125,7.563,7.577000000000001,5272400.0,0
1999-02-19,7.577000000000001,7.75,6.0,6.22,8775600.0,0
1999-02-22,6.875,7.282,6.657,7.22,5803200.0,0
1999-02-23,7.188,7.438,6.75,6.938,3265600.0,0
1999-02-24,6.938,7.032,6.813,6.875,1348800.0,0
1999-02-25,7.032,7.032,6.375,6.532,2257600.0,0
1999-02-26,6.625,6.72,6.36,6.407,1171600.0,0
1999-03-01,6.563,6.563,6.452000000000001,6.563,2335600.0,0
1999-03-02,6.625,7.095,6.625,7.0,5205200.0,0
1999-03-03,7.125,7.577000000000001,7.063,7.25,4540400.0,0
1999-03-04,7.313,7.313,7.0,7.032,2290400.0,0
1999-03-05,6.97,7.095,6.688,6.75,1328000.0,0
1999-03-08,6.688,7.157,6.688,7.095,2012800.0,0
1999-03-09,7.157,7.157,7.032,7.11,1672800.0,0
1999-03-10,7.077000000000001,7.188,6.657,6.688,3599600.0,0
1999-03-11,6.75,6.813,6.563,6.595,628400.0,0
1999-03-12,6.563,6.657,6.375,6.452000000000001,1966400.0,0
1999-03-15,6.532,6.532,6.345,6.485,2521200.0,0
1999-03-16,6.532,6.563,6.47,6.563,1444800.0,0
1999-03-17,6.547999999999999,6.657,6.47,6.563,1711600.0,0
1999-03-18,6.595,6.75,6.532,6.702000000000001,1372000.0,0
1999-03-19,6.657,6.782,6.657,6.75,2075600.0,0
1999-03-22,6.72,6.875,6.72,6.813,1962400.0,0
1999-03-23,6.845,6.875,6.702000000000001,6.702000000000001,788000.0,0
1999-03-24,6.75,6.75,6.438,6.595,773600.0,0
1999-03-25,6.47,6.625,6.29,6.375,1830800.0,0
1999-03-26,6.39,6.47,6.22,6.265,3232400.0,0
1999-03-29,6.25,6.452000000000001,6.25,6.375,1533200.0,0
1999-03-30,6.375,6.375,6.22,6.297999999999999,1342400.0,0
1999-03-31,6.345,6.407,6.157,6.313,4084400.0,0
1999-04-01,6.25,6.407,6.063,6.077000000000001,1095200.0,0
1999-04-05,6.188,6.25,6.125,6.157,915200.0,0
1999-04-06,6.202000000000001,6.202000000000001,5.375,5.375,4162800.0,0
1999-04-07,5.532,5.625,4.89,5.032,6139600.0,0
1999-04-08,5.125,5.313,5.063,5.202000000000001,2846400.0,0
1999-04-09,5.25,5.407,5.188,5.36,2555200.0,0
1999-04-12,5.47,5.5,5.188,5.25,3249200.0,0
1999-04-13,5.407,5.407,5.077,5.11,2286400.0,0
1999-04-14,5.157,5.375,5.085,5.282,2585200.0,0
1999-04-15,5.375,6.438,5.25,6.188,2116000.0,0
1999-04-16,6.125,6.313,5.845,6.077000000000001,1042400.0,0
1999-04-19,6.063,6.235,6.063,6.07,805600.0,0
