date,open,high,low,close,volume,padding
1999-01-04,31.0,31.75,31.0,31.155,832800.0,0
1999-01-05,31.155,31.315,30.565,31.22,831000.0,0
1999-01-06,31.155,32.0,31.065,32.0,1115800.0,0
1999-01-07,31.75,31.94,30.94,31.405,978000.0,0
1999-01-08,31.53,31.875,31.155,31.5,1267000.0,0
1999-01-11,31.065,31.095,30.5,30.595,1262400.0,0
1999-01-12,30.72,30.72,29.72,30.125,1348800.0,0
1999-01-13,29.375,29.97,28.625,29.72,1003200.0,0
1999-01-14,29.815,30.125,29.22,29.905,707800.0,0
1999-01-15,30.28,30.94,30.155,30.625,587000.0,0
1999-01-19,30.5,30.72,29.94,30.44,1118800.0,0
1999-01-20,30.5,30.5,29.815,29.875,757200.0,0
1999-01-21,29.625,29.625,28.78,29.0,2295000.0,0
1999-01-22,29.125,29.94,29.03,29.5,583000.0,0
1999-01-25,29.375,30.75,29.28,30.75,1013200.0,0
1999-01-26,30.625,30.875,30.375,30.75,877600.0,0
1999-01-27,30.75,31.22,30.655,30.97,539200.0,0
1999-01-28,30.94,32.0,30.875,31.97,855000.0,0
1999-01-29,32.0,32.065,28.125,28.125,2698200.0,0
1999-02-01,28.5,28.655,27.065,27.78,7365200.0,0
1999-02-02,27.75,28.28,27.53,28.19,3401600.0,0
1999-02-03,28.315,28.72,28.065,28.5,3251200.0,0
1999-02-04,28.625,28.94,28.405,28.53,3976800.0,0
1999-02-05,28.655,28.875,28.28,28.47,918200.0,0
1999-02-08,28.595,28.655,27.78,27.78,2153800.0,0
1999-02-09,28.0,29.065,27.905,28.72,3325400.0,0
1999-02-10,28.72,29.595,28.72,29.595,2960200.0,0
1999-02-11,29.25,30.0,29.03,29.845,2130600.0,0
1999-02-12,29.75,29.875,29.03,29.75,3349600.0,0
1999-02-16,29.875,30.75,29.78,30.53,1543800.0,0
1999-02-17,30.405,30.44,29.875,30.345,2763800.0,0
1999-02-18,30.375,31.375,30.25,30.905,1990000.0,0
1999-02-19,30.905,31.69,30.845,31.5,1804600.0,0
1999-02-22,31.25,31.875,31.25,31.875,912200.0,0
1999-02-23,31.75,31.905,31.03,31.28,1930600.0,0
1999-02-24,31.28,32.44,31.28,31.625,1526600.0,0
1999-02-25,31.47,32.0,31.19,31.53,808200.0,0
1999-02-26,31.5,31.53,30.875,31.125,635400.0,0
1999-03-01,31.0,31.03,30.5,30.94,659400.0,0
1999-03-02,30.845,30.845,30.125,30.5,475200.0,0
1999-03-03,30.595,30.655,29.44,30.125,908000.0,0
1999-03-04,30.25,30.375,29.595,29.69,1738000.0,0
1999-03-05,30.19,30.5,29.815,30.0,1675400.0,0
1999-03-08,30.25,30.47,29.315,30.065,805400.0,0
1999-03-09,30.375,30.78,30.065,30.5,909600.0,0
1999-03-10,30.405,30.905,30.095,30.25,620600.0,0
1999-03-11,30.125,30.625,29.905,30.53,657200.0,0
1999-03-12,30.53,30.875,30.53,30.75,384600.0,0
1999-03-15,30.655,31.125,30.655,30.905,436800.0,0
1999-03-16,30.905,31.25,30.53,30.94,592800.0,0
1999-03-17,30.25,30.315,29.5,29.78,1536400.0,0
1999-03-18,29.5,29.625,28.625,28.75,3341800.0,0
1999-03-19,28.875,28.905,27.875,28.155,2335000.0,0
1999-03-22,28.03,28.72,27.28,28.375,1409600.0,0
1999-03-23,28.315,29.0,27.75,28.065,941400.0,0
1999-03-24,28.03,28.345,27.315,27.845,1358000.0,0
1999-03-25,27.815,28.47,27.78,28.44,726200.0,0
1999-03-26,28.375,28.5,27.845,28.405,895400.0,0
1999-03-29,28.405,29.44,28.28,29.44,1188800.0,0
1999-03-30,29.44,29.44,28.815,29.03,1411800.0,0
1999-03-31,29.0,29.155,28.0,28.03,752400.0,0
1999-04-01,28.125,28.125,27.75,27.875,814000.0,0
1999-04-05,27.78,27.94,27.53,27.595,819400.0,0
1999-04-06,27.5,27.565,25.5,26.405,2588400.0,0
1999-04-07,26.78,26.97,26.22,26.405,2278200.0,0
1999-04-08,26.5,26.5,25.405,26.25,2122000.0,0
1999-04-09,26.0,26.03,25.625,25.875,1473400.0,0
1999-04-12,25.94,26.44,25.565,26.315,1238200.0,0
1999-04-13,26.875,26.875,26.315,26.72,1446400.0,0
1999-04-14,26.72,26.815,25.47,25.72,1597600.0,0
1999-04-15,25.94,26.065,24.405,25.5,2273800.0,0
1999-04-16,25.625,27.155,25.625,27.155,1162000.0,0
1999-04-19,27.125,27.375,26.815,27.22,849200.0,0
1999-04-20,27.22,27.28,26.875,27.155,607000.0,0
1999-04-21,27.22,27.5,27.065,27.345,419600.0,0
1999-04-22,27.25,27.875,27.25,27.47,999200.0,0
1999-04-23,27.53,27.595,26.595,27.315,956600.0,0
1999-04-26,26.5,26.815,25.28,26.155,2816200.0,0
1999-04-27,26.25,26.315,25.72,26.095,1139400.0,0
1999-04-28,26.095,26.315,26.03,26.22,988800.0,0
1999-04-29,26.25,26.44,26.0,26.345,843000.0,0
1999-04-30,26.5,26.595,25.94,26.315,1538800.0,0
1999-05-03,26.25,27.405,26.22,27.405,1501200.0,0
1999-05-04,27.375,27.44,25.815,26.25,828600.0,0
1999-05-05,26.625,26.905,26.28,26.905,724600.0,0
1999-05-06,26.815,27.625,26.25,27.44,1124800.0,0
1999-05-07,27.5,28.19,27.44,27.72,972600.0,0
1999-05-10,27.75,27.97,27.0,27.875,816200.0,0
1999-05-11,27.875,28.25,27.69,27.875,1918600.0,0
1999-05-12,27.845,27.845,27.25,27.595,634600.0,0
1999-05-13,27.47,29.03,27.44,28.75,1073600.0,0
1999-05-14,28.5,28.565,28.125,28.44,643400.0,0
1999-05-17,28.94,28.94,27.44,27.75,1209800.0,0
1999-05-18,28.5,28.53,27.75,28.19,578200.0,0
1999-05-19,28.065,28.345,27.815,28.125,388400.0,0
1999-05-20,27.97,28.25,27.875,28.065,367200.0,0
1999-05-21,28.065,28.405,27.875,28.345,403000.0,0
1999-05-24,28.22,28.345,27.655,27.94,491600.0,0
1999-05-25,27.97,28.97,27.875,28.25,670400.0,0
1999-05-26,28.375,28.625,27.69,28.25,598400.0,0
1999-05-27,28.0,28.0,27.0,27.22,336800.0,0
1999-05-28,26.72,27.375,26.72,27.125,372800.0,0
1999-06-01,27.03,27.28,26.655,27.125,381200.0,0
1999-06-02,27.155,27.22,26.94,27.19,438800.0,0
1999-06-03,27.19,27.315,26.75,26.905,425800.0,0
1999-06-04,27.0,27.625,26.845,27.625,434000.0,0
1999-06-07,27.25,27.5,27.065,27.47,270200.0,0
1999-06-08,27.22,27.44,27.03,27.44,476400.0,0
1999-06-09,27.19,27.22,26.75,26.905,895400.0,0
1999-06-10,26.75,27.125,26.72,26.875,529200.0,0
1999-06-11,26.875,27.28,26.875,26.905,745200.0,0
1999-06-14,27.065,27.625,27.065,27.565,524000.0,0
1999-06-15,27.69,27.815,27.44,27.47,429200.0,0
1999-06-16,27.565,27.815,27.375,27.78,603600.0,0
1999-06-17,27.69,28.03,27.345,27.94,767000.0,0
1999-06-18,27.815,28.155,27.625,28.155,1133800.0,0
1999-06-21,28.155,28.69,27.78,28.565,896200.0,0
1999-06-22,28.5,29.19,28.405,28.565,928800.0,0
1999-06-23,28.405,28.53,28.125,28.315,389200.0,0
1999-06-24,28.0,28.595,27.97,28.375,572800.0,0
1999-06-25,28.405,28.565,27.845,27.94,530800.0,0
1999-06-28,27.815,28.44,27.655,28.405,566000.0,0
1999-06-29,28.565,29.5,28.53,29.5,1007600.0,0
1999-06-30,29.0,29.75,28.905,29.69,1094000.0,0
1999-07-01,29.405,29.47,28.94,29.44,602800.0,0
1999-07-02,29.315,29.405,29.125,29.345,258200.0,0
1999-07-06,29.0,29.47,28.875,29.315,541600.0,0
1999-07-07,29.0,29.25,28.875,29.25,858400.0,0
1999-07-08,28.875,29.22,28.815,29.0,333000.0,0
1999-07-09,28.875,29.72,28.78,29.405,424200.0,0
1999-07-12,29.315,29.315,28.815,29.19,369000.0,0
1999-07-13,29.065,29.19,28.655,28.875,468200.0,0
1999-07-14,28.75,29.0,28.595,28.905,236800.0,0
1999-07-15,29.03,29.315,28.815,28.97,229400.0,0
1999-07-16,29.065,29.25,28.815,29.25,524000.0,0
1999-07-19,29.25,29.345,28.69,28.875,308800.0,0
1999-07-20,28.78,28.97,28.72,28.97,375800.0,0
1999-07-21,28.94,29.595,28.905,29.44,697200.0,0
1999-07-22,29.315,29.315,28.75,29.22,538000.0,0
1999-07-23,29.0,29.25,28.845,29.03,251400.0,0
1999-07-26,29.0,29.815,28.69,29.72,792000.0,0
1999-07-27,29.72,30.72,29.315,30.28,1619200.0,0
1999-07-28,30.25,30.44,29.595,29.78,443600.0,0
1999-07-29,29.375,29.375,28.53,28.875,815400.0,0
1999-07-30,28.97,29.065,28.75,29.0,671800.0,0
1999-08-02,28.875,29.375,28.655,29.28,480400.0,0
1999-08-03,29.19,29.75,29.0,29.25,556200.0,0
1999-08-04,29.345,29.53,28.905,28.94,317000.0,0
