date,open,high,low,close,volume,padding
1999-01-04,6.688,7.0,6.688,6.845,1068400.0,0
1999-01-05,6.845,6.97,6.845,6.86,1117200.0,0
1999-01-06,6.845,7.032,6.845,6.922999999999999,1734800.0,0
1999-01-07,6.845,6.938,6.625,6.688,740800.0,0
1999-01-08,6.657,6.735,6.157,6.532,3736000.0,0
1999-01-11,6.563,6.907,6.563,6.907,3338400.0,0
1999-01-12,6.782,6.875,6.657,6.75,457200.0,0
1999-01-13,6.595,6.688,6.375,6.563,893200.0,0
1999-01-14,6.595,6.845,6.595,6.735,916400.0,0
1999-01-15,6.75,6.907,6.625,6.845,553200.0,0
1999-01-19,6.875,6.875,6.657,6.75,620400.0,0
1999-01-20,6.657,6.75,6.47,6.547999999999999,810800.0,0
1999-01-21,6.47,6.563,6.407,6.438,554800.0,0
1999-01-22,6.407,6.485,6.282,6.47,358400.0,0
1999-01-25,6.47,6.47,5.438,6.063,5912000.0,0
1999-01-26,6.0,6.25,6.0,6.188,800800.0,0
1999-01-27,6.125,6.375,6.125,6.25,1485200.0,0
1999-01-28,6.22,6.595,6.22,6.5,827600.0,0
1999-01-29,6.532,6.688,6.47,6.5,850800.0,0
1999-02-01,6.563,6.563,6.188,6.375,1956800.0,0
1999-02-02,6.345,6.407,6.25,6.407,1666000.0,0
1999-02-03,6.282,6.282,6.0,6.125,1585200.0,0
1999-02-04,6.047999999999999,6.345,6.0,6.297999999999999,746000.0,0
1999-02-05,6.125,6.157,5.89,5.938,2395200.0,0
1999-02-08,6.063,6.282,6.063,6.25,1714000.0,0
1999-02-09,6.22,6.532,6.188,6.407,1322000.0,0
1999-02-10,6.375,6.5,6.282,6.345,988400.0,0
1999-02-11,6.438,6.438,6.313,6.313,626800.0,0
1999-02-12,6.327000000000001,6.407,6.25,6.313,1224000.0,0
1999-02-16,6.407,6.438,6.125,6.313,1122400.0,0
1999-02-17,6.22,6.5,6.22,6.25,632800.0,0
1999-02-18,6.25,6.327000000000001,5.907,5.907,828800.0,0
1999-02-19,5.97,6.095,5.595,5.797999999999999,1508000.0,0
1999-02-22,5.75,6.032,5.75,6.032,660400.0,0
1999-02-23,6.032,6.345,6.0,6.228,993600.0,0
1999-02-24,6.282,6.313,5.97,5.985,1114800.0,0
1999-02-25,5.97,6.0,5.617000000000001,5.625,982800.0,0
1999-02-26,5.657,5.782,5.595,5.595,940000.0,0
1999-03-01,5.563,5.765,5.532,5.75,1563600.0,0
1999-03-02,5.75,5.922999999999999,5.702000000000001,5.86,418400.0,0
1999-03-03,5.813,5.875,5.688,5.782,271200.0,0
1999-03-04,5.875,6.015,5.72,5.797999999999999,1114000.0,0
1999-03-05,5.907,6.095,5.813,6.063,1408000.0,0
1999-03-08,6.095,6.125,5.97,6.095,844400.0,0
1999-03-09,6.032,6.438,6.0,6.345,2457200.0,0
1999-03-10,6.282,6.345,6.188,6.25,1822000.0,0
1999-03-11,6.282,6.282,6.188,6.202000000000001,1044800.0,0
1999-03-12,6.22,6.25,6.095,6.095,779600.0,0
1999-03-15,6.095,6.282,6.063,6.282,1032400.0,0
1999-03-16,6.188,6.25,6.095,6.125,1090800.0,0
1999-03-17,6.157,6.157,5.97,5.97,421600.0,0
1999-03-18,5.97,6.0,5.595,5.625,3969200.0,0
1999-03-19,5.563,5.688,5.095,5.22,5637600.0,0
1999-03-22,5.188,5.297999999999999,4.938,5.0,2605600.0,0
1999-03-23,5.063,5.063,4.813,4.938,2797200.0,0
1999-03-24,4.907,5.532,4.827,5.5,1491600.0,0
1999-03-25,5.532,5.782,5.438,5.75,1372800.0,0
1999-03-26,5.75,5.907,5.688,5.782,754000.0,0
1999-03-29,5.813,6.015,5.75,5.875,2163600.0,0
1999-03-30,5.97,6.063,5.845,5.985,1869200.0,0
1999-03-31,5.97,6.032,5.845,5.985,1297600.0,0
1999-04-01,6.047999999999999,6.25,5.938,5.97,1361200.0,0
1999-04-05,6.0,6.095,5.782,6.047999999999999,1326000.0,0
1999-04-06,6.0,6.0,5.595,5.595,737200.0,0
1999-04-07,5.563,5.688,5.438,5.577000000000001,860400.0,0
