date,open,high,low,close,volume,padding
1999-01-04,12.093,12.897,11.958,12.407,11599200.0,0
1999-01-05,12.208,13.167,11.938,13.073,8831400.0,0
1999-01-06,13.313,15.125,13.313,14.73,20557200.0,0
1999-01-07,14.188,14.917,14.083,14.375,6161400.0,0
1999-01-08,14.333,14.99,14.073,14.522,6823800.0,0
1999-01-11,14.647,14.667,13.897,14.313,3415200.0,0
1999-01-12,14.313,14.333,12.897,13.135,6590400.0,0
1999-01-13,12.75,13.583,12.167,12.833,10612200.0,0
1999-01-14,13.208,13.375,12.907,13.115,5833800.0,0
1999-01-15,13.438,14.292,13.375,14.198,10059600.0,0
1999-01-19,15.0,16.625,14.688,16.385,11422200.0,0
1999-01-20,16.302,17.467,15.458,15.708,14362200.0,0
1999-01-21,15.48,15.5,14.333,14.397,9723600.0,0
1999-01-22,14.063,14.522,13.73,14.083,6565200.0,0
1999-01-25,14.25,14.323,13.272,13.855,3491400.0,0
1999-01-26,13.897,14.75,13.772,14.438,6713400.0,0
1999-01-27,14.563,15.313,13.938,13.98,8426400.0,0
1999-01-28,14.333,14.468,13.875,14.343,7059600.0,0
1999-01-29,14.48,15.375,13.958,15.167,8775000.0,0
1999-02-01,15.323,15.688,14.75,15.25,4626600.0,0
1999-02-02,15.188,15.188,14.292,14.667,3958800.0,0
1999-02-03,14.677,15.48,14.5,15.397,4113000.0,0
1999-02-04,15.542,15.647,14.792,14.917,4477800.0,0
1999-02-05,15.167,15.167,14.063,14.135,6165600.0,0
1999-02-08,14.333,14.573,14.022,14.313,4657200.0,0
1999-02-09,14.208,14.625,13.813,13.843,6340800.0,0
1999-02-10,13.792,13.813,12.583,12.897,9117600.0,0
1999-02-11,13.25,14.355,12.772,14.333,6617400.0,0
1999-02-12,14.0,14.25,13.73,13.75,2524200.0,0
1999-02-16,14.167,14.282,13.25,13.375,1547400.0,0
1999-02-17,13.167,13.583,12.792,12.958,2305800.0,0
1999-02-18,13.042,13.438,12.76,12.843,2794200.0,0
1999-02-19,12.98,13.417,12.855,13.313,7702800.0,0
1999-02-22,13.355,15.01,13.25,14.968,5526000.0,0
1999-02-23,14.917,15.427,14.792,15.147,6852600.0,0
1999-02-24,15.083,15.333,14.927,14.927,2852400.0,0
1999-02-25,14.917,15.167,14.063,14.927,6520200.0,0
1999-02-26,15.49,16.667,15.083,16.49,11590800.0,0
1999-03-01,15.875,16.343,15.563,16.083,4405200.0,0
1999-03-02,16.042,16.042,15.042,15.093,5732400.0,0
1999-03-03,15.333,15.792,14.272,14.667,8451600.0,0
1999-03-04,14.875,15.522,14.813,15.188,6981000.0,0
1999-03-05,15.25,15.313,14.125,14.438,8868600.0,0
1999-03-08,14.647,15.105,14.5,15.083,10650000.0,0
1999-03-09,15.083,15.833,14.833,15.552,10736400.0,0
1999-03-10,15.458,15.593,15.022,15.25,3118200.0,0
1999-03-11,15.417,15.698,15.157,15.313,7717200.0,0
1999-03-12,15.355,15.375,14.48,14.688,4165800.0,0
1999-03-15,14.647,15.667,14.647,15.605,3222600.0,0
1999-03-16,15.355,15.73,15.105,15.292,2659200.0,0
1999-03-17,15.105,15.417,15.093,15.302,2648400.0,0
1999-03-18,15.272,16.333,15.188,16.333,7747800.0,0
1999-03-19,16.458,16.563,15.125,15.147,6162600.0,0
1999-03-22,15.115,16.292,15.115,16.26,5103000.0,0
1999-03-23,15.98,16.333,15.397,15.772,6408000.0,0
1999-03-24,15.772,15.813,14.855,15.292,7168800.0,0
1999-03-25,15.583,16.23,15.458,15.74,5760600.0,0
1999-03-26,15.667,16.125,15.605,15.938,2698800.0,0
1999-03-29,16.105,17.617,16.0,17.433,10145400.0,0
1999-03-30,17.333,17.583,16.917,16.967,5529000.0,0
1999-03-31,17.017,17.533,16.458,16.967,3866400.0,0
1999-04-01,17.183,17.383,16.5,17.017,3757800.0,0
1999-04-05,17.217,17.667,16.667,17.65,5702400.0,0
1999-04-06,17.5,18.083,16.983,17.333,3951600.0,0
1999-04-07,17.517,17.683,16.522000000000002,17.417,5587800.0,0
1999-04-08,17.667,18.467,17.0,18.383,9531600.0,0
1999-04-09,17.883,18.133,17.25,17.683,6205200.0,0
1999-04-12,17.35,17.683,17.267,17.483,5025000.0,0
1999-04-13,17.717,18.167,17.2,17.267,3961200.0,0
1999-04-14,17.467,17.717,16.083,16.125,5263800.0,0
1999-04-15,16.333,16.355,14.522,14.792,10324800.0,0
1999-04-16,14.855,16.147000000000002,14.667,15.927,8116200.0,0
1999-04-19,15.958,15.958,13.093,13.157,11353200.0,0
1999-04-20,13.552,14.0,12.25,13.333,15143400.0,0
1999-04-21,13.375,14.0,13.115,13.833,4419600.0,0
1999-04-22,14.125,15.125,14.063,15.105,5480400.0,0
1999-04-23,15.0,15.865,14.458,15.75,5035200.0,0
1999-04-26,15.917,16.208,15.542,15.74,3548400.0,0
1999-04-27,15.667,15.833,14.958,15.208,4429800.0,0
1999-04-28,15.177,15.188,14.0,14.063,5215200.0,0
1999-04-29,14.333,14.333,13.448,13.875,4896600.0,0
1999-04-30,14.052,15.125,13.75,14.355,3970800.0,0
1999-05-03,14.25,14.605,13.147,13.157,6613200.0,0
1999-05-04,13.177,13.292,12.125,12.125,11549400.0,0
1999-05-05,12.333,13.073,11.833,13.022,12838800.0,0
1999-05-06,13.093,13.75,13.01,13.615,15661800.0,0
1999-05-07,13.615,13.802,12.833,13.105,7911000.0,0
1999-05-10,13.167,13.25,12.542,12.792,5470800.0,0
1999-05-11,12.917,13.167,12.333,12.49,6403200.0,0
1999-05-12,12.563,13.25,12.167,13.25,7154400.0,0
1999-05-13,13.333,13.375,12.522,12.625,7693200.0,0
1999-05-14,12.542,12.75,12.022,12.25,4411800.0,0
1999-05-17,12.208,12.417,11.73,12.302,5710200.0,0
1999-05-18,12.48,12.833,11.917,12.583,6815400.0,0
1999-05-19,12.573,12.98,12.407,12.833,3487200.0,0
1999-05-20,12.897,13.397,12.875,12.98,5001000.0,0
1999-05-21,13.073,13.333,12.833,13.208,2650800.0,0
1999-05-24,13.313,13.397,12.5,12.688,3940800.0,0
1999-05-25,12.698,13.188,12.147,12.927,6072600.0,0
1999-05-26,13.282,13.292,12.25,12.823,14157600.0,0
1999-05-27,12.875,14.125,12.615,13.76,6831600.0,0
1999-05-28,13.833,13.917,13.5,13.563,5095200.0,0
1999-06-01,13.542,13.542,13.125,13.157,5068800.0,0
1999-06-02,13.167,14.333,12.813,14.323,4914000.0,0
1999-06-03,14.302,14.333,13.75,13.958,4152000.0,0
1999-06-04,13.958,14.75,13.938,14.698,3914400.0,0
1999-06-07,14.875,15.042,14.647,15.01,2827800.0,0
1999-06-08,15.01,15.188,14.417,14.417,2958000.0,0
1999-06-09,14.427,14.583,14.167,14.473,1194600.0,0
1999-06-10,14.333,14.49,13.635,13.843,1738800.0,0
1999-06-11,13.917,14.135,13.022,14.042,4952400.0,0
1999-06-14,13.98,14.355,13.355,13.417,3310200.0,0
1999-06-15,13.448,13.583,12.843,13.0,5583000.0,0
1999-06-16,13.063,13.833,13.063,13.792,7599600.0,0
1999-06-17,13.74,14.73,13.647,14.302,3721200.0,0
1999-06-18,14.135,14.26,13.802,13.968,3920400.0,0
1999-06-21,14.0,14.23,13.615,14.083,2211000.0,0
1999-06-22,14.063,14.792,13.917,14.188,3267000.0,0
1999-06-23,14.083,14.522,13.833,14.448,3017400.0,0
1999-06-24,14.438,14.542,13.573,14.01,4057800.0,0
1999-06-25,14.115,14.333,13.782,13.833,2434200.0,0
1999-06-28,14.0,14.438,13.927,14.355,4535400.0,0
1999-06-29,14.333,14.917,14.105,14.897,4117200.0,0
1999-06-30,14.792,15.48,14.772,15.022,6325800.0,0
1999-07-01,15.042,15.73,15.032,15.5,3056400.0,0
1999-07-02,15.51,15.792,15.458,15.647,1576200.0,0
1999-07-06,15.708,15.968,15.0,15.063,4816800.0,0
1999-07-07,15.292,15.772,15.272,15.5,3999600.0,0
1999-07-08,15.583,16.375,15.397,16.375,4237200.0,0
1999-07-09,16.25,16.385,15.897,16.218,2037600.0,0
1999-07-12,16.042,16.218,15.23,15.375,4397400.0,0
1999-07-13,15.313,15.99,15.208,15.855,4510200.0,0
1999-07-14,15.865,16.083,15.75,16.042,3291600.0,0
1999-07-15,16.073,16.105,15.772,15.958,2028000.0,0
1999-07-16,16.093,16.552,16.093,16.282,2646000.0,0
1999-07-19,16.272000000000002,16.282,15.375,15.417,2208000.0,0
1999-07-20,15.333,15.5,14.98,15.063,3947400.0,0
1999-07-21,15.167,15.167,14.397,14.98,4561800.0,0
1999-07-22,14.897,14.958,13.75,13.772,4896000.0,0
1999-07-23,13.833,14.813,13.397,14.313,6927600.0,0
1999-07-26,14.147,14.615,13.833,13.865,2118600.0,0
1999-07-27,13.938,14.188,13.313,14.147,5205600.0,0
1999-07-28,14.167,14.563,13.647,14.333,3988200.0,0
1999-07-29,14.23,14.23,13.583,13.657,2169600.0,0
1999-07-30,13.833,13.958,13.615,13.635,2689200.0,0
1999-08-02,13.583,13.833,13.417,13.625,2976600.0,0
1999-08-03,13.698,13.833,12.647,12.99,6572400.0,0
1999-08-04,13.0,13.167,12.272,12.282,5350200.0,0
1999-08-05,12.417,13.333,11.708,13.292,9898800.0,0
1999-08-06,13.167,13.688,12.438,12.468,4725000.0,0
1999-08-09,12.282,13.302,12.01,12.083,2220600.0,0
1999-08-10,12.042,12.302,11.25,11.907,6459600.0,0
1999-08-11,12.167,12.583,11.917,12.5,4597800.0,0
1999-08-12,12.542,13.292,12.397,12.647,9834600.0,0
1999-08-13,13.093,13.605,13.083,13.552,3491400.0,0
1999-08-16,13.542,13.583,13.198,13.427,2527200.0,0
1999-08-17,13.448,13.647,12.98,13.24,2494200.0,0
1999-08-18,13.458,14.052,13.323,13.677,9890400.0,0
1999-08-19,13.542,13.542,13.0,13.063,2290200.0,0
1999-08-20,13.177,13.438,13.125,13.355,2729400.0,0
1999-08-23,13.407,13.698,13.083,13.397,3907200.0,0
1999-08-24,13.313,13.75,13.167,13.522,3140400.0,0
1999-08-25,13.5,14.292,13.397,14.105,4691400.0,0
1999-08-26,14.343,14.563,13.647,13.813,4519800.0,0
1999-08-27,14.823,15.542,14.583,15.177,21369000.0,0
1999-08-30,15.177,15.292,14.625,14.657,7743600.0,0
1999-08-31,14.593,15.0,14.5,14.927,5862600.0,0
1999-09-01,14.917,15.5,14.897,15.23,7227000.0,0
1999-09-02,15.0,15.25,14.875,15.022,3630000.0,0
1999-09-03,15.25,15.635,15.208,15.635,5298000.0,0
1999-09-07,15.5,16.23,15.385,15.667,6474600.0,0
1999-09-08,15.625,15.708,15.022,15.333,3492600.0,0
1999-09-09,15.5,16.208,15.438,16.177,3676800.0,0
